session,opening_minutes,bins,reload_zone,minimum_breakout_relative_volume,acceptance_closes,retest_bars,stop_mode,reward_risk,management,no_progress_minutes,score,train_pf,train_return,train_trades,validation_pf,validation_return,validation_trades
new_york_0930,60,48,vah,0.0,1,6,opposite_opening_range,3.0,trail_1_5r,0,0.19389467606787167,2.4271558791146997,11.508670584991275,41,2.0103842540728727,4.986592838692516,25
new_york_0930,60,24,vah,0.0,2,6,opposite_value_area,1.5,be_1r,90,0.19379878424701055,1.902501116347225,7.5157430868264985,37,2.4598201810224047,3.846056122030128,15
new_york_0930,30,48,vah,0.0,2,6,opposite_value_area,3.0,none,0,0.1934042383252142,1.3979285222630025,7.753865798732984,39,1.6383305552199243,7.821373955784705,23
new_york_0930,30,24,vah,0.0,2,6,signal_candle,2.0,none,0,0.19260599822976945,1.4285714285714286,8.978710049768491,36,1.3333333333333333,3.854115012469217,20
new_york_0930,30,24,vah,0.0,2,6,signal_candle,2.0,none,90,0.19260599822976945,1.4285714285714286,8.978710049768491,36,1.3333333333333333,3.854115012469217,20
new_york_0930,30,24,vah,0.0,2,6,signal_candle,2.0,none,60,0.19260599822976945,1.4285714285714286,8.978710049768491,36,1.3333333333333333,3.854115012469217,20
new_york_0930,30,48,vah,0.0,2,6,opposite_opening_range,3.0,be_1r,90,0.19202319705213927,1.7537225047522507,7.6976860676032155,39,4.375253615135376,14.885630941866811,23
new_york_0930,30,24,vah,0.0,2,6,signal_candle,3.0,none,90,0.1911384147362225,1.32,7.668667105323124,36,1.2857142857142858,3.7327932836751065,20
new_york_0930,30,24,vah,0.0,2,6,signal_candle,3.0,none,0,0.1911384147362225,1.32,7.668667105323124,36,1.2857142857142858,3.7327932836751065,20
new_york_0930,30,24,vah,0.0,2,6,signal_candle,3.0,none,60,0.1911384147362225,1.32,7.668667105323124,36,1.2857142857142858,3.7327932836751065,20
new_york_0930,60,24,vah,0.0,2,6,opposite_opening_range,2.0,trail_1_5r,0,0.1909035459288968,2.6964458598594163,10.733278147268944,37,1.8726512029746805,2.900386606886163,15
new_york_0930,30,48,vah,0.0,2,6,opposite_value_area,3.0,none,90,0.19084002298305838,1.3908682527762481,7.603905945640621,39,1.9835796248610944,10.192705736164953,23
new_york_0930,30,24,vah,0.0,2,6,opposite_opening_range,2.0,trail_1_5r,90,0.18986788335611363,1.677751644158025,7.05112695078316,36,3.7653973990603,11.182079534127842,20
new_york_0930,30,24,vah,0.0,2,6,opposite_opening_range,3.0,be_1r,60,0.1889396308335382,1.7565756277843194,6.9586691970970005,36,4.303861241254448,10.87953485399511,20
new_york_0930,30,24,vah,0.0,2,6,signal_candle,3.0,be_1r,60,0.188411704164188,1.5,7.860122998797436,36,1.5,3.8557282959381878,20
new_york_0930,30,24,vah,0.0,2,6,signal_candle,3.0,be_1r,0,0.188411704164188,1.5,7.860122998797436,36,1.5,3.8557282959381878,20
new_york_0930,30,24,vah,0.0,2,6,signal_candle,3.0,be_1r,90,0.188411704164188,1.5,7.860122998797436,36,1.5,3.8557282959381878,20
new_york_0930,30,48,vah,0.0,2,6,opposite_opening_range,2.0,none,0,0.18778423343465928,1.556425480811532,7.599062063759843,39,2.2508023982901095,10.311758764550927,23
new_york_0930,30,24,vah,0.0,2,6,opposite_opening_range,2.0,be_1r,90,0.1856528369526063,1.7321329066432811,6.875761228774202,36,3.8001361474360413,11.33040532338143,20
new_york_0930,60,24,vah,0.0,2,6,opposite_opening_range,3.0,trail_1_5r,0,0.18470355201328814,2.5383737292801967,9.690970968796497,37,1.8447805757923896,2.806565758227886,15
new_york_0930,30,48,vah,0.0,2,6,opposite_opening_range,1.5,none,0,0.18244489380505927,1.5737180567091487,7.411113223030519,39,2.007262365110667,8.223568297009498,23
new_york_0930,30,48,vah,0.0,2,6,opposite_opening_range,1.5,trail_1_5r,0,0.18244489380505927,1.5737180567091487,7.411113223030519,39,2.007262365110667,8.223568297009498,23
new_york_0930,60,24,vah,0.0,2,6,opposite_value_area,3.0,none,90,0.1823944587196863,1.681519084845248,6.973654038653776,37,2.2582275415867135,3.8227869357298827,15
new_york_0930,60,24,vah,0.0,2,6,opposite_value_area,1.5,trail_1_5r,90,0.1808705613356577,1.6759779499764633,6.956822496389692,37,2.1197576872109694,3.4098257223768025,15
new_york_0930,60,24,vah,0.0,2,6,opposite_value_area,1.5,none,90,0.1808705613356577,1.6759779499764633,6.956822496389692,37,2.1197576872109694,3.4098257223768025,15
new_york_0930,30,24,vah,0.0,2,6,opposite_value_area,3.0,be_1r,90,0.18079696269994264,1.4652271431269603,6.675422654073326,36,2.22659796911475,9.734455926946328,20
new_york_0930,30,48,vah,0.0,2,6,opposite_value_area,3.0,trail_1_5r,0,0.17996381155417335,1.5959993829820935,10.17619697245362,39,1.3534087045296794,4.194759427557715,23
new_york_0930,30,24,vah,0.0,2,6,opposite_opening_range,3.0,trail_1_5r,90,0.1782333447568353,1.6370551848713188,6.609130177766431,36,4.498766941848722,14.31232239072302,20
new_york_0930,60,48,vah,0.0,1,6,opposite_opening_range,2.0,none,0,0.1762696866728482,2.5857192444678074,12.861123934603146,41,1.9201883185542723,4.5263685640233975,25
new_york_0930,30,48,vah,0.0,2,6,opposite_opening_range,3.0,trail_1_5r,0,0.1750295319198391,1.5532620544031226,7.124192097410642,39,2.5902850528267787,13.266392004526883,23
new_york_0930,30,48,vah,0.0,2,6,opposite_opening_range,3.0,none,60,0.17395966584882327,1.594631875164109,7.058085918837409,39,4.041073205887713,11.098384390869942,23
new_york_0930,60,48,vah,0.0,2,6,opposite_opening_range,3.0,be_1r,90,0.17303266436949122,2.6243188826559836,6.048896228373413,34,2.652036261815594,2.6360882067693048,14
new_york_0930,60,48,vah,0.0,1,6,opposite_opening_range,3.0,none,0,0.17254969032348297,2.8445618536718666,15.084935007901269,41,1.9011512261999635,4.43106520385903,25
new_york_0930,30,24,vah,0.0,2,6,opposite_value_area,3.0,be_1r,0,0.1711816307773394,1.4341090696658576,6.33643587346413,36,1.860005497603438,8.030034889557601,20
new_york_0930,30,48,vah,0.0,2,6,opposite_opening_range,2.0,be_1r,0,0.1685922280187976,1.576662679558902,6.827820030900633,39,2.2508023982901095,10.311758764550927,23
new_york_0930,60,24,vah,0.0,1,6,opposite_opening_range,1.5,trail_1_5r,0,0.16804343646587888,2.097312122846096,10.93318566094612,46,1.878090458714585,4.313783949492578,25
new_york_0930,60,24,vah,0.0,1,6,opposite_opening_range,1.5,none,0,0.16804343646587888,2.097312122846096,10.93318566094612,46,1.878090458714585,4.313783949492578,25
new_york_0930,60,24,vah,0.0,1,6,opposite_opening_range,1.5,be_1r,0,0.16804343646587888,2.3414761587660724,12.053722889844632,46,1.878090458714585,4.313783949492578,25
new_york_0930,30,48,vah,0.0,1,3,opposite_opening_range,1.5,none,0,0.16762822864813146,1.534719174395829,5.184437760421612,30,1.432504894801008,2.9244481002184575,17
new_york_0930,30,48,vah,0.0,1,3,opposite_opening_range,1.5,trail_1_5r,0,0.16762822864813146,1.534719174395829,5.184437760421612,30,1.432504894801008,2.9244481002184575,17
new_york_0930,30,24,vah,0.0,2,6,opposite_opening_range,1.5,be_1r,0,0.16596773537980503,1.5665881362841227,6.179537364380039,36,2.478953677497373,9.375976352812954,20
new_york_0930,30,48,vah,0.0,1,3,opposite_opening_range,2.0,trail_1_5r,0,0.16527585884024878,1.527442164318144,5.107418260101304,30,1.4837704649897914,3.2805616594011155,17
new_york_0930,60,24,vah,0.0,1,6,opposite_value_area,1.5,be_1r,90,0.16504625631213204,1.7419633193929729,8.814078495253398,46,1.7356297688503006,4.282255344429298,25
new_york_0930,60,48,vah,0.0,2,6,opposite_value_area,1.5,be_1r,90,0.16492638861141046,1.722120307244439,5.885405267964572,34,4.191215325517852,6.19451209545181,14
