symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,setup_score,bpr_low,bpr_high,reason,pnl,balance
US30,H1,2026-04,2026-04-16 17:00:00,2026-04-17 12:00:00,BUY,48543.3,48480.8375,48918.075,48918.075,TP,5.9696,0.0304,19.0,100,48502.0,48503.2,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,39.33,171.09
US30,H1,2026-04,2026-04-22 12:00:00,2026-04-22 13:00:00,SELL,49465.5,49558.65714,48906.55714,49558.65714,SL,-1.0225,0.0225,21.0,100,49508.6,49541.1,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-8.75,162.34
US30,H1,2026-04,2026-04-23 12:00:00,2026-04-23 13:00:00,SELL,49270.2,49358.24286,48741.94286,49358.24286,SL,-1.0227,0.0227,20.0,100,49316.7,49331.3,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-8.3,154.04
US30,H1,2026-05,2026-05-06 12:00:00,2026-05-06 13:00:00,BUY,49756.7,49691.34821,50148.81071,49691.34821,SL,-1.0321,0.0321,21.0,100,49717.6,49747.3,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-7.95,146.09
US30,H1,2026-05,2026-05-19 13:00:00,2026-05-20 01:00:00,BUY,49572.6,49291.53571,51258.98571,49291.53571,SL,-1.0075,0.0075,21.0,100,49323.7,49335.5,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-7.36,138.73
US30,H1,2026-05,2026-05-28 06:00:00,2026-05-28 13:00:00,SELL,50701.1,50736.87857,50486.42857,50486.42857,TP,5.9413,0.0587,21.0,98,50701.5,50715.1,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,41.21,179.94
US30,H1,2026-06,2026-06-02 13:00:00,2026-06-02 15:00:00,SELL,50972.7,51252.32321,49294.96071,51252.32321,SL,-1.0075,0.0075,21.0,100,51228.4,51228.5,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-9.06,170.88
US30,H1,2026-06,2026-06-16 23:00:00,2026-06-17 13:00:00,SELL,52192.4,52249.78393,51848.09643,52249.78393,SL,-1.0366,0.0366,21.0,100,52206.6,52225.3,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-8.86,162.02
US30,H1,2026-06,2026-06-17 18:00:00,2026-06-17 19:00:00,BUY,52007.1,51923.17857,52510.62857,51923.17857,SL,-1.0238,0.0238,20.0,100,51955.6,51980.4,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-8.29,153.73
US30,H1,2026-06,2026-06-18 00:00:00,2026-06-18 08:00:00,SELL,51887.7,51959.575,51456.45,51959.575,SL,-1.0292,0.0292,21.0,96,51872.5,51915.2,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-7.91,145.82
US30,H1,2026-06,2026-06-23 09:00:00,2026-06-23 10:00:00,SELL,51579.2,51623.78393,51311.69643,51623.78393,SL,-1.0471,0.0471,21.0,100,51575.5,51596.1,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-7.63,138.18
US30,H1,2026-06,2026-06-24 20:00:00,2026-06-25 13:00:00,SELL,52113.3,52215.58214,51499.60714,52215.58214,SL,-1.0205,0.0205,21.0,97,52135.7,52169.2,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.,-7.05,131.13
