rule,family,return_pct,pf,win_rate,dd_pct,trades,sharpe,recovery,final_equity
ratio-convergence-20d-0.75,convergence,54.1805,1.1511,38.4466,21.6013,515,1.0778,2.5082,15418.05
ratio-continuation-20d-0.75,continuation,85.6822,1.1958,40.568,19.6413,493,1.387,4.3623,18568.22
ratio-convergence-20d-1.00,convergence,35.6273,1.1315,38.3863,25.0632,409,0.966,1.4215,13562.73
ratio-continuation-20d-1.00,continuation,18.79,1.0918,39.1304,14.6161,345,0.6603,1.2856,11879.0
ratio-convergence-20d-1.50,convergence,22.8126,1.1625,39.1705,13.3767,217,1.1152,1.7054,12281.26
ratio-continuation-20d-1.50,continuation,-24.6623,0.7472,32.7684,27.4971,177,-2.0897,-0.8969,7533.77
corr-peer-40d-0.00,corr,144.5872,1.1496,37.1996,25.056,957,1.1168,5.7706,24458.72
corr-peer-40d-0.25,corr,146.958,1.1523,37.2385,24.8673,956,1.1304,5.9097,24695.8
corr-peer-40d-0.50,corr,128.8528,1.1427,37.1865,29.8771,917,1.054,4.3128,22885.28
ratio-convergence-40d-0.25,convergence,206.1274,1.2646,40.137,22.6457,730,1.7309,9.1023,30612.74
ratio-continuation-40d-0.25,continuation,331.4784,1.3549,43.5601,17.7171,691,2.0878,18.7095,43147.84
ratio-convergence-40d-0.50,convergence,97.2762,1.1743,38.8889,21.058,630,1.2482,4.6194,19727.62
ratio-continuation-40d-0.50,continuation,311.7021,1.4282,44.905,17.7171,579,2.4788,17.5933,41170.21
ratio-convergence-40d-0.75,convergence,66.9188,1.1583,38.1404,19.8856,527,1.1963,3.3652,16691.88
ratio-continuation-40d-0.75,continuation,195.7227,1.4495,44.2765,13.4592,463,2.5615,14.5419,29572.27
ratio-convergence-40d-1.00,convergence,80.2936,1.2319,39.3665,21.716,442,1.7055,3.6974,18029.36
ratio-continuation-40d-1.00,continuation,94.1854,1.3267,43.1635,14.6352,373,2.1392,6.4356,19418.54
ratio-convergence-40d-1.50,convergence,5.5431,1.0361,35.1111,23.7979,225,0.2649,0.2329,10554.31
ratio-continuation-40d-1.50,continuation,11.9223,1.1113,38.6139,20.2706,202,0.7953,0.5882,11192.23
corr-peer-60d-0.00,corr,93.5533,1.1197,36.4097,29.8985,986,0.8916,3.129,19355.33
corr-peer-60d-0.25,corr,93.5533,1.1197,36.4097,29.8985,986,0.8916,3.129,19355.33
corr-peer-60d-0.50,corr,104.1399,1.1351,36.5404,29.8985,977,0.9943,3.4831,20413.99
ratio-convergence-60d-0.25,convergence,96.4415,1.159,38.4181,22.104,708,1.1751,4.3631,19644.15
ratio-continuation-60d-0.25,continuation,652.0411,1.4993,45.1169,17.7171,727,2.762,36.803,75204.11
ratio-convergence-60d-0.50,convergence,88.0312,1.1763,38.2353,24.2067,612,1.2903,3.6366,18803.12
ratio-continuation-60d-0.50,continuation,280.0121,1.3879,44.6309,13.4592,596,2.3546,20.8044,38001.21
ratio-convergence-60d-0.75,convergence,46.6026,1.1297,38.0228,19.0849,526,0.9851,2.4419,14660.26
ratio-continuation-60d-0.75,continuation,205.1965,1.4016,43.6508,13.4592,504,2.3625,15.2458,30519.65
ratio-convergence-60d-1.00,convergence,2.4335,1.0095,35.9551,23.4866,445,0.0781,0.1036,10243.35
ratio-continuation-60d-1.00,continuation,162.5659,1.4342,43.8849,12.5392,417,2.5481,12.9646,26256.59
ratio-convergence-60d-1.50,convergence,-1.1106,0.9916,35.8333,23.8391,240,-0.0668,-0.0466,9888.94
ratio-continuation-60d-1.50,continuation,15.2574,1.1263,40.1747,18.8489,229,0.9412,0.8095,11525.74
