date,balance
2025-11-16,16281.32
2025-11-17,16187.50
2025-11-18,16443.64
2025-11-19,16607.49
2025-11-20,16296.26
2025-11-21,16184.54
2025-11-23,16298.33
2025-11-24,16778.58
2025-11-25,17030.75
2025-11-26,16864.95
2025-11-27,16873.99
2025-11-28,17215.35
2025-11-30,17243.13
2025-12-01,17497.34
2025-12-02,17825.94
2025-12-03,17721.49
2025-12-04,17601.13
2025-12-05,17369.88
2025-12-07,17380.29
2025-12-08,17085.29
2025-12-09,17101.62
2025-12-10,16896.84
2025-12-11,16720.98
2025-12-12,17146.80
2025-12-14,17147.90
2025-12-15,17108.50
2025-12-16,16832.22
2025-12-17,16701.64
2025-12-18,16796.83
2025-12-19,16617.60
2025-12-21,16692.32
2025-12-22,17797.47
2025-12-23,18154.67
2025-12-24,18132.10
2025-12-25,18116.71
2025-12-26,18624.61
2025-12-28,18610.57
2025-12-29,18772.00
2025-12-30,18561.59
2025-12-31,18480.30
2026-01-01,18435.22
2026-01-02,18945.61
2026-01-04,18984.12
2026-01-05,19703.74
2026-01-06,19872.82
2026-01-07,19329.16
2026-01-08,19606.76
2026-01-09,19855.47
2026-01-11,19891.20
2026-01-12,20067.32
2026-01-13,19834.66
2026-01-14,19578.98
2026-01-15,19444.15
2026-01-16,19320.18
2026-01-18,19215.12
2026-01-19,19196.34
2026-01-20,19746.46
2026-01-21,20114.87
2026-01-22,20560.22
2026-01-23,20856.87
2026-01-25,20876.54
2026-01-26,21042.91
2026-01-27,21183.87
2026-01-28,21794.04
2026-01-29,21592.03
2026-01-30,21348.40
2026-02-01,21375.90
2026-02-02,20945.17
2026-02-03,21183.57
2026-02-04,20838.98
2026-02-05,20582.52
2026-02-06,20787.50
2026-02-08,21351.32
2026-02-09,21673.49
2026-02-10,21585.01
2026-02-11,21721.88
2026-02-12,21168.19
2026-02-13,20944.29
2026-02-15,20951.67
2026-02-16,20648.37
2026-02-17,20414.19
2026-02-18,20551.70
2026-02-19,20190.54
2026-02-20,20917.69
2026-02-22,21611.39
2026-02-23,21917.77
2026-02-24,21699.38
2026-02-25,21994.92
2026-02-26,21729.76
2026-02-27,21638.15
2026-03-01,23204.04
2026-03-02,22975.24
2026-03-03,22511.75
2026-03-04,22583.66
2026-03-05,22294.56
2026-03-06,21946.58
2026-03-08,21771.52
2026-03-09,21906.39
2026-03-10,22247.73
2026-03-11,21907.82
2026-03-12,22021.02
2026-03-13,21934.65
2026-03-15,21995.46
2026-03-16,22049.77
2026-03-17,22168.02
2026-03-18,22134.48
2026-03-19,22509.90
2026-03-20,22429.40
2026-03-22,22541.05
2026-03-23,23168.03
2026-03-24,22950.19
2026-03-25,22864.55
2026-03-26,22668.00
2026-03-27,22391.48
2026-03-29,22271.92
2026-03-30,22659.98
2026-03-31,23082.40
2026-04-01,23720.36
2026-04-02,23542.00
2026-04-03,23541.85
2026-04-05,23341.77
2026-04-06,23720.10
2026-04-07,23172.44
2026-04-08,23165.47
2026-04-09,23105.99
2026-04-10,23391.41
2026-04-12,23193.97
2026-04-13,23247.07
2026-04-14,23169.09
2026-04-15,23224.56
2026-04-16,23250.49
2026-04-17,23020.08
2026-04-19,22836.34
2026-04-20,22838.41
2026-04-21,23733.98
2026-04-22,24507.25
2026-04-23,24557.86
2026-04-24,24448.55
2026-04-26,24404.25
2026-04-27,24269.11
2026-04-28,25045.16
2026-04-29,24531.92
2026-04-30,24487.47
2026-05-01,24316.21
2026-05-03,24261.38
2026-05-04,24074.06
2026-05-05,24051.07
2026-05-06,24393.04
2026-05-07,24086.32
2026-05-08,23989.20
2026-05-10,23941.00
2026-05-11,23831.75
2026-05-12,24242.43
2026-05-13,23997.62
2026-05-14,23622.69
2026-05-15,23439.08
2026-05-17,23331.87
2026-05-18,23523.05
2026-05-19,23431.52
2026-05-20,23686.48
2026-05-21,23918.00
2026-05-22,23811.12
2026-05-24,23915.22
2026-05-25,23777.74
2026-05-26,24172.54
2026-05-27,25072.23
2026-05-28,24920.79
2026-05-29,25688.52
2026-05-31,25678.74
2026-06-01,25558.80
2026-06-02,26068.57
2026-06-03,25973.45
2026-06-04,25844.55
2026-06-05,26147.60
2026-06-07,26297.99
2026-06-08,27049.60
2026-06-09,26394.39
2026-06-10,27151.69
2026-06-11,27317.23
2026-06-12,27125.72
2026-06-14,27276.65
2026-06-15,27370.88
2026-06-16,27135.74
2026-06-17,26997.11
2026-06-18,27294.98
2026-06-19,27789.76
2026-06-21,27734.45
2026-06-22,27597.20
2026-06-23,27300.17
2026-06-24,28231.45
2026-06-25,28446.78
2026-06-26,28349.66
2026-06-28,28304.83
2026-06-29,28226.54
2026-06-30,28809.44
2026-07-01,28256.66
2026-07-02,28720.63
2026-07-03,28825.77
2026-07-05,28803.51
2026-07-06,28721.46
2026-07-07,28176.04
2026-07-08,27619.86
2026-07-09,27286.04
2026-07-10,27068.29
2026-07-12,27074.88
2026-07-13,27501.07
2026-07-14,27194.89
2026-07-15,26993.55
2026-07-16,27254.26
2026-07-17,27006.30
2026-07-19,26884.16
2026-07-20,26758.62
2026-07-21,27129.69
2026-07-22,26981.43
2026-07-23,26885.12
2026-07-24,27048.50
2026-07-26,27166.88
2026-07-27,27076.54
2026-07-28,27547.46
2026-07-29,26700.37
2026-07-30,26864.22
2026-07-31,26440.14
2026-08-02,26111.91
2026-08-03,26729.93
2026-08-04,26729.93
