server_time,event,detail,bias,zone_dir,zone_origin,zone_created,zone_low,zone_high,touch_time,held_at,hold_extreme,m5_high_time,m5_high,m5_low_time,m5_low,entry,stop,target,lots,risk_cash,equity
2026.06.15 18:00:00,zone,H1 low-high-break,-1,-1,2026.06.15 12:00:00,2026.06.15 18:00:00,4324.739,4335.391,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.15 18:05:00,touch,first completed M5 touch,-1,-1,2026.06.15 12:00:00,2026.06.15 18:00:00,4324.739,4335.391,2026.06.15 18:00:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.16 00:00:00,bias,last fourteen completed daily candles,-1,-1,2026.06.15 12:00:00,2026.06.15 18:00:00,4324.739,4335.391,2026.06.15 18:00:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.16 04:40:01,held,at least two rejection wicks in three closed M5 bars,-1,-1,2026.06.15 12:00:00,2026.06.15 18:00:00,4324.739,4335.391,2026.06.15 18:00:00,2026.06.16 04:40:00,4325.404,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.16 08:10:00,invalidate,M5 close through far edge,-1,-1,2026.06.15 12:00:00,2026.06.15 18:00:00,4324.739,4335.391,2026.06.15 18:00:00,2026.06.16 04:40:00,4325.404,2026.06.16 07:30:00,4332.777,2026.06.16 07:25:00,4324.128,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.17 00:00:00,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.17 05:00:00,zone,H1 low-high-break,-1,-1,2026.06.17 00:00:00,2026.06.17 05:00:00,4328.469,4331.362,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.17 05:35:00,touch,first completed M5 touch,-1,-1,2026.06.17 00:00:00,2026.06.17 05:00:00,4328.469,4331.362,2026.06.17 05:30:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.17 05:50:00,invalidate,M5 close through far edge,-1,-1,2026.06.17 00:00:00,2026.06.17 05:00:00,4328.469,4331.362,2026.06.17 05:30:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.18 00:00:00,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.18 16:00:00,zone,H1 low-high-break,-1,-1,2026.06.18 11:00:00,2026.06.18 16:00:00,4239.804,4242.163,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.19 00:00:00,invalidate,daily bias changed,-1,-1,2026.06.18 11:00:00,2026.06.18 16:00:00,4239.804,4242.163,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.19 00:00:00,bias,last fourteen completed daily candles,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.21 22:01:30,bias,last fourteen completed daily candles,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.22 00:00:00,bias,last fourteen completed daily candles,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.23 00:00:00,bias,last fourteen completed daily candles,1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.23 16:00:00,zone,H1 high-low-break,1,1,2026.06.23 10:00:00,2026.06.23 16:00:00,4122.257,4133.302,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.23 16:20:00,touch,first completed M5 touch,1,1,2026.06.23 10:00:00,2026.06.23 16:00:00,4122.257,4133.302,2026.06.23 16:15:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.23 18:30:00,invalidate,M5 close through far edge,1,1,2026.06.23 10:00:00,2026.06.23 16:00:00,4122.257,4133.302,2026.06.23 16:15:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.24 00:00:00,bias,last fourteen completed daily candles,1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.25 00:00:00,bias,last fourteen completed daily candles,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.26 00:00:00,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.28 22:01:36,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.29 00:00:00,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.29 10:00:00,zone,H1 low-high-break,-1,-1,2026.06.29 05:00:00,2026.06.29 10:00:00,4039.309,4052.421,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.29 10:15:00,touch,first completed M5 touch,-1,-1,2026.06.29 05:00:00,2026.06.29 10:00:00,4039.309,4052.421,2026.06.29 10:10:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
