time,closed_bar,c1,c2,e20_1,e20_2,e50,e200,adx,plus,minus,e9_1,e9_2,e21_1,e21_2,rsi,prior20_high,prior20_low,tr,atr1,atr2,momentum,change,breakout
2022.03.25 10:00:00,2022.03.25 09:00:00,1956.082,1955.725,1956.4114234514961,1956.4460996042853,1948.8715800364425,1942.3897359471475,23.06467779249214,16.65686847400029,20.405083837568707,1957.4068766356343,1957.7380957945427,1947.8713666247995,1947.5672690923845,52.62978655553906,1966.189,1915.612,4.854000000000042,3.8111428571428356,3.7718571428571246,0,0,0
2022.03.25 11:00:00,2022.03.25 10:00:00,1950.458,1956.082,1955.8444307418297,1956.4114234514961,1948.9337925840332,1942.4700171815043,22.847966819380837,15.070500047905025,22.98113543707434,1956.0171013085076,1957.4068766356343,1947.9637463881998,1947.8713666247995,43.67610114997133,1966.189,1916.818,8.894999999999982,4.225714285714254,3.8111428571428356,0,0,0
2022.03.25 12:00:00,2022.03.25 11:00:00,1953.233,1950.458,1955.5957230521315,1955.8444307418297,1949.102388953287,1942.5771115379073,22.651894986565846,13.635214329056927,20.792455871638687,1955.4602810468061,1956.0171013085076,1948.1519340171926,1947.9637463881998,48.34569495468009,1966.189,1916.818,4.245000000000118,4.091928571428553,4.225714285714254,0,0,0
2022.03.25 13:00:00,2022.03.25 12:00:00,1956.319,1953.233,1955.664606570976,1955.5957230521315,1949.38539330806,1942.7138467464854,21.005475844803946,16.896623126626253,18.81222197910167,1955.632024837445,1955.4602810468061,1948.4436149451499,1948.1519340171926,53.01119709371471,1966.189,1916.818,5.967000000000098,4.400999999999981,4.091928571428553,0,0,0
2022.03.25 14:00:00,2022.03.25 13:00:00,1948.808,1956.319,1955.0115964213592,1955.664606570976,1949.3627504332342,1942.7744850873164,20.83719078165383,15.28742092409042,22.570760625036183,1954.267219869956,1955.632024837445,1948.456628697109,1948.4436149451499,42.863527797785096,1966.189,1916.818,13.579999999999927,5.209571428571405,4.400999999999981,0,0,0
2022.03.25 15:00:00,2022.03.25 14:00:00,1952.862,1948.808,1954.8068729526583,1955.0115964213592,1949.4999759064408,1942.8748583700296,20.684932867375153,13.831476074177045,20.42116437503274,1953.986175895965,1954.267219869956,1948.613963386498,1948.456628697109,48.584423964847836,1966.189,1916.818,5.530999999999949,5.235428571428538,5.209571428571405,0,0,0
2022.03.25 16:00:00,2022.03.25 15:00:00,1957.177,1952.862,1955.0325993381193,1954.8068729526583,1949.8010356748157,1943.0171682369946,19.184248761645197,20.391604218107076,18.476291577410574,1954.6243407167722,1953.986175895965,1948.9197861226946,1948.613963386498,53.87790551385179,1966.189,1916.818,9.562000000000126,5.6553571428571185,5.235428571428538,1,0,0
2022.03.25 17:00:00,2022.03.25 16:00:00,1956.067,1957.177,1955.1311136868699,1955.0325993381193,1950.0467597659995,1943.1470173092634,17.82648695169905,18.44954667352545,16.716644760514328,1954.9128725734179,1954.6243407167722,1949.17504376117,1948.9197861226946,52.383835819828406,1966.189,1917.323,4.663999999999987,5.700571428571407,5.6553571428571185,0,0,0
2022.03.25 18:00:00,2022.03.25 17:00:00,1953.443,1956.067,1954.970340954787,1955.1311136868699,1950.179945657529,1943.249464898226,17.16426722172658,16.69244699033255,20.76529457486146,1954.6188980587344,1954.9128725734179,1949.3274707696996,1949.17504376117,48.92956010877255,1966.189,1920.386,5.358999999999924,5.885357142857121,5.700571428571407,0,0,0
2022.03.25 19:00:00,2022.03.25 18:00:00,1953.21,1953.443,1954.8026894352834,1954.970340954787,1950.298771318018,1943.348574700234,16.56511603746577,15.102690134110402,18.787647472493703,1954.3371184469877,1954.6188980587344,1949.4661325279246,1949.3274707696996,48.6229560958257,1966.189,1924.956,2.7430000000001655,5.87414285714284,5.885357142857121,0,0,0
