entry_time_utc,exit_time_utc,direction,poc,vah,val,entry,initial_stop,target,exit_reason,r_multiple,balance,entry_spread_price,embedded_spread_cost_r,embedded_slippage_cost_r,commission_cost_r,swap_cashflow_r,r_after_spread_slippage_before_commission_swap,r_before_all_costs,holding_calendar_days,modeled_quantity,embedded_spread_cost_usd,embedded_slippage_cost_usd,commission_usd,swap_cashflow_usd,balance_net_costs,contract_size
2024-02-21 20:00:00+00:00,2024-02-21 20:02:00+00:00,long,169.881875,171.18875,167.6525,167.9725,167.5,171.18875,stop,-1.0264550264550023,9614.800192984076,0.05,0.10582010582010659,0.052910052910053296,0.0,0.0,-1.0264550264550023,-0.8677248677248424,0.001388888888888889,205.59820791156082,10.279910395578042,5.139955197789021,0.0,0.0,9614.800192984076,1.0
2024-05-29 20:00:00+00:00,2024-05-30 16:30:00+00:00,long,184.35265625,186.6825,181.896875,183.1425,181.57,186.6825,stop,-1.007949125596177,9517.887898511071,0.05,0.03179650238473729,0.015898251192368644,0.0,0.0,-1.007949125596177,-0.960254372019071,0.8541666666666666,61.14340345299814,3.057170172649907,1.5285850863249535,0.0,0.0,9517.887898511073,1.0
2024-06-18 20:00:00+00:00,2024-06-21 16:30:00+00:00,long,183.006328125,187.1934375,182.16890625,182.4325,181.39,187.1934375,target,4.554856115107856,9951.413997485515,0.05,0.04796163069544281,0.023980815347721406,0.0,0.0,4.554856115107856,4.62679856115102,2.8541666666666665,91.29868487780246,4.564934243890123,2.2824671219450616,0.0,0.0,9951.413997485517,1.0
2024-08-09 16:30:00+00:00,2024-09-19 17:27:00+00:00,long,182.341875,190.56,164.9925,166.52249999999998,164.45,190.56,target,11.592279855247352,11105.009757628295,0.09,0.04342581423401708,0.012062726176115856,0.0,0.0,11.592279855247352,11.647768395657483,41.03958333333333,48.016472846733706,4.321482556206034,1.2004118211683428,0.0,0.0,11105.009757628297,1.0
2024-10-04 20:00:00+00:00,2024-10-07 16:30:00+00:00,long,192.889140625,194.350625,185.13203125,185.6125,183.58,194.350625,stop,-1.0061500615006094,10993.276695122271,0.05,0.02460024600246004,0.01230012300123002,0.0,0.0,-1.0061500615006094,-0.9692496924969193,2.8541666666666665,54.63719437947504,2.731859718973752,1.365929859486876,0.0,0.0,10993.276695122271,1.0
2024-12-23 20:00:00+00:00,2024-12-27 16:30:00+00:00,long,229.937890625,232.24953125,225.4246875,225.9725,223.88,232.24953125,stop,-0.0059737156511295,10992.619988031762,0.06,0.02867383512544801,0.011947431302270006,0.0,0.0,-0.0059737156511295,0.034647550776588515,3.8541666666666665,52.53656724072767,3.15219403444366,1.3134141810181919,0.0,0.0,10992.619988031762,1.0
2025-04-22 20:00:00+00:00,2025-04-23 16:30:00+00:00,long,173.8828125,182.311875,170.92125,175.3225,169.32,182.311875,target,1.1623281965847578,11120.390309696066,0.05,0.008329862557267809,0.004164931278633904,0.0,0.0,1.1623281965847578,1.1748229904206595,0.8541666666666666,18.313402728915896,0.9156701364457949,0.45783506822289743,0.0,0.0,11120.390309696066,1.0
2025-08-06 20:00:00+00:00,2025-08-12 16:48:00+00:00,long,231.998046875,236.51,215.71578125,219.8625,213.72,236.51,stop,-0.0020350020350001,11120.164009526963,0.05,0.008140008140008124,0.004070004070004062,0.0,0.0,-0.0020350020350001,0.010175010175012086,5.866666666666666,18.104013528198685,0.9052006764099344,0.4526003382049672,0.0,0.0,11120.164009526965,1.0
2025-09-04 16:30:00+00:00,2025-09-04 16:31:00+00:00,long,228.755,232.65,224.48,225.9225,224.32,232.65,target,4.190327613104473,11586.135312640678,0.05,0.0312012480499216,0.0156006240249608,0.0,0.0,4.190327613104473,4.237129485179355,0.0006944444444444445,69.39259912341231,3.469629956170616,1.734814978085308,0.0,0.0,11586.13531264068,1.0
2026-05-21 16:30:00+00:00,2026-05-21 16:31:00+00:00,long,272.637421875,274.2271875,263.62875,263.0025,262.29,274.2271875,stop,-1.017543859649107,11468.241304196266,0.12,0.16842105263158433,0.035087719298246736,0.0,0.0,-1.017543859649107,-0.814035087719276,0.0006944444444444445,162.61242544057615,19.513491052869135,4.065310636014404,0.0,0.0,11468.241304196268,1.0
2026-06-01 20:00:00+00:00,2026-06-01 20:09:00+00:00,long,263.533203125,270.39218750000003,261.55171875,262.1225,261.46,270.39218750000003,stop,-1.018867924528284,11351.395072040306,0.06,0.09056603773584594,0.03773584905660248,0.0,0.0,-1.018867924528284,-0.8905660377358355,0.00625,173.10552911993773,10.386331747196264,4.3276382279984436,0.0,0.0,11351.395072040308,1.0
2026-06-24 20:00:00+00:00,2026-06-25 16:30:00+00:00,long,246.21671875,247.511875,236.8628125,239.7125,232.86,247.511875,stop,-1.0018241517694255,11237.674054645842,0.06,0.008755928493250648,0.003648303538854437,0.0,0.0,-1.0018241517694255,-0.9894199197373204,0.8541666666666666,16.56533392490379,0.9939200354942274,0.4141333481225948,0.0,0.0,11237.674054645844,1.0
2026-06-29 20:00:00+00:00,2026-07-10 16:30:00+00:00,long,246.3215625,249.073125,234.398125,241.3725,233.81,249.073125,target,1.0166115702479357,11351.917549312122,0.06,0.007933884297520661,0.0033057851239669425,0.0,0.0,1.0166115702479357,1.0278512396694233,10.854166666666666,14.859734287135002,0.8915840572281001,0.37149335717837506,0.0,0.0,11351.917549312124,1.0
