phase,config,return_pct,profit_factor,win_rate,max_dd_pct,trades,sharpe,recovery,expectancy_r,final_balance,profitable_assets,max_standalone_mtm_dd_pct,score
shared-signal,"{""direction"": ""long-only"", ""exit_mode"": 0, ""horizon"": ""3-6-12m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""H4"", ""trend"": ""ema100""}",306.1902344985836,4.406264475194096,21.69811320754717,20.735938333575675,212,0.6474507095390197,14.766162474682892,0.7807665160189319,40619.02344985836,6,20.878609369296964,46.75120980501087
shared-signal,"{""direction"": ""both"", ""exit_mode"": 0, ""horizon"": ""3-6-12m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""H4"", ""trend"": ""ema200""}",78.0567394882677,1.9344241861399518,17.110266159695815,50.7735757234212,263,0.2764562696201487,1.53734966222324,0.43134711606086173,17805.67394882677,4,33.47854021227982,13.038236191346357
shared-signal,"{""direction"": ""growth-long-only"", ""exit_mode"": 0, ""horizon"": ""3-6-12m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""H4"", ""trend"": ""ema200""}",297.7059494076379,3.6137065539266904,17.82608695652174,30.05042059647761,230,0.46598399437566107,9.906881284800845,0.9279318072475365,39770.59494076379,4,33.47854021227982,41.40717911919342
shared-signal,"{""direction"": ""long-only"", ""exit_mode"": 0, ""horizon"": ""3-6-12m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""H4"", ""trend"": ""ema200""}",455.12614964455634,5.936303399260505,21.323529411764707,18.793996959555738,136,0.5881511413022574,24.21657035616094,1.8176568039899819,55512.61496445563,6,21.216519656192368,49.160925435764916
shared-signal,"{""direction"": ""both"", ""exit_mode"": 0, ""horizon"": ""1-3-12m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""D1"", ""trend"": ""none""}",1.7922647716064555,1.0233063195781562,27.350427350427353,15.633182506425936,234,0.077722360083755,0.11464490809019563,0.017522460356693817,10179.226477160646,4,17.206398369628563,1.8412316254406527
shared-signal,"{""direction"": ""growth-long-only"", ""exit_mode"": 0, ""horizon"": ""1-3-12m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""D1"", ""trend"": ""none""}",5.580799639748557,1.0884810744623747,28.440366972477065,18.000457248860325,218,0.11895493059735571,0.31003654866055685,0.035583472869306146,10558.079963974857,4,14.315019134255158,6.441745315277979
shared-signal,"{""direction"": ""long-only"", ""exit_mode"": 0, ""horizon"": ""1-3-12m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""D1"", ""trend"": ""none""}",52.296960957420445,1.9996363997837852,32.432432432432435,7.384655804483565,148,0.8389586897795781,7.081841367023301,0.3009307431079713,15229.696095742045,5,12.768217347205546,38.77329368773859
shared-signal,"{""direction"": ""both"", ""exit_mode"": 0, ""horizon"": ""1-3-12m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""D1"", ""trend"": ""ema100""}",3.9298902805859903,1.0622429935121225,20.851063829787233,30.773773445046093,235,0.12012576161523268,0.12770258049776528,0.031995857233477865,10392.989028058599,3,13.821189783923515,-497.0
shared-signal,"{""direction"": ""growth-long-only"", ""exit_mode"": 0, ""horizon"": ""1-3-12m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""D1"", ""trend"": ""ema100""}",39.38513569892086,1.6998509311364538,25.13089005235602,21.592351946277578,191,0.5087702133739113,1.8240317588798232,0.1946684785143566,13938.513569892086,5,13.688306917100924,20.989154451134517
shared-signal,"{""direction"": ""long-only"", ""exit_mode"": 0, ""horizon"": ""1-3-12m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""D1"", ""trend"": ""ema100""}",31.44595165968791,1.6717786181240009,27.95031055900621,17.217666376333284,161,0.604522124335769,1.8263771043276955,0.18346270032235334,13144.59516596879,3,10.36732221829989,-497.0
shared-signal,"{""direction"": ""both"", ""exit_mode"": 0, ""horizon"": ""1-3-12m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""D1"", ""trend"": ""ema200""}",14.078116017095299,1.2423583517164172,23.4375,23.731238140640997,192,0.2127651409733785,0.5932314164841564,0.08774753501924104,11407.81160170953,4,13.696104634406247,10.282587762314547
