branch,phase,variant,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,history_quality,selection_score
london-safe,london-safe-dynamic-target,target-atr-2.5x,19.8339,1.43,58.49,5.15,106,10.87,3.56,98%,36.96581666407724
london-safe,london-safe-dynamic-target,target-atr-3x,19.3207,1.39,53.77,7.8,106,8.86,2.34,98%,30.312656207139
london-safe,london-safe-dynamic-target,target-atr-4x,27.769499999999997,1.49,48.11,7.01,106,9.99,3.75,98%,40.53084179936051
london-safe,london-safe-dynamic-target,target-fixed-600,10.6446,1.24,58.49,6.49,106,6.47,1.55,98%,21.432570694254185
london-safe,london-safe-dynamic-target,target-fixed-800,18.1684,1.37,54.72,6.91,106,8.45,2.5,98%,30.2009610976005
london-safe,london-safe-dynamic-target,target-fixed-1000,35.5542,1.69,54.72,6.0,106,13.34,5.45,98%,54.907027934024725
london-safe,london-safe-dynamic-target,target-fixed-1250,38.1168,1.68,49.06,7.75,106,11.65,4.51,98%,52.855406901227504
london-safe,london-safe-dynamic-target,target-fixed-1500,51.9884,1.87,48.11,8.36,106,13.89,5.55,98%,68.59217646299741
london-safe,london-safe-dynamic-joint,atr10-sl2-r2.4,28.814600000000002,1.45,39.62,8.67,106,7.42,3.19,98%,35.91795334648725
london-safe,london-safe-dynamic-joint,atr10-sl2-r3,46.0819,1.67,38.68,7.35,106,9.56,5.07,98%,58.32735439642995
london-safe,london-safe-dynamic-joint,atr10-sl2-r3.6,48.3983,1.69,38.68,7.7,106,8.6,4.05,98%,59.62632793402472
london-safe,london-safe-dynamic-joint,atr10-sl2.5-r2.4,53.562200000000004,1.92,46.23,6.35,106,11.32,6.5,98%,72.06567779059536
london-safe,london-safe-dynamic-joint,atr10-sl2.5-r3,55.785,1.95,46.23,7.7,106,10.06,5.51,98%,71.91554058863483
london-safe,london-safe-dynamic-joint,atr10-sl2.5-r3.6,61.5768,2.03,46.23,7.85,106,10.22,5.81,98%,78.28443689580543
london-safe,london-safe-dynamic-joint,atr10-sl3-r2.4,39.9884,1.77,48.11,7.68,106,8.58,4.89,98%,54.29679319878606
london-safe,london-safe-dynamic-joint,atr10-sl3-r3,44.488299999999995,1.85,48.11,7.71,106,8.71,5.4,98%,59.65128458635349
london-safe,london-safe-dynamic-joint,atr10-sl3-r3.6,46.8584,1.88,48.11,7.68,106,8.76,5.68,98%,62.419676652627864
london-safe,london-safe-dynamic-joint,atr14-sl2-r2.4,26.659399999999998,1.4,37.74,12.03,106,7.97,2.15,98%,28.310783549318195
london-safe,london-safe-dynamic-joint,atr14-sl2-r3,37.7117,1.53,35.85,8.9,106,9.09,4.04,98%,45.45771603106517
london-safe,london-safe-dynamic-joint,atr14-sl2-r3.6,55.317099999999996,1.75,35.85,10.31,106,10.64,5.06,98%,64.22233681903134
london-safe,london-safe-dynamic-joint,atr14-sl2.5-r2.4,45.4592,1.72,43.4,7.3,106,10.54,4.77,98%,59.53756436238043
london-safe,london-safe-dynamic-joint,atr14-sl2.5-r3,65.6271,1.99,43.4,7.31,106,12.13,6.43,98%,83.09661958104603
london-safe,london-safe-dynamic-joint,atr14-sl2.5-r3.6,61.653999999999996,1.92,43.4,8.32,106,10.04,5.26,98%,76.02787779059534
london-safe,london-safe-dynamic-joint,atr14-sl3-r2.4,51.2308,1.93,48.11,7.74,106,10.71,6.16,98%,68.05580004375192
london-safe,london-safe-dynamic-joint,atr14-sl3-r3,52.5929,1.93,48.11,7.71,106,9.55,6.27,98%,69.03140004375192
london-safe,london-safe-dynamic-joint,atr14-sl3-r3.6,55.9497,1.97,48.11,7.71,106,9.61,6.67,98%,72.85990314124845
london-safe,london-safe-dynamic-joint,atr20-sl2-r2.4,24.282500000000002,1.36,36.79,14.44,106,7.68,1.63,98%,21.859070496219417
london-safe,london-safe-dynamic-joint,atr20-sl2-r3,37.1011,1.51,34.91,11.39,106,9.46,3.11,98%,41.028444762402486
london-safe,london-safe-dynamic-joint,atr20-sl2-r3.6,55.9944,1.73,34.91,11.34,106,11.68,4.63,98%,63.446921127645304
london-safe,london-safe-dynamic-joint,atr20-sl2.5-r2.4,47.28,1.71,43.4,5.25,106,11.47,6.08,98%,64.76640055771853
london-safe,london-safe-dynamic-joint,atr20-sl2.5-r3,61.634100000000004,1.87,41.51,7.8,106,11.52,5.73,98%,76.62887646299744
london-safe,london-safe-dynamic-joint,atr20-sl2.5-r3.6,65.6507,1.9,41.51,7.3,106,10.52,5.17,98%,80.93820829258593
london-safe,london-safe-dynamic-joint,atr20-sl3-r2.4,42.721199999999996,1.69,43.4,7.33,106,9.89,4.55,98%,56.15962793402474
london-safe,london-safe-dynamic-joint,atr20-sl3-r3,49.218500000000006,1.77,43.4,8.07,106,9.24,4.49,98%,62.10769319878607
london-safe,london-safe-dynamic-joint,atr20-sl3-r3.6,53.9762,1.83,43.4,8.08,106,9.27,4.91,98%,67.51143950279994
