month,start_balance,end_balance,return_pct,trades,wins,losses,breakeven,net_profit,net_win_rate,net_pf,average_win,average_loss,largest_win,largest_loss,max_loss_streak,commission,swap,fee,longs,shorts
2023.09,11639.629999999997,11581.019999999997,-0.5035383427136431,6,1,5,0,-58.61,16.666666666666668,0.6419888827805265,105.1,-32.742000000000004,105.1,-40.29,4,-3.36,-9.63,0.0,6,0
2023.10,11581.019999999997,12327.949999999997,6.449604611683601,14,7,7,0,746.93,50.0,4.606615161757605,136.29,-29.585714285714285,181.26,-40.66,3,-5.97,-36.89,0.0,14,0
2023.11,12327.949999999997,12762.599999999997,3.5257281218694114,12,6,6,0,434.65,50.0,3.359791519626473,103.14,-30.698333333333334,126.07,-50.04,3,-5.98,-34.74,0.0,12,0
2023.12,12762.599999999997,13139.269999999997,2.9513578737874737,9,5,4,0,376.67,55.55555555555556,3.5385496697668146,105.00999999999999,-37.095,135.97,-47.24,2,-3.6,-32.09,0.0,9,0
2024.01,13139.269999999997,12915.039999999997,-1.7065636066539467,6,0,6,0,-224.23,0.0,0.0,0,-37.37166666666666,0,-44.33,6,-3.21,-16.01,0.0,6,0
2024.02,12915.039999999997,12627.709999999997,-2.2247705001300813,7,0,7,0,-287.33,0.0,0.0,0,-41.04714285714285,0,-63.94,7,-3.16,-19.76,0.0,7,0
2024.03,12627.709999999997,13573.159999999998,7.487105738095033,20,11,9,0,945.45,55.0,3.607922102998373,118.90727272727273,-40.28111111111111,150.76,-55.66,5,-7.75,-56.65,0.0,20,0
2024.04,13573.159999999998,13655.589999999998,0.6073014684863364,10,3,7,0,82.43,30.0,1.2210986535057133,151.75,-53.26,185.84,-78.75,4,-2.32,-34.77,0.0,10,0
2024.05,13655.589999999998,13933.839999999998,2.03762708165667,10,4,6,0,278.25,40.0,2.167890870933893,129.125,-39.708333333333336,132.46,-62.55,2,-3.71,-9.62,0.0,10,0
2024.06,13933.839999999998,13929.889999999998,-0.02834825145114341,8,3,5,0,-3.95,37.5,0.982355043330653,73.30333333333333,-44.772000000000006,136.66,-47.27,2,-3.99,-3.74,0.0,8,0
2024.07,13929.889999999998,14603.629999999997,4.836649822791136,13,7,6,0,673.74,53.84615384615385,3.440114447140632,135.69285714285712,-46.01833333333334,145.91,-50.31,2,-4.65,-27.78,0.0,13,0
2024.08,14603.629999999997,14566.739999999998,-0.25260842680895096,16,4,12,0,-36.89,25.0,0.9299853859439352,122.5,-43.9075,171.44,-70.87,4,-4.95,-30.44,0.0,16,0
2024.09,14566.739999999998,14774.319999999998,1.425027150893062,13,4,9,0,207.58,30.76923076923077,1.560360652197387,144.505,-41.16,163.32,-65.89,4,-3.94,-26.72,0.0,13,0
2024.10,14774.319999999998,15045.979999999998,1.8387309872806332,8,3,5,0,271.66,37.5,2.6751557008077937,144.60999999999999,-32.434000000000005,152.91,-68.42,3,-2.39,-32.56,0.0,8,0
2024.11,15045.979999999998,15190.509999999998,0.9605888084391979,6,3,3,0,144.53,50.0,1.8771088724359752,103.10333333333334,-54.92666666666667,131.44,-62.87,2,-1.94,-20.85,0.0,6,0
2024.12,15190.509999999998,15037.05,-1.0102359960264666,4,0,4,0,-153.46,0.0,0.0,0,-38.365,0,-55.3,4,-1.27,-4.28,0.0,4,0
2025.01,15037.05,15227.4,1.265873292966373,12,4,8,0,190.35,33.333333333333336,1.4965695353872646,143.42000000000002,-47.91625,150.26,-73.56,3,-4.27,-39.02,0.0,12,0
2025.02,15227.4,15479.07,1.652744394972221,8,3,5,0,251.67,37.5,2.0698435640197244,162.3033333333333,-47.048,193.91,-67.34,3,-2.11,-21.89,0.0,8,0
2025.03,15479.07,15770.27,1.8812499717360278,9,4,5,0,291.2,44.44444444444444,1.9862494073020391,146.615,-59.052,174.95,-71.79,3,-2.89,-28.86,0.0,9,0
2025.04,15770.27,16392.07,3.9428621069899243,12,6,6,0,621.8,50.0,2.5209999755387593,171.76833333333335,-68.135,267.19,-85.86,2,-2.16,-9.09,0.0,12,0
2025.05,16392.07,16100.33,-1.7797630195576275,10,2,8,0,-291.74,20.0,0.4376313202382559,113.515,-64.84625,165.04,-98.32,4,-1.73,-9.61,0.0,10,0
2025.06,16100.33,16018.81,-0.5063250256361205,4,0,4,0,-81.52,0.0,0.0,0,-20.380000000000003,0,-73.87,4,-0.72,-6.95,0.0,4,0
2025.07,16018.81,16250.09,1.4438026295336546,8,3,5,0,231.28,37.5,1.8997121294639383,162.78,-51.412,183.16,-71.33,3,-2.39,-17.1,0.0,8,0
2025.08,16250.09,16535.26,1.7548825883425878,11,5,6,0,285.17,45.45454545454545,1.983616169977925,115.018,-48.32,159.84,-58.38,4,-4.36,-26.19,0.0,11,0
2025.09,16535.26,17594.019999999997,6.403044161386033,16,8,8,0,1058.76,50.0,4.557900396532026,169.54250000000002,-37.1975,198.36,-59.87,2,-4.14,-24.07,0.0,16,0
2025.10,17594.019999999997,17957.989999999998,2.0687142563211824,6,3,3,0,363.97,50.0,2.5249287749287745,200.88333333333333,-79.56,262.89,-98.98,2,-0.73,-11.75,0.0,6,0
2025.11,17957.989999999998,18145.129999999997,1.0420988094992816,7,2,5,0,187.14,28.571428571428573,1.9143499291542485,195.905,-40.934,219.87,-70.95,4,-1.44,-12.84,0.0,7,0
2025.12,18145.129999999997,19203.1,5.830600276768478,11,6,5,0,1057.97,54.54545454545455,4.422300575790905,227.8516666666667,-61.827999999999996,312.15,-111.73,2,-2.44,-42.79,0.0,11,0
2026.01,19203.1,20100.8,4.674766053397629,16,8,8,0,897.7,50.0,2.1925606110926603,206.30625,-94.09375,288.76,-232.28,2,-2.46,-14.95,0.0,16,0
2026.02,20100.8,19788.02,-1.5560574703494388,5,0,5,0,-312.78,0.0,0.0,0,-62.556,0,-85.83,5,-0.63,-3.73,0.0,5,0
2026.03,19788.02,20014.82,1.1461480228946606,7,2,5,0,226.8,28.571428571428573,1.597109233077956,303.315,-75.966,382.03,-90.47,4,-0.84,-5.87,0.0,7,0
2026.04,20014.82,19796.3,-1.0917909828816847,5,1,4,0,-218.52,20.0,0.22557323599248677,63.65,-70.5425,63.65,-146.09,3,-0.78,-14.35,0.0,5,0
2026.05,19796.3,19422.52,-1.8881306102655548,5,0,5,0,-373.78,0.0,0.0,0,-74.756,0,-112.98,5,-0.62,-3.73,0.0,5,0
2026.06,19422.52,19197.52,-1.158449058103686,7,1,6,0,-225.0,14.285714285714286,0.49400679155328664,219.67,-74.11166666666666,219.67,-81.47,3,-1.17,-1.07,0.0,7,0
2026.07,19197.52,19271.91,0.3874979684875963,9,3,6,0,74.39,33.333333333333336,1.1800687451587917,162.50333333333333,-68.85333333333334,226.99,-81.43,3,-1.67,-3.21,0.0,9,0
2026.08,19271.91,20398.31,5.844776153479339,13,7,6,0,1126.4,53.84615384615385,3.744037613583765,219.55571428571426,-68.415,331.62,-120.45,3,-2.21,-24.59,0.0,13,0
2026.09,20398.31,20403.75,0.02666887600002157,2,1,1,0,5.44,50.0,1.0808921933085502,72.69,-67.25,72.69,-67.25,1,-0.44,0.0,0.0,2,0
