period,run,month,starting_closed_balance,net_usd,return_on_month_start_balance_pct,ending_closed_balance,trades,win_rate,net_pf,commission,swap,fee,momentum_net_usd,trend_change_net_usd,breakout_net_usd
2019-2026,All three together,2020.01,8039.86,2.84,0.035323998179072766,8042.7,28,32.142857142857146,1.0051308919441384,-6.51,-37.96,0.0,122.0,-47.66,-71.5
2019-2026,All three together,2020.02,8042.7,506.19,6.293781938901114,8548.89,27,55.55555555555556,2.4511495900464424,-6.71,-48.1,0.0,-124.05,199.28,430.96
2019-2026,All three together,2020.03,8548.89,10.33,0.12083440072336875,8559.22,30,36.666666666666664,1.0141714567928333,-3.31,-12.29,0.0,-104.58,117.84,-2.93
2019-2026,All three together,2020.04,8559.22,101.93,1.190879542762074,8661.15,26,38.46153846153846,1.1856344133020087,-3.87,-18.18,0.0,66.03,-9.56,45.46
2019-2026,All three together,2020.05,8661.15,-76.68,-0.8853327791344106,8584.47,19,31.57894736842105,0.8199112238427395,-3.19,-11.21,0.0,-66.36,102.24,-112.56
2019-2026,All three together,2020.06,8584.47,25.91,0.3018241079530827,8610.38,31,35.483870967741936,1.0416928151902807,-5.71,-28.29,0.0,-23.36,65.61,-16.34
2019-2026,All three together,2020.07,8610.38,-100.8,-1.1706800396730457,8509.58,32,31.25,0.8523358188183936,-6.51,-35.28,0.0,-18.67,8.93,-91.06
2019-2026,All three together,2020.08,8509.58,380.57,4.472253624738236,8890.15,23,52.17391304347826,1.8504547587655589,-2.62,-27.21,0.0,-33.75,111.13,303.19
2019-2026,All three together,2020.09,8890.15,-23.99,-0.2698492151426016,8866.16,28,32.142857142857146,0.9626388002055722,-4.19,-34.2,0.0,-70.84,-10.95,57.8
2019-2026,All three together,2020.10,8866.16,-262.14,-2.95663511599159,8604.02,35,25.714285714285715,0.6797898980028095,-6.72,-22.97,0.0,24.71,-40.56,-246.29
2019-2026,All three together,2020.11,8604.02,285.51,3.318332593369145,8889.53,25,44.0,1.6196098005599078,-4.14,-10.68,0.0,-134.36,83.42,336.45
2019-2026,All three together,2020.12,8889.53,-177.07,-1.9918938346571748,8712.46,21,28.571428571428573,0.6664091936699322,-3.53,-24.56,0.0,27.87,-101.24,-103.7
2019-2026,All three together,2021.01,8712.46,197.14,2.2627363568957555,8909.6,41,39.02439024390244,1.2296036617323347,-7.11,-43.8,0.0,44.49,52.99,99.66
2019-2026,All three together,2021.02,8909.6,461.87,5.183958875819339,9371.47,25,52.0,2.1473035745336215,-4.38,-20.82,0.0,1.68,248.88,211.31
2019-2026,All three together,2021.03,9371.47,-291.62,-3.1117850241210814,9079.85,32,25.0,0.6409151356942324,-6.02,-35.27,0.0,62.66,-189.97,-164.31
2019-2026,All three together,2021.04,9079.85,-122.45,-1.3485905604167467,8957.4,35,31.428571428571427,0.842740640852758,-8.07,-55.61,0.0,-23.78,-85.32,-13.35
2019-2026,All three together,2021.05,8957.4,-456.65,-5.098019514591287,8500.75,35,20.0,0.48731334905130796,-6.94,-14.96,0.0,-73.19,-322.45,-61.01
2019-2026,All three together,2021.06,8500.75,-35.44,-0.41690439078904795,8465.31,35,34.285714285714285,0.9534724957332282,-7.02,-32.05,0.0,101.46,-279.11,142.21
2019-2026,All three together,2021.07,8465.31,-561.54,-6.633425119694375,7903.77,40,17.5,0.40558907589711013,-8.49,-27.24,0.0,-172.53,-144.86,-244.15
2019-2026,All three together,2021.08,7903.77,243.96,3.0866282799221127,8147.73,28,46.42857142857143,1.545308239080871,-6.12,-14.42,0.0,18.73,147.34,77.89
2019-2026,All three together,2021.09,8147.73,113.49,1.3929032994465942,8261.22,40,37.5,1.1560793805784386,-8.83,-43.25,0.0,2.0,-152.11,263.6
2019-2026,All three together,2021.10,8261.22,-492.53,-5.961952350863431,7768.69,30,16.666666666666668,0.35007851365081877,-6.09,-42.72,0.0,-71.68,-143.44,-277.41
2019-2026,All three together,2021.11,7768.69,151.59,1.9512942336481436,7920.28,31,41.935483870967744,1.276125248183027,-5.88,-21.9,0.0,103.66,29.86,18.07
2019-2026,All three together,2021.12,7920.28,-55.37,-0.6990914462620007,7864.91,26,34.61538461538461,0.8927789934354486,-5.34,-55.56,0.0,20.98,3.66,-80.01
2019-2026,All three together,2022.01,7864.91,-109.29,-1.389589963521515,7755.62,27,29.62962962962963,0.7925398633257403,-5.84,-30.44,0.0,-30.67,-94.07,15.45
2019-2026,All three together,2022.02,7755.62,281.94,3.6352993055358556,8037.56,35,45.714285714285715,1.4986205432937183,-7.03,-49.16,0.0,167.44,35.87,78.63
2019-2026,All three together,2022.03,8037.56,255.69,3.1811893161606255,8293.25,25,44.0,1.5697954271961494,-3.24,-44.4,0.0,72.18,201.56,-18.05
2019-2026,All three together,2022.04,8293.25,-223.36,-2.693274651071654,8069.89,25,24.0,0.6053152389030252,-3.98,-17.1,0.0,-115.45,-58.41,-49.5
2019-2026,All three together,2022.05,8069.89,156.67,1.9414143191542876,8226.56,32,40.625,1.2690167931591056,-5.1,-34.73,0.0,52.85,107.17,-3.35
2019-2026,All three together,2022.06,8226.56,-173.84,-2.113155437995954,8052.72,23,26.08695652173913,0.6752657239459772,-4.24,-27.81,0.0,8.21,79.56,-261.61
2019-2026,All three together,2022.07,8052.72,448.17,5.565448693112389,8500.89,24,54.166666666666664,2.3772894898586356,-4.14,-22.99,0.0,144.35,65.22,238.6
2019-2026,All three together,2022.08,8500.89,415.7,4.890076215549195,8916.59,33,48.484848484848484,1.822093897084998,-7.41,-20.84,0.0,136.85,94.54,184.31
2019-2026,All three together,2022.09,8916.59,-433.0,-4.856116519880357,8483.59,28,17.857142857142858,0.3965745502180972,-5.27,-14.42,0.0,-83.98,-211.19,-137.83
2019-2026,All three together,2022.10,8483.59,-175.86,-2.072943176178952,8307.73,34,29.41176470588235,0.7726673388660513,-6.22,-41.68,0.0,-32.47,-369.93,226.54
2019-2026,All three together,2022.11,8307.73,353.53,4.255434396640236,8661.26,20,55.0,2.2089388913586157,-4.03,-36.85,0.0,119.3,98.57,135.66
2019-2026,All three together,2022.12,8661.26,96.38,1.1127711210609077,8757.64,26,38.46153846153846,1.1938065553991553,-5.3,-22.98,0.0,109.84,169.98,-183.44
2019-2026,All three together,2023.01,8757.64,-8.16,-0.09317578708419162,8749.48,30,33.333333333333336,0.9871203990150892,-5.61,-29.37,0.0,134.41,-11.65,-130.92
2019-2026,All three together,2023.02,8749.48,-204.99,-2.342882091278567,8544.49,19,21.05263157894737,0.5774447559366754,-3.75,-16.56,0.0,-60.86,-12.33,-131.8
2019-2026,All three together,2023.03,8544.49,321.19,3.7590306735685797,8865.68,35,45.714285714285715,1.4880342789418504,-6.46,-53.99,0.0,-35.42,296.74,59.87
2019-2026,All three together,2023.04,8865.68,-354.22,-3.995407007697096,8511.46,32,21.875,0.5605756109663813,-5.62,-22.96,0.0,-102.6,59.76,-311.38
2019-2026,All three together,2023.05,8511.46,-288.01,-3.383790794998742,8223.45,38,26.31578947368421,0.6663152284734452,-6.73,-24.57,0.0,-88.21,-82.91,-116.89
2019-2026,All three together,2023.06,8223.45,-227.77,-2.769762082824118,7995.68,28,25.0,0.6402987903098448,-5.41,-17.63,0.0,29.97,-37.67,-220.07
2019-2026,All three together,2023.07,7995.68,-120.45,-1.5064384767774595,7875.23,36,30.555555555555557,0.8304452483846901,-8.16,-12.28,0.0,78.35,5.69,-204.49
2019-2026,All three together,2023.08,7875.23,-282.95,-3.5929109372043726,7592.28,36,25.0,0.6163285784021261,-8.44,-24.05,0.0,93.68,-144.86,-231.77
2019-2026,All three together,2023.09,7592.28,16.94,0.2231213811924744,7609.22,31,35.483870967741936,1.0318462955652061,-7.88,-8.56,0.0,-42.27,-130.26,189.47
2019-2026,All three together,2023.10,7609.22,396.33,5.208549627951352,8005.55,33,48.484848484848484,1.7850295131323535,-6.33,-22.95,0.0,221.37,-122.54,297.5
2019-2026,All three together,2023.11,8005.55,169.61,2.1186551829668163,8175.16,31,41.935483870967744,1.3186840028559619,-6.26,-30.45,0.0,166.3,-67.59,70.9
2019-2026,All three together,2023.12,8175.16,-160.67,-1.9653437975525856,8014.49,30,26.666666666666668,0.7575890162945081,-5.57,-29.91,0.0,8.46,-165.47,-3.66
2019-2026,All three together,2024.01,8014.49,4.32,0.05390236933354461,8018.81,32,34.375,1.0069948186528497,-6.19,-14.95,0.0,52.86,139.94,-188.48
2019-2026,All three together,2024.02,8018.81,-31.04,-0.3870898549784818,7987.77,28,35.714285714285715,0.9416179208907782,-6.46,-42.24,0.0,-0.15,13.5,-44.39
2019-2026,All three together,2024.03,7987.77,-23.76,-0.297454733924487,7964.01,28,32.142857142857146,0.9575274391333881,-5.47,-24.59,0.0,-59.18,-80.95,116.37
2019-2026,All three together,2024.04,7964.01,-54.25,-0.681189501268833,7909.76,25,32.0,0.9075541468568408,-2.83,-18.19,0.0,107.53,-152.55,-9.23
2019-2026,All three together,2024.05,7909.76,211.05,2.6682225503681525,8120.81,34,41.1764705882353,1.332215715904798,-4.75,-22.45,0.0,-41.06,215.16,36.95
2019-2026,All three together,2024.06,8120.81,-260.68,-3.2100246157710863,7860.13,30,26.666666666666668,0.6213083080320176,-4.3,-15.5,0.0,-93.31,-55.74,-111.63
2019-2026,All three together,2024.07,7860.13,393.68,5.008568560570881,8253.81,35,45.714285714285715,1.6708586813898403,-5.55,-33.11,0.0,50.05,410.06,-66.43
2019-2026,All three together,2024.08,8253.81,-326.69,-3.9580508880141405,7927.12,39,25.641025641025642,0.6410788837618105,-5.49,-18.17,0.0,-6.74,-144.78,-175.17
2019-2026,All three together,2024.09,7927.12,163.6,2.0638012291979932,8090.72,34,41.1764705882353,1.2564866347887436,-5.01,-22.46,0.0,127.38,10.49,25.73
2019-2026,All three together,2024.10,8090.72,-428.0,-5.29001127217355,7662.72,36,22.22222222222222,0.5012643182586202,-4.98,-29.95,0.0,-30.91,-175.47,-221.62
2019-2026,All three together,2024.11,7662.72,288.95,3.770854213647372,7951.67,34,41.1764705882353,1.4625568290964974,-4.25,-20.84,0.0,-136.4,98.08,327.27
2019-2026,All three together,2024.12,7951.67,145.99,1.8359665328163766,8097.66,28,39.285714285714285,1.2961618046821115,-3.68,-15.49,0.0,-58.2,47.9,156.29
2019-2026,All three together,2025.01,8097.66,433.74,5.356362208341668,8531.4,35,48.57142857142857,1.77481243301179,-5.56,-37.39,0.0,178.96,151.45,103.33
2019-2026,All three together,2025.02,8531.4,-246.94,-2.894483906510068,8284.46,27,25.925925925925927,0.6435314836735283,-3.03,-9.63,0.0,71.31,-68.12,-250.13
2019-2026,All three together,2025.03,8284.46,-79.93,-0.9648184673472985,8204.53,26,30.76923076923077,0.8642700674149671,-3.28,-14.98,0.0,-37.66,-122.51,80.24
2019-2026,All three together,2025.04,8204.53,-36.51,-0.4449980681404053,8168.02,33,33.333333333333336,0.9542544260816178,-2.38,-5.32,0.0,-52.61,-77.33,93.43
2019-2026,All three together,2025.05,8168.02,-129.99,-1.5914505596215482,8038.03,44,31.818181818181817,0.8821080698699462,-3.54,-8.53,0.0,-26.3,-51.78,-51.91
2019-2026,All three together,2025.06,8038.03,-109.26,-1.3592882833231525,7928.77,29,31.03448275862069,0.8441347237478424,-2.54,-6.93,0.0,-53.86,-29.28,-26.12
2019-2026,All three together,2025.07,7928.77,-78.51,-0.9901914168275786,7850.26,29,34.48275862068966,0.8872403987016345,-3.37,-16.58,0.0,-99.94,19.37,2.06
2019-2026,All three together,2025.08,7850.26,-4.57,-0.05821463238160265,7845.69,32,34.375,0.9931642085739074,-4.24,-28.88,0.0,27.0,50.35,-81.92
2019-2026,All three together,2025.09,7845.69,72.6,0.9253488220921294,7918.29,26,34.61538461538461,1.1252350313087576,-2.61,-6.95,0.0,76.44,-201.48,197.64
2019-2026,All three together,2025.10,7918.29,760.91,9.609524278600555,8679.2,32,53.125,2.101602652266443,-2.12,-11.7,0.0,311.89,152.08,296.94
2019-2026,All three together,2025.11,8679.2,-296.07,-3.4112591022214027,8383.13,26,26.923076923076923,0.6242337322790674,-1.81,-14.36,0.0,-36.85,-120.27,-138.95
2019-2026,All three together,2025.12,8383.13,6.52,0.07777524623857675,8389.65,27,33.333333333333336,1.0095036804897604,-1.97,-13.83,0.0,70.08,-29.59,-33.97
2019-2026,All three together,2026.01,8389.65,-207.91,-2.4781725101762286,8181.74,24,33.333333333333336,0.7930605460390767,-1.44,-7.44,0.0,11.86,-238.31,18.54
2019-2026,All three together,2026.02,8181.74,160.93,1.9669410174363884,8342.67,14,28.571428571428573,1.1900830350920708,-0.84,-17.02,0.0,100.53,337.96,-277.56
2019-2026,All three together,2026.03,8342.67,62.49,0.749040774716008,8405.16,26,34.61538461538461,1.0508433205594474,-1.56,-9.04,0.0,-224.09,-99.09,385.67
2019-2026,All three together,2026.04,8405.16,-311.48,-3.7058188065426467,8093.68,29,24.137931034482758,0.7272790950162855,-1.74,-21.24,0.0,-117.19,-111.02,-83.27
2019-2026,All three together,2026.05,8093.68,-473.24,-5.847031263899733,7620.44,31,22.580645161290324,0.5312645476966353,-1.86,-11.67,0.0,-130.83,-238.26,-104.15
2019-2026,All three together,2026.06,7620.44,522.97,6.8627270866249175,8143.41,35,45.714285714285715,1.6358916368765353,-2.15,-4.77,0.0,86.65,64.53,371.79
2019-2026,All three together,2026.07,8143.41,-203.96,-2.504601880538987,7939.45,32,28.125,0.7363563506631162,-1.97,-8.49,0.0,-59.6,-28.08,-116.28
2019-2026,All three together,2026.08,7939.45,278.85,3.5122080244853224,8218.3,29,41.37931034482759,1.454523227383863,-1.74,-8.5,0.0,-90.5,228.03,141.32
2019-2026,All three together,2026.09,8218.3,91.36,1.1116654295900608,8309.66,7,42.857142857142854,1.5771320277953251,-0.42,-3.73,0.0,0,48.41,42.95
3y,All three together,2023.09,10000,163.55,1.6355000000000002,10163.55,25,40.0,1.3304440942336444,-8.14,-9.09,0.0,-71.33,-56.4,291.28
3y,All three together,2023.10,10163.55,526.89,5.184113818498458,10690.44,33,48.484848484848484,1.8013536121673006,-8.14,-31.55,0.0,275.88,-163.76,414.77
3y,All three together,2023.11,10690.44,244.82,2.290083476451858,10935.26,31,41.935483870967744,1.353015818084815,-8.21,-39.55,0.0,216.95,-83.78,111.65
3y,All three together,2023.12,10935.26,-284.52,-2.6018585749218586,10650.74,30,26.666666666666668,0.6650775152735107,-7.05,-37.95,0.0,-13.55,-245.37,-25.6
3y,All three together,2024.01,10650.74,34.07,0.3198838766132682,10684.81,32,34.375,1.0434510904221401,-7.95,-19.79,0.0,79.29,221.21,-266.43
3y,All three together,2024.02,10684.81,-20.4,-0.19092524808583403,10664.41,28,35.714285714285715,0.9696288466405633,-8.26,-53.99,0.0,1.71,31.51,-53.62
3y,All three together,2024.03,10664.41,-64.85,-0.6080974006063158,10599.56,28,32.142857142857146,0.9094197837807637,-6.85,-32.07,0.0,-80.66,-117.39,133.2
3y,All three together,2024.04,10599.56,-137.07,-1.2931668861726338,10462.49,25,32.0,0.8159862530037991,-3.57,-20.85,0.0,137.87,-211.56,-63.38
3y,All three together,2024.05,10462.49,275.28,2.631113625915055,10737.77,34,41.1764705882353,1.356816031316025,-5.87,-25.11,0.0,-55.37,254.21,76.44
3y,All three together,2024.06,10737.77,-241.02,-2.2446001357823833,10496.75,30,26.666666666666668,0.7091940154440155,-5.42,-21.9,0.0,-110.54,-56.36,-74.12
3y,All three together,2024.07,10496.75,455.32,4.337723581108439,10952.07,35,45.714285714285715,1.633938516373357,-6.72,-39.54,0.0,89.87,466.79,-101.34
3y,All three together,2024.08,10952.07,-430.4,-3.929850704022163,10521.67,39,25.641025641025642,0.6427118700347826,-7.15,-23.49,0.0,16.31,-219.32,-227.39
3y,All three together,2024.09,10521.67,270.99,2.575541715336064,10792.66,34,41.1764705882353,1.3428994419769957,-6.43,-27.24,0.0,150.51,10.81,109.67
3y,All three together,2024.10,10792.66,-499.65,-4.629535258221792,10293.01,36,22.22222222222222,0.5403530721323239,-6.39,-42.72,0.0,-61.3,-209.99,-228.36
3y,All three together,2024.11,10293.01,274.81,2.669870135169402,10567.82,34,41.1764705882353,1.3459732346313151,-5.15,-24.58,0.0,-212.48,100.12,387.17
3y,All three together,2024.12,10567.82,170.74,1.615659615701252,10738.56,28,39.285714285714285,1.265929444747294,-4.77,-17.08,0.0,-70.84,60.39,181.19
3y,All three together,2025.01,10738.56,548.51,5.107854311937542,11287.07,35,48.57142857142857,1.8128000711279708,-6.77,-47.56,0.0,216.57,169.21,162.73
3y,All three together,2025.02,11287.07,-298.73,-2.646656749714497,10988.34,27,25.925925925925927,0.6526476128462129,-3.93,-13.88,0.0,71.31,-111.99,-258.05
3y,All three together,2025.03,10988.34,-95.08,-0.865280834047727,10893.26,26,30.76923076923077,0.8711949821856755,-4.21,-18.7,0.0,-37.66,-161.7,104.28
3y,All three together,2025.04,10893.26,-5.02,-0.046083541566069294,10888.24,33,33.333333333333336,0.9952704421477092,-3.08,-7.47,0.0,-105.2,-14.9,115.08
3y,All three together,2025.05,10888.24,-125.76,-1.155007604534801,10762.48,44,31.818181818181817,0.9176742450526647,-4.66,-10.14,0.0,38.82,-135.73,-28.85
3y,All three together,2025.06,10762.48,-55.32,-0.5140079238242488,10707.16,29,31.03448275862069,0.9394038973415269,-3.19,-11.77,0.0,-19.54,20.45,-56.23
3y,All three together,2025.07,10707.16,-31.55,-0.29466263696442385,10675.61,29,34.48275862068966,0.9581348442828518,-3.84,-17.11,0.0,-115.48,-22.44,106.37
3y,All three together,2025.08,10675.61,74.41,0.6970093512220848,10750.02,32,34.375,1.0911786690193483,-5.42,-36.88,0.0,36.01,117.57,-79.17
3y,All three together,2025.09,10750.02,-6.12,-0.05693012664162486,10743.9,26,34.61538461538461,0.9917570206747929,-3.16,-8.02,0.0,76.44,-217.77,135.21
3y,All three together,2025.10,10743.9,887.02,8.256033656307302,11630.92,32,53.125,2.1919748441195446,-2.37,-11.7,0.0,375.88,216.57,294.57
3y,All three together,2025.11,11630.92,-168.82,-1.4514758935664593,11462.1,26,26.923076923076923,0.8114985651916613,-2.22,-21.89,0.0,-36.85,-95.37,-36.6
3y,All three together,2025.12,11462.1,33.3,0.29052267909021906,11495.4,27,33.333333333333336,1.0370956242759113,-2.52,-21.37,0.0,98.6,-67.08,1.78
3y,All three together,2026.01,11495.4,-362.55,-3.153870243749674,11132.85,24,33.333333333333336,0.687276271639654,-1.69,-7.98,0.0,-18.99,-269.28,-74.28
3y,All three together,2026.02,11132.85,127.07,1.1413968570491835,11259.92,14,28.571428571428573,1.1443173687378618,-0.89,-17.02,0.0,100.53,337.96,-311.42
3y,All three together,2026.03,11259.92,62.49,0.5549773000163413,11322.41,26,34.61538461538461,1.0508433205594474,-1.56,-9.04,0.0,-224.09,-99.09,385.67
3y,All three together,2026.04,11322.41,-272.19,-2.403993496084315,11050.22,29,24.137931034482758,0.7745857177166235,-1.94,-21.24,0.0,-117.19,-124.38,-30.62
3y,All three together,2026.05,11050.22,-394.79,-3.5726890505347413,10655.43,31,22.580645161290324,0.6213590370690069,-2.01,-12.21,0.0,-130.83,-181.84,-82.12
3y,All three together,2026.06,10655.43,555.74,5.215556763077606,11211.17,35,45.714285714285715,1.608436702832306,-2.4,-4.77,0.0,86.65,129.56,339.53
3y,All three together,2026.07,11211.17,-268.8,-2.397608813353112,10942.37,32,28.125,0.7734341416542342,-2.97,-14.42,0.0,-119.17,28.13,-177.76
3y,All three together,2026.08,10942.37,283.96,2.5950502496259955,11226.33,29,41.37931034482759,1.3401492555192198,-2.29,-10.66,0.0,-60.15,279.0,65.11
3y,All three together,2026.09,11226.33,91.36,0.8138011264589589,11317.69,7,42.857142857142854,1.5771320277953251,-0.42,-3.73,0.0,0,48.41,42.95
5y,All three together,2021.09,10000,86.3,0.863,10086.3,35,37.142857142857146,1.1132620250672616,-9.3,-13.9,0.0,-71.35,-123.53,281.18
5y,All three together,2021.10,10086.3,-572.97,-5.680675768121115,9513.33,30,16.666666666666668,0.3641085400366239,-7.27,-50.23,0.0,-87.18,-172.45,-313.34
5y,All three together,2021.11,9513.33,272.37,2.8630353409374005,9785.7,31,41.935483870967744,1.434644538418575,-6.98,-25.66,0.0,138.22,66.77,67.38
5y,All three together,2021.12,9785.7,-64.07,-0.6547308828188069,9721.63,26,34.61538461538461,0.8951459806231999,-6.36,-58.76,0.0,24.11,-3.58,-84.6
5y,All three together,2022.01,9721.63,-186.34,-1.9167567578687934,9535.29,27,29.62962962962963,0.7210520800586818,-7.17,-39.04,0.0,-30.67,-144.74,-10.93
5y,All three together,2022.02,9535.29,281.9,2.956386224226006,9817.19,35,45.714285714285715,1.418820942532834,-8.35,-56.12,0.0,187.31,28.02,66.57
5y,All three together,2022.03,9817.19,272.58,2.7765582615799427,10089.77,25,44.0,1.5190516995144245,-3.75,-46.53,0.0,79.16,225.05,-31.63
5y,All three together,2022.04,10089.77,-269.31,-2.669139137958546,9820.46,25,24.0,0.6158147762450249,-4.85,-21.9,0.0,-133.64,-81.71,-53.96
5y,All three together,2022.05,9820.46,260.14,2.6489594173796336,10080.6,32,40.625,1.36692666826523,-6.31,-47.03,0.0,74.62,148.59,36.93
5y,All three together,2022.06,10080.6,-247.3,-2.4532269904569173,9833.3,23,26.08695652173913,0.6152649429042597,-4.95,-31.54,0.0,14.4,87.33,-349.03
5y,All three together,2022.07,9833.3,465.51,4.734016047512025,10298.81,24,54.166666666666664,2.0729250697213453,-5.09,-31.51,0.0,175.61,36.18,253.72
5y,All three together,2022.08,10298.81,468.16,4.545767909107945,10766.97,33,48.484848484848484,1.7691397778800027,-8.82,-27.27,0.0,164.37,105.68,198.11
5y,All three together,2022.09,10766.97,-527.99,-4.903793732127051,10238.98,28,17.857142857142858,0.4054300578815792,-6.38,-16.04,0.0,-112.81,-233.86,-181.32
5y,All three together,2022.10,10238.98,-186.59,-1.8223494918439138,10052.39,34,29.41176470588235,0.7847146104233249,-7.01,-51.26,0.0,-56.9,-388.56,258.87
5y,All three together,2022.11,10052.39,406.9,4.047793609280976,10459.29,20,55.0,2.2345641554658817,-4.63,-37.91,0.0,133.03,130.45,143.42
5y,All three together,2022.12,10459.29,116.49,1.1137467265942524,10575.78,26,38.46153846153846,1.201878585168882,-6.17,-25.66,0.0,131.81,217.19,-232.51
5y,All three together,2023.01,10575.78,-57.09,-0.5398183396401968,10518.69,30,33.333333333333336,0.9262422159634117,-6.65,-32.04,0.0,162.87,-26.97,-192.99
5y,All three together,2023.02,10518.69,-265.25,-2.521701846902989,10253.44,19,21.05263157894737,0.5386394865461883,-4.36,-18.69,0.0,-70.3,-31.87,-163.08
5y,All three together,2023.03,10253.44,392.93,3.8321772985456586,10646.37,35,45.714285714285715,1.516917936169653,-7.57,-58.28,0.0,-8.94,349.42,52.45
5y,All three together,2023.04,10646.37,-460.22,-4.322787954955539,10186.15,32,21.875,0.5173462538803592,-6.54,-26.19,0.0,-109.65,51.51,-402.08
5y,All three together,2023.05,10186.15,-352.66,-3.462152039779504,9833.49,38,26.31578947368421,0.6552485971806753,-7.9,-25.11,0.0,-106.84,-92.8,-153.02
5y,All three together,2023.06,9833.49,-245.54,-2.4969771668044607,9587.95,28,25.0,0.6607063895644483,-6.22,-20.82,0.0,29.97,-39.06,-236.45
5y,All three together,2023.07,9587.95,-119.81,-1.2495893282714239,9468.14,36,30.555555555555557,0.8510159417045936,-9.32,-14.44,0.0,80.97,40.33,-241.11
