release_utc,event,direction,confidence_pct,action_tier,actual_direction,direction_correct,balance_before_usd,risk_budget_usd,nominal_risk_usd,status,lot,entry_time_utc,exit_time_utc,entry_price,exit_price,entry_spread_usd,entry_gap_from_request_ms,required_margin_usd,captured_move_usd,maximum_favorable_move_usd,maximum_adverse_move_usd,exit_reason,pnl_usd,minimum_equity_usd,maximum_equity_usd,realized_r,balance_after_usd,data_source
2026-01-28T19:00:00+00:00,FOMC,POSITIVE,56.58,LOW_CONFIDENCE,POSITIVE,True,10247.06,102.47,100.0,EXECUTED,0.05,2026-01-28T18:59:51.409000+00:00,2026-01-28T19:00:29.972000+00:00,5282.927,5286.946,0.0,1409,13.21,4.019,4.019,4.204,TAKE_PROFIT,20.1,10226.04,10267.16,0.201,10267.16,MT5 ticks
2026-02-11T13:30:00+00:00,NFP,NEGATIVE,59.78,LOW_CONFIDENCE,NEGATIVE,True,10267.16,102.67,100.0,EXECUTED,0.05,2026-02-11T13:29:50.087000+00:00,2026-02-11T13:30:01.197000+00:00,5081.729,5076.546,0.0,87,12.7,5.183,5.183,3.208,TAKE_PROFIT,25.91,10251.12,10293.08,0.2591,10293.07,MT5 ticks
2026-02-13T13:30:00+00:00,CPI,POSITIVE,68.0,TRADE,POSITIVE,True,10293.07,102.93,100.0,EXECUTED,0.05,2026-02-13T13:29:50.061000+00:00,2026-02-13T13:30:01.171000+00:00,4967.618,4975.845,0.049,61,12.42,8.227,8.227,0.307,TAKE_PROFIT,41.13,10291.53,10334.2,0.4113,10334.2,MT5 ticks
2026-03-06T13:30:00+00:00,NFP,NEGATIVE,54.65,LOW_CONFIDENCE,POSITIVE,False,10334.2,103.34,100.0,EXECUTED,0.05,2026-03-06T13:29:50.061000+00:00,2026-03-06T13:30:01.254000+00:00,5083.806,5106.902,0.097,61,12.71,-23.096,0.705,23.096,STOP_LOSS,-115.48,10218.72,10337.72,-1.1548,10218.72,MT5 ticks
2026-03-11T12:30:00+00:00,CPI,POSITIVE,68.0,TRADE,NEGATIVE,False,10218.72,102.19,100.0,EXECUTED,0.05,2026-03-11T12:29:50.295000+00:00,2026-03-11T12:30:02.746000+00:00,5191.213,5195.955,0.115,295,12.98,4.742,4.742,0.49,TAKE_PROFIT,23.71,10216.27,10242.43,0.2371,10242.43,MT5 ticks
2026-03-18T18:00:00+00:00,FOMC,POSITIVE,56.44,LOW_CONFIDENCE,POSITIVE,True,10242.43,102.42,100.0,EXECUTED,0.05,2026-03-18T17:59:50.135000+00:00,2026-03-18T18:00:27.261000+00:00,4891.344,4895.562,0.071,135,12.23,4.218,4.218,3.54,TAKE_PROFIT,21.09,10224.73,10263.52,0.2109,10263.52,MT5 ticks
2026-04-10T12:30:00+00:00,CPI,POSITIVE,68.0,TRADE,POSITIVE,True,10263.52,102.64,100.0,EXECUTED,0.05,2026-04-10T12:29:50.105000+00:00,2026-04-10T12:30:01.264000+00:00,4762.087,4768.379,0.005,105,11.91,6.292,6.292,0.476,TAKE_PROFIT,31.46,10261.14,10294.98,0.3146,10294.98,MT5 ticks
2026-04-29T18:00:00+00:00,FOMC,POSITIVE,58.29,LOW_CONFIDENCE,NEGATIVE,False,10294.98,102.95,100.0,EXECUTED,0.05,2026-04-29T17:59:50.369000+00:00,2026-04-29T18:01:41.830000+00:00,4547.081,4551.144,0.057,369,11.37,4.063,4.063,8.389,TAKE_PROFIT,20.32,10253.03,10315.29,0.2032,10315.3,MT5 ticks
2026-05-08T12:30:00+00:00,NFP,NEGATIVE,61.11,LOW_CONFIDENCE,NEGATIVE,True,10315.3,103.15,100.0,EXECUTED,0.05,2026-05-08T12:29:50.209000+00:00,2026-05-08T12:30:01.294000+00:00,4710.151,4702.99,0.118,209,11.78,7.161,7.161,0.655,TAKE_PROFIT,35.81,10312.02,10351.1,0.3581,10351.11,MT5 ticks
2026-05-12T12:30:00+00:00,CPI,POSITIVE,68.0,TRADE,NEGATIVE,False,10351.11,103.51,100.0,EXECUTED,0.05,2026-05-12T12:29:50.554000+00:00,2026-05-12T12:37:22.534000+00:00,4696.586,4700.647,0.074,554,11.74,4.061,4.061,7.052,TAKE_PROFIT,20.3,10315.85,10371.41,0.203,10371.41,MT5 ticks
2026-06-05T12:30:00+00:00,NFP,NEGATIVE,50.92,LOW_CONFIDENCE,NEGATIVE,True,10371.41,103.71,100.0,EXECUTED,0.05,2026-06-05T12:29:50.015000+00:00,2026-06-05T12:30:01.263000+00:00,4464.354,4458.973,0.06,15,11.16,5.381,5.381,1.937,TAKE_PROFIT,26.91,10361.72,10398.31,0.2691,10398.32,MT5 ticks
2026-06-10T12:30:00+00:00,CPI,POSITIVE,68.0,TRADE,POSITIVE,True,10398.32,103.98,100.0,EXECUTED,0.05,2026-06-10T12:29:50.159000+00:00,2026-06-10T12:30:01.296000+00:00,4142.02,4147.707,0.06,159,10.36,5.687,5.687,13.338,TAKE_PROFIT,28.43,10331.63,10426.75,0.2843,10426.75,MT5 ticks
2026-06-17T18:00:00+00:00,FOMC,NEGATIVE,65.0,TRADE,NEGATIVE,True,10426.75,104.27,100.0,EXECUTED,0.05,2026-06-17T17:59:50.774000+00:00,2026-06-17T18:00:01.210000+00:00,4379.218,4373.571,0.06,774,10.95,5.647,5.647,1.07,TAKE_PROFIT,28.23,10421.4,10454.98,0.2823,10454.98,MT5 ticks
2026-07-02T12:30:00+00:00,NFP,NEGATIVE,58.83,LOW_CONFIDENCE,POSITIVE,False,10454.98,104.55,100.0,EXECUTED,0.05,2026-07-02T12:29:50.078000+00:00,2026-07-02T12:30:04.351000+00:00,4064.176,4084.28,0.0,78,10.16,-20.104,0.199,20.104,STOP_LOSS,-100.52,10354.46,10455.97,-1.0052,10354.46,MT5 ticks
2026-07-14T12:30:00+00:00,CPI,POSITIVE,68.0,TRADE,POSITIVE,True,10354.46,103.54,100.0,EXECUTED,0.05,2026-07-14T12:29:50.102000+00:00,2026-07-14T12:30:01.267000+00:00,4029.778,4033.84,0.0,102,10.07,4.062,4.062,0.441,TAKE_PROFIT,20.31,10352.25,10374.77,0.2031,10374.77,MT5 ticks
2026-07-29T18:00:00+00:00,FOMC,POSITIVE,56.43,LOW_CONFIDENCE,POSITIVE,True,10374.77,103.75,100.0,EXECUTED,0.05,2026-07-29T17:59:50.109000+00:00,2026-07-29T18:00:01.237000+00:00,4044.302,4048.834,0.04,109,10.11,4.532,4.532,1.237,TAKE_PROFIT,22.66,10368.58,10397.43,0.2266,10397.43,MT5 ticks
2026-08-07T12:30:00+00:00,NFP,POSITIVE,65.39,LOW_CONFIDENCE,POSITIVE,True,10397.43,103.97,100.0,EXECUTED,0.05,2026-08-07T12:29:50.006000+00:00,2026-08-07T12:29:55.306000+00:00,4303.483,4308.342,0.1,6,10.76,4.859,4.859,0.1,TAKE_PROFIT,24.29,10396.93,10421.72,0.2429,10421.72,MT5 ticks
2026-08-12T12:30:00+00:00,CPI,POSITIVE,68.0,TRADE,NEGATIVE,False,10421.72,104.22,100.0,EXECUTED,0.05,2026-08-12T12:29:50.006000+00:00,2026-08-12T12:29:51.491000+00:00,4420.506,4424.681,0.06,6,11.05,4.175,4.175,0.06,TAKE_PROFIT,20.87,10421.42,10442.59,0.2087,10442.59,MT5 ticks
2026-09-04T12:30:00+00:00,NFP,NEGATIVE,69.34,LOW_CONFIDENCE,NEGATIVE,True,10442.59,104.43,100.0,EXECUTED,0.05,2026-09-04T12:29:50.117000+00:00,2026-09-04T12:30:01.250000+00:00,4473.982,4468.75,0.05,117,11.18,5.232,5.232,2.961,TAKE_PROFIT,26.16,10427.78,10468.75,0.2616,10468.75,MT5 ticks
