symbol,event,release_utc,leg,side,order_type,entry_time,exit_time,intended_entry,fill_price,stop_loss,take_profit,exit_price,result_r,outcome,spread_at_fill_pips,same_bar_ambiguous
EURUSD,NFP,2024-11-01T12:30:00+00:00,breakout,buy,buy_stop,2024-11-01T12:30:00+00:00,2024-11-01T15:30:00+00:00,1.08752,1.08752,1.0785200000000001,1.11452,1.08554,-0.22000000000001282,TIME,0.8000000000008001,False
EURUSD,CPI,2024-11-13T13:30:00+00:00,breakout,buy,buy_stop,2024-11-13T13:30:00+00:00,2024-11-13T16:30:00+00:00,1.06383,1.06383,1.0548300000000002,1.09083,1.05733,-0.722222222222225,TIME,0.5000000000010552,False
XAUUSD,PPI,2024-11-14T13:30:00+00:00,breakout,buy,buy_stop,2024-11-14T13:38:00+00:00,2024-11-14T16:30:00+00:00,2558.086,2558.086,2549.086,2603.086,2576.598,2.056888888888908,TIME,4.5699999999987995,False
EURUSD,CPI,2024-12-11T13:30:00+00:00,breakout,buy,buy_stop,2024-12-11T13:22:00+00:00,2024-12-11T16:30:00+00:00,1.05114,1.05114,1.04214,1.0781399999999999,1.0491,-0.2266666666666739,TIME,0.1999999999990898,False
XAUUSD,PPI,2024-12-12T13:30:00+00:00,breakout,sell,sell_stop,2024-12-12T13:05:00+00:00,2024-12-12T13:30:00+00:00,2704.6695,2704.6695,2713.6695,2659.6695,2713.6695,-1.0,SL,7.9799999999977445,False
XAUUSD,PPI,2024-12-12T13:30:00+00:00,reentry,sell,sell_limit,2024-12-12T13:31:00+00:00,2024-12-12T14:28:00+00:00,2709.09,2709.375,2714.09,2684.09,2684.09,5.056999999999971,TP,7.019999999997708,False
EURUSD,NFP,2025-01-10T13:30:00+00:00,breakout,sell,sell_stop,2025-01-10T13:30:00+00:00,2025-01-10T16:30:00+00:00,1.03017,1.03017,1.03917,1.0031700000000001,1.02322,0.7722222222222324,TIME,0.5000000000010552,False
XAUUSD,PPI,2025-01-14T13:30:00+00:00,breakout,sell,sell_stop,2025-01-14T13:20:00+00:00,2025-01-14T13:31:00+00:00,2665.3244999999997,2665.3244999999997,2674.3244999999997,2620.3244999999997,2674.3244999999997,-1.0,SL,4.599999999995816,False
EURUSD,PPI,2025-01-14T13:30:00+00:00,breakout,buy,buy_stop,2025-01-14T13:30:00+00:00,2025-01-14T16:30:00+00:00,1.0257699999999998,1.0257699999999998,1.01677,1.0527699999999998,1.02877,0.3333333333333498,TIME,0.10000000000065512,False
XAUUSD,PPI,2025-01-14T13:30:00+00:00,reentry,sell,sell_limit,2025-01-14T13:32:00+00:00,2025-01-14T16:15:00+00:00,2668.3085,2671.449,2673.3085,2643.3085,2673.3085,-0.3719000000000051,SL,6.260000000002037,False
EURUSD,CPI,2025-01-15T13:30:00+00:00,breakout,buy,buy_stop,2025-01-15T13:30:00+00:00,2025-01-15T16:30:00+00:00,1.03078,1.03078,1.0217800000000001,1.05778,1.02869,-0.23222222222221658,TIME,0.5999999999994898,False
EURUSD,NFP,2025-02-07T13:30:00+00:00,breakout,buy,buy_stop,2025-02-07T13:30:00+00:00,2025-02-07T16:30:00+00:00,1.03824,1.03824,1.0292400000000002,1.06524,1.03363,-0.5122222222222285,TIME,0.9999999999998899,False
XAUUSD,PPI,2025-02-13T13:30:00+00:00,breakout,sell,sell_stop,2025-02-13T13:00:00+00:00,2025-02-13T16:30:00+00:00,2916.0550000000003,2916.0550000000003,2925.0550000000003,2871.0550000000003,2917.715,-0.18444444444442828,TIME,3.6999999999989086,False
EURUSD,PPI,2025-02-13T13:30:00+00:00,breakout,buy,buy_stop,2025-02-13T13:38:00+00:00,2025-02-13T16:30:00+00:00,1.0403099999999998,1.0403099999999998,1.03131,1.0673099999999998,1.04396,0.4055555555555772,TIME,0.700000000000145,False
EURUSD,NFP,2025-03-07T13:30:00+00:00,breakout,buy,buy_stop,2025-03-07T13:18:00+00:00,2025-03-07T16:30:00+00:00,1.08595,1.08595,1.07695,1.1129499999999999,1.08387,-0.23111111111112284,TIME,0.700000000000145,False
EURUSD,CPI,2025-03-12T12:30:00+00:00,breakout,buy,buy_stop,2025-03-12T12:30:00+00:00,2025-03-12T15:30:00+00:00,1.09161,1.09161,1.08261,1.1186099999999999,1.09184,0.025555555555550568,TIME,0.5999999999994898,False
XAUUSD,PPI,2025-03-13T12:30:00+00:00,breakout,sell,sell_stop,2025-03-13T12:24:00+00:00,2025-03-13T14:06:00+00:00,2944.3100000000004,2944.3100000000004,2953.3100000000004,2899.3100000000004,2953.3100000000004,-1.0,SL,5.100000000002183,False
EURUSD,PPI,2025-03-13T12:30:00+00:00,breakout,buy,buy_stop,2025-03-13T12:30:00+00:00,2025-03-13T15:30:00+00:00,1.08736,1.08736,1.0783600000000002,1.11436,1.08567,-0.1877777777778012,TIME,0.700000000000145,False
EURUSD,NFP,2025-04-04T12:30:00+00:00,breakout,sell,sell_stop,2025-04-04T12:00:00+00:00,2025-04-04T15:30:00+00:00,1.1058000000000001,1.1058000000000001,1.1148,1.0788000000000002,1.09701,0.9766666666666862,TIME,0.5999999999994898,False
EURUSD,CPI,2025-04-10T12:30:00+00:00,breakout,buy,buy_stop,2025-04-10T12:12:00+00:00,2025-04-10T15:30:00+00:00,1.10858,1.10858,1.09958,1.1355799999999998,1.11867,1.1211111111111411,TIME,0.09999999999843467,False
EURUSD,NFP,2025-05-02T12:30:00+00:00,breakout,sell,sell_stop,2025-05-02T12:12:00+00:00,2025-05-02T15:30:00+00:00,1.1339000000000001,1.1339000000000001,1.1429,1.1069000000000002,1.13375,0.01666666666667736,TIME,0.5000000000010552,False
EURUSD,CPI,2025-05-13T12:30:00+00:00,breakout,buy,buy_stop,2025-05-13T12:10:00+00:00,2025-05-13T15:30:00+00:00,1.11145,1.11145,1.1024500000000002,1.13845,1.11703,0.619999999999998,TIME,0.5999999999994898,False
XAUUSD,PPI,2025-05-15T12:30:00+00:00,breakout,buy,buy_stop,2025-05-15T12:04:00+00:00,2025-05-15T15:30:00+00:00,3181.3900000000003,3181.3900000000003,3172.3900000000003,3226.3900000000003,3213.865,3.6083333333332726,TIME,5.799999999999272,False
EURUSD,PPI,2025-05-15T12:30:00+00:00,breakout,buy,buy_stop,2025-05-15T12:30:00+00:00,2025-05-15T15:30:00+00:00,1.11968,1.11968,1.1106800000000001,1.14668,1.11814,-0.17111111111112384,TIME,1.40000000000029,False
EURUSD,CPI,2025-06-11T12:30:00+00:00,breakout,buy,buy_stop,2025-06-11T12:04:00+00:00,2025-06-11T15:30:00+00:00,1.1436899999999999,1.1436899999999999,1.13469,1.1706899999999998,1.14885,0.5733333333333458,TIME,0.5999999999994898,False
XAUUSD,PPI,2025-06-12T12:30:00+00:00,breakout,buy,buy_stop,2025-06-12T12:10:00+00:00,2025-06-12T15:30:00+00:00,3384.6200000000003,3384.6200000000003,3375.6200000000003,3429.6200000000003,3388.348,0.41422222222217897,TIME,5.700000000001637,False
EURUSD,PPI,2025-06-12T12:30:00+00:00,breakout,buy,buy_stop,2025-06-12T12:17:00+00:00,2025-06-12T15:30:00+00:00,1.16035,1.16035,1.15135,1.18735,1.15744,-0.3233333333333335,TIME,0.1999999999990898,False
EURUSD,CPI,2025-07-15T12:30:00+00:00,breakout,buy,buy_stop,2025-07-15T12:30:00+00:00,2025-07-15T15:30:00+00:00,1.16756,1.16756,1.15856,1.1945599999999998,1.16094,-0.7355555555555471,TIME,0.6999999999979245,False
XAUUSD,PPI,2025-07-16T12:30:00+00:00,breakout,sell,sell_stop,2025-07-16T12:27:00+00:00,2025-07-16T14:57:00+00:00,3333.4375,3333.4375,3342.4375,3288.4375,3342.4375,-1.0,SL,4.769999999998618,False
EURUSD,NFP,2025-08-01T12:30:00+00:00,breakout,buy,buy_stop,2025-08-01T12:30:00+00:00,2025-08-01T15:30:00+00:00,1.14187,1.14187,1.13287,1.1688699999999999,1.15395,1.3422222222222477,TIME,0.7999999999985796,False
EURUSD,CPI,2025-08-12T12:30:00+00:00,breakout,buy,buy_stop,2025-08-12T12:02:00+00:00,2025-08-12T15:30:00+00:00,1.1609,1.1609,1.1519000000000001,1.1879,1.1687,0.8666666666666798,TIME,0.20000000000131024,False
XAUUSD,PPI,2025-08-14T12:30:00+00:00,breakout,buy,buy_stop,2025-08-14T12:07:00+00:00,2025-08-14T12:30:00+00:00,3357.9659999999994,3357.9659999999994,3348.9659999999994,3402.9659999999994,3348.9659999999994,-1.0,SL,4.700000000002547,False
XAUUSD,PPI,2025-08-14T12:30:00+00:00,reentry,buy,buy_limit,2025-08-14T12:31:00+00:00,2025-08-14T12:31:00+00:00,3355.5166,3345.052,3350.5166,3380.5166,3344.415,-0.1274000000000342,SL,6.869999999998981,False
EURUSD,PPI,2025-09-10T12:30:00+00:00,breakout,buy,buy_stop,2025-09-10T12:08:00+00:00,2025-09-10T15:30:00+00:00,1.1709,1.1709,1.1619000000000002,1.1979,1.17231,0.1566666666666586,TIME,0.40000000000040004,False
XAUUSD,PPI,2025-09-10T12:30:00+00:00,breakout,sell,sell_stop,2025-09-10T12:15:00+00:00,2025-09-10T12:30:00+00:00,3647.1825000000003,3647.1825000000003,3656.1825000000003,3602.1825000000003,3656.1825000000003,-1.0,SL,6.300000000001091,False
XAUUSD,PPI,2025-09-10T12:30:00+00:00,reentry,sell,sell_limit,2025-09-10T12:31:00+00:00,2025-09-10T15:30:00+00:00,3651.87,3654.338,3656.87,3626.87,3646.182,1.6312000000000808,TIME,7.5700000000006185,False
EURUSD,CPI,2025-09-11T12:30:00+00:00,breakout,buy,buy_stop,2025-09-11T12:30:00+00:00,2025-09-11T15:30:00+00:00,1.1698099999999998,1.1698099999999998,1.16081,1.1968099999999997,1.17362,0.423333333333373,TIME,1.1999999999989797,False
EURUSD,CPI,2025-10-24T12:30:00+00:00,breakout,buy,buy_stop,2025-10-24T12:01:00+00:00,2025-10-24T15:30:00+00:00,1.16177,1.16177,1.15277,1.1887699999999999,1.16326,0.16555555555555648,TIME,0.40000000000040004,False
EURUSD,NFP,2025-11-20T13:30:00+00:00,breakout,sell,sell_stop,2025-11-20T13:30:00+00:00,2025-11-20T16:30:00+00:00,1.1508800000000001,1.1508800000000001,1.15988,1.1238800000000002,1.15349,-0.2899999999999788,TIME,0.2999999999997449,False
XAUUSD,PPI,2025-11-25T13:30:00+00:00,breakout,buy,buy_stop,2025-11-25T13:09:00+00:00,2025-11-25T14:31:00+00:00,4138.410000000001,4138.410000000001,4129.410000000001,4183.410000000001,4129.410000000001,-1.0,SL,6.099999999996726,False
EURUSD,PPI,2025-11-25T13:30:00+00:00,breakout,buy,buy_stop,2025-11-25T13:16:00+00:00,2025-11-25T16:30:00+00:00,1.15591,1.15591,1.14691,1.18291,1.15657,0.07333333333334584,TIME,0.40000000000040004,False
EURUSD,NFP,2025-12-16T13:30:00+00:00,breakout,buy,buy_stop,2025-12-16T13:30:00+00:00,2025-12-16T16:30:00+00:00,1.1780599999999999,1.1780599999999999,1.16906,1.2050599999999998,1.17702,-0.11555555555554908,TIME,0.40000000000040004,False
EURUSD,CPI,2025-12-18T13:30:00+00:00,breakout,buy,buy_stop,2025-12-18T13:10:00+00:00,2025-12-18T16:30:00+00:00,1.17214,1.17214,1.16314,1.1991399999999999,1.17368,0.17111111111112384,TIME,0.20000000000131024,False
EURUSD,NFP,2026-01-09T13:30:00+00:00,breakout,sell,sell_stop,2026-01-09T13:30:00+00:00,2026-01-09T16:30:00+00:00,1.1639,1.1639,1.1728999999999998,1.1369,1.16294,0.1066666666666512,TIME,0.5000000000010552,False
EURUSD,CPI,2026-01-13T13:30:00+00:00,breakout,buy,buy_stop,2026-01-13T13:30:00+00:00,2026-01-13T16:30:00+00:00,1.16689,1.16689,1.15789,1.19389,1.1641,-0.3100000000000113,TIME,0.40000000000040004,False
XAUUSD,PPI,2026-01-14T13:30:00+00:00,breakout,sell,sell_stop,2026-01-14T13:05:00+00:00,2026-01-14T16:30:00+00:00,4632.319999999999,4632.319999999999,4641.319999999999,4587.319999999999,4622.625,1.0772222222220889,TIME,5.799999999999272,False
XAUUSD,PPI,2026-01-30T13:30:00+00:00,breakout,sell,sell_stop,2026-01-30T13:23:00+00:00,2026-01-30T13:49:00+00:00,5049.554500000001,5049.554500000001,5058.554500000001,5004.554500000001,5004.554500000001,5.0,TP,24.340000000001965,False
EURUSD,CPI,2026-02-13T13:30:00+00:00,breakout,buy,buy_stop,2026-02-13T13:05:00+00:00,2026-02-13T16:30:00+00:00,1.18659,1.18659,1.1775900000000001,1.21359,1.187,0.04555555555555846,TIME,0.2999999999997449,False
XAUUSD,PPI,2026-02-27T13:30:00+00:00,breakout,buy,buy_stop,2026-02-27T13:00:00+00:00,2026-02-27T13:24:00+00:00,5190.735000000001,5190.735000000001,5181.735000000001,5235.735000000001,5235.735000000001,5.0,TP,7.700000000004366,False
EURUSD,NFP,2026-03-06T13:30:00+00:00,breakout,buy,buy_stop,2026-03-06T13:30:00+00:00,2026-03-06T16:30:00+00:00,1.15713,1.15713,1.14813,1.18413,1.1597,0.2855555555555545,TIME,0.700000000000145,False
XAUUSD,PPI,2026-03-18T12:30:00+00:00,breakout,sell,sell_stop,2026-03-18T12:01:00+00:00,2026-03-18T12:05:00+00:00,4923.57,4923.57,4932.57,4878.57,4932.57,-1.0,SL,6.700000000000728,False
EURUSD,CPI,2026-04-10T12:30:00+00:00,breakout,buy,buy_stop,2026-04-10T12:30:00+00:00,2026-04-10T15:30:00+00:00,1.17194,1.17194,1.16294,1.19894,1.17325,0.14555555555554858,TIME,0.5000000000010552,False
EURUSD,NFP,2026-05-08T12:30:00+00:00,breakout,sell,sell_stop,2026-05-08T12:30:00+00:00,2026-05-08T15:30:00+00:00,1.17573,1.17573,1.1847299999999998,1.14873,1.177,-0.14111111111112432,TIME,0.40000000000040004,False
XAUUSD,PPI,2026-05-13T12:30:00+00:00,breakout,sell,sell_stop,2026-05-13T12:00:00+00:00,2026-05-13T15:30:00+00:00,4696.605000000001,4696.605000000001,4705.605000000001,4651.605000000001,4689.555,0.7833333333334546,TIME,4.700000000002547,False
EURUSD,CPI,2026-06-10T12:30:00+00:00,breakout,buy,buy_stop,2026-06-10T12:29:00+00:00,2026-06-10T15:30:00+00:00,1.15471,1.15471,1.14571,1.1817099999999998,1.15547,0.08444444444445585,TIME,1.100000000000545,False
XAUUSD,PPI,2026-06-11T12:30:00+00:00,breakout,sell,sell_stop,2026-06-11T12:00:00+00:00,2026-06-11T13:46:00+00:00,4078.9300000000003,4078.9300000000003,4087.9300000000003,4033.9300000000003,4087.9300000000003,-1.0,SL,5.599999999999454,False
EURUSD,NFP,2026-07-02T12:30:00+00:00,breakout,buy,buy_stop,2026-07-02T12:30:00+00:00,2026-07-02T15:30:00+00:00,1.14167,1.14167,1.13267,1.1686699999999999,1.14431,0.293333333333334,TIME,0.5000000000010552,False
EURUSD,CPI,2026-07-14T12:30:00+00:00,breakout,buy,buy_stop,2026-07-14T12:23:00+00:00,2026-07-14T15:30:00+00:00,1.1411499999999999,1.1411499999999999,1.13215,1.1681499999999998,1.14408,0.3255555555555703,TIME,0.10000000000065512,False
EURUSD,PPI,2026-07-15T12:30:00+00:00,breakout,buy,buy_stop,2026-07-15T12:32:00+00:00,2026-07-15T15:30:00+00:00,1.1421299999999999,1.1421299999999999,1.13313,1.1691299999999998,1.1437,0.17444444444445437,TIME,0.40000000000040004,False
