release_utc,month,year,event,predicted_gold_impact,historical_probability_positive_pct,actual_gold_impact,actual_move_usd,actual_move_pips,correct
2023-12-13T13:30:00+00:00,2023-12,2023,PPI,POSITIVE,57.24,POSITIVE,2.71,271.0,True
2023-12-13T19:00:00+00:00,2023-12,2023,FOMC,NEGATIVE,44.0,POSITIVE,11.057,1105.7,False
2024-01-05T13:30:00+00:00,2024-01,2024,NFP,NEGATIVE,46.26,NEGATIVE,-11.46,-1146.0,True
2024-01-11T13:30:00+00:00,2024-01,2024,CPI,POSITIVE,56.16,NEGATIVE,-8.437,-843.7,False
2024-01-12T13:30:00+00:00,2024-01,2024,PPI,POSITIVE,57.52,POSITIVE,4.415,441.5,True
2024-01-25T13:30:00+00:00,2024-01,2024,GDP,NEGATIVE,40.38,NEGATIVE,-1.37,-137.0,True
2024-01-31T19:00:00+00:00,2024-01,2024,FOMC,NEGATIVE,44.55,NEGATIVE,-5.0,-500.0,True
2024-02-02T13:30:00+00:00,2024-02,2024,NFP,NEGATIVE,45.95,NEGATIVE,-11.165,-1116.5,True
2024-02-13T13:30:00+00:00,2024-02,2024,CPI,POSITIVE,55.78,NEGATIVE,-7.39,-739.0,False
2024-02-16T13:30:00+00:00,2024-02,2024,PPI,POSITIVE,57.79,NEGATIVE,-5.913,-591.3,False
2024-03-08T13:30:00+00:00,2024-03,2024,NFP,NEGATIVE,45.64,POSITIVE,7.1,710.0,False
2024-03-12T12:30:00+00:00,2024-03,2024,CPI,POSITIVE,55.41,NEGATIVE,-3.75,-375.0,False
2024-03-14T12:30:00+00:00,2024-03,2024,PPI,POSITIVE,57.42,NEGATIVE,-2.38,-238.0,False
2024-03-20T18:00:00+00:00,2024-03,2024,FOMC,NEGATIVE,44.12,POSITIVE,4.533,453.3,False
2024-04-05T12:30:00+00:00,2024-04,2024,NFP,NEGATIVE,46.0,NEGATIVE,-13.13,-1313.0,True
2024-04-10T12:30:00+00:00,2024-04,2024,CPI,POSITIVE,55.03,NEGATIVE,-13.458,-1345.8,False
2024-04-11T12:30:00+00:00,2024-04,2024,PPI,POSITIVE,57.05,POSITIVE,2.82,282.0,True
2024-04-25T12:30:00+00:00,2024-04,2024,GDP,NEGATIVE,39.62,POSITIVE,1.193,119.3,False
2024-05-01T18:00:00+00:00,2024-05,2024,FOMC,NEGATIVE,44.66,POSITIVE,3.435,343.5,False
2024-05-03T12:30:00+00:00,2024-05,2024,NFP,NEGATIVE,45.7,POSITIVE,23.133,2313.3,False
2024-05-14T12:30:00+00:00,2024-05,2024,PPI,POSITIVE,57.32,NEGATIVE,-4.375,-437.5,False
2024-05-15T12:30:00+00:00,2024-05,2024,CPI,POSITIVE,54.67,POSITIVE,12.627,1262.7,True
2024-06-07T12:30:00+00:00,2024-06,2024,NFP,NEGATIVE,46.05,NEGATIVE,-18.628,-1862.8,True
2024-06-12T12:30:00+00:00,2024-06,2024,CPI,POSITIVE,54.97,POSITIVE,7.75,775.0,True
2024-06-12T18:00:00+00:00,2024-06,2024,FOMC,NEGATIVE,45.19,NEGATIVE,-5.31,-531.0,True
2024-06-13T12:30:00+00:00,2024-06,2024,PPI,POSITIVE,56.96,POSITIVE,9.56,956.0,True
2024-07-05T12:30:00+00:00,2024-07,2024,NFP,NEGATIVE,45.75,NEGATIVE,-4.24,-424.0,True
2024-07-11T12:30:00+00:00,2024-07,2024,CPI,POSITIVE,55.26,POSITIVE,15.94,1594.0,True
2024-07-12T12:30:00+00:00,2024-07,2024,PPI,POSITIVE,57.23,NEGATIVE,-6.651,-665.1,False
2024-07-25T12:30:00+00:00,2024-07,2024,GDP,NEGATIVE,40.74,NEGATIVE,-2.48,-248.0,True
2024-07-31T18:00:00+00:00,2024-07,2024,FOMC,NEGATIVE,44.76,NEGATIVE,-3.68,-368.0,True
2024-08-02T12:30:00+00:00,2024-08,2024,NFP,NEGATIVE,45.45,POSITIVE,17.1,1710.0,False
2024-08-13T12:30:00+00:00,2024-08,2024,PPI,POSITIVE,56.88,POSITIVE,2.385,238.5,True
2024-08-14T12:30:00+00:00,2024-08,2024,CPI,POSITIVE,55.56,NEGATIVE,-0.36,-36.0,False
2024-09-06T12:30:00+00:00,2024-09,2024,NFP,NEGATIVE,45.81,POSITIVE,6.829,682.9,False
2024-09-11T12:30:00+00:00,2024-09,2024,CPI,POSITIVE,55.19,NEGATIVE,-4.89,-489.0,False
2024-09-12T12:30:00+00:00,2024-09,2024,PPI,POSITIVE,57.14,NEGATIVE,-1.093,-109.3,False
2024-09-18T18:00:00+00:00,2024-09,2024,FOMC,NEGATIVE,44.34,POSITIVE,12.262,1226.2,False
2024-10-04T12:30:00+00:00,2024-10,2024,NFP,NEGATIVE,46.15,NEGATIVE,-15.7,-1570.0,True
2024-10-10T12:30:00+00:00,2024-10,2024,CPI,POSITIVE,54.84,POSITIVE,5.809,580.9,True
2024-10-11T12:30:00+00:00,2024-10,2024,PPI,POSITIVE,56.79,POSITIVE,0.77,77.0,True
2024-10-30T12:30:00+00:00,2024-10,2024,GDP,NEGATIVE,40.0,NEGATIVE,-1.53,-153.0,True
2024-11-01T12:30:00+00:00,2024-11,2024,NFP,NEGATIVE,45.86,POSITIVE,6.37,637.0,False
2024-11-07T19:00:00+00:00,2024-11,2024,FOMC,NEGATIVE,44.86,NEGATIVE,-2.43,-243.0,True
2024-11-13T13:30:00+00:00,2024-11,2024,CPI,POSITIVE,55.13,POSITIVE,8.963,896.3,True
2024-11-14T13:30:00+00:00,2024-11,2024,PPI,POSITIVE,57.06,NEGATIVE,-2.315,-231.5,False
2024-12-06T13:30:00+00:00,2024-12,2024,NFP,NEGATIVE,46.2,POSITIVE,2.534,253.4,False
2024-12-11T13:30:00+00:00,2024-12,2024,CPI,POSITIVE,55.41,POSITIVE,1.619,161.9,True
2024-12-12T13:30:00+00:00,2024-12,2024,PPI,POSITIVE,56.71,POSITIVE,1.453,145.3,True
2024-12-18T19:00:00+00:00,2024-12,2024,FOMC,NEGATIVE,44.44,NEGATIVE,-3.87,-387.0,True
2025-01-10T13:30:00+00:00,2025-01,2025,NFP,NEGATIVE,46.54,NEGATIVE,-7.626,-762.6,True
2025-01-14T13:30:00+00:00,2025-01,2025,PPI,POSITIVE,56.97,POSITIVE,5.436,543.6,True
2025-01-15T13:30:00+00:00,2025-01,2025,CPI,POSITIVE,55.7,POSITIVE,8.768,876.8,True
2025-01-29T19:00:00+00:00,2025-01,2025,FOMC,NEGATIVE,44.04,NEGATIVE,-4.356,-435.6,True
2025-01-30T13:30:00+00:00,2025-01,2025,GDP,NEGATIVE,39.29,POSITIVE,0.427,42.7,False
2025-02-07T13:30:00+00:00,2025-02,2025,NFP,NEGATIVE,46.25,NEGATIVE,-0.875,-87.5,True
2025-02-12T13:30:00+00:00,2025-02,2025,CPI,POSITIVE,55.97,NEGATIVE,-10.863,-1086.3,False
2025-02-13T13:30:00+00:00,2025-02,2025,PPI,POSITIVE,57.23,NEGATIVE,-1.295,-129.5,False
2025-03-07T13:30:00+00:00,2025-03,2025,NFP,NEGATIVE,45.96,POSITIVE,6.845,684.5,False
2025-03-12T12:30:00+00:00,2025-03,2025,CPI,POSITIVE,55.62,POSITIVE,5.021,502.1,True
2025-03-13T12:30:00+00:00,2025-03,2025,PPI,POSITIVE,56.89,POSITIVE,4.522,452.2,True
2025-03-19T18:00:00+00:00,2025-03,2025,FOMC,NEGATIVE,43.64,POSITIVE,5.25,525.0,False
2025-04-04T12:30:00+00:00,2025-04,2025,NFP,NEGATIVE,46.3,POSITIVE,1.238,123.8,False
2025-04-10T12:30:00+00:00,2025-04,2025,CPI,POSITIVE,55.9,POSITIVE,5.43,543.0,True
2025-04-11T12:30:00+00:00,2025-04,2025,PPI,POSITIVE,57.14,POSITIVE,2.16,216.0,True
2025-04-30T12:30:00+00:00,2025-04,2025,GDP,NEGATIVE,40.35,NEGATIVE,-3.99,-399.0,True
2025-05-02T12:30:00+00:00,2025-05,2025,NFP,NEGATIVE,46.63,NEGATIVE,-8.045,-804.5,True
2025-05-07T18:00:00+00:00,2025-05,2025,FOMC,NEGATIVE,44.14,NEGATIVE,-0.54,-54.0,True
2025-05-13T12:30:00+00:00,2025-05,2025,CPI,POSITIVE,56.17,POSITIVE,2.58,258.0,True
2025-05-15T12:30:00+00:00,2025-05,2025,PPI,POSITIVE,57.4,POSITIVE,1.655,165.5,True
2025-06-06T12:30:00+00:00,2025-06,2025,NFP,NEGATIVE,46.34,NEGATIVE,-8.285,-828.5,True
2025-06-11T12:30:00+00:00,2025-06,2025,CPI,POSITIVE,56.44,POSITIVE,6.1,610.0,True
2025-06-12T12:30:00+00:00,2025-06,2025,PPI,POSITIVE,57.65,POSITIVE,2.849,284.9,True
2025-06-18T18:00:00+00:00,2025-06,2025,FOMC,NEGATIVE,43.75,POSITIVE,2.897,289.7,False
2025-07-03T12:30:00+00:00,2025-07,2025,NFP,NEGATIVE,46.06,NEGATIVE,-13.371,-1337.1,True
2025-07-15T12:30:00+00:00,2025-07,2025,CPI,POSITIVE,56.71,POSITIVE,1.454,145.4,True
2025-07-16T12:30:00+00:00,2025-07,2025,PPI,POSITIVE,57.89,POSITIVE,1.476,147.6,True
2025-07-30T12:30:00+00:00,2025-07,2025,GDP,NEGATIVE,39.66,NEGATIVE,-2.327,-232.7,True
2025-07-30T18:00:00+00:00,2025-07,2025,FOMC,NEGATIVE,44.25,POSITIVE,0.46,46.0,False
2025-08-01T12:30:00+00:00,2025-08,2025,NFP,NEGATIVE,45.78,POSITIVE,10.918,1091.8,False
2025-08-12T12:30:00+00:00,2025-08,2025,CPI,POSITIVE,56.97,POSITIVE,9.92,992.0,True
2025-08-14T12:30:00+00:00,2025-08,2025,PPI,POSITIVE,58.14,NEGATIVE,-8.408,-840.8,False
2025-09-05T12:30:00+00:00,2025-09,2025,NFP,NEGATIVE,46.11,POSITIVE,19.313,1931.3,False
2025-09-10T12:30:00+00:00,2025-09,2025,PPI,POSITIVE,57.8,POSITIVE,6.532,653.2,True
2025-09-11T12:30:00+00:00,2025-09,2025,CPI,POSITIVE,57.23,POSITIVE,7.867,786.7,True
2025-09-17T18:00:00+00:00,2025-09,2025,FOMC,NEGATIVE,44.74,NEGATIVE,-4.59,-459.0,True
2025-10-24T12:30:00+00:00,2025-10,2025,CPI,POSITIVE,57.49,POSITIVE,29.286,2928.6,True
2025-10-29T18:00:00+00:00,2025-10,2025,FOMC,NEGATIVE,44.35,NEGATIVE,-6.447,-644.7,True
2025-11-20T13:30:00+00:00,2025-11,2025,NFP,NEGATIVE,46.43,NEGATIVE,-3.955,-395.5,True
2025-11-25T13:30:00+00:00,2025-11,2025,PPI,POSITIVE,58.05,POSITIVE,6.763,676.3,True
2025-12-10T19:00:00+00:00,2025-12,2025,FOMC,NEGATIVE,43.97,POSITIVE,16.72,1672.0,False
2025-12-16T13:30:00+00:00,2025-12,2025,NFP,NEGATIVE,46.15,POSITIVE,4.415,441.5,False
2025-12-18T13:30:00+00:00,2025-12,2025,CPI,POSITIVE,57.74,POSITIVE,9.758,975.8,True
2025-12-23T13:30:00+00:00,2025-12,2025,GDP,NEGATIVE,38.98,NEGATIVE,-0.7,-70.0,True
2026-01-09T13:30:00+00:00,2026-01,2026,NFP,NEGATIVE,46.47,NEGATIVE,-2.25,-225.0,True
2026-01-13T13:30:00+00:00,2026-01,2026,CPI,POSITIVE,57.99,POSITIVE,9.94,994.0,True
2026-01-14T13:30:00+00:00,2026-01,2026,PPI,POSITIVE,58.29,NEGATIVE,-1.084,-108.4,False
2026-01-28T19:00:00+00:00,2026-01,2026,FOMC,NEGATIVE,44.44,POSITIVE,7.313,731.3,False
2026-01-30T13:30:00+00:00,2026-01,2026,PPI,POSITIVE,57.95,NEGATIVE,-12.874,-1287.4,False
2026-02-11T13:30:00+00:00,2026-02,2026,NFP,NEGATIVE,46.2,NEGATIVE,-60.002,-6000.2,True
2026-02-13T13:30:00+00:00,2026-02,2026,CPI,POSITIVE,58.24,POSITIVE,27.565,2756.5,True
2026-02-20T13:30:00+00:00,2026-02,2026,GDP,NEGATIVE,38.33,POSITIVE,1.208,120.8,False
2026-02-27T13:30:00+00:00,2026-02,2026,PPI,POSITIVE,57.63,NEGATIVE,-12.556,-1255.6,False
2026-03-06T13:30:00+00:00,2026-03,2026,NFP,NEGATIVE,45.93,POSITIVE,35.54,3554.0,False
2026-03-11T12:30:00+00:00,2026-03,2026,CPI,POSITIVE,58.48,NEGATIVE,-3.489,-348.9,False
2026-03-18T12:30:00+00:00,2026-03,2026,PPI,POSITIVE,57.3,NEGATIVE,-9.5,-950.0,False
2026-03-18T18:00:00+00:00,2026-03,2026,FOMC,NEGATIVE,44.92,POSITIVE,5.766,576.6,False
2026-04-10T12:30:00+00:00,2026-04,2026,CPI,POSITIVE,58.14,POSITIVE,13.596,1359.6,True
2026-04-14T12:30:00+00:00,2026-04,2026,PPI,POSITIVE,56.98,NEGATIVE,-0.39,-39.0,False
2026-04-29T18:00:00+00:00,2026-04,2026,FOMC,NEGATIVE,45.38,NEGATIVE,-3.543,-354.3,True
2026-04-30T12:30:00+00:00,2026-04,2026,GDP,NEGATIVE,39.34,POSITIVE,2.515,251.5,False
2026-05-08T12:30:00+00:00,2026-05,2026,NFP,NEGATIVE,46.24,NEGATIVE,-2.236,-223.6,True
2026-05-12T12:30:00+00:00,2026-05,2026,CPI,POSITIVE,58.38,NEGATIVE,-4.053,-405.3,False
2026-05-13T12:30:00+00:00,2026-05,2026,PPI,POSITIVE,56.67,NEGATIVE,-4.322,-432.2,False
2026-06-05T12:30:00+00:00,2026-06,2026,NFP,NEGATIVE,45.98,NEGATIVE,-14.755,-1475.5,True
2026-06-10T12:30:00+00:00,2026-06,2026,CPI,POSITIVE,58.05,POSITIVE,27.823,2782.3,True
2026-06-11T12:30:00+00:00,2026-06,2026,PPI,POSITIVE,56.35,POSITIVE,2.952,295.2,True
2026-06-17T18:00:00+00:00,2026-06,2026,FOMC,NEGATIVE,45.0,NEGATIVE,-31.935,-3193.5,True
2026-07-02T12:30:00+00:00,2026-07,2026,NFP,NEGATIVE,45.71,POSITIVE,52.13,5213.0,False
2026-07-14T12:30:00+00:00,2026-07,2026,CPI,POSITIVE,58.29,POSITIVE,60.54,6054.0,True
2026-07-15T12:30:00+00:00,2026-07,2026,PPI,POSITIVE,56.59,POSITIVE,8.75,875.0,True
2026-07-29T18:00:00+00:00,2026-07,2026,FOMC,NEGATIVE,44.63,POSITIVE,32.425,3242.5,False
