window,release_utc,actual,move_usd,actual_statement_gold_label,history,v1_model,direct_et,direct_lr,shock_et,shock_lr,v1_history_agreement,direct_et_history_agreement,direct_lr_history_agreement,direct_lr_history_conf55,direct_lr_history_conf60,direct_et_shock_et_agreement,direct_lr_shock_lr_agreement,triple_et_consensus,triple_lr_consensus,majority_et,majority_lr,direct_et_probability,direct_lr_probability,shock_et_probability,shock_lr_probability,v1_probability
2021-07-30/2024-07-30,2021-11-03T18:00:00+00:00,POSITIVE,2.862,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,,POSITIVE,POSITIVE,POSITIVE,POSITIVE,,,,,POSITIVE,POSITIVE,0.597072,0.915566,0.24977,0.172344,0.432857
2021-07-30/2024-07-30,2021-12-15T19:00:00+00:00,NEGATIVE,-5.345,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,,POSITIVE,POSITIVE,POSITIVE,POSITIVE,,,,,POSITIVE,POSITIVE,0.540029,0.784727,0.170796,0.039061,0.469893
2021-07-30/2024-07-30,2022-01-26T19:00:00+00:00,POSITIVE,1.24,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,,POSITIVE,POSITIVE,POSITIVE,POSITIVE,,,,,POSITIVE,POSITIVE,0.662191,0.80618,0.225058,0.026665,0.489795
2021-07-30/2024-07-30,2022-03-16T18:00:00+00:00,NEGATIVE,-0.945,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,,,,,,,,,NEGATIVE,NEGATIVE,0.693571,0.999959,0.214016,0.224637,0.476856
2021-07-30/2024-07-30,2022-05-04T18:00:00+00:00,POSITIVE,5.385,POSITIVE,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,,NEGATIVE,NEGATIVE,NEGATIVE,,NEGATIVE,,NEGATIVE,NEGATIVE,NEGATIVE,0.560112,0.192498,0.308821,0.04307,0.41759
2021-07-30/2024-07-30,2022-06-15T18:00:00+00:00,POSITIVE,1.505,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,0.385092,0.022528,0.460873,1.2e-05,0.378086
2021-07-30/2024-07-30,2022-07-27T18:00:00+00:00,NEGATIVE,-0.7485,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,,NEGATIVE,,NEGATIVE,NEGATIVE,NEGATIVE,0.425469,0.0,0.525576,0.001827,0.556469
2021-07-30/2024-07-30,2022-09-21T18:00:00+00:00,NEGATIVE,-7.76,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,0.485455,0.039306,0.477803,0.042554,0.425171
2021-07-30/2024-07-30,2022-11-02T18:00:00+00:00,POSITIVE,6.51,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,,,,,NEGATIVE,,,POSITIVE,NEGATIVE,0.548349,0.480279,0.492362,0.276008,0.50993
2021-07-30/2024-07-30,2022-12-14T19:00:00+00:00,NEGATIVE,-4.97,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,,NEGATIVE,,,,,POSITIVE,,,NEGATIVE,POSITIVE,0.47806,0.999809,0.58914,0.992079,0.515442
2021-07-30/2024-07-30,2023-02-01T19:00:00+00:00,NEGATIVE,-3.295,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,,POSITIVE,,,,POSITIVE,,POSITIVE,,POSITIVE,POSITIVE,0.586031,0.227496,0.628331,0.892276,0.498479
2021-07-30/2024-07-30,2023-03-22T18:00:00+00:00,POSITIVE,9.0065,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,,POSITIVE,,,,POSITIVE,NEGATIVE,POSITIVE,,POSITIVE,NEGATIVE,0.581113,0.009495,0.546302,0.095274,0.44329
2021-07-30/2024-07-30,2023-05-03T18:00:00+00:00,POSITIVE,5.438,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,,POSITIVE,POSITIVE,POSITIVE,,POSITIVE,,POSITIVE,POSITIVE,POSITIVE,0.491011,0.82888,0.626707,0.689842,0.53883
2021-07-30/2024-07-30,2023-06-14T18:00:00+00:00,NEGATIVE,-6.7595,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,,,,,,,,NEGATIVE,NEGATIVE,0.422049,0.994321,0.573614,0.152019,0.364217
2021-07-30/2024-07-30,2023-07-26T18:00:00+00:00,POSITIVE,2.8915,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,,,POSITIVE,POSITIVE,POSITIVE,,,,,POSITIVE,POSITIVE,0.405265,0.962634,0.524792,0.066816,0.46707
2021-07-30/2024-07-30,2023-09-20T18:00:00+00:00,NEGATIVE,-3.5915,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,,,,,,,,,,NEGATIVE,NEGATIVE,0.502416,0.995689,0.476416,0.176443,0.55968
2021-07-30/2024-07-30,2023-11-01T18:00:00+00:00,POSITIVE,2.8865,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,,,,,,,,,,NEGATIVE,NEGATIVE,0.543792,0.996976,0.48184,0.376407,0.555016
2021-07-30/2024-07-30,2023-12-13T19:00:00+00:00,POSITIVE,11.057,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,,NEGATIVE,,NEGATIVE,NEGATIVE,NEGATIVE,0.464316,0.119841,0.536702,0.039641,0.603292
2021-07-30/2024-07-30,2024-01-31T19:00:00+00:00,NEGATIVE,-5.0,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,,,,,POSITIVE,,,,POSITIVE,NEGATIVE,0.510681,0.759657,0.524163,0.071378,0.422118
2021-07-30/2024-07-30,2024-03-20T18:00:00+00:00,POSITIVE,4.533,POSITIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,,,,,POSITIVE,POSITIVE,,,POSITIVE,POSITIVE,0.555665,0.879673,0.61815,0.837049,0.493237
2021-07-30/2024-07-30,2024-05-01T18:00:00+00:00,POSITIVE,3.435,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,,,,NEGATIVE,,NEGATIVE,,NEGATIVE,NEGATIVE,0.394342,0.880265,0.424602,0.108685,0.389376
2021-07-30/2024-07-30,2024-06-12T18:00:00+00:00,NEGATIVE,-5.31,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,,NEGATIVE,,,,,POSITIVE,,,NEGATIVE,POSITIVE,0.445082,0.93063,0.572016,0.598512,0.686396
2024-07-30/2026-07-30,2024-07-31T18:00:00+00:00,NEGATIVE,-3.68,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,,,,NEGATIVE,POSITIVE,NEGATIVE,,NEGATIVE,POSITIVE,0.426785,0.726463,0.498811,0.945672,0.418056
2024-07-30/2026-07-30,2024-09-18T18:00:00+00:00,POSITIVE,12.2615,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,,,,,,NEGATIVE,,,,NEGATIVE,POSITIVE,0.439108,0.474579,0.441604,0.710077,0.408025
2024-07-30/2026-07-30,2024-11-07T19:00:00+00:00,NEGATIVE,-2.43,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,,,,,,,,,NEGATIVE,NEGATIVE,0.570297,0.877912,0.475175,0.005736,0.456703
2024-07-30/2026-07-30,2024-12-18T19:00:00+00:00,NEGATIVE,-3.87,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,,,,,,,,,,POSITIVE,POSITIVE,0.361793,0.304818,0.537576,0.541586,0.374336
2024-07-30/2026-07-30,2025-01-29T19:00:00+00:00,NEGATIVE,-4.356,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,,,,,,,,,,POSITIVE,POSITIVE,0.451124,0.331477,0.593633,0.831265,0.439902
2024-07-30/2026-07-30,2025-03-19T18:00:00+00:00,POSITIVE,5.25,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,0.540603,0.69896,0.626575,0.992082,0.381016
2024-07-30/2026-07-30,2025-05-07T18:00:00+00:00,NEGATIVE,-0.54,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,,POSITIVE,POSITIVE,POSITIVE,,,POSITIVE,,POSITIVE,POSITIVE,POSITIVE,0.505679,0.569355,0.429833,0.590841,0.373862
2024-07-30/2026-07-30,2025-06-18T18:00:00+00:00,POSITIVE,2.8965,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,,,,,,NEGATIVE,,,,NEGATIVE,POSITIVE,0.35577,0.279865,0.447721,0.742032,0.477662
2024-07-30/2026-07-30,2025-07-30T18:00:00+00:00,POSITIVE,0.46,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,,,,,,,,,,POSITIVE,POSITIVE,0.398853,0.492353,0.500076,0.845253,0.391317
2024-07-30/2026-07-30,2025-09-17T18:00:00+00:00,NEGATIVE,-4.59,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,POSITIVE,,,NEGATIVE,NEGATIVE,NEGATIVE,,,,,NEGATIVE,NEGATIVE,0.524288,0.314254,0.43743,0.650407,0.577768
2024-07-30/2026-07-30,2025-10-29T18:00:00+00:00,NEGATIVE,-6.4465,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,0.432562,0.1692,0.384475,0.269544,0.441864
2024-07-30/2026-07-30,2025-12-10T19:00:00+00:00,POSITIVE,16.72,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,,POSITIVE,,,NEGATIVE,POSITIVE,,POSITIVE,NEGATIVE,POSITIVE,0.497507,0.527945,0.291207,0.579735,0.504521
2024-07-30/2026-07-30,2026-01-28T19:00:00+00:00,POSITIVE,7.313,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,,,,,,,POSITIVE,,,NEGATIVE,POSITIVE,0.639631,0.927804,0.332477,0.91579,0.561689
2024-07-30/2026-07-30,2026-03-18T18:00:00+00:00,POSITIVE,5.7665,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,,,,,,,POSITIVE,,,NEGATIVE,POSITIVE,0.690811,0.954156,0.429054,0.963301,0.558484
2024-07-30/2026-07-30,2026-04-29T18:00:00+00:00,NEGATIVE,-3.5435,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,,,,,,,POSITIVE,,,NEGATIVE,POSITIVE,0.572073,0.674642,0.309698,0.68152,0.56142
2024-07-30/2026-07-30,2026-06-17T18:00:00+00:00,NEGATIVE,-31.935,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,,NEGATIVE,,NEGATIVE,NEGATIVE,0.497476,0.371533,0.464849,0.990098,0.402991
2024-07-30/2026-07-30,2026-07-29T18:00:00+00:00,POSITIVE,32.425,,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,POSITIVE,,,NEGATIVE,NEGATIVE,,,,,,NEGATIVE,NEGATIVE,0.501675,0.422056,0.386384,0.998481,0.545182
