sample_index,reopen_utc,side,entry_time_utc,exit_time_utc,entry_price,stop_loss,take_profit,exit_price,stop_usd,result_r,outcome,spread_usd_at_entry
123,2024-10-21T01:00:00+00:00,BUY,2024-10-18T23:51:00Z,2024-10-21T01:00:00Z,2721.61,2691.61,2811.61,2718.96,30.0,-0.088333,REOPEN,0.25
128,2024-11-25T01:00:00+00:00,BUY,2024-11-22T23:51:00Z,2024-11-25T01:00:00Z,2712.55,2682.55,2802.55,2713.5,30.0,0.031667,REOPEN,0.25
131,2024-12-16T01:00:00+00:00,SELL,2024-12-13T23:51:00Z,2024-12-16T01:00:00Z,2648.63,2678.63,2558.63,2650.24,30.0,-0.053667,REOPEN,0.25
140,2025-02-17T01:00:00+00:00,SELL,2025-02-14T23:51:00Z,2025-02-17T01:00:00Z,2882.76,2912.76,2792.76,2884.01,30.0,-0.041667,REOPEN,0.8
147,2025-04-07T01:00:00+00:00,SELL,2025-04-04T23:51:00Z,2025-04-07T01:00:00Z,3037.48,3067.48,2947.48,3007.65,30.0,0.994333,REOPEN,0.52
148,2025-04-14T01:00:00+00:00,BUY,2025-04-11T23:51:00Z,2025-04-14T01:00:00Z,3235.9,3205.9,3325.9,3228.91,30.0,-0.233,REOPEN,0.65
153,2025-05-26T01:00:00+00:00,BUY,2025-05-23T23:51:00Z,2025-05-26T01:00:00Z,3359.1,3329.1,3449.1,3355.03,30.0,-0.135667,REOPEN,0.25
155,2025-06-09T01:00:00+00:00,SELL,2025-06-06T23:51:00Z,2025-06-09T01:00:00Z,3311.59,3341.59,3221.59,3311.55,30.0,0.001333,REOPEN,0.25
156,2025-06-16T01:00:00+00:00,BUY,2025-06-13T23:51:00Z,2025-06-16T01:00:00Z,3432.37,3402.37,3522.37,3432.14,30.0,-0.007667,REOPEN,0.25
158,2025-06-30T01:00:00+00:00,SELL,2025-06-27T23:51:00Z,2025-06-30T01:00:00Z,3274.62,3304.62,3184.62,3273.34,30.0,0.042667,REOPEN,0.25
162,2025-07-28T01:00:00+00:00,SELL,2025-07-25T23:51:00Z,2025-07-28T01:00:00Z,3336.12,3366.12,3246.12,3319.07,30.0,0.568333,REOPEN,0.69
163,2025-08-04T01:00:00+00:00,BUY,2025-08-01T23:51:00Z,2025-08-04T01:00:00Z,3362.37,3332.37,3452.37,3365.51,30.0,0.104667,REOPEN,0.25
168,2025-09-08T01:00:00+00:00,BUY,2025-09-05T23:51:00Z,2025-09-08T01:00:00Z,3587.14,3557.14,3677.14,3579.34,30.0,-0.26,REOPEN,0.25
170,2025-09-22T01:00:00+00:00,BUY,2025-09-19T23:51:00Z,2025-09-22T01:00:00Z,3685.2,3655.2,3775.2,3687.48,30.0,0.076,REOPEN,0.77
174,2025-10-20T01:00:00+00:00,SELL,2025-10-17T23:51:00Z,2025-10-20T01:00:00Z,4246.92,4276.92,4156.92,4245.81,30.0,0.037,REOPEN,0.25
178,2025-11-17T01:00:00+00:00,SELL,2025-11-14T23:51:00Z,2025-11-17T01:00:00Z,4080.32,4110.32,3990.32,4085.23,30.0,-0.163667,REOPEN,0.25
180,2025-12-01T01:00:00+00:00,BUY,2025-11-28T21:41:00Z,2025-12-01T01:00:00Z,4220.8,4190.8,4310.8,4221.63,30.0,0.027667,REOPEN,0.25
184,2025-12-29T01:00:00+00:00,BUY,2025-12-26T23:51:00Z,2025-12-29T01:00:00Z,4531.32,4501.32,4621.32,4535.64,30.0,0.144,REOPEN,1.61
188,2026-01-26T01:00:00+00:00,BUY,2026-01-23T23:51:00Z,2026-01-26T01:00:00Z,4982.72,4952.72,5072.72,5009.38,30.0,0.888667,REOPEN,0.25
189,2026-02-02T01:00:00+00:00,SELL,2026-01-30T23:51:00Z,2026-02-02T01:00:00Z,4867.06,4897.06,4777.06,4810.83,30.0,1.874333,REOPEN,3.5
190,2026-02-09T01:00:00+00:00,BUY,2026-02-06T23:51:00Z,2026-02-09T01:00:00Z,4960.97,4930.97,5050.97,4983.63,30.0,0.755333,REOPEN,1.04
191,2026-02-16T01:00:00+00:00,BUY,2026-02-13T23:51:00Z,2026-02-16T01:00:00Z,5041.69,5011.69,5131.69,5037.75,30.0,-0.131333,REOPEN,0.25
192,2026-02-23T01:00:00+00:00,BUY,2026-02-20T23:51:00Z,2026-02-23T01:00:00Z,5104.1,5074.1,5194.1,5109.84,30.0,0.191333,REOPEN,0.71
193,2026-03-02T01:00:00+00:00,BUY,2026-02-27T23:51:00Z,2026-03-02T01:00:00Z,5279.35,5249.35,5369.35,5369.35,30.0,3.0,TP,1.22
194,2026-03-09T01:00:00+00:00,BUY,2026-03-06T23:51:00Z,2026-03-09T01:00:00Z,5171.38,5141.38,5261.38,5180.27,30.0,0.296333,REOPEN,0.25
195,2026-03-16T01:00:00+00:00,SELL,2026-03-13T23:51:00Z,2026-03-16T01:00:00Z,5017.68,5047.68,4927.68,5000.24,30.0,0.581333,REOPEN,2.39
196,2026-03-23T01:00:00+00:00,SELL,2026-03-20T23:51:00Z,2026-03-23T01:00:00Z,4498.95,4528.95,4408.95,4469.74,30.0,0.973667,REOPEN,0.46
197,2026-03-30T01:00:00+00:00,BUY,2026-03-27T23:51:00Z,2026-03-30T01:00:00Z,4497.92,4467.92,4587.92,4506.45,30.0,0.284333,REOPEN,0.25
203,2026-05-18T01:00:00+00:00,SELL,2026-05-15T23:51:00Z,2026-05-18T01:00:00Z,4537.83,4567.83,4447.83,4529.42,30.0,0.280333,REOPEN,0.25
206,2026-06-08T01:00:00+00:00,SELL,2026-06-05T23:51:00Z,2026-06-08T01:00:00Z,4327.91,4357.91,4237.91,4323.74,30.0,0.139,REOPEN,0.25
208,2026-06-22T01:00:00+00:00,SELL,2026-06-19T19:56:00Z,2026-06-22T01:00:00Z,4152.88,4182.88,4062.88,4142.92,30.0,0.332,REOPEN,0.25
209,2026-06-29T01:00:00+00:00,BUY,2026-06-26T23:51:00Z,2026-06-29T01:00:00Z,4073.85,4043.85,4163.85,4082.61,30.0,0.292,REOPEN,0.47
210,2026-07-06T01:00:00+00:00,BUY,2026-07-03T19:56:00Z,2026-07-06T01:00:00Z,4175.91,4145.91,4265.91,4188.24,30.0,0.411,REOPEN,0.25
212,2026-07-20T01:00:00+00:00,BUY,2026-07-17T23:51:00Z,2026-07-20T01:00:00Z,4017.31,3987.31,4107.31,4001.62,30.0,-0.523,REOPEN,0.25
214,2026-08-03T01:00:00+00:00,SELL,2026-07-31T23:51:00Z,2026-08-03T01:00:00Z,4051.85,4081.85,3961.85,4081.85,30.0,-1.0,SL,0.25
