weekend_open,side,source,reference_time,entry_time,exit_time,pending_price,fill_price,stop_loss,take_profit,exit_price,result_r,outcome,spread_usd_at_entry
2026-01-05T01:00:00+00:00,BUY,friday,2026-01-02T23:49:00+00:00,2026-01-02T23:51:00+00:00,2026-01-05T03:04:00+00:00,4332.17,4332.17,4312.17,4412.17,4412.17,4.0,TP,0.25
2026-01-12T01:00:00+00:00,BUY,reopen,2026-01-09T23:49:00+00:00,2026-01-12T01:00:00+00:00,2026-01-12T02:44:00+00:00,4511.95,4518.83,4491.95,4591.95,4591.95,3.656,TP,0.25
2026-01-19T01:00:00+00:00,BUY,reopen,2026-01-16T23:49:00+00:00,2026-01-19T01:00:00+00:00,2026-01-19T01:25:00+00:00,4596.96,4625.95,4576.96,4676.96,4676.96,2.5505,TP,0.25
2026-01-26T01:00:00+00:00,BUY,friday,2026-01-23T23:49:00+00:00,2026-01-23T23:52:00+00:00,2026-01-26T03:18:00+00:00,4984.31,4984.31,4964.31,5064.31,5064.31,4.0,TP,0.63
2026-02-02T01:00:00+00:00,BUY,friday,2026-01-30T23:49:00+00:00,2026-01-30T23:50:00+00:00,2026-02-02T01:00:00+00:00,4869.64,4869.64,4849.64,4949.64,4849.64,-1.0,SL,3.34
2026-02-09T01:00:00+00:00,BUY,friday,2026-02-06T23:49:00+00:00,2026-02-06T23:53:00+00:00,2026-02-09T01:33:00+00:00,4962.12,4962.97,4942.12,5042.12,5042.12,3.9575,TP,1.96
2026-02-16T01:00:00+00:00,SELL,friday,2026-02-13T23:49:00+00:00,2026-02-13T23:51:00+00:00,2026-02-16T12:55:00+00:00,5039.2,5039.2,5059.2,4959.2,5007.98,1.561,TIME,0.25
2026-02-23T01:00:00+00:00,BUY,friday,2026-02-20T23:49:00+00:00,2026-02-20T23:53:00+00:00,2026-02-23T12:57:00+00:00,5106.47,5106.47,5086.47,5186.47,5162.72,2.8125,TIME,0.52
2026-03-02T01:00:00+00:00,BUY,friday,2026-02-27T23:49:00+00:00,2026-02-27T23:51:00+00:00,2026-03-02T01:00:00+00:00,5280.37,5280.37,5260.37,5360.37,5360.37,4.0,TP,1.22
2026-03-09T01:00:00+00:00,BUY,reopen,2026-03-06T23:49:00+00:00,2026-03-09T01:00:00+00:00,2026-03-09T01:05:00+00:00,5173.42,5180.52,5153.42,5253.42,5153.42,-1.355,SL,0.25
2026-03-16T01:00:00+00:00,SELL,friday,2026-03-13T23:49:00+00:00,2026-03-13T23:52:00+00:00,2026-03-16T12:56:00+00:00,5016.9,5016.9,5036.9,4936.9,4977.18,1.986,TIME,2.4
2026-03-23T01:00:00+00:00,BUY,friday,2026-03-20T23:49:00+00:00,2026-03-20T23:50:00+00:00,2026-03-23T01:00:00+00:00,4499.55,4499.55,4479.55,4579.55,4479.55,-1.0,SL,0.56
