release_utc,event,actual,release_move_usd,v1_direction,v2_direction,v4_active,v4_shadow,v5_active,v7_direction,v9_direction,action_tier,v9_trade_direction,v9_low_confidence_direction,confidence_pct,prediction,balance_before_usd,risk_budget_usd,nominal_risk_usd,status,lot,entry_time_utc,exit_time_utc,entry_price,exit_price,entry_spread_usd,entry_gap_from_request_ms,required_margin_usd,captured_move_usd,maximum_favorable_move_usd,maximum_adverse_move_usd,exit_reason,pnl_usd,minimum_equity_usd,maximum_equity_usd,realized_r,balance_after_usd,data_source
2026-01-28T19:00:00+00:00,FOMC,POSITIVE,7.313,NEGATIVE,NEGATIVE,NO CALL,POSITIVE,NO CALL,NEGATIVE,POSITIVE,LOW_CONFIDENCE,NO CALL,POSITIVE,56.58,POSITIVE,10535.75,105.36,104.0,EXECUTED,0.26,2026-01-28T18:59:55.114000+00:00,2026-01-28T19:00:07.679000+00:00,5282.83,5278.805,0.0,114,68.68,-4.025,2.135,4.025,STOP_LOSS,-104.65,10431.1,10591.26,-1.0063,10431.1,MT5 ticks
2026-02-11T13:30:00+00:00,NFP,NEGATIVE,-60.0015,NEGATIVE,POSITIVE,NO CALL,NEGATIVE,NO CALL,POSITIVE,NEGATIVE,LOW_CONFIDENCE,NO CALL,NEGATIVE,59.78,NEGATIVE,10431.1,104.31,104.0,EXECUTED,0.26,2026-02-11T13:29:55.015000+00:00,2026-02-11T13:45:00.066000+00:00,5083.588,5060.411,0.0,15,66.09,23.177,64.394,1.349,TIME_EXIT_T_PLUS_900s,602.6,10396.03,12105.34,5.7942,11033.7,MT5 ticks
2026-02-13T13:30:00+00:00,CPI,POSITIVE,27.565,POSITIVE,POSITIVE,NO CALL,POSITIVE,POSITIVE,POSITIVE,POSITIVE,TRADE,POSITIVE,NO CALL,68.0,POSITIVE,11033.7,110.34,108.0,EXECUTED,0.27,2026-02-13T13:29:55.097000+00:00,2026-02-13T13:45:00.184000+00:00,4967.441,4984.341,0.049,97,67.06,16.9,34.635,0.13,TIME_EXIT_T_PLUS_900s,456.3,11030.19,11968.85,4.225,11490.0,MT5 ticks
2026-03-06T13:30:00+00:00,NFP,POSITIVE,35.54,NEGATIVE,POSITIVE,NO CALL,NEGATIVE,NO CALL,POSITIVE,NEGATIVE,LOW_CONFIDENCE,NO CALL,NEGATIVE,54.65,NEGATIVE,11490.0,114.9,112.0,EXECUTED,0.28,2026-03-06T13:29:55.086000+00:00,2026-03-06T13:30:01.181000+00:00,5083.367,5091.185,0.115,86,71.17,-7.818,0.266,7.818,STOP_LOSS,-218.9,11271.1,11497.45,-1.9545,11271.1,MT5 ticks
2026-03-11T12:30:00+00:00,CPI,NEGATIVE,-3.4885,POSITIVE,POSITIVE,NO CALL,POSITIVE,POSITIVE,POSITIVE,POSITIVE,TRADE,POSITIVE,NO CALL,68.0,POSITIVE,11271.1,112.71,112.0,EXECUTED,0.28,2026-03-11T12:29:55.058000+00:00,2026-03-11T12:30:44.434000+00:00,5191.241,5186.882,0.097,58,72.68,-4.359,5.465,4.359,STOP_LOSS,-122.05,11149.05,11424.12,-1.0897,11149.05,MT5 ticks
2026-03-18T18:00:00+00:00,FOMC,POSITIVE,5.7665,NEGATIVE,NEGATIVE,NO CALL,POSITIVE,NO CALL,NEGATIVE,POSITIVE,LOW_CONFIDENCE,NO CALL,POSITIVE,56.44,POSITIVE,11149.05,111.49,108.0,EXECUTED,0.27,2026-03-18T17:59:55.157000+00:00,2026-03-18T18:03:32.575000+00:00,4891.364,4887.336,0.027,157,66.03,-4.028,7.989,4.028,STOP_LOSS,-108.76,11040.29,11364.75,-1.007,11040.29,MT5 ticks
2026-04-10T12:30:00+00:00,CPI,POSITIVE,13.5965,POSITIVE,POSITIVE,NO CALL,POSITIVE,POSITIVE,POSITIVE,POSITIVE,TRADE,POSITIVE,NO CALL,68.0,POSITIVE,11040.29,110.4,108.0,EXECUTED,0.27,2026-04-10T12:29:55.160000+00:00,2026-04-10T12:45:00.117000+00:00,4762.196,4772.885,0.005,160,64.29,10.689,20.29,0.585,TIME_EXIT_T_PLUS_900s,288.6,11024.49,11588.12,2.6722,11328.89,MT5 ticks
2026-04-29T18:00:00+00:00,FOMC,NEGATIVE,-3.5435,NEGATIVE,NEGATIVE,NO CALL,POSITIVE,NO CALL,NEGATIVE,POSITIVE,LOW_CONFIDENCE,NO CALL,POSITIVE,58.29,POSITIVE,11328.89,113.29,112.0,EXECUTED,0.28,2026-04-29T17:59:55.092000+00:00,2026-04-29T18:00:15.218000+00:00,4547.051,4542.844,0.071,92,63.66,-4.207,0.744,4.207,STOP_LOSS,-117.8,11211.09,11349.72,-1.0518,11211.09,MT5 ticks
2026-05-08T12:30:00+00:00,NFP,NEGATIVE,-2.236,NEGATIVE,NEGATIVE,NO CALL,NEGATIVE,NO CALL,NEGATIVE,NEGATIVE,LOW_CONFIDENCE,NO CALL,NEGATIVE,61.11,NEGATIVE,11211.09,112.11,112.0,EXECUTED,0.28,2026-05-08T12:29:55.127000+00:00,2026-05-08T12:30:29.779000+00:00,4709.81,4714.416,0.118,127,65.94,-4.606,6.82,4.606,STOP_LOSS,-128.97,11082.12,11402.05,-1.1515,11082.12,MT5 ticks
2026-05-12T12:30:00+00:00,CPI,NEGATIVE,-4.0535,POSITIVE,POSITIVE,NO CALL,POSITIVE,POSITIVE,POSITIVE,POSITIVE,TRADE,POSITIVE,NO CALL,68.0,POSITIVE,11082.12,110.82,108.0,EXECUTED,0.27,2026-05-12T12:29:55.535000+00:00,2026-05-12T12:30:25.359000+00:00,4696.973,4692.793,0.074,535,63.41,-4.18,3.397,4.18,STOP_LOSS,-112.86,10969.26,11173.84,-1.045,10969.26,MT5 ticks
2026-06-05T12:30:00+00:00,NFP,NEGATIVE,-14.755,NEGATIVE,POSITIVE,NO CALL,NEGATIVE,NO CALL,POSITIVE,NEGATIVE,LOW_CONFIDENCE,NO CALL,NEGATIVE,50.92,NEGATIVE,10969.26,109.69,108.0,EXECUTED,0.27,2026-06-05T12:29:55.376000+00:00,2026-06-05T12:45:00.109000+00:00,4464.78,4446.337,0.06,376,60.27,18.443,25.109,1.511,TIME_EXIT_T_PLUS_900s,497.96,10928.46,11647.2,4.6107,11467.22,MT5 ticks
2026-06-10T12:30:00+00:00,CPI,POSITIVE,27.8235,POSITIVE,POSITIVE,NO CALL,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,TRADE,POSITIVE,NO CALL,68.0,POSITIVE,11467.22,114.67,112.0,EXECUTED,0.28,2026-06-10T12:29:55.145000+00:00,2026-06-10T12:45:00.099000+00:00,4137.743,4160.673,0.17,145,57.93,22.93,36.037,0.17,TIME_EXIT_T_PLUS_900s,642.04,11462.46,12476.26,5.7325,12109.26,MT5 ticks
2026-06-17T18:00:00+00:00,FOMC,NEGATIVE,-31.935,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,TRADE,NEGATIVE,NO CALL,65.0,NEGATIVE,12109.26,121.09,120.0,EXECUTED,0.3,2026-06-17T17:59:55.562000+00:00,2026-06-17T18:15:00.032000+00:00,4379.234,4284.7,0.06,562,65.69,94.534,102.162,1.054,TIME_EXIT_T_PLUS_900s,2836.02,12077.64,15174.12,23.6335,14945.28,MT5 ticks
2026-07-02T12:30:00+00:00,NFP,POSITIVE,52.13,NEGATIVE,POSITIVE,NO CALL,NEGATIVE,NO CALL,POSITIVE,NEGATIVE,LOW_CONFIDENCE,NO CALL,NEGATIVE,58.83,NEGATIVE,14945.28,149.45,148.0,EXECUTED,0.37,2026-07-02T12:29:55.002000+00:00,2026-07-02T12:30:01.318000+00:00,4064.311,4070.39,0.0,2,75.19,-6.079,0.078,6.079,STOP_LOSS,-224.92,14720.36,14948.17,-1.5197,14720.36,MT5 ticks
2026-07-14T12:30:00+00:00,CPI,POSITIVE,60.54,POSITIVE,POSITIVE,NO CALL,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,TRADE,POSITIVE,NO CALL,68.0,POSITIVE,14720.36,147.2,144.0,EXECUTED,0.36,2026-07-14T12:29:55.002000+00:00,2026-07-14T12:45:00.064000+00:00,4029.454,4092.814,0.0,2,72.53,63.36,73.901,0.087,TIME_EXIT_T_PLUS_900s,2280.96,14717.23,17380.8,15.84,17001.32,MT5 ticks
2026-07-29T18:00:00+00:00,FOMC,POSITIVE,32.425,NEGATIVE,NEGATIVE,NO CALL,POSITIVE,NO CALL,NEGATIVE,POSITIVE,LOW_CONFIDENCE,NO CALL,POSITIVE,56.43,POSITIVE,17001.32,170.01,168.0,EXECUTED,0.42,2026-07-29T17:59:55.575000+00:00,2026-07-29T18:15:00.017000+00:00,4044.027,4081.047,0.04,575,84.92,37.02,42.205,0.962,TIME_EXIT_T_PLUS_900s,1554.84,16960.92,18773.93,9.255,18556.16,MT5 ticks
2026-08-07T12:30:00+00:00,NFP,POSITIVE,46.95,NEGATIVE,NEGATIVE,NO CALL,POSITIVE,NO CALL,NEGATIVE,POSITIVE,LOW_CONFIDENCE,NO CALL,POSITIVE,65.39,POSITIVE,18556.16,185.56,184.0,EXECUTED,0.46,2026-08-07T12:29:55.046000+00:00,2026-08-07T12:45:00.121000+00:00,4307.409,4367.176,0.17,46,99.07,59.767,63.607,0.476,TIME_EXIT_T_PLUS_900s,2749.28,18534.26,21482.08,14.9417,21305.44,MT5 ticks
2026-08-12T12:30:00+00:00,CPI,NEGATIVE,-33.192,POSITIVE,POSITIVE,NO CALL,POSITIVE,POSITIVE,POSITIVE,POSITIVE,TRADE,POSITIVE,NO CALL,68.0,POSITIVE,21305.44,213.05,212.0,EXECUTED,0.53,2026-08-12T12:29:55+00:00,2026-08-12T12:30:05.988000+00:00,4423.644,4419.011,0.17,0,117.23,-4.633,9.266,4.633,STOP_LOSS,-245.55,21059.89,21796.54,-1.1583,21059.89,MT5 ticks
2026-09-04T12:30:00+00:00,NFP,NEGATIVE,-69.73,NEGATIVE,NEGATIVE,NO CALL,NEGATIVE,NO CALL,NEGATIVE,NEGATIVE,LOW_CONFIDENCE,NO CALL,NEGATIVE,69.34,NEGATIVE,21059.89,210.6,208.0,EXECUTED,0.52,2026-09-04T12:29:55.063000+00:00,2026-09-04T12:45:00.035000+00:00,4475.682,4394.043,0.09,63,116.37,81.639,96.41,0.365,TIME_EXIT_T_PLUS_900s,4245.23,21040.91,26073.21,20.4098,25305.12,MT5 ticks
