release_utc,event,first_side,legs,dual_fill,pre_release_fill,spread_dollars,entry_slippage_dollars,result_r
2022-05-04T18:00:00+00:00,FOMC,buy,1,False,False,0.4940000000001419,0.03899999999975989,0.58908333333333
2022-05-06T12:30:00+00:00,NFP,buy,1,False,False,0.5740000000000691,0.07399999999984175,-0.6107499999999959
2022-05-12T12:30:00+00:00,PPI,buy,1,False,False,0.55600000000004,0.09599999999977626,-0.01116666666666788
2022-06-03T12:30:00+00:00,NFP,buy,1,False,False,0.6139999999998054,0.06900000000041473,-0.3371666666666518
2022-06-10T12:30:00+00:00,CPI,buy,1,False,False,0.3990000000001146,0.051499999999577994,0.5790416666667019
2022-07-08T12:30:00+00:00,NFP,buy,1,False,False,0.4959999999998672,0.3960000000004129,-0.11058333333333319
2022-07-13T12:30:00+00:00,CPI,sell,1,False,False,0.44499999999993634,0.68100000000004,0.5371666666666783
2022-07-14T12:30:00+00:00,PPI,buy,1,False,False,0.28100000000017644,0.3744999999994434,-0.614749999999996
2022-07-28T12:30:00+00:00,GDP,buy,1,False,False,0.34699999999998,0.3894999999999982,0.5508750000000001
2022-08-05T12:30:00+00:00,NFP,sell,1,False,False,0.4479999999998654,2.025000000000091,0.41566666666667135
2022-08-10T12:30:00+00:00,CPI,sell,1,False,True,0.2840000000001055,0.2699999999999818,-1.0228333333333428
2022-08-11T12:30:00+00:00,PPI,buy,1,False,False,0.41800000000012005,0.47299999999972897,-0.489500000000002
2022-09-02T12:30:00+00:00,NFP,buy,1,False,False,0.52800000000002,7.2710000000001855,0.03449999999999894
2022-09-13T12:30:00+00:00,CPI,sell,1,False,False,0.42699999999990723,3.367000000000189,0.31049999999999045
2022-09-14T12:30:00+00:00,PPI,buy,1,False,False,0.34400000000005093,0.09699999999975262,-0.09533333333333378
2022-09-21T18:00:00+00:00,FOMC,sell,1,False,False,0.5860000000000127,2.459999999999809,0.3960833333333464
2022-10-07T12:30:00+00:00,NFP,sell,1,False,False,0.7880000000000109,0.09199999999987085,0.5756666666666774
2022-10-12T12:30:00+00:00,PPI,sell,1,False,False,0.3200000000001637,0.22000000000002728,0.015833333333318933
2022-10-13T12:30:00+00:00,CPI,sell,1,False,False,0.44399999999996,1.747000000000071,0.44633333333333286
2022-10-27T12:30:00+00:00,GDP,buy,1,False,True,0.4860000000001037,8.009999999999991,-0.3095833333333455
2022-11-02T18:00:00+00:00,FOMC,buy,1,False,False,0.4750000000001364,0.06949999999983447,0.5777499999999994
2022-11-04T12:30:00+00:00,NFP,sell,1,False,False,0.9259999999999309,0.7210000000000036,-0.13633333333333061
2022-11-10T13:30:00+00:00,CPI,buy,1,False,False,0.4860000000001037,8.530999999999949,0.08033333333332848
2022-11-15T13:30:00+00:00,PPI,buy,1,False,False,0.4860000000001037,1.6309999999996307,0.451249999999997
2022-12-02T13:30:00+00:00,NFP,sell,1,False,False,0.8140000000000782,5.765999999999849,0.11074999999999591
