release_utc,history_prediction,model_prediction,model_probability_positive_pct,components_agree,agreement_prediction,production_prediction,confidence_tier,confidence_pct,resolver,pricing_direction,actual_gold_impact,actual_move_usd,history_correct,model_correct,agreement_correct,production_correct
2023-06-14T18:00:00+00:00,NEGATIVE,NEGATIVE,37.85,True,NEGATIVE,NEGATIVE,HIGH,65.0,history_model_agreement,,NEGATIVE,-6.7595,True,True,True,True
2023-07-26T18:00:00+00:00,POSITIVE,POSITIVE,55.16,True,POSITIVE,POSITIVE,HIGH,65.0,history_model_agreement,,POSITIVE,2.8915,True,True,True,True
2023-09-20T18:00:00+00:00,NEGATIVE,POSITIVE,61.78,False,,NEGATIVE,LOW,52.0,unresolved_conflict_history_fallback,,NEGATIVE,-3.5915,True,False,,True
2023-11-01T18:00:00+00:00,NEGATIVE,POSITIVE,60.56,False,,NEGATIVE,LOW,52.0,unresolved_conflict_history_fallback,,POSITIVE,2.8865,False,True,,False
2023-12-13T19:00:00+00:00,NEGATIVE,POSITIVE,61.99,False,,NEGATIVE,LOW,52.0,unresolved_conflict_history_fallback,,POSITIVE,11.057,False,True,,False
2024-01-31T19:00:00+00:00,NEGATIVE,NEGATIVE,46.4,True,NEGATIVE,NEGATIVE,HIGH,65.0,history_model_agreement,,NEGATIVE,-5.0,True,True,True,True
2024-03-20T18:00:00+00:00,NEGATIVE,POSITIVE,52.54,False,,NEGATIVE,LOW,52.0,unresolved_conflict_history_fallback,,POSITIVE,4.533,False,True,,False
2024-05-01T18:00:00+00:00,NEGATIVE,NEGATIVE,33.65,True,NEGATIVE,NEGATIVE,HIGH,65.0,history_model_agreement,,POSITIVE,3.435,False,False,False,False
2024-06-12T18:00:00+00:00,NEGATIVE,POSITIVE,67.72,False,,NEGATIVE,LOW,52.0,unresolved_conflict_history_fallback,,NEGATIVE,-5.31,True,False,,True
2024-07-31T18:00:00+00:00,NEGATIVE,NEGATIVE,41.81,True,NEGATIVE,NEGATIVE,HIGH,65.0,history_model_agreement,,NEGATIVE,-3.68,True,True,True,True
2024-09-18T18:00:00+00:00,POSITIVE,NEGATIVE,42.21,False,,POSITIVE,LOW,52.0,unresolved_conflict_history_fallback,,POSITIVE,12.2615,True,False,,True
2024-11-07T19:00:00+00:00,NEGATIVE,NEGATIVE,45.2,True,NEGATIVE,NEGATIVE,HIGH,65.0,history_model_agreement,,NEGATIVE,-2.43,True,True,True,True
2024-12-18T19:00:00+00:00,POSITIVE,NEGATIVE,37.69,False,,POSITIVE,LOW,52.0,unresolved_conflict_history_fallback,,NEGATIVE,-3.87,False,True,,False
2025-01-29T19:00:00+00:00,POSITIVE,NEGATIVE,41.24,False,,POSITIVE,LOW,52.0,unresolved_conflict_history_fallback,,NEGATIVE,-4.356,False,True,,False
2025-03-19T18:00:00+00:00,POSITIVE,NEGATIVE,34.67,False,,POSITIVE,LOW,52.0,unresolved_conflict_history_fallback,,POSITIVE,5.25,True,False,,True
2025-05-07T18:00:00+00:00,POSITIVE,NEGATIVE,40.21,False,,POSITIVE,LOW,52.0,unresolved_conflict_history_fallback,,NEGATIVE,-0.54,False,True,,False
2025-06-18T18:00:00+00:00,POSITIVE,NEGATIVE,47.39,False,,POSITIVE,LOW,52.0,unresolved_conflict_history_fallback,,POSITIVE,2.8965,True,False,,True
2025-07-30T18:00:00+00:00,POSITIVE,NEGATIVE,37.95,False,,POSITIVE,LOW,52.0,unresolved_conflict_history_fallback,,POSITIVE,0.46,True,False,,True
2025-09-17T18:00:00+00:00,NEGATIVE,POSITIVE,58.06,False,,NEGATIVE,LOW,52.0,unresolved_conflict_history_fallback,,NEGATIVE,-4.59,True,False,,True
2025-10-29T18:00:00+00:00,NEGATIVE,NEGATIVE,45.75,True,NEGATIVE,NEGATIVE,HIGH,65.0,history_model_agreement,,NEGATIVE,-6.4465,True,True,True,True
2025-12-10T19:00:00+00:00,POSITIVE,NEGATIVE,48.7,False,,POSITIVE,LOW,52.0,unresolved_conflict_history_fallback,,POSITIVE,16.72,True,False,,True
2026-01-28T19:00:00+00:00,NEGATIVE,POSITIVE,55.32,False,,NEGATIVE,LOW,52.0,unresolved_conflict_history_fallback,,POSITIVE,7.313,False,True,,False
2026-03-18T18:00:00+00:00,NEGATIVE,POSITIVE,56.53,False,,NEGATIVE,LOW,52.0,unresolved_conflict_history_fallback,,POSITIVE,5.7665,False,True,,False
2026-04-29T18:00:00+00:00,NEGATIVE,POSITIVE,59.77,False,,NEGATIVE,LOW,52.0,unresolved_conflict_history_fallback,,NEGATIVE,-3.5435,True,False,,True
2026-06-17T18:00:00+00:00,NEGATIVE,NEGATIVE,37.7,True,NEGATIVE,NEGATIVE,HIGH,65.0,history_model_agreement,,NEGATIVE,-31.935,True,True,True,True
2026-07-29T18:00:00+00:00,NEGATIVE,POSITIVE,53.87,False,,POSITIVE,LOW,60.0,fedwatch_modal_vs_weighted_conflict_resolver,POSITIVE,POSITIVE,32.425,False,True,,True
