release_utc,event,direction,actual_direction,actual_move_usd,balance_before_usd,status,entry_time_utc,exit_time_utc,entry_price,exit_price,entry_spread_usd,entry_gap_from_request_ms,required_margin_usd,captured_move_usd,maximum_favorable_move_usd,maximum_adverse_move_usd,exit_reason,pnl_usd,minimum_equity_usd,maximum_equity_usd,balance_after_usd,data_source
2026-01-28T19:00:00+00:00,FOMC,NEGATIVE,POSITIVE,7.313,269.35,EXECUTED,2026-01-28T18:59:55.006000+00:00,2026-01-28T19:00:29.370000+00:00,5282.685,5286.935,1.37,6,21.13,-4.25,2.42,4.25,STOP_LOSS,-34.0,235.35,288.71,235.35,archive ticks + M1 continuation
2026-02-11T13:30:00+00:00,NFP,POSITIVE,NEGATIVE,-60.0015,235.35,EXECUTED,2026-02-11T13:29:55.001000+00:00,2026-02-11T13:29:59.681000+00:00,5085.115,5080.508,2.35,1,20.34,-4.607,0.0,4.607,STOP_LOSS,-36.86,198.49,222.39,198.49,archive ticks + M1 continuation
2026-02-13T13:30:00+00:00,CPI,POSITIVE,POSITIVE,27.565,198.49,EXECUTED,2026-02-13T13:29:55.093000+00:00,2026-02-13T13:45:00+00:00,4967.795,4983.668,0.98,93,19.87,15.873,31.39,1.457,TIME_EXIT_T_PLUS_900s,126.98,186.83,449.61,325.47,archive ticks + M1 continuation
2026-03-06T13:30:00+00:00,NFP,POSITIVE,POSITIVE,35.54,325.47,EXECUTED,2026-03-06T13:29:55.086000+00:00,2026-03-06T13:45:00.020000+00:00,5083.482,5121.929,0.115,86,20.33,38.447,47.275,0.478,TIME_EXIT_T_PLUS_900s,307.58,321.65,703.67,633.05,MT5 ticks
2026-03-11T12:30:00+00:00,CPI,POSITIVE,NEGATIVE,-3.4885,633.05,EXECUTED,2026-03-11T12:29:55.058000+00:00,2026-03-11T12:30:44.434000+00:00,5191.241,5186.882,0.097,58,20.76,-4.359,5.465,4.359,STOP_LOSS,-34.87,598.18,676.77,598.18,MT5 ticks
2026-03-18T18:00:00+00:00,FOMC,NEGATIVE,POSITIVE,5.7665,598.18,EXECUTED,2026-03-18T17:59:55.157000+00:00,2026-03-18T18:00:27.146000+00:00,4891.337,4895.451,0.027,157,19.57,-4.114,3.418,4.114,STOP_LOSS,-32.91,565.27,625.52,565.27,MT5 ticks
2026-04-10T12:30:00+00:00,CPI,POSITIVE,POSITIVE,13.5965,565.27,EXECUTED,2026-04-10T12:29:55.160000+00:00,2026-04-10T12:45:00.117000+00:00,4762.196,4772.885,0.005,160,19.05,10.689,20.29,0.585,TIME_EXIT_T_PLUS_900s,85.51,560.59,727.59,650.78,MT5 ticks
2026-04-29T18:00:00+00:00,FOMC,NEGATIVE,NEGATIVE,-3.5435,650.78,EXECUTED,2026-04-29T17:59:55.092000+00:00,2026-04-29T18:01:41.830000+00:00,4546.98,4551.201,0.071,92,18.19,-4.221,8.217,4.221,STOP_LOSS,-33.77,617.01,716.52,617.01,MT5 ticks
2026-05-08T12:30:00+00:00,NFP,NEGATIVE,NEGATIVE,-2.236,617.01,EXECUTED,2026-05-08T12:29:55.127000+00:00,2026-05-08T12:30:29.779000+00:00,4709.81,4714.416,0.118,127,18.84,-4.606,6.82,4.606,STOP_LOSS,-36.85,580.16,671.57,580.16,MT5 ticks
2026-05-12T12:30:00+00:00,CPI,POSITIVE,NEGATIVE,-4.0535,580.16,EXECUTED,2026-05-12T12:29:55.535000+00:00,2026-05-12T12:30:25.359000+00:00,4696.973,4692.793,0.074,535,18.79,-4.18,3.397,4.18,STOP_LOSS,-33.44,546.72,607.34,546.72,MT5 ticks
2026-06-05T12:30:00+00:00,NFP,POSITIVE,NEGATIVE,-14.755,546.72,EXECUTED,2026-06-05T12:29:55.376000+00:00,2026-06-05T12:30:01.263000+00:00,4464.84,4458.753,0.06,376,17.86,-6.087,1.391,6.087,STOP_LOSS,-48.7,498.02,557.85,498.02,MT5 ticks
2026-06-10T12:30:00+00:00,CPI,POSITIVE,POSITIVE,27.8235,498.02,EXECUTED,2026-06-10T12:29:55.145000+00:00,2026-06-10T12:45:00.099000+00:00,4137.743,4160.673,0.17,145,16.55,22.93,36.037,0.17,TIME_EXIT_T_PLUS_900s,183.44,496.66,786.32,681.46,MT5 ticks
2026-06-17T18:00:00+00:00,FOMC,NEGATIVE,NEGATIVE,-31.935,681.46,EXECUTED,2026-06-17T17:59:55.562000+00:00,2026-06-17T18:15:00.032000+00:00,4379.234,4284.7,0.06,562,17.52,94.534,102.162,1.054,TIME_EXIT_T_PLUS_900s,756.27,673.03,1498.76,1437.73,MT5 ticks
2026-07-02T12:30:00+00:00,NFP,POSITIVE,POSITIVE,52.13,1437.73,EXECUTED,2026-07-02T12:29:55.002000+00:00,2026-07-02T12:45:00.007000+00:00,4064.311,4132.604,0.0,2,16.26,68.293,76.49,0.078,TIME_EXIT_T_PLUS_900s,546.34,1437.11,2049.65,1984.07,MT5 ticks
2026-07-14T12:30:00+00:00,CPI,POSITIVE,POSITIVE,60.54,1984.07,EXECUTED,2026-07-14T12:29:55.002000+00:00,2026-07-14T12:45:00.064000+00:00,4029.454,4092.814,0.0,2,16.12,63.36,73.901,0.087,TIME_EXIT_T_PLUS_900s,506.88,1983.37,2575.28,2490.95,MT5 ticks
2026-07-29T18:00:00+00:00,FOMC,NEGATIVE,POSITIVE,32.425,2490.95,EXECUTED,2026-07-29T17:59:55.575000+00:00,2026-07-29T18:00:01.166000+00:00,4043.987,4048.099,0.04,575,16.18,-4.112,0.872,4.112,STOP_LOSS,-32.9,2458.05,2497.93,2458.05,MT5 ticks
2026-08-07T12:30:00+00:00,NFP,NEGATIVE,POSITIVE,46.95,2458.05,EXECUTED,2026-08-07T12:29:55.046000+00:00,2026-08-07T12:30:01.263000+00:00,4307.239,4312.21,0.17,46,17.23,-4.971,0.086,4.971,STOP_LOSS,-39.77,2418.28,2458.74,2418.28,MT5 ticks
2026-08-12T12:30:00+00:00,CPI,POSITIVE,NEGATIVE,-33.192,2418.28,EXECUTED,2026-08-12T12:29:55+00:00,2026-08-12T12:30:05.988000+00:00,4423.644,4419.011,0.17,0,17.69,-4.633,9.266,4.633,STOP_LOSS,-37.06,2381.22,2492.41,2381.22,MT5 ticks
2026-09-04T12:30:00+00:00,NFP,NEGATIVE,NEGATIVE,-69.73,2381.22,EXECUTED,2026-09-04T12:29:55.063000+00:00,2026-09-04T12:45:00.035000+00:00,4475.682,4394.043,0.09,63,17.9,81.639,96.41,0.365,TIME_EXIT_T_PLUS_900s,653.11,2378.3,3152.5,3034.33,MT5 ticks
