symbol,session_date,phase,side,signal_time,entry_time,exit_time,entry,initial_stop,final_stop,target,exit_price,initial_risk,pnl_r,mae_r,exit_reason,stop_locked,asia_high,asia_low,asia_range,liquidity_level
XAUUSD..,2026-03-13,london_fade,buy,2026-03-13T10:25:00+00:00,2026-03-13T10:25:00+00:00,2026-03-13T10:34:00+00:00,5077.37,5070.0359,5084.81295,5089.83797,5089.83797,7.334100000000035,1.6999999999999504,0.15407480127079037,target,True,5128.29,5072.82,55.470000000000255,5072.82
XAUUSD..,2026-03-16,london_fade,sell,2026-03-16T09:25:00+00:00,2026-03-16T09:25:00+00:00,2026-03-16T09:39:00+00:00,5027.88,5036.6438,5026.565430000001,5012.981540000001,5026.565430000001,8.76379999999972,0.1499999999999533,0.30466236107626354,locked_stop,True,5030.88,4967.42,63.460000000000036,5030.88
XAUUSD..,2026-03-17,london_fade,sell,2026-03-17T08:20:00+00:00,2026-03-17T08:20:00+00:00,2026-03-17T08:30:00+00:00,5037.59,5045.8502,5036.35097,5023.54766,5036.35097,8.260199999999713,0.14999999999997246,0.09927120408703632,locked_stop,True,5041.95,4994.61,47.340000000000146,5041.95
XAUUSD..,2026-04-22,london_fade,sell,2026-04-22T09:05:00+00:00,2026-04-22T09:05:00+00:00,2026-04-22T10:00:00+00:00,4759.28,4769.2296,4769.2296,4742.36568,4769.2296,9.949599999999919,-1.0,1.0713998552705577,stop,False,4764.97,4715.65,49.32000000000062,4764.97
XAUUSD..,2026-04-29,london_fade,buy,2026-04-29T10:35:00+00:00,2026-04-29T10:35:00+00:00,2026-04-29T10:36:00+00:00,4578.1,4572.663699999999,4572.663699999999,4587.341710000002,4572.663699999999,5.436300000001211,-1.0,1.0503467431890743,stop,False,4610.26,4576.05,34.210000000000036,4576.05
XAUUSD..,2026-05-04,london_fade,buy,2026-05-04T09:10:00+00:00,2026-05-04T09:10:00+00:00,2026-05-04T09:38:00+00:00,4597.22,4586.4641,4586.4641,4615.50503,4586.4641,10.75590000000011,-1.0,1.0980020267946224,stop,False,4636.55,4591.02,45.529999999999745,4591.02
XAUUSD..,2026-05-11,london_fade,buy,2026-05-11T09:20:00+00:00,2026-05-11T09:20:00+00:00,2026-05-11T09:39:00+00:00,4670.65,4663.9694,4671.65209,4682.007019999999,4671.65209,6.680599999999686,0.15,0.8906385653983322,locked_stop,True,4705.46,4668.44,37.02000000000044,4668.44
XAUUSD..,2026-05-14,london_fade,sell,2026-05-14T10:40:00+00:00,2026-05-14T10:40:00+00:00,2026-05-14T10:50:00+00:00,4712.19,4720.034900000001,4707.99245,4698.853669999998,4698.853669999998,7.844900000000962,1.7000000000000348,0.34034850667309274,target,True,4712.64,4668.81,43.82999999999993,4712.64
XAUUSD..,2026-05-27,london_fade,buy,2026-05-27T08:35:00+00:00,2026-05-27T08:35:00+00:00,2026-05-27T08:41:00+00:00,4496.94,4492.434399999999,4497.6158399999995,4504.599520000001,4497.6158399999995,4.505600000000413,0.14999999999995964,0.501598011363437,locked_stop,True,4536.5,4495.98,40.52000000000044,4495.98
XAUUSD..,2026-06-05,london_fade,buy,2026-06-05T09:20:00+00:00,2026-06-05T09:20:00+00:00,2026-06-05T09:47:00+00:00,4436.87,4427.3837,4448.01685,4452.996709999999,4452.996709999999,9.486299999999574,1.7000000000000288,0.22453432845263221,target,True,4483.45,4435.24,48.210000000000036,4435.24
XAUUSD..,2026-06-26,london_fade,sell,2026-06-26T10:40:00+00:00,2026-06-26T10:40:00+00:00,2026-06-26T10:46:00+00:00,4036.33,4039.6647,4032.5673500000003,4030.6610100000003,4030.6610100000003,3.3346999999998843,1.699999999999959,0.08096680361051704,target,True,4036.52,3983.03,53.48999999999978,4036.52
XAUUSD..,2026-06-29,london_fade,buy,2026-06-29T08:05:00+00:00,2026-06-29T08:05:00+00:00,2026-06-29T08:07:00+00:00,4054.74,4046.1463000000003,4056.0290549999995,4069.3492899999987,4056.0290549999995,8.593699999999444,0.14999999999997884,0.1803646857581516,locked_stop,True,4086.06,4048.27,37.789999999999964,4048.27
XAUUSD..,2026-07-02,london_fade,sell,2026-07-02T09:05:00+00:00,2026-07-02T09:05:00+00:00,2026-07-02T09:16:00+00:00,4070.11,4076.9511,4069.083835,4058.48013,4069.083835,6.841100000000097,0.15000000000002991,0.5306164213356921,locked_stop,True,4074.1,4030.73,43.36999999999989,4074.1
XAUUSD..,2026-07-06,london_fade,buy,2026-07-06T10:40:00+00:00,2026-07-06T10:40:00+00:00,2026-07-06T10:50:00+00:00,4158.75,4154.3550000000005,4163.692500000001,4166.2215,4163.692500000001,4.394999999999527,1.1245733788399432,0.056882821387946966,trailing_stop,True,4203.0,4157.5,45.5,4157.5
XAUUSD..,2026-07-07,london_fade,buy,2026-07-07T08:05:00+00:00,2026-07-07T08:05:00+00:00,2026-07-07T08:07:00+00:00,4128.5,4121.3585,4129.571225,4140.640549999999,4129.571225,7.1414999999997235,0.1499999999999618,0.24084576069457694,locked_stop,True,4168.4,4124.35,44.04999999999927,4124.35
XAUUSD..,2026-07-14,london_fade,sell,2026-07-14T09:30:00+00:00,2026-07-14T09:30:00+00:00,2026-07-14T10:01:00+00:00,4022.97,4028.8831,4022.0830349999997,4012.917729999999,4022.0830349999997,5.913100000000213,0.15000000000001923,0.629111633491759,locked_stop,True,4023.3,3983.53,39.76999999999998,4023.3
XAUUSD..,2026-07-15,london_fade,buy,2026-07-15T08:40:00+00:00,2026-07-15T08:40:00+00:00,2026-07-15T08:43:00+00:00,4031.63,4026.04,4032.4685,4041.1330000000003,4032.4685,5.5900000000001455,0.14999999999996746,0.13059033989266533,locked_stop,True,4062.02,4028.02,34.0,4028.02
XAUUSD..,2026-07-16,london_fade,buy,2026-07-16T09:40:00+00:00,2026-07-16T09:40:00+00:00,2026-07-16T10:01:00+00:00,4026.91,4021.6481,4027.6992849999997,4035.8552299999997,4027.6992849999997,5.261899999999969,0.14999999999996974,0.37248902487695473,locked_stop,True,4067.0,4024.27,42.73000000000002,4024.27
XAUUSD..,2026-07-24,london_fade,buy,2026-07-24T08:20:00+00:00,2026-07-24T08:20:00+00:00,2026-07-24T08:24:00+00:00,4024.69,4021.5217,4027.7858499999998,4030.0761100000004,4027.7858499999998,3.168300000000272,0.9771328472680726,0.16728213868641056,trailing_stop,True,4050.68,4023.07,27.609999999999673,4023.07
XAUUSD..,2026-07-28,london_fade,buy,2026-07-28T08:45:00+00:00,2026-07-28T08:45:00+00:00,2026-07-28T08:46:00+00:00,4041.84,4035.4733,4042.795005,4052.66339,4042.795005,6.366700000000037,0.14999999999996785,0.34240658425876486,locked_stop,True,4082.15,4040.26,41.88999999999987,4040.26
XAUUSD..,2026-07-29,london_fade,sell,2026-07-29T08:50:00+00:00,2026-07-29T08:50:00+00:00,2026-07-29T09:24:00+00:00,4033.77,4040.8532,4040.8532,4021.72856,4040.8532,7.0832000000000335,-1.0,1.3327309690535365,stop,False,4037.75,4010.31,27.440000000000055,4037.75
