instrument,broker_symbol,config,sample,trades,wins,losses,win_rate_pct,net_r,profit_factor,expectancy_r,max_dd_pct_at_1pct,ending_balance_at_1pct,selection_score
XAGUSD,XAGUSD..,trail_start_1R_distance_1.5R,train,108,51,57,47.22222222222222,23.266034739837508,1.6687951237132692,0.21542624759108803,5.232649603898399,1252.1230282001716,2.279788521071116
XAGUSD,XAGUSD..,trail_start_1R_distance_2R,train,108,50,58,46.2962962962963,26.102637724539456,1.7518555381446923,0.241691090042032,5.70179835553732,1287.225019070556,2.5464338826372335
XAGUSD,XAGUSD..,trail_start_1.5R_distance_0.5R,train,108,51,57,47.22222222222222,25.310907583202884,1.7319861532804168,0.2343602554000267,4.51928285337375,1278.648497903836,2.5145698266231
XAGUSD,XAGUSD..,trail_start_1.5R_distance_1R,train,108,51,57,47.22222222222222,21.09721920334771,1.610127166669464,0.19534462225321952,4.763500852259458,1226.8873932757067,2.081059905277598
XAGUSD,XAGUSD..,trail_start_1.5R_distance_1.5R,train,108,51,57,47.22222222222222,23.475623057078227,1.6789101086527407,0.21736688015813174,5.232649603898399,1254.7588038727094,2.3014734140416917
XAGUSD,XAGUSD..,trail_start_1.5R_distance_2R,train,108,50,58,46.2962962962963,26.102637724539456,1.7518555381446923,0.241691090042032,5.70179835553732,1287.225019070556,2.5464338826372335
XAGUSD,XAGUSD..,trail_start_2R_distance_0.5R,train,108,51,57,47.22222222222222,26.52708045019984,1.767157618219426,0.24562111527962815,4.519282853373731,1293.8923231696242,2.6368718350542544
XAGUSD,XAGUSD..,trail_start_2R_distance_1R,train,108,51,57,47.22222222222222,20.641422485507572,1.596945620923904,0.19112428227321826,4.763500852259446,1221.343005393682,2.035223613792306
XAGUSD,XAGUSD..,trail_start_2R_distance_1.5R,train,108,51,57,47.22222222222222,23.5198263392381,1.6801884583272522,0.21777616980776018,5.232649603898357,1255.311454633061,2.305918629301882
XAGUSD,XAGUSD..,trail_start_2R_distance_2R,train,108,51,57,47.22222222222222,26.64684100669932,1.77062106846429,0.24673000932129,5.70179835553736,1294.2399064977544,2.6016146974266507
XAGUSD,XAGUSD..,trail_start_3R_distance_0.5R,train,108,50,58,46.2962962962963,27.257163661124157,1.7661155699334061,0.25238114501040887,5.040630009823773,1301.9087225034123,2.68611393127968
XAGUSD,XAGUSD..,trail_start_3R_distance_1R,train,108,50,58,46.2962962962963,23.595290549651033,1.6631915078153323,0.2184749124967688,5.040630009823751,1256.4657421850081,2.3183114175207593
XAGUSD,XAGUSD..,trail_start_3R_distance_1.5R,train,108,50,58,46.2962962962963,26.31946492541196,1.739759724172367,0.24369874930937,5.040630009823779,1289.8512433132041,2.591930451501822
XAGUSD,XAGUSD..,trail_start_3R_distance_2R,train,108,50,58,46.2962962962963,25.95923078976336,1.7296346435303371,0.24036324805336445,5.040630009823773,1285.2239232645172,2.555748143540849
XAGUSD,XAGUSD..,fixed_4R,validation,37,13,24,35.13513513513514,2.0790350224600127,1.1477707909325523,0.05619013574216251,4.297988105837697,1018.2533258210944,
XAGUSD,XAGUSD..,fixed_4R,last_30_days,12,4,8,33.33333333333333,1.3805461111851034,1.3568347498277782,0.11504550926542528,2.3840759934177287,1012.932409133944,
BTCUSD,BTCUSD,fixed_1R,train,148,65,83,43.91891891891892,-6.249794567856153,0.8887686860013785,-0.04222834167470373,11.52771240025123,934.9252486875453,-0.8415231420208797
BTCUSD,BTCUSD,fixed_1.5R,train,148,59,89,39.86486486486486,-4.449890780220167,0.9270793952523964,-0.030066829596082208,12.520645498106262,950.3890433126849,-0.7275426795802118
BTCUSD,BTCUSD,fixed_2R,train,147,57,90,38.775510204081634,-3.782504369943972,0.9390152534254458,-0.025731322244516817,11.335453156506603,955.791553049846,-0.6245415405604599
BTCUSD,BTCUSD,fixed_2.5R,train,147,56,91,38.095238095238095,-1.8205067507648032,0.9711139697636968,-0.012384399665066688,11.413106888274244,973.5774594243896,-0.4610100461543567
BTCUSD,BTCUSD,fixed_3R,train,147,55,92,37.41496598639456,-9.521507168808604,0.8512817034872922,-0.06477215761094289,12.45849224206142,902.0595887241436,-1.1559681094454486
BTCUSD,BTCUSD,fixed_4R,train,147,53,94,36.054421768707485,-20.391327111192062,0.6911517669143422,-0.13871651096049023,19.1194102424157,810.0199529364669,-2.3429519584852554
BTCUSD,BTCUSD,fixed_5R,train,147,53,94,36.054421768707485,-18.391327111192062,0.7214438838914803,-0.12511106878361947,17.88717502155971,825.6721506217226,-2.1241615123359807
BTCUSD,BTCUSD,trail_start_1R_distance_0.5R,train,148,59,89,39.86486486486486,-8.1339454563881,0.8667085888264212,-0.054959090921541214,13.34881913012488,916.1384252475567,-1.07255267479464
BTCUSD,BTCUSD,trail_start_1R_distance_1R,train,148,59,89,39.86486486486486,-15.34261675232114,0.7485796961662463,-0.10366632940757527,17.198366485593024,853.0818902010187,-1.8368030333466865
BTCUSD,BTCUSD,trail_start_1R_distance_1.5R,train,147,56,91,38.095238095238095,-17.219710131531876,0.7172274986348177,-0.11714088524851617,17.94619168319007,837.0217815823203,-2.0305212967905595
BTCUSD,BTCUSD,trail_start_1R_distance_2R,train,147,56,91,38.095238095238095,-17.461422742585857,0.7166778515018216,-0.11878518872507385,17.330710349225388,834.9238958296228,-2.025920610653142
BTCUSD,BTCUSD,trail_start_1.5R_distance_0.5R,train,148,58,90,39.189189189189186,-7.568384858403284,0.8779760742020624,-0.05113773552975191,13.19250963868328,921.045585744999,-1.0181213775463718
BTCUSD,BTCUSD,trail_start_1.5R_distance_1R,train,148,58,90,39.189189189189186,-15.004642548247297,0.7580824147837827,-0.10138271992058985,16.927244984893672,855.8751785997372,-1.7967514570835452
BTCUSD,BTCUSD,trail_start_1.5R_distance_1.5R,train,147,58,89,39.455782312925166,-15.916184697380993,0.7391806067316209,-0.10827336528830607,16.877171221014578,847.9267405373425,-1.8769545463315138
BTCUSD,BTCUSD,trail_start_1.5R_distance_2R,train,147,56,91,38.095238095238095,-17.520891154921223,0.7159869878031384,-0.11918973574776343,17.38033923865137,834.422665616078,-2.032914267766427
BTCUSD,BTCUSD,trail_start_2R_distance_0.5R,train,147,57,90,38.775510204081634,-2.124251002002007,0.9657510219823608,-0.014450687088449028,12.03906746014684,970.6973474636653,-0.5119053147988325
BTCUSD,BTCUSD,trail_start_2R_distance_1R,train,147,57,90,38.775510204081634,-9.624251002002028,0.8448296549262976,-0.06547109525171448,13.750726125133117,901.8260743429419,-1.2170994405884366
BTCUSD,BTCUSD,trail_start_2R_distance_1.5R,train,147,57,90,38.775510204081634,-13.067378709019286,0.7893166270221463,-0.0888937327144169,14.542585605381298,871.7408913877373,-1.5410851609126541
BTCUSD,BTCUSD,trail_start_2R_distance_2R,train,147,57,90,38.775510204081634,-14.463895748004267,0.7668007937593265,-0.09839384862587937,14.697496031280197,859.8077162866551,-1.6658417369931584
BTCUSD,BTCUSD,trail_start_3R_distance_0.5R,train,147,54,93,36.734693877551024,-13.490259498583098,0.7925334399556326,-0.09177047277947686,13.434588138129245,866.9535058095096,-1.531161359952519
BTCUSD,BTCUSD,trail_start_3R_distance_1R,train,147,54,93,36.734693877551024,-15.490259498583107,0.7617754608276316,-0.10537591495634767,15.097826758335769,850.2961536203155,-1.7672618213984452
BTCUSD,BTCUSD,trail_start_3R_distance_1.5R,train,147,54,93,36.734693877551024,-17.490259498583118,0.7310174816996307,-0.11898135713321849,16.73698236760896,833.879993037677,-2.0023989624070384
BTCUSD,BTCUSD,trail_start_3R_distance_2R,train,147,54,93,36.734693877551024,-18.41744443339721,0.7167583142632262,-0.1252887376421579,17.487485963339928,826.3636916714936,-2.1110309058808068
ETHUSD,ETHUSD,fixed_1R,train,147,60,87,40.816326530612244,-11.194222775353344,0.8043681165120118,-0.07615117534253976,13.785726128847365,889.9441800320042,-1.354057760922649
ETHUSD,ETHUSD,fixed_1.5R,train,147,57,90,38.775510204081634,-5.708329878041582,0.9052100755421648,-0.038832176041099196,12.335045458066753,938.588033827567,-0.8284354200928441
ETHUSD,ETHUSD,fixed_2R,train,147,54,93,36.734693877551024,-2.500704253217756,0.9598618099668903,-0.017011593559304462,15.863157022909164,967.6476317384224,-0.6968016199583207
ETHUSD,ETHUSD,fixed_2.5R,train,147,54,93,36.734693877551024,1.7061403518008798,1.0273848399208434,0.011606396951026393,15.863157022909185,1007.9429133945963,-0.3396984704443094
ETHUSD,ETHUSD,fixed_3R,train,147,54,93,36.734693877551024,7.878111804223133,1.126449638454091,0.05359259730764036,15.863157022909116,1070.1943525550964,0.18421687497663386
ETHUSD,ETHUSD,fixed_4R,train,147,52,95,35.374149659863946,8.460444979071307,1.1329041629761716,0.05755404747667556,15.863157022909139,1073.9769612442053,0.233215084405894
ETHUSD,ETHUSD,fixed_5R,train,147,52,95,35.374149659863946,10.38739550280228,1.1631744084640245,0.07066255444083183,15.86315702290912,1093.3317849419207,0.3966878217420966
ETHUSD,ETHUSD,trail_start_1R_distance_0.5R,train,147,57,90,38.775510204081634,-4.9445402122045,0.9178932186458726,-0.03363632797418027,13.764696315525615,944.6176970960923,-0.8207226730434576
ETHUSD,ETHUSD,trail_start_1R_distance_1R,train,147,57,90,38.775510204081634,0.8600687579601478,1.0142819098295623,0.0058508078772799175,14.192896477755102,998.1154836907958,-0.3446362970743585
ETHUSD,ETHUSD,trail_start_1R_distance_1.5R,train,147,52,95,35.374149659863946,0.37323764041940377,1.006070625126446,0.0025390315674789373,14.549588947848246,992.0706638372402,-0.4002888424066996
ETHUSD,ETHUSD,trail_start_1R_distance_2R,train,147,52,95,35.374149659863946,2.1324580246490337,1.034370865056665,0.014506517174483223,15.403920753406835,1009.789975907477,-0.28511902686824553
ETHUSD,ETHUSD,trail_start_1.5R_distance_0.5R,train,147,55,92,37.41496598639456,2.023072790072429,1.0330015443656255,0.013762399932465502,14.160394791301442,1010.8624604651279,-0.24460532857742473
