slug,label,mode,period,from,to,old_trade_coverage_from,old_trade_coverage_to,new_trade_coverage_from,new_trade_coverage_to,old_history_quality,new_history_quality,old_return_pct,new_return_pct,delta_return_pct,old_profit_factor,new_profit_factor,delta_profit_factor,old_win_rate_pct,new_win_rate_pct,delta_win_rate_pct,old_max_drawdown_pct,new_max_drawdown_pct,delta_max_drawdown_pct,old_trades,new_trades,delta_trades,old_commission,new_commission,delta_commission,old_swap,new_swap,delta_swap,old_total_costs,new_total_costs,delta_total_costs
dmc-current-xau,DMC Current XAU,standard,6m,2026-03-05,2026-09-05,2026-03-02T03:00:00,2026-08-31T13:52:38,2026-03-05T06:00:00,2026-09-04T12:30:39,100%,100%,5.9,6.32,0.42,1.19,1.21,0.02,41.38,41.07,-0.31,8.74,8.91,0.17,58,56,-2.0,-12.76,-7.84,4.92,-6.33,-6.42,-0.09,-19.09,-14.26,4.83
dmc-current-xau,DMC Current XAU,standard,1y,2025-09-05,2026-09-05,2025-09-02T08:00:00,2026-08-31T13:52:38,2025-09-05T04:00:00,2026-09-04T12:30:39,99%,99%,12.08,14.82,2.74,1.18,1.22,0.04,40.52,41.38,0.86,9.96,10.12,0.16,116,116,0.0,-27.62,-17.88,9.74,-40.59,-39.08,1.51,-68.21,-56.96,11.25
dmc-current-xau,DMC Current XAU,standard,3y,2023-09-05,2026-09-05,2023-09-01T05:00:00,2026-08-31T13:52:38,2023-09-05T05:00:00,2026-09-04T12:30:39,98%,35%,46.72,54.84,8.12,1.27,1.31,0.04,40.8,41.53,0.73,12.49,12.4,-0.09,250,248,-2.0,-71.05,-45.19,25.86,-658.53,-667.94,-9.41,-729.58,-713.13,16.45
dmc-current-xau,DMC Current XAU,standard,5y,2021-09-05,2026-09-05,2021-09-01T08:00:00,2026-08-31T13:52:38,2021-09-06T07:00:00,2026-09-04T12:30:39,98%,20%,11.58,14.71,3.13,1.06,1.08,0.02,37.97,38.37,0.4,29.05,31.82,2.77,345,344,-1.0,-70.51,-45.21,25.3,-848.76,-851.08,-2.32,-919.27,-896.29,22.98
dmc-fresh-reaction-us100,DMC Fresh Reaction US100,standard,6m,2026-03-05,2026-09-05,2026-03-01T23:00:00,2026-08-03T15:54:03,2026-04-07T16:00:00,2026-09-01T16:30:41,100%,100%,1.25,1.29,0.04,1.41,1.42,0.01,50.0,50.0,0.0,2.35,3.31,0.96,6,6,0.0,-2.77,-1.41,1.36,-5.69,-5.71,-0.02,-8.46,-7.12,1.34
dmc-fresh-reaction-us100,DMC Fresh Reaction US100,standard,1y,2025-09-05,2026-09-05,2025-09-07T23:00:00,2026-08-03T15:54:03,2025-09-07T23:00:00,2026-09-01T16:30:41,100%,100%,3.68,2.68,-1.0,1.88,1.52,-0.36,66.67,61.54,-5.13,2.99,3.33,0.34,12,13,1.0,-5.8,-3.15,2.65,-24.13,-23.96,0.17,-29.93,-27.11,2.82
dmc-fresh-reaction-us100,DMC Fresh Reaction US100,standard,3y,2023-09-05,2026-09-05,2023-09-04T16:00:00,2026-08-03T15:54:03,2025-08-03T23:00:00,2026-09-01T16:30:41,98%,100%,17.94,4.69,-13.25,1.99,1.89,-0.1,65.22,64.29,-0.93,4.39,3.32,-1.07,46,14,-32.0,-31.9,-3.37,28.53,-115.97,-24.44,91.53,-147.87,-27.81,120.06
dmc-fresh-reaction-us100,DMC Fresh Reaction US100,standard,5y,2021-09-05,2026-09-05,2021-09-02T19:00:00,2026-08-03T15:54:03,2025-08-03T23:00:00,2026-09-01T16:30:41,98%,100%,14.23,4.69,-9.54,1.39,1.89,0.5,58.54,64.29,5.75,7.57,3.32,-4.25,82,14,-68.0,-55.89,-3.37,52.52,-186.0,-24.44,161.56,-241.89,-27.81,214.08
dmc-fresh-reaction-xau,DMC Fresh Reaction XAU,standard,6m,2026-03-05,2026-09-05,2026-03-04T07:00:00,2026-08-26T13:16:17,2026-03-05T07:00:00,2026-08-26T13:16:16,100%,100%,-0.31,0.6,0.91,0.97,1.07,0.1,33.33,35.71,2.38,4.87,3.3,-1.57,15,14,-1.0,-2.55,-1.54,1.01,-6.32,-6.44,-0.12,-8.87,-7.98,0.89
dmc-fresh-reaction-xau,DMC Fresh Reaction XAU,standard,1y,2025-09-05,2026-09-05,2026-01-19T03:00:00,2026-08-26T13:16:17,2026-01-19T03:00:00,2026-08-26T13:16:16,99%,99%,6.88,6.88,0.0,1.9,1.9,0.0,46.67,46.67,0.0,3.11,3.11,0.0,15,15,0.0,-2.55,-1.65,0.9,-7.9,-8.05,-0.15,-10.45,-9.7,0.75
dmc-fresh-reaction-xau,DMC Fresh Reaction XAU,standard,3y,2023-09-05,2026-09-05,2023-09-05T05:00:00,2026-08-26T13:16:17,2023-09-05T05:00:00,2026-08-26T13:16:16,98%,35%,36.18,35.83,-0.35,2.49,2.46,-0.03,60.0,60.0,0.0,4.08,4.22,0.14,55,55,0.0,-10.35,-6.65,3.7,-340.79,-345.24,-4.45,-351.14,-351.89,-0.75
dmc-fresh-reaction-xau,DMC Fresh Reaction XAU,standard,5y,2021-09-05,2026-09-05,2021-09-03T04:00:00,2026-08-26T13:16:17,2021-09-09T08:00:00,2026-08-26T13:16:16,98%,20%,21.68,15.47,-6.21,1.53,1.4,-0.13,49.41,47.67,-1.74,15.18,15.64,0.46,85,86,1.0,-14.29,-8.38,5.91,-505.49,-500.15,5.34,-519.78,-508.53,11.25
ema3,EMA3,safe,6m,2026-03-05,2026-09-05,2026-04-23T04:00:00,2026-08-28T14:05:41,2026-04-23T04:00:00,2026-08-28T14:05:41,100%,100%,-0.3,-0.52,-0.22,0.96,0.93,-0.03,43.75,43.75,0.0,3.83,4.01,0.18,16,16,0.0,-1.01,-0.67,0.34,0.0,-9.15,-9.15,-1.01,-9.82,-8.81
ema3,EMA3,safe,1y,2025-09-05,2026-09-05,2025-09-05T16:00:00,2026-08-26T13:16:24,2025-09-05T16:00:00,2026-08-26T13:16:24,99%,99%,16.27,17.69,1.42,2.71,3.09,0.38,70.27,71.43,1.16,3.33,3.44,0.11,37,35,-2.0,-2.42,-1.52,0.9,0.0,-53.28,-53.28,-2.42,-54.8,-52.38
ema3,EMA3,safe,3y,2023-09-05,2026-09-05,2023-11-16T16:00:00,2026-08-26T13:16:24,2023-11-16T16:00:00,2026-08-26T13:16:24,98%,35%,33.56,32.05,-1.51,2.3,2.28,-0.02,64.94,66.22,1.28,3.95,3.56,-0.39,77,74,-3.0,-8.51,-5.39,3.12,0.0,-295.01,-295.01,-8.51,-300.4,-291.89
ema3,EMA3,safe,5y,2021-09-05,2026-09-05,2021-11-16T12:00:00,2026-08-26T13:16:24,2021-11-16T12:00:00,2026-08-26T13:16:24,98%,20%,30.93,23.09,-7.84,1.86,1.62,-0.24,60.78,58.25,-2.53,5.03,6.91,1.88,102,103,1.0,-14.03,-8.82,5.21,0.0,-401.29,-401.29,-14.03,-410.11,-396.08
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,standard,6m,2026-03-05,2026-09-05,2026-03-05T02:31:35,2026-08-26T15:03:15,2026-03-05T02:31:36,2026-08-26T15:03:15,100%,100%,12.74,14.56,1.82,2.24,2.73,0.49,46.67,50.0,3.33,4.45,3.52,-0.93,15,14,-1.0,-123.97,-55.13,68.84,0.0,0.0,0.0,-123.97,-55.13,68.84
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,standard,1y,2025-09-05,2026-09-05,2025-10-12T07:48:37,2026-08-26T15:03:15,2025-09-18T14:38:26,2026-08-26T15:03:15,100%,100%,11.41,13.99,2.58,1.65,1.84,0.19,42.31,46.43,4.12,6.68,6.6,-0.08,26,28,2.0,-154.41,-74.03,80.38,-4.29,-5.61,-1.32,-158.7,-79.64,79.06
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,standard,3y,2023-09-05,2026-09-05,2023-10-27T03:07:28,2026-08-26T15:03:15,2023-09-05T08:55:24,2026-08-26T15:03:15,100%,37%,21.77,21.04,-0.73,1.72,1.39,-0.33,43.18,41.67,-1.51,6.68,12.04,5.36,44,72,28.0,-209.23,-188.19,21.04,-12.21,-23.48,-11.27,-221.44,-211.67,9.77
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,standard,5y,2021-09-05,2026-09-05,2021-09-29T13:02:39,2026-08-26T15:03:15,2021-09-29T13:02:24,2026-08-26T15:03:15,100%,22%,22.93,23.25,0.32,1.54,1.3,-0.24,38.98,39.8,0.82,7.45,12.04,4.59,59,98,39.0,-261.67,-267.58,-5.91,-12.31,-35.66,-23.35,-273.98,-303.24,-29.26
lta-volume-profile,LTA Volume Profile,safe,6m,2026-03-05,2026-09-05,2026-03-05T13:45:00,2026-09-04T01:26:31,2026-03-05T13:45:00,2026-09-04T01:26:31,100%,100%,29.7,24.55,-5.15,1.38,1.31,-0.07,31.78,30.84,-0.94,7.77,7.76,-0.01,107,107,0.0,-51.82,-33.79,18.03,0.0,-8.05,-8.05,-51.82,-41.84,9.98
lta-volume-profile,LTA Volume Profile,safe,1y,2025-09-05,2026-09-05,2025-09-05T03:15:00,2026-09-04T01:26:31,2025-09-05T03:15:00,2026-09-04T01:26:31,99%,99%,91.86,82.55,-9.31,1.42,1.37,-0.05,32.63,32.2,-0.43,14.58,14.67,0.09,236,236,0.0,-153.32,-98.55,54.77,0.0,-124.34,-124.34,-153.32,-222.89,-69.57
lta-volume-profile,LTA Volume Profile,safe,3y,2023-09-05,2026-09-05,2023-11-15T01:45:00,2026-09-04T01:26:31,2023-11-15T01:45:00,2026-09-04T01:26:31,98%,35%,163.31,67.88,-95.43,1.33,1.16,-0.17,31.35,29.38,-1.97,20.57,32.84,12.27,437,480,43.0,-551.65,-389.5,162.15,0.0,-481.27,-481.27,-551.65,-870.77,-319.12
lta-volume-profile,LTA Volume Profile,safe,5y,2021-09-05,2026-09-05,2021-11-11T05:45:00,2026-09-04T01:26:31,2021-11-11T00:15:00,2026-09-04T01:26:31,98%,20%,128.3,29.63,-98.67,1.23,1.06,-0.17,29.23,28.08,-1.15,20.52,38.07,17.55,609,666,57.0,-782.49,-509.65,272.84,0.0,-655.98,-655.98,-782.49,-1165.63,-383.14
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,standard,6m,2026-03-05,2026-09-05,2026-03-09T13:35:00,2026-09-04T19:55:00,2026-03-05T14:35:00,2026-09-04T19:55:00,100%,100%,-0.18,-1.58,-1.4,1.0,0.98,-0.02,37.21,37.4,0.19,11.25,11.68,0.43,129,131,2.0,-62.41,-31.1,31.31,-41.79,-48.24,-6.45,-104.2,-79.34,24.86
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,standard,1y,2025-09-05,2026-09-05,2025-09-08T13:35:00,2026-09-04T19:55:00,2025-09-05T13:35:00,2026-09-04T19:55:00,100%,100%,42.61,48.53,5.92,1.23,1.26,0.03,41.57,42.19,0.62,12.63,12.19,-0.44,255,256,1.0,-194.03,-100.68,93.35,-193.74,-199.06,-5.32,-387.77,-299.74,88.03
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,standard,3y,2023-09-05,2026-09-05,2023-09-07T13:35:00,2026-09-04T19:55:00,2025-06-24T13:35:00,2026-09-04T19:55:00,98%,100%,111.87,43.33,-68.54,1.18,1.2,0.02,40.68,41.42,0.74,12.63,12.16,-0.47,762,309,-453.0,-806.09,-122.25,683.84,-466.04,-192.17,273.87,-1272.13,-314.42,957.71
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,standard,5y,2021-09-05,2026-09-05,2021-09-07T13:35:00,2026-09-04T19:55:00,2025-06-24T13:35:00,2026-09-04T19:55:00,98%,100%,105.74,43.33,-62.41,1.12,1.2,0.08,38.99,41.42,2.43,12.63,12.16,-0.47,1272,309,-963.0,-1233.64,-122.25,1111.39,-493.54,-192.17,301.37,-1727.18,-314.42,1412.76
nasdaq-overnight,Nasdaq Overnight,standard,6m,2026-03-05,2026-09-05,2026-03-10T20:00:00,2026-09-02T13:29:00,2026-03-10T20:00:00,2026-09-02T13:29:00,100%,100%,5.88,6.35,0.47,1.63,1.94,0.31,62.07,62.5,0.43,2.38,2.53,0.15,58,48,-10.0,-6.62,-2.7,3.92,-83.93,-72.65,11.28,-90.55,-75.35,15.2
nasdaq-overnight,Nasdaq Overnight,standard,1y,2025-09-05,2026-09-05,2025-09-16T20:00:00,2026-09-02T13:29:00,2025-09-16T20:00:00,2026-09-02T13:29:00,100%,100%,8.28,8.83,0.55,1.8,2.17,0.37,62.5,62.9,0.4,2.4,2.5,0.1,72,62,-10.0,-8.5,-3.7,4.8,-107.47,-95.61,11.86,-115.97,-99.31,16.66
nasdaq-overnight,Nasdaq Overnight,standard,3y,2023-09-05,2026-09-05,2023-09-06T20:00:00,2026-09-02T13:29:00,2025-07-01T20:00:00,2026-09-02T13:29:00,98%,100%,7.77,8.48,0.71,1.29,1.95,0.66,55.62,58.97,3.35,4.86,2.51,-2.35,178,78,-100.0,-25.63,-4.77,20.86,-292.36,-127.26,165.1,-317.99,-132.03,185.96
nasdaq-overnight,Nasdaq Overnight,standard,5y,2021-09-05,2026-09-05,2023-06-20T20:00:00,2026-09-02T13:29:00,2025-07-01T20:00:00,2026-09-02T13:29:00,98%,100%,8.4,8.48,0.08,1.28,1.95,0.67,56.28,58.97,2.69,4.83,2.51,-2.32,199,78,-121.0,-30.02,-4.77,25.25,-334.56,-127.26,207.3,-364.58,-132.03,232.55
orb-volume-profile,ORB Volume Profile,standard,6m,2026-03-05,2026-09-05,2026-03-11T14:05:00,2026-09-04T19:55:00,2026-03-11T14:05:00,2026-09-04T19:55:00,100%,100%,12.78,10.99,-1.79,2.07,1.91,-0.16,51.28,44.74,-6.54,4.14,4.47,0.33,39,38,-1.0,-11.35,-6.94,4.41,0.0,0.0,0.0,-11.35,-6.94,4.41
orb-volume-profile,ORB Volume Profile,standard,1y,2025-09-05,2026-09-05,2025-09-10T15:05:00,2026-09-04T19:55:00,2025-09-10T15:05:00,2026-09-04T19:55:00,99%,99%,13.53,13.34,-0.19,1.91,1.89,-0.02,49.02,42.0,-7.02,5.98,5.83,-0.15,51,50,-1.0,-16.54,-10.51,6.03,0.0,0.0,0.0,-16.54,-10.51,6.03
orb-volume-profile,ORB Volume Profile,standard,3y,2023-09-05,2026-09-05,2023-09-13T13:55:00,2026-09-04T19:55:00,2023-09-07T15:00:00,2026-09-04T19:55:00,98%,35%,49.48,28.38,-21.1,1.69,1.27,-0.42,46.78,42.73,-4.05,5.85,12.28,6.43,171,227,56.0,-144.27,-120.79,23.48,0.0,0.0,0.0,-144.27,-120.79,23.48
orb-volume-profile,ORB Volume Profile,standard,5y,2021-09-05,2026-09-05,2021-09-13T13:50:00,2026-09-04T19:55:00,2021-09-13T13:50:00,2026-09-04T19:55:00,98%,20%,59.19,40.17,-19.02,1.43,1.19,-0.24,43.75,41.53,-2.22,6.14,12.31,6.17,304,419,115.0,-298.4,-282.15,16.25,0.0,0.0,0.0,-298.4,-282.15,16.25
orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,standard,6m,2026-03-05,2026-09-05,2026-03-24T14:00:00,2026-08-10T19:24:41,2026-03-24T14:00:00,2026-08-10T22:01:00,100%,100%,10.82,10.85,0.03,3.14,3.1,-0.04,50.0,50.0,0.0,2.97,2.96,-0.01,16,16,0.0,-4.45,-2.85,1.6,0.0,0.0,0.0,-4.45,-2.85,1.6
orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,standard,1y,2025-09-05,2026-09-05,2025-09-16T14:45:00,2026-08-10T19:24:41,2025-09-16T14:45:00,2026-08-10T22:01:00,99%,99%,12.57,12.96,0.39,2.88,2.91,0.03,52.17,47.83,-4.34,2.92,2.91,-0.01,23,23,0.0,-7.38,-4.72,2.66,0.0,0.0,0.0,-7.38,-4.72,2.66
orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,standard,3y,2023-09-05,2026-09-05,2023-10-13T13:50:00,2026-08-10T19:24:41,2025-08-04T13:50:00,2026-08-10T22:01:00,98%,35%,25.92,10.76,-15.16,2.01,2.24,0.23,45.59,42.31,-3.28,5.64,2.97,-2.67,68,26,-42.0,-44.6,-5.84,38.76,0.0,0.0,0.0,-44.6,-5.84,38.76
orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,standard,5y,2021-09-05,2026-09-05,2021-09-13T13:50:00,2026-08-10T19:24:41,2025-08-04T13:50:00,2026-08-10T22:01:00,98%,20%,34.62,10.76,-23.86,1.69,2.24,0.55,43.33,42.31,-1.02,5.67,2.97,-2.7,120,26,-94.0,-103.06,-5.84,97.22,0.0,0.0,0.0,-103.06,-5.84,97.22
sell-nasdaq-15min,Sell Nasdaq 15min,dynamic,6m,2026-03-05,2026-09-05,2026-03-09T13:45:40,2026-08-19T19:55:00,2026-03-09T13:45:40,2026-08-19T19:55:00,100%,100%,-1.65,-1.59,0.06,0.85,0.86,0.01,42.86,42.86,0.0,6.07,6.05,-0.02,21,21,0.0,-9.54,-4.78,4.76,0.0,0.0,0.0,-9.54,-4.78,4.76
sell-nasdaq-15min,Sell Nasdaq 15min,dynamic,1y,2025-09-05,2026-09-05,2025-09-16T13:45:39,2026-08-19T19:55:00,2025-09-05T14:00:39,2026-08-19T19:55:00,100%,100%,13.28,16.92,3.64,1.44,1.55,0.11,46.15,47.17,1.02,7.81,7.79,-0.02,52,53,1.0,-35.19,-18.57,16.62,0.0,0.0,0.0,-35.19,-18.57,16.62
sell-nasdaq-15min,Sell Nasdaq 15min,dynamic,3y,2023-09-05,2026-09-05,2023-09-11T13:45:56,2026-08-19T19:55:00,2025-06-30T13:48:14,2026-08-19T19:55:00,98%,100%,94.91,17.97,-76.94,1.78,1.5,-0.28,44.03,45.0,0.97,7.82,7.77,-0.05,159,60,-99.0,-188.73,-22.58,166.15,0.0,0.0,0.0,-188.73,-22.58,166.15
sell-nasdaq-15min,Sell Nasdaq 15min,dynamic,5y,2021-09-05,2026-09-05,2021-09-15T14:12:00,2026-08-19T19:55:00,2025-06-30T13:48:14,2026-08-19T19:55:00,98%,100%,106.38,17.97,-88.41,1.52,1.5,-0.02,41.42,45.0,3.58,17.87,7.77,-10.1,268,60,-208.0,-318.15,-22.58,295.57,0.0,0.0,0.0,-318.15,-22.58,295.57
us100-h1-orb-13utc,US100 H1 ORB 13UTC,standard,6m,2026-03-05,2026-09-05,2026-03-09T14:45:00,2026-09-02T20:00:00,2026-03-09T14:45:00,2026-09-02T20:00:00,100%,100%,3.84,3.87,0.03,1.32,1.32,0.0,54.29,54.29,0.0,3.56,3.55,-0.01,35,35,0.0,-11.82,-5.91,5.91,0.0,0.0,0.0,-11.82,-5.91,5.91
us100-h1-orb-13utc,US100 H1 ORB 13UTC,standard,1y,2025-09-05,2026-09-05,2025-09-11T14:45:00,2026-09-02T20:00:00,2025-09-11T14:45:00,2026-09-02T20:00:00,100%,100%,23.56,24.96,1.4,1.73,1.77,0.04,51.39,52.05,0.66,6.8,6.99,0.19,72,73,1.0,-38.17,-19.54,18.63,0.0,0.0,0.0,-38.17,-19.54,18.63
us100-h1-orb-13utc,US100 H1 ORB 13UTC,standard,3y,2023-09-05,2026-09-05,2023-09-20T14:15:00,2026-09-02T20:00:00,2025-06-25T14:15:00,2026-09-02T20:00:00,98%,100%,106.2,29.63,-76.57,1.94,1.83,-0.11,54.14,54.88,0.74,6.81,6.99,0.18,181,82,-99.0,-168.51,-23.43,145.08,-155.89,0.0,155.89,-324.4,-23.43,300.97
us100-h1-orb-13utc,US100 H1 ORB 13UTC,standard,5y,2021-09-05,2026-09-05,2021-09-10T14:15:00,2026-09-02T20:00:00,2025-06-25T14:15:00,2026-09-02T20:00:00,98%,100%,92.93,29.63,-63.3,1.57,1.83,0.26,48.79,54.88,6.09,17.82,6.99,-10.83,289,82,-207.0,-235.62,-23.43,212.19,-167.37,0.0,167.37,-402.99,-23.43,379.56
us100-month-end-flow,US100 Month End Flow,standard,6m,2026-03-05,2026-09-05,2026-03-02T15:30:00,2026-08-05T14:53:30,2026-04-01T14:30:00,2026-09-03T20:30:00,100%,100%,10.47,7.14,-3.33,2.58,1.93,-0.65,52.94,47.06,-5.88,3.5,3.43,-0.07,17,17,0.0,-10.69,-5.45,5.24,-33.61,-32.34,1.27,-44.3,-37.79,6.51
us100-month-end-flow,US100 Month End Flow,standard,1y,2025-09-05,2026-09-05,2025-09-01T14:30:00,2026-08-05T14:53:30,2025-10-01T14:30:00,2026-09-03T20:30:00,100%,100%,5.41,7.4,1.99,1.33,1.46,0.13,47.06,47.06,0.0,5.75,5.61,-0.14,34,34,0.0,-24.95,-11.84,13.11,-32.01,-32.34,-0.33,-56.96,-44.18,12.78
us100-month-end-flow,US100 Month End Flow,standard,3y,2023-09-05,2026-09-05,2023-09-01T14:30:00,2026-08-05T14:53:30,2025-09-01T14:30:00,2026-09-03T20:30:00,98%,100%,36.62,5.82,-30.8,1.61,1.33,-0.28,50.0,45.95,-4.05,9.12,5.66,-3.46,104,37,-67.0,-110.72,-13.37,97.35,-102.78,-31.99,70.79,-213.5,-45.36,168.14
us100-month-end-flow,US100 Month End Flow,standard,5y,2021-09-05,2026-09-05,2021-09-01T14:30:00,2026-08-05T14:53:30,2025-09-01T14:30:00,2026-09-03T20:30:00,98%,100%,37.84,5.82,-32.02,1.37,1.33,-0.04,44.57,45.95,1.38,9.13,5.66,-3.47,175,37,-138.0,-197.69,-13.37,184.32,-215.86,-31.99,183.87,-413.55,-45.36,368.19
us100-orb-new-york-m30,US100 ORB New York M30,standard,6m,2026-03-05,2026-09-05,2026-03-23T16:00:00,2026-08-10T16:44:13,2026-03-23T16:00:00,2026-08-10T16:44:13,100%,100%,3.32,-0.27,-3.59,1.49,0.94,-0.55,46.15,16.67,-29.48,3.31,3.57,0.26,13,6,-7.0,-7.23,-1.93,5.3,0.0,0.0,0.0,-7.23,-1.93,5.3
us100-orb-new-york-m30,US100 ORB New York M30,standard,1y,2025-09-05,2026-09-05,2025-09-11T15:00:00,2026-08-10T16:44:13,2025-09-11T15:00:00,2026-08-10T16:44:13,100%,100%,9.66,7.56,-2.1,1.68,1.88,0.2,48.15,50.0,1.85,4.76,4.24,-0.52,27,14,-13.0,-18.58,-5.93,12.65,-11.2,0.0,11.2,-29.78,-5.93,23.85
