entry,exit,direction,pnl,r,reason,tag
2023-03-08 15:05:00+00:00,2023-03-08 18:55:00+00:00,1,-86.51724853062157,-0.7420314492137505,fast-alpha stop confirmation,NY ORB
2023-03-13 14:00:00+00:00,2023-03-13 14:10:00+00:00,1,-55.66757141866116,-0.48101265822781736,fast-alpha stop confirmation,NY ORB
2023-03-15 14:00:00+00:00,2023-03-15 14:50:00+00:00,1,-60.68583403352472,-0.5269089884474482,fast-alpha stop confirmation,NY ORB
2023-03-20 15:10:00+00:00,2023-03-20 19:55:00+00:00,-1,-93.6270610734113,-0.8172295466859326,time,NY ORB
2023-03-23 15:05:00+00:00,2023-03-23 19:55:00+00:00,1,99.29586539259908,0.8738514250116748,time,NY ORB
2023-03-24 15:05:00+00:00,2023-03-24 19:55:00+00:00,-1,116.33148571564897,1.0149043303121623,time,NY ORB
2023-04-03 14:10:00+00:00,2023-04-03 19:55:00+00:00,1,34.65098274840771,0.29926637996457706,time,NY ORB
2023-04-04 14:25:00+00:00,2023-04-04 19:55:00+00:00,1,5.663553668717084,0.04876785317842182,time,NY ORB
2023-04-12 13:55:00+00:00,2023-04-12 19:50:00+00:00,-1,-78.19904665256,-0.6730298580518849,time,NY ORB
2023-04-14 14:15:00+00:00,2023-04-14 19:55:00+00:00,-1,102.83572708439984,0.8910656620021634,time,NY ORB
2023-04-18 14:15:00+00:00,2023-04-18 19:55:00+00:00,1,-32.614035550685095,-0.28010284245108585,time,NY ORB
2023-04-20 14:15:00+00:00,2023-04-20 15:00:00+00:00,1,-107.9519334417611,-0.9297401347449601,fast-alpha stop confirmation,NY ORB
2023-04-21 14:00:00+00:00,2023-04-21 19:50:00+00:00,-1,-41.353412879371724,-0.35950026028110027,time,NY ORB
2023-05-01 14:20:00+00:00,2023-05-01 19:55:00+00:00,-1,64.30460371569613,0.561040251780685,time,NY ORB
2023-05-02 14:30:00+00:00,2023-05-02 19:55:00+00:00,1,98.79171487769442,0.857122156209237,time,NY ORB
2023-05-03 14:30:00+00:00,2023-05-03 15:00:00+00:00,-1,-150.6358960953966,-1.2958182756840735,fast-alpha stop confirmation,NY ORB
2023-05-04 14:50:00+00:00,2023-05-04 19:55:00+00:00,1,-33.194753225638514,-0.2893007219049698,time,NY ORB
2023-05-08 14:05:00+00:00,2023-05-08 19:50:00+00:00,1,-32.12627765438571,-0.28080104484108603,time,NY ORB
2023-05-09 14:05:00+00:00,2023-05-09 19:50:00+00:00,1,107.2591038771506,0.940142517814717,time,NY ORB
2023-05-11 14:00:00+00:00,2023-05-11 19:50:00+00:00,-1,-12.37363614639869,-0.1074466692841258,time,NY ORB
2023-05-16 15:20:00+00:00,2023-05-16 19:55:00+00:00,-1,193.3516853842697,1.6807784226698403,time,NY ORB
2023-05-19 15:25:00+00:00,2023-05-19 19:55:00+00:00,1,15.162501903666861,0.12962671286817612,time,NY ORB
2023-05-24 14:10:00+00:00,2023-05-24 19:55:00+00:00,-1,246.21419637102903,2.1022004889976076,time,NY ORB
