symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,pnl,range_high,range_low,range_atr,risk_per_lot,lot_min,lot_max,lot_step,setup_score
US100,30,1.0,2026-01,2026-01-27,2026-01-28 00:30:00,2026-01-28 00:30:00,BUY,26063.11,26033.11,26093.11,26093.11,win,0.928,0.072,216.0,30.0,26063.11,26027.71,1.7603,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-01,2026-01-28,2026-01-29 01:15:00,2026-01-29 01:15:00,SELL,25997.37,26027.37,25967.37,26027.37,loss,-1.072,0.072,216.0,-30.0,26072.83,25997.37,1.0741,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-01,2026-01-29,2026-01-30 00:30:00,2026-01-30 00:30:00,BUY,25882.66,25852.66,25912.66,25852.66,loss,-1.072,0.072,216.0,-30.0,25882.66,25798.85,1.3423,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-02,2026-02-03,2026-02-04 00:45:00,2026-02-04 01:00:00,SELL,25300.15,25330.15,25270.15,25330.15,loss,-1.072,0.072,216.0,-30.0,25343.92,25300.15,0.7812,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-02,2026-02-04,2026-02-05 00:30:00,2026-02-05 01:00:00,BUY,25034.86,25004.86,25064.86,25064.86,win,0.928,0.072,216.0,30.0,25034.86,24945.85,1.0509,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-02,2026-02-05,2026-02-06 00:30:00,2026-02-06 00:45:00,BUY,24295.74,24265.74,24325.74,24265.74,loss,-1.072,0.072,216.0,-30.0,24295.74,24161.85,1.4774,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-02,2026-02-10,2026-02-11 00:30:00,2026-02-11 01:30:00,BUY,25215.56,25185.56,25245.56,25245.56,win,0.928,0.072,216.0,30.0,25215.56,25196.27,0.7036,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-02,2026-02-11,2026-02-12 00:30:00,2026-02-12 01:15:00,BUY,25186.33,25156.33,25216.33,25216.33,win,0.936,0.064,192.0,30.0,25186.33,25146.45,1.1903,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-02,2026-02-12,2026-02-13 00:30:00,2026-02-13 00:45:00,SELL,24698.07,24728.07,24668.07,24668.07,win,0.936,0.064,192.0,30.0,24795.64,24698.07,1.7651,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-02,2026-02-17,2026-02-18 02:00:00,2026-02-18 03:45:00,BUY,24698.72,24668.72,24728.72,24728.72,win,0.936,0.064,192.0,30.0,24698.72,24652.9,1.0453,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-02,2026-02-18,2026-02-19 01:00:00,2026-02-19 01:00:00,BUY,24912.21,24882.21,24942.21,24882.21,loss,-1.064,0.064,192.0,-30.0,24912.21,24855.6,1.2851,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-02,2026-02-19,2026-02-20 00:30:00,2026-02-20 01:00:00,BUY,24842.44,24812.44,24872.44,24872.44,win,0.936,0.064,192.0,30.0,24842.44,24805.77,1.1217,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-02,2026-02-26,2026-02-27 00:30:00,2026-02-27 01:15:00,SELL,24947.07,24977.07,24917.07,24977.07,loss,-1.072,0.072,216.0,-30.0,24991.82,24947.07,1.2309,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-03,2026-03-03,2026-03-04 01:15:00,2026-03-04 01:15:00,SELL,24660.03,24690.03,24630.03,24690.03,loss,-1.064,0.064,192.0,-30.0,24786.15,24660.03,2.3959,30.0,0.01,500.0,0.01,95
US100,30,1.0,2026-03,2026-03-04,2026-03-05 01:15:00,2026-03-05 01:15:00,SELL,25146.46,25176.46,25116.46,25176.46,loss,-1.072,0.072,216.0,-30.0,25228.8,25146.46,2.3729,30.0,0.01,500.0,0.01,95
US100,30,1.0,2026-03,2026-03-05,2026-03-06 01:15:00,2026-03-06 01:15:00,SELL,25042.73,25072.73,25012.73,25072.73,loss,-1.064,0.064,192.0,-30.0,25080.72,25042.73,0.7403,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-03,2026-03-10,2026-03-10 23:45:00,2026-03-10 23:45:00,BUY,24992.29,24962.29,25022.29,25022.29,win,0.936,0.064,192.0,30.0,24992.29,24961.24,0.6576,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-03,2026-03-11,2026-03-11 23:30:00,2026-03-11 23:30:00,SELL,24796.29,24826.29,24766.29,24766.29,win,0.928,0.072,216.0,30.0,24852.32,24796.29,1.4032,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-03,2026-03-12,2026-03-12 23:30:00,2026-03-12 23:45:00,SELL,24562.4,24592.4,24532.4,24532.4,win,0.928,0.072,216.0,30.0,24612.54,24562.4,1.2542,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-03,2026-03-17,2026-03-18 00:00:00,2026-03-18 00:15:00,BUY,24823.37,24793.37,24853.37,24853.37,win,0.936,0.064,192.0,30.0,24823.37,24795.24,1.4037,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-03,2026-03-18,2026-03-18 23:30:00,2026-03-19 00:30:00,BUY,24427.29,24397.29,24457.29,24397.29,loss,-1.064,0.064,192.0,-30.0,24427.29,24397.03,0.6165,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-03,2026-03-19,2026-03-19 23:30:00,2026-03-20 00:00:00,SELL,24416.91,24446.91,24386.91,24446.91,loss,-1.064,0.064,192.0,-30.0,24466.37,24416.91,0.9078,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-03,2026-03-26,2026-03-26 23:30:00,2026-03-26 23:30:00,BUY,23701.58,23671.58,23731.58,23671.58,loss,-1.064,0.064,192.0,-30.0,23701.58,23663.95,0.5806,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-03,2026-03-31,2026-03-31 23:30:00,2026-03-31 23:30:00,BUY,23823.14,23793.14,23853.14,23853.14,win,0.936,0.064,192.0,30.0,23823.14,23782.91,0.8752,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-04,2026-04-01,2026-04-01 23:45:00,2026-04-01 23:45:00,SELL,24001.71,24031.71,23971.71,24031.71,loss,-1.064,0.064,192.0,-30.0,24041.07,24001.71,0.9822,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-04,2026-04-02,2026-04-02 23:30:00,2026-04-03 00:00:00,BUY,24053.38,24023.38,24083.38,24083.38,win,0.928,0.072,216.0,30.0,24053.38,24030.91,0.6849,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-04,2026-04-07,2026-04-08 00:00:00,2026-04-08 00:00:00,BUY,24943.37,24913.37,24973.37,24913.37,loss,-1.072,0.072,216.0,-30.0,24943.37,24770.88,1.3816,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-04,2026-04-08,2026-04-08 23:45:00,2026-04-09 01:00:00,SELL,24880.73,24910.73,24850.73,24850.73,win,0.936,0.064,192.0,30.0,24911.54,24880.73,0.724,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-04,2026-04-09,2026-04-09 23:30:00,2026-04-10 00:30:00,BUY,25069.69,25039.69,25099.69,25099.69,win,0.928,0.072,216.0,30.0,25069.69,25048.84,0.7436,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-04,2026-04-14,2026-04-14 23:30:00,2026-04-15 05:00:00,BUY,25883.24,25853.24,25913.24,25913.24,win,0.928,0.072,216.0,30.0,25883.24,25862.55,0.8323,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-04,2026-04-15,2026-04-15 23:30:00,2026-04-16 00:45:00,BUY,26269.68,26239.68,26299.68,26299.68,win,0.928,0.072,216.0,30.0,26269.68,26255.31,0.5325,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-04,2026-04-16,2026-04-16 23:30:00,2026-04-17 00:15:00,BUY,26360.39,26330.39,26390.39,26330.39,loss,-1.072,0.072,216.0,-30.0,26360.39,26343.59,0.6311,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-04,2026-04-21,2026-04-21 23:30:00,2026-04-22 00:00:00,BUY,26634.99,26604.99,26664.99,26664.99,win,0.92,0.08,240.0,30.0,26634.99,26617.56,0.2678,30.0,0.01,500.0,0.01,95
US100,30,1.0,2026-04,2026-04-22,2026-04-23 00:00:00,2026-04-23 00:00:00,SELL,26966.78,26996.78,26936.78,26936.78,win,0.92,0.08,240.0,30.0,26983.97,26966.78,0.5746,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-04,2026-04-23,2026-04-23 23:30:00,2026-04-24 00:00:00,BUY,26931.69,26901.69,26961.69,26961.69,win,0.92,0.08,240.0,30.0,26931.69,26914.16,0.3197,30.0,0.01,500.0,0.01,95
US100,30,1.0,2026-04,2026-04-28,2026-04-28 23:30:00,2026-04-29 00:00:00,BUY,27115.49,27085.49,27145.49,27145.49,win,0.92,0.08,240.0,30.0,27115.49,27102.62,0.5039,30.0,0.01,500.0,0.01,100
