policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,spread_r,spread_points,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,htf_agreement,htf_biases,htf_reason
fixed_current,LTA,XAUUSD,M15,2026-07,2026-07-01 11:30:00,2026-07-01 18:30:00,BUY,4029.326,3980.10619,6.0,4061.939,timeout,0.6626,100,8.578714,0.0,240.0,0.6562,,structure,static,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
fixed_current,LTA,XAGUSD,M15,2026-07,2026-07-01 05:30:00,2026-07-01 06:00:00,BUY,57.582,57.3477,1.0,57.3477,loss,-1.0013,95,0.222,0.0013,30.0,0.2708,,structure,static,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
fixed_current,LTA,BTCUSD,M15,2026-06,2026-06-30 07:15:00,2026-06-30 08:45:00,SELL,59382.55,59654.56861,1.0,59110.53139,win,1.0,91,160.390714,0.0,1000.0,0.1979,,structure,static,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
fixed_current,LTA,BTCUSD,M15,2026-06,2026-06-30 08:00:00,2026-06-30 12:00:00,SELL,59334.78,59652.63254,1.0,59016.92746,win,1.0,91,147.483571,0.0,1000.0,0.1042,,structure,static,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
fixed_current,LTA,BTCUSD,M30,2026-06,2026-06-30 18:30:00,2026-07-01 01:00:00,BUY,58577.2,58020.80379,1.0,58020.80379,loss,-1.0,98,420.641429,0.0,1000.0,0.7708,,structure,static,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
fixed_current,LTA,BTCUSD,M30,2026-07,2026-07-01 02:00:00,2026-07-01 15:00:00,BUY,58857.14,57657.79854,1.0,60056.48146,win,1.0,92,288.076429,0.0,1000.0,0.4583,,structure,static,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
fixed_current,LTA,ETHUSD,M15,2026-07,2026-07-01 17:45:00,2026-07-01 18:30:00,BUY,1621.04,1603.3625,1.0,1616.78,timeout,-0.241,91,9.85,0.0001,100.0,0.8854,,structure,static,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
fixed_current,LTA,EURUSD,M15,2026-07,2026-07-01 12:30:00,2026-07-01 13:30:00,SELL,1.13731,1.14009,1.0,1.14009,loss,-1.0288,100,0.000606,0.0288,8.0,0.7604,,structure,static,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation,True,"{""D1"": ""bearish"", ""H1"": ""bearish"", ""H4"": ""ranging""}",passed
fixed_current,LTA,USDJPY,M15,2026-07,2026-07-01 17:00:00,2026-07-01 18:45:00,BUY,162.478,162.34078,1.0,162.54,timeout,0.379,94,0.088143,0.0729,10.0,0.8958,,structure,static,Entry Model 1 - Double Wick Confirmation,True,"{""D1"": ""bullish"", ""H1"": ""ranging"", ""H4"": ""bullish""}",passed
fixed_current,LTA,USDJPY,M30,2026-06,2026-06-30 00:30:00,2026-06-30 12:00:00,BUY,162.129,161.82904,1.0,162.42896,win,0.9667,98,0.066429,0.0333,10.0,0.7083,,structure,static,Entry Model 2 - Internal Swing Confirmation,True,"{""D1"": ""bullish"", ""H1"": ""bullish"", ""H4"": ""bullish""}",passed
