case,symbol,variant,period,history_quality_pct,bars,ticks,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,equity_dd_amount,equity_dd_pct,balance_dd_amount,balance_dd_pct,trades,wins,losses,win_rate,commission,swap,score,status,report,graph
us30__m5-rr15,US30,m5-rr15,M5 (2022.01.01 - 2025.08.27),98.0,250381,4911755,10000.0,6934.8,-3065.2,-30.651999999999997,2476.1,-5541.3,0.45,3177.24,31.42,3110.77,30.97,89,28,61,31.46,-265.0800000000001,-53.41,-80.97603078487109,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\us30__m5-rr15.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\us30__m5-rr15.png
us30__m1-rr15,US30,m1-rr15,M1 (2022.01.01 - 2025.08.27),98.0,1246822,4911755,10000.0,6437.59,-3562.41,-35.6241,2213.52,-5775.93,0.38,3891.12,38.84,3813.08,38.13,94,31,63,32.98,-548.1900000000002,-150.7,-97.75443610504682,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\us30__m1-rr15.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\us30__m1-rr15.png
ustec__m5-absorption-rr20,USTEC,m5-absorption-rr20,M5 (2022.01.01 - 2025.08.27),98.0,250359,5001633,10000.0,9717.23,-282.77,-2.8276999999999997,1124.68,-1407.45,0.8,516.15,5.04,471.67,4.63,22,9,13,40.91,-102.94000000000001,0.0,-11.28027420525684,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\ustec__m5-absorption-rr20.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\ustec__m5-absorption-rr20.png
ustec__m15-rr20,USTEC,m15-rr20,M15 (2022.01.01 - 2025.08.27),98.0,83504,5001633,10000.0,9453.13,-546.87,-5.4687,580.77,-1127.64,0.52,647.25,6.41,546.87,5.47,17,6,11,35.29,-49.55,0.0,-23.699405869626656,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\ustec__m15-rr20.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\ustec__m15-rr20.png
ustec__m5-rr20,USTEC,m5-rr20,M5 (2022.01.01 - 2025.08.27),98.0,250359,5001633,10000.0,6775.51,-3224.49,-32.2449,2615.57,-5840.06,0.45,3413.92,33.5,3303.4,32.78,93,29,64,31.18,-411.01000000000005,-148.11,-85.68893078487109,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\ustec__m5-rr20.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\ustec__m5-rr20.png
ustec__m5-rr15,USTEC,m5-rr15,M5 (2022.01.01 - 2025.08.27),98.0,250359,5001633,10000.0,6496.75,-3503.25,-35.0325,2211.43,-5714.68,0.39,3726.38,36.45,3683.09,36.18,93,29,64,31.18,-400.52000000000015,-146.57,-93.4739341594338,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\ustec__m5-rr15.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\ustec__m5-rr15.png
ustec__m5-impulse-target,USTEC,m5-impulse-target,M5 (2022.01.01 - 2025.08.27),98.0,250359,5001633,10000.0,6496.66,-3503.34,-35.0334,2211.61,-5714.95,0.39,3910.19,37.57,3866.13,37.31,93,29,64,31.18,-399.8299999999999,-146.34,-95.15483415943379,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\ustec__m5-impulse-target.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\ustec__m5-impulse-target.png
ustec__m1-rr15,USTEC,m1-rr15,M1 (2022.01.01 - 2025.08.27),98.0,1250760,5001633,10000.0,5772.24,-4227.76,-42.27760000000001,2109.71,-6337.47,0.33,4307.08,42.78,4296.05,42.67,101,28,73,27.72,-751.2899999999998,-234.93,-110.88225049808645,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\ustec__m1-rr15.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\ustec__m1-rr15.png
xagusd__m5-absorption-rr20,XAGUSD,m5-absorption-rr20,M5 (2022.01.01 - 2025.08.27),98.0,258281,4901096,10000.0,8218.94,-1781.06,-17.810599999999997,626.1,-2407.16,0.26,1781.06,17.81,1781.06,17.81,28,6,22,21.43,-466.51,-106.4,-49.91389459186644,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\xagusd__m5-absorption-rr20.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\xagusd__m5-absorption-rr20.png
xagusd__m15-rr20,XAGUSD,m15-rr20,M15 (2022.01.01 - 2025.08.27),98.0,86186,4901096,10000.0,8246.69,-1753.31,-17.533099999999997,652.2,-2405.51,0.27,2062.79,20.5,1971.75,19.72,31,8,23,25.81,-424.25999999999993,0.0,-53.52043327993505,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\xagusd__m15-rr20.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\xagusd__m15-rr20.png
xagusd__m5-rr15,XAGUSD,m5-rr15,M5 (2022.01.01 - 2025.08.27),98.0,258281,4901096,10000.0,6033.9,-3966.1,-39.661,1184.8,-5150.9,0.23,3966.1,39.66,3966.1,39.66,71,17,54,23.94,-1057.0500000000002,-116.0,-105.02970388023576,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\xagusd__m5-rr15.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\xagusd__m5-rr15.png
xagusd__m5-impulse-target,XAGUSD,m5-impulse-target,M5 (2022.01.01 - 2025.08.27),98.0,258281,4901096,10000.0,5772.93,-4227.07,-42.27069999999999,762.25,-4989.32,0.15,4227.07,42.27,4227.07,42.27,71,18,53,25.35,-1030.4699999999998,-96.8,-113.26417993954351,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\xagusd__m5-impulse-target.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\xagusd__m5-impulse-target.png
xagusd__m5-rr20,XAGUSD,m5-rr20,M5 (2022.01.01 - 2025.08.27),98.0,258281,4901096,10000.0,5697.09,-4302.91,-43.0291,734.45,-5037.36,0.15,4302.91,43.03,4302.91,43.03,71,16,55,22.54,-1033.7599999999998,-127.99999999999999,-115.16257993954352,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\xagusd__m5-rr20.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\xagusd__m5-rr20.png
xagusd__m1-rr15,XAGUSD,m1-rr15,M1 (2022.01.01 - 2025.08.27),98.0,1277085,4901096,10000.0,2967.24,-7032.76,-70.3276,1113.05,-8145.81,0.14,7051.51,70.52,7032.76,70.33,126,19,107,15.08,-2210.010000000001,0.0,-183.97205142549132,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\xagusd__m1-rr15.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\xagusd__m1-rr15.png
xauusd__m15-rr20,XAUUSD,m15-rr20,M15 (2022.01.01 - 2025.08.27),98.0,86183,5154694,10000.0,9537.56,-462.44,-4.6244,975.64,-1438.08,0.68,688.8,6.74,548.33,5.44,30,16,14,53.33,-77.08,0.0,-16.277049923247937,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\xauusd__m15-rr20.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\xauusd__m15-rr20.png
xauusd__m5-absorption-rr20,XAUUSD,m5-absorption-rr20,M5 (2022.01.01 - 2025.08.27),98.0,258319,5154694,10000.0,9391.31,-608.69,-6.086900000000001,204.01,-812.7,0.25,630.69,6.29,608.69,6.09,11,3,8,27.27,-39.300000000000004,0.0,-39.067077444479565,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\xauusd__m5-absorption-rr20.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\xauusd__m5-absorption-rr20.png
xauusd__m5-impulse-target,XAUUSD,m5-impulse-target,M5 (2022.01.01 - 2025.08.27),98.0,258319,5154694,10000.0,8063.57,-1936.43,-19.3643,1534.5,-3470.93,0.44,1978.15,19.7,1936.43,19.36,46,15,31,32.61,-227.48,-530.4499999999999,-52.19822220827932,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\xauusd__m5-impulse-target.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\xauusd__m5-impulse-target.png
xauusd__m1-rr15,XAUUSD,m1-rr15,M1 (2022.01.01 - 2025.08.27),98.0,1288754,5154694,10000.0,7909.73,-2090.27,-20.9027,1878.64,-3968.91,0.47,2261.29,22.61,2239.92,22.4,60,21,39,35.0,-564.6299999999998,0.0,-57.83779033711213,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\xauusd__m1-rr15.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\xauusd__m1-rr15.png
xauusd__m5-rr20,XAUUSD,m5-rr20,M5 (2022.01.01 - 2025.08.27),98.0,258319,5154694,10000.0,7850.16,-2149.84,-21.4984,1277.82,-3427.66,0.37,2164.6,21.61,2149.84,21.5,46,15,31,32.61,-225.10999999999996,-518.0799999999999,-57.89040909337546,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\xauusd__m5-rr20.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\xauusd__m5-rr20.png
xauusd__m5-rr15,XAUUSD,m5-rr15,M5 (2022.01.01 - 2025.08.27),98.0,258319,5154694,10000.0,7729.530000000001,-2270.47,-22.704699999999995,1136.6,-3407.07,0.33,2270.47,22.7,2270.47,22.7,46,14,32,30.43,-223.84999999999994,-513.44,-61.18935049808644,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\xauusd__m5-rr15.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\xauusd__m5-rr15.png
