local_time,utc_time,currency,event,symbol,broker_symbol,outcome,direction,setup_high,setup_low,entry,stop_loss,exit_price,exit_reason,exit_time_utc,offset_pips,atr_pips,spread_pips,risk_pips,max_favorable_pips,max_adverse_pips,max_lot_1_200,pnl_usd,return_pct,r_multiple,note
2026-06-26 06:30,2026-06-25T23:30:00+00:00,JPY,Tokyo core CPI,EURJPY,EURJPY..,LOSS,SELL,183.879,183.874,183.856,183.905,183.905,stop/trail,2026-06-26T00:23:00+00:00,1.0,1.11429,1.6,4.9,2.8,5.2,0.17,-5.14826,-5.14826,-1.0,
2026-06-30 19:30,2026-06-30T12:30:00+00:00,CAD,Canada GDP,USDCAD,USDCAD..,WIN,SELL,1.42375,1.42362,1.42344,1.42401,1.42047,stop/trail,2026-06-30T14:16:00+00:00,1.0,1.22143,1.6,5.7,32.6,4.1,0.2,41.80015,41.80015,5.2193,
2026-07-01 16:00,2026-07-01T09:00:00+00:00,EUR,Euro-area flash CPI,EURUSD,EURUSD..,NO_TRIGGER,,1.13961,1.13943,0.0,0.0,0.0,pending expired,,1.0,1.53571,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-07-01 19:15,2026-07-01T12:15:00+00:00,USD,ADP employment,EURUSD,EURUSD..,LOSS,BUY,1.13823,1.1381,1.13856,1.138,1.138,stop/trail,2026-07-01T12:33:00+00:00,1.0,1.74286,1.5,5.55,1.05,8.55,0.17,-9.435,-9.435,-1.0,
2026-07-01 21:00,2026-07-01T14:00:00+00:00,USD,ISM manufacturing PMI,EURUSD,EURUSD..,LOSS,BUY,1.13953,1.13921,1.13986,1.13911,1.13911,stop/trail,2026-07-01T14:03:00+00:00,1.0,3.09286,1.5,7.45,3.25,7.45,0.17,-12.665,-12.665,-1.0,
2026-07-02 19:30,2026-07-02T12:30:00+00:00,USD,US payrolls / unemployment,EURUSD,EURUSD..,WIN,BUY,1.13994,1.13983,1.14042,1.13973,1.14368,stop/trail,2026-07-02T12:31:00+00:00,1.0,1.55,1.5,6.85,36.05,2.65,0.17,55.4625,55.4625,4.76277,
2026-07-06 21:00,2026-07-06T14:00:00+00:00,USD,ISM services PMI,EURUSD,EURUSD..,NO_TRIGGER,,1.14131,1.14105,0.0,0.0,0.0,pending expired,,1.0,2.03571,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-07-10 19:30,2026-07-10T12:30:00+00:00,CAD,Canada employment,USDCAD,USDCAD..,LOSS,SELL,1.41553,1.41521,1.41503,1.41579,1.41579,stop/trail,2026-07-10T13:08:00+00:00,1.0,1.6,1.6,7.6,8.5,7.8,0.2,-10.74182,-10.74182,-1.0,
2026-07-14 19:30,2026-07-14T12:30:00+00:00,USD,US CPI,EURUSD,EURUSD..,WIN,BUY,1.14144,1.14124,1.14177,1.14114,1.14588,stop/trail,2026-07-14T12:31:00+00:00,1.0,1.97857,1.5,6.25,44.35,5.55,0.17,69.955,69.955,6.584,
2026-07-15 19:30,2026-07-15T12:30:00+00:00,USD,US PPI,EURUSD,EURUSD..,WIN,BUY,1.14143,1.14122,1.14176,1.14112,1.14327,time exit,2026-07-15T14:30:00+00:00,1.0,1.42857,1.5,6.35,17.35,4.85,0.17,25.755,25.755,2.38583,
2026-07-15 20:45,2026-07-15T13:45:00+00:00,CAD,Bank of Canada decision,USDCAD,USDCAD..,LOSS,SELL,1.4062,1.40604,1.40586,1.40646,1.40646,stop/trail,2026-07-15T13:46:00+00:00,1.0,1.90714,1.6,6.0,2.3,6.8,0.2,-8.5357,-8.5357,-1.0,
2026-07-16 19:30,2026-07-16T12:30:00+00:00,USD,US retail sales,EURUSD,EURUSD..,WIN,SELL,1.14636,1.14627,1.14603,1.14661,1.14509,time exit,2026-07-16T14:30:00+00:00,1.0,1.72143,1.5,5.85,14.95,5.65,0.17,15.895,15.895,1.59829,
2026-07-20 19:30,2026-07-20T12:30:00+00:00,CAD,Canada CPI,USDCAD,USDCAD..,LOSS,BUY,1.40397,1.40373,1.40431,1.40363,1.40415,time exit,2026-07-20T14:30:00+00:00,1.0,1.46429,1.6,6.8,8.6,5.8,0.2,-2.2787,-2.2787,-0.23529,
2026-07-23 08:30,2026-07-23T01:30:00+00:00,AUD,Australia employment,EURAUD,EURAUD..,WIN,SELL,1.63192,1.63103,1.63083,1.63222,1.62902,time exit,2026-07-23T03:30:00+00:00,1.0,2.27143,2.0,13.9,43.1,4.0,0.17,21.54068,21.54068,1.30216,
2026-07-23 19:15,2026-07-23T12:15:00+00:00,EUR,ECB decision,EURUSD,EURUSD..,WIN,SELL,1.13947,1.13939,1.13921,1.13972,1.13718,time exit,2026-07-23T14:15:00+00:00,1.0,1.20714,1.5,5.05,23.65,4.25,0.17,34.595,34.595,4.0297,
2026-07-23 19:30,2026-07-23T12:30:00+00:00,CAD,Canada retail sales,USDCAD,USDCAD..,LOSS,BUY,1.40818,1.4079,1.40852,1.4078,1.4078,stop/trail,2026-07-23T13:30:00+00:00,1.0,2.4,1.6,7.2,4.4,7.6,0.2,-10.2235,-10.2235,-1.0,
2026-07-29 08:30,2026-07-29T01:30:00+00:00,AUD,Australia CPI,EURAUD,EURAUD..,WIN,BUY,1.63398,1.63385,1.63438,1.63375,1.63911,stop/trail,2026-07-29T01:31:00+00:00,1.0,2.10714,2.0,6.3,67.8,4.8,0.17,56.03087,56.03087,7.50794,
