strategy,side,entry_time,entry,stop,target,volume,risk_cash,exit_time,exit,pnl,exit_reason,spread_cost,slippage_cost,mae,mfe,holding_minutes,metadata
A_FIXED,SELL,2026-05-18 13:30:00+00:00,29037.1,29097.1,28917.1,0.41,24.599999999999998,2026-05-18 14:39:00+00:00,29098.1,-25.009999999999998,stop,0.697,0.41,84.85000000000218,79.84999999999854,69.0,"{'walk_forward_fold': 2, 'selected_variant': 'wide_60_120'}"
A_RUNNER,SELL,2026-05-18 13:30:00+00:00,29037.1,29036.45,,0.5,25.0,2026-05-18 14:34:00+00:00,29037.45,-0.1750000000010914,stop,0.85,0.5,12.150000000001455,79.84999999999854,64.0,"{'walk_forward_fold': 2, 'selected_variant': 'prev_m15_buffer5'}"
A_FIXED,SELL,2026-05-19 13:30:00+00:00,28805.45,28865.45,28685.45,0.41,24.599999999999998,2026-05-19 16:32:00+00:00,28866.45,-25.009999999999998,stop,0.697,0.41,79.79999999999927,98.0,182.0,"{'walk_forward_fold': 2, 'selected_variant': 'wide_60_120'}"
A_RUNNER,SELL,2026-05-19 13:30:00+00:00,28805.45,28820.2,,0.5,25.0,2026-05-19 13:32:00+00:00,28821.2,-7.875,stop,0.85,0.5,14.799999999999272,5.450000000000728,2.0,"{'walk_forward_fold': 2, 'selected_variant': 'prev_m15_buffer5'}"
B1,SELL,2026-05-19 14:00:00+00:00,28825.25,29029.55,28518.8,0.24,49.031999999999826,2026-05-19 19:55:00+00:00,28929.8,-25.091999999999825,time_exit,0.408,0.24,146.09999999999854,258.0,355.0,"{'walk_forward_fold': 2, 'selected_variant': 'london_1.5R'}"
A_FIXED,SELL,2026-05-20 13:30:00+00:00,29031.7,29091.7,28911.7,0.41,24.599999999999998,2026-05-20 16:46:00+00:00,29092.7,-25.009999999999998,stop,0.697,0.41,70.04999999999927,99.15000000000146,196.0,"{'walk_forward_fold': 2, 'selected_variant': 'wide_60_120'}"
A_RUNNER,SELL,2026-05-20 13:30:00+00:00,29031.7,29055.3,,0.49,24.5,2026-05-20 13:35:00+00:00,29056.3,-12.053999999999286,stop,0.833,0.49,31.450000000000728,0.4000000000014552,5.0,"{'walk_forward_fold': 2, 'selected_variant': 'prev_m15_buffer5'}"
B2,SELL,2026-05-20 15:26:00+00:00,29064.2,29165.2,28765.2,0.49,49.0,2026-05-20 17:31:00+00:00,29166.2,-49.98,stop,0.833,0.49,107.25,147.35000000000218,125.0,"{'pending_minutes': 86.0, 'walk_forward_fold': 2, 'selected_variant': 'baseline_3R'}"
A_FIXED,SELL,2026-05-21 13:30:00+00:00,29182.15,29242.15,29062.15,0.41,24.599999999999998,2026-05-21 17:02:00+00:00,29243.15,-25.009999999999998,stop,0.697,0.41,65.39999999999782,98.50000000000364,212.0,"{'walk_forward_fold': 2, 'selected_variant': 'wide_60_120'}"
A_RUNNER,SELL,2026-05-21 13:30:00+00:00,29182.15,29171.75,,0.49,24.5,2026-05-21 14:15:00+00:00,29172.75,4.606000000000713,stop,0.833,0.49,23.599999999998545,79.70000000000073,45.0,"{'walk_forward_fold': 2, 'selected_variant': 'prev_m15_buffer5'}"
A_FIXED,SELL,2026-05-22 13:30:00+00:00,29370.6,29430.6,29250.6,0.4,24.0,2026-05-22 14:47:00+00:00,29431.6,-24.400000000000002,stop,0.68,0.4,74.20000000000073,14.049999999999272,77.0,"{'walk_forward_fold': 2, 'selected_variant': 'wide_60_120'}"
A_RUNNER,SELL,2026-05-22 13:30:00+00:00,29370.6,29387.75,,0.49,24.5,2026-05-22 13:50:00+00:00,29388.75,-8.893500000000714,stop,0.833,0.49,21.350000000002183,14.049999999999272,20.0,"{'walk_forward_fold': 2, 'selected_variant': 'prev_m15_buffer5'}"
