date,strategy,reason
2025-09-21,A_RUNNER,weekend
2025-09-21,B2,weekend
2025-09-21,B1,weekend
2025-09-22,B2,pending order expired
2025-09-28,A_FIXED,weekend
2025-09-28,A_RUNNER,weekend
2025-09-28,B2,weekend
2025-09-28,B1,weekend
2025-09-29,B,doji/body filter
2025-10-02,B,doji/body filter
2025-10-03,B2,pending order expired
2025-10-05,A_FIXED,weekend
2025-10-05,A_RUNNER,weekend
2025-10-05,B2,weekend
2025-10-05,B1,weekend
2025-10-12,A_FIXED,weekend
2025-10-12,A_RUNNER,weekend
2025-10-12,B2,weekend
2025-10-12,B1,weekend
2025-10-14,B1,invalid stop 361.0 pips
2025-10-16,B2,pending order expired
2025-10-19,A_FIXED,weekend
2025-10-19,A_RUNNER,weekend
2025-10-19,B2,weekend
2025-10-19,B1,weekend
2025-10-22,B2,pending order expired
2025-10-24,B2,structure invalidated before fill
2025-10-26,A_FIXED,weekend
2025-10-26,A_RUNNER,weekend
2025-10-26,B2,weekend
2025-10-26,B1,weekend
2025-10-27,B2,pending order expired
2025-10-28,B,doji/body filter
2025-10-29,B2,pending order expired
2025-11-02,A_FIXED,weekend
2025-11-02,A_RUNNER,weekend
2025-11-02,B2,weekend
2025-11-02,B1,weekend
2025-11-04,B,doji/body filter
2025-11-05,B,doji/body filter
2025-11-06,B2,pending order expired
2025-11-09,A_FIXED,weekend
2025-11-09,A_RUNNER,weekend
2025-11-09,B2,weekend
2025-11-09,B1,weekend
2025-11-13,B2,pending order expired
2025-11-14,B1,invalid stop 383.1 pips
2025-11-16,A_FIXED,weekend
2025-11-16,A_RUNNER,weekend
2025-11-16,B2,weekend
2025-11-16,B1,weekend
2025-11-23,A_FIXED,weekend
2025-11-23,A_RUNNER,weekend
2025-11-23,B2,weekend
2025-11-23,B1,weekend
2025-11-25,B2,pending order expired
2025-11-27,A_FIXED,NYSE holiday
2025-11-27,A_RUNNER,NYSE holiday
2025-11-27,B2,NYSE holiday
2025-11-27,B1,NYSE holiday
2025-11-28,A_FIXED,shortened US session
2025-11-28,A_RUNNER,shortened US session
2025-11-28,B2,shortened US session
2025-11-28,B1,shortened US session
2025-11-30,A_FIXED,weekend
2025-11-30,A_RUNNER,weekend
2025-11-30,B2,weekend
2025-11-30,B1,weekend
2025-12-03,B2,pending order expired
2025-12-05,B,doji/body filter
2025-12-07,A_FIXED,weekend
2025-12-07,A_RUNNER,weekend
2025-12-07,B2,weekend
2025-12-07,B1,weekend
2025-12-14,A_FIXED,weekend
2025-12-14,A_RUNNER,weekend
2025-12-14,B2,weekend
2025-12-14,B1,weekend
2025-12-15,B,doji/body filter
2025-12-17,B2,pending order expired
2025-12-21,A_FIXED,weekend
2025-12-21,A_RUNNER,weekend
2025-12-21,B2,weekend
2025-12-21,B1,weekend
2025-12-22,B,doji/body filter
2025-12-24,A_FIXED,shortened US session
2025-12-24,A_RUNNER,shortened US session
2025-12-24,B2,shortened US session
2025-12-24,B1,shortened US session
2025-12-25,A_FIXED,NYSE holiday
2025-12-25,A_RUNNER,NYSE holiday
2025-12-25,B2,NYSE holiday
2025-12-25,B1,NYSE holiday
2025-12-26,B2,pending order expired
2025-12-28,A_FIXED,weekend
2025-12-28,A_RUNNER,weekend
2025-12-28,B2,weekend
2025-12-28,B1,weekend
2025-12-29,B,doji/body filter
2025-12-30,B2,pending order expired
2025-12-31,B1,invalid stop 5.7 pips
2026-01-01,A_FIXED,NYSE holiday
2026-01-01,A_RUNNER,NYSE holiday
2026-01-01,B2,NYSE holiday
2026-01-01,B1,NYSE holiday
2026-01-02,B,doji/body filter
2026-01-04,A_FIXED,weekend
2026-01-04,A_RUNNER,weekend
2026-01-04,B2,weekend
2026-01-04,B1,weekend
2026-01-07,B,doji/body filter
2026-01-11,A_FIXED,weekend
2026-01-11,A_RUNNER,weekend
2026-01-11,B2,weekend
2026-01-11,B1,weekend
2026-01-14,B,doji/body filter
2026-01-15,B1,invalid stop 6.7 pips
2026-01-18,A_FIXED,weekend
2026-01-18,A_RUNNER,weekend
2026-01-18,B2,weekend
2026-01-18,B1,weekend
2026-01-19,A_FIXED,NYSE holiday
2026-01-19,A_RUNNER,NYSE holiday
2026-01-19,B2,NYSE holiday
2026-01-19,B1,NYSE holiday
2026-01-25,A_FIXED,weekend
2026-01-25,A_RUNNER,weekend
2026-01-25,B2,weekend
2026-01-25,B1,weekend
2026-01-28,B2,pending order expired
2026-02-01,A_FIXED,weekend
2026-02-01,A_RUNNER,weekend
2026-02-01,B2,weekend
2026-02-01,B1,weekend
2026-02-03,B2,pending order expired
2026-02-04,B2,pending order expired
2026-02-05,B1,invalid stop 338.4 pips
2026-02-08,A_FIXED,weekend
2026-02-08,A_RUNNER,weekend
2026-02-08,B2,weekend
2026-02-08,B1,weekend
2026-02-11,B,doji/body filter
2026-02-15,A_FIXED,weekend
2026-02-15,A_RUNNER,weekend
2026-02-15,B2,weekend
2026-02-15,B1,weekend
2026-02-16,A_FIXED,NYSE holiday
2026-02-16,A_RUNNER,NYSE holiday
2026-02-16,B2,NYSE holiday
2026-02-16,B1,NYSE holiday
2026-02-22,A_FIXED,weekend
2026-02-22,A_RUNNER,weekend
2026-02-22,B2,weekend
2026-02-22,B1,weekend
2026-02-24,B,doji/body filter
2026-02-26,B2,pending order expired
2026-02-27,B2,pending order expired
2026-03-01,A_FIXED,weekend
2026-03-01,A_RUNNER,weekend
2026-03-01,B2,weekend
2026-03-01,B1,weekend
2026-03-03,B,doji/body filter
2026-03-06,B2,pending order expired
2026-03-08,A_FIXED,weekend
2026-03-08,A_RUNNER,weekend
2026-03-08,B2,weekend
2026-03-08,B1,weekend
2026-03-11,B,doji/body filter
2026-03-12,B2,pending order expired
2026-03-15,A_FIXED,weekend
2026-03-15,A_RUNNER,weekend
2026-03-15,B2,weekend
2026-03-15,B1,weekend
2026-03-18,B2,pending order expired
2026-03-22,A_FIXED,weekend
2026-03-22,A_RUNNER,weekend
2026-03-22,B2,weekend
2026-03-22,B1,weekend
2026-03-24,B2,pending order expired
2026-03-27,B2,pending order expired
2026-03-29,A_FIXED,weekend
2026-03-29,A_RUNNER,weekend
2026-03-29,B2,weekend
2026-03-29,B1,weekend
2026-04-03,A_FIXED,NYSE holiday
2026-04-03,A_RUNNER,NYSE holiday
2026-04-03,B2,NYSE holiday
2026-04-03,B1,NYSE holiday
2026-04-05,A_FIXED,weekend
2026-04-05,A_RUNNER,weekend
2026-04-05,B2,weekend
2026-04-05,B1,weekend
2026-04-06,B2,pending order expired
2026-04-12,A_FIXED,weekend
2026-04-12,A_RUNNER,weekend
2026-04-12,B2,weekend
2026-04-12,B1,weekend
2026-04-13,B1,invalid stop 4.0 pips
2026-04-14,B,doji/body filter
2026-04-19,A_FIXED,weekend
2026-04-19,A_RUNNER,weekend
2026-04-19,B2,weekend
2026-04-19,B1,weekend
2026-04-26,A_FIXED,weekend
2026-04-26,A_RUNNER,weekend
2026-04-26,B2,weekend
2026-04-26,B1,weekend
2026-04-27,B,doji/body filter
2026-04-29,B,doji/body filter
2026-05-03,A_FIXED,weekend
2026-05-03,A_RUNNER,weekend
2026-05-03,B2,weekend
2026-05-03,B1,weekend
2026-05-06,B,doji/body filter
2026-05-07,B2,pending order expired
2026-05-10,A_FIXED,weekend
2026-05-10,A_RUNNER,weekend
2026-05-10,B2,weekend
2026-05-10,B1,weekend
2026-05-11,B,doji/body filter
2026-05-13,B2,pending order expired
2026-05-17,A_FIXED,weekend
2026-05-17,A_RUNNER,weekend
2026-05-17,B2,weekend
2026-05-17,B1,weekend
2026-05-18,B,doji/body filter
2026-05-21,B2,pending order expired
2026-05-24,A_FIXED,weekend
2026-05-24,A_RUNNER,weekend
2026-05-24,B2,weekend
2026-05-24,B1,weekend
2026-05-25,A_FIXED,NYSE holiday
2026-05-25,A_RUNNER,NYSE holiday
2026-05-25,B2,NYSE holiday
2026-05-25,B1,NYSE holiday
2026-05-29,B,doji/body filter
2026-05-31,A_FIXED,weekend
2026-05-31,A_RUNNER,weekend
2026-05-31,B2,weekend
2026-05-31,B1,weekend
2026-06-01,B2,pending order expired
2026-06-02,B2,pending order expired
2026-06-05,B2,pending order expired
2026-06-07,A_FIXED,weekend
2026-06-07,A_RUNNER,weekend
2026-06-07,B2,weekend
2026-06-07,B1,weekend
2026-06-11,B2,pending order expired
2026-06-14,A_FIXED,weekend
2026-06-14,A_RUNNER,weekend
2026-06-14,B2,weekend
2026-06-14,B1,weekend
2026-06-19,A_FIXED,NYSE holiday
2026-06-19,A_RUNNER,NYSE holiday
2026-06-19,B2,NYSE holiday
2026-06-19,B1,NYSE holiday
2026-06-21,A_FIXED,weekend
2026-06-21,A_RUNNER,weekend
2026-06-21,B2,weekend
2026-06-21,B1,weekend
2026-06-23,B1,invalid stop 596.8 pips
2026-06-28,A_FIXED,weekend
2026-06-28,A_RUNNER,weekend
2026-06-28,B2,weekend
2026-06-28,B1,weekend
2026-06-29,B1,invalid stop 7.0 pips
2026-07-02,A_FIXED,shortened US session
2026-07-02,A_RUNNER,shortened US session
2026-07-02,B2,shortened US session
2026-07-02,B1,shortened US session
2026-07-03,A_FIXED,NYSE holiday
2026-07-03,A_RUNNER,NYSE holiday
2026-07-03,B2,NYSE holiday
2026-07-03,B1,NYSE holiday
2026-07-05,A_FIXED,weekend
2026-07-05,A_RUNNER,weekend
2026-07-05,B2,weekend
2026-07-05,B1,weekend
2026-07-06,B1,invalid stop 9.5 pips
2026-07-10,B2,pending order expired
2026-07-12,A_FIXED,weekend
2026-07-12,A_RUNNER,weekend
2026-07-12,B2,weekend
2026-07-12,B1,weekend
2026-07-16,B1,invalid stop 270.0 pips
2026-07-17,B2,pending order expired
2026-07-19,A_FIXED,weekend
2026-07-19,A_RUNNER,weekend
2026-07-19,B2,weekend
2026-07-19,B1,weekend
2026-07-20,B,doji/body filter
2026-07-21,B2,pending order expired
2026-07-23,B,doji/body filter
2026-07-26,A_FIXED,weekend
2026-07-26,A_RUNNER,weekend
2026-07-26,B2,weekend
2026-07-26,B1,weekend
2026-07-27,B2,pending order expired
