symbol,entry_time,exit_time,r,return_fraction,side,signal_strength
GBPJPY,2026-01-26T08:00:00+00:00,2026-01-27T00:00:00+00:00,0.3062265352730541,0.003062265352730541,long,0.03295520036435167
US30,2025-12-05T08:00:00+00:00,2026-01-28T00:00:00+00:00,1.3634052272589852,0.013634052272589852,long,0.03871576852769767
EURUSD,2026-01-28T08:00:00+00:00,2026-01-29T00:00:00+00:00,-0.1281088242337262,-0.001281088242337262,long,0.02820285620611627
USTEC,2026-01-27T08:00:00+00:00,2026-01-29T15:45:00+00:00,-1.0234843749999971,-0.01023484374999997,long,0.02939188066678207
USTEC,2026-01-30T08:00:00+00:00,2026-02-01T23:00:00+00:00,-0.3882664339893258,-0.003882664339893258,long,0.031044062068329357
GBPJPY,2026-02-02T08:00:00+00:00,2026-02-11T00:00:00+00:00,-0.6351288934394315,-0.006351288934394315,long,0.029425884479024913
EURUSD,2026-02-11T08:00:00+00:00,2026-02-17T13:45:00+00:00,-1.0293593749999932,-0.010293593749999932,long,0.01856024943332044
EURUSD,2026-02-18T08:00:00+00:00,2026-02-19T00:00:00+00:00,-0.5574947605176499,-0.005574947605176499,long,0.005082602862867136
GBPJPY,2026-02-19T08:00:00+00:00,2026-02-22T22:00:00+00:00,-0.2285147881521565,-0.002285147881521565,long,0.006972107938551117
EURUSD,2026-02-23T08:00:00+00:00,2026-02-25T00:00:00+00:00,-0.5776122288564807,-0.0057761222885648065,long,0.008097601890498548
GBPJPY,2026-02-25T08:00:00+00:00,2026-03-01T22:15:00+00:00,-0.5617978662884048,-0.005617978662884048,long,0.006363530277152481
US30,2026-01-29T08:00:00+00:00,2026-03-01T23:00:00+00:00,-1.0674374999999974,-0.010674374999999974,long,0.02758663978753319
EURUSD,2026-03-02T08:00:00+00:00,2026-03-03T00:00:00+00:00,-0.27992293031397886,-0.0027992293031397887,long,0.0013806000170893595
US30,2026-03-03T08:00:00+00:00,2026-03-04T00:00:00+00:00,0.012193151644028368,0.00012193151644028368,long,0.0025881773647258182
US30,2026-03-05T08:00:00+00:00,2026-03-05T19:30:00+00:00,-1.0207187500000006,-0.010207187500000006,long,0.0033099789248966535
XAGUSD,2025-09-01T08:00:00+00:00,2026-03-20T00:00:00+00:00,33.03732152091415,0.3303732152091415,long,0.11285925668806203
XAUUSD,2025-09-03T08:00:00+00:00,2026-03-22T22:00:00+00:00,16.838902010026057,0.16838902010026058,long,0.05674918207243367
EURUSD,2026-04-08T08:00:00+00:00,2026-04-10T00:00:00+00:00,-0.06048068713335604,-0.0006048068713335604,long,0.0022133015374314817
USTEC,2026-04-10T08:00:00+00:00,2026-04-13T00:00:00+00:00,-0.3679154780790304,-0.0036791547807903044,long,0.012877684849009615
GBPJPY,2026-03-02T08:00:00+00:00,2026-04-19T21:00:00+00:00,1.9123039561701582,0.019123039561701582,long,0.001457673131700657
US30,2026-04-20T08:00:00+00:00,2026-04-22T00:00:00+00:00,0.2388468127933949,0.002388468127933949,long,0.028420892567575476
XAUUSD,2026-04-08T08:00:00+00:00,2026-04-22T00:00:00+00:00,-0.344727045680974,-0.0034472704568097403,long,0.02653186831320462
GBPJPY,2026-04-22T08:00:00+00:00,2026-04-23T00:00:00+00:00,-0.07218422952555609,-0.0007218422952555609,long,0.03222637030469555
ETHUSD,2026-04-23T08:00:00+00:00,2026-04-25T00:00:00+00:00,-0.2127136198890301,-0.002127136198890301,long,0.040694678327056116
XAGUSD,2026-04-08T08:00:00+00:00,2026-04-26T22:00:00+00:00,-0.2677872052707768,-0.0026778720527077682,long,0.04462395614406691
ETHUSD,2026-04-27T08:00:00+00:00,2026-04-28T00:00:00+00:00,-0.1172250236957173,-0.001172250236957173,long,0.02397595772902547
GBPJPY,2026-04-27T08:00:00+00:00,2026-04-30T10:15:00+00:00,-1.0246406249999995,-0.010246406249999996,long,0.025867928377177597
GBPJPY,2026-05-01T08:00:00+00:00,2026-05-06T04:45:00+00:00,-1.027296875,-0.01027296875,long,0.009180248118655416
GBPJPY,2026-05-06T08:00:00+00:00,2026-05-08T00:00:00+00:00,0.33408025864917457,0.0033408025864917457,long,0.007838733967210758
BTCUSD,2026-04-22T08:00:00+00:00,2026-05-14T00:00:00+00:00,0.27515865740466827,0.002751586574046683,long,0.03199974408788676
EURUSD,2026-05-14T08:00:00+00:00,2026-05-15T00:00:00+00:00,-0.5595500633112241,-0.005595500633112241,long,0.00634629468591513
BTCUSD,2026-05-15T08:00:00+00:00,2026-05-16T00:00:00+00:00,-0.5601441741766657,-0.005601441741766657,long,0.01963573368033265
XAGUSD,2026-05-08T08:00:00+00:00,2026-05-17T22:00:00+00:00,-0.7883359615423774,-0.007883359615423774,long,0.016578000764093655
EURUSD,2026-05-18T08:00:00+00:00,2026-05-20T00:00:00+00:00,-0.3451965841213212,-0.003451965841213212,long,0.0022459300672097466
EURUSD,2026-05-21T08:00:00+00:00,2026-05-22T00:00:00+00:00,0.10090374459778709,0.001009037445977871,long,0.0023799092163156598
EURUSD,2026-05-25T08:00:00+00:00,2026-05-26T00:00:00+00:00,-0.045068368617742036,-0.00045068368617742034,long,0.00039771229182775726
XAUUSD,2026-05-26T08:00:00+00:00,2026-05-27T00:00:00+00:00,-0.16319347192836103,-0.0016319347192836104,long,0.0041357118214521045
USTEC,2026-04-14T08:00:00+00:00,2026-07-30T00:00:00+00:00,2.5015481758149565,0.025015481758149567,long,0.014671406689333597
GBPJPY,2026-05-22T08:00:00+00:00,2026-08-02T21:00:00+00:00,-1.0120159217575453,-0.010120159217575453,long,0.00470729422430656
EURUSD,2026-08-03T08:00:00+00:00,2026-08-05T00:00:00+00:00,0.03754911909613076,0.0003754911909613076,long,0.00253941253389344
EURUSD,2026-08-06T08:00:00+00:00,2026-08-07T00:00:00+00:00,-0.28652736679705143,-0.002865273667970514,long,6.906300942647609e-05
BTCUSD,2026-08-08T08:00:00+00:00,2026-08-10T00:00:00+00:00,-0.06292396495638475,-0.0006292396495638475,long,0.015035950904115388
ETHUSD,2026-08-07T08:00:00+00:00,2026-08-11T00:00:00+00:00,-0.34839379789564445,-0.0034839379789564444,long,0.005240600741300903
EURUSD,2026-08-10T08:00:00+00:00,2026-08-11T00:00:00+00:00,-0.23349243798376654,-0.0023349243798376656,long,0.0060015680858696826
XAGUSD,2026-08-11T08:00:00+00:00,2026-08-12T00:00:00+00:00,0.07432054559706279,0.0007432054559706279,long,0.007794069169594973
EURUSD,2026-08-12T08:00:00+00:00,2026-08-13T00:00:00+00:00,-0.1714449713520679,-0.001714449713520679,long,0.0002497447825059029
XAGUSD,2026-08-13T08:00:00+00:00,2026-08-14T00:00:00+00:00,-0.043075835581372,-0.00043075835581372,long,0.005472975514427099
EURUSD,2026-08-17T08:00:00+00:00,2026-08-19T00:00:00+00:00,-0.4983414516664558,-0.004983414516664559,long,0.001439437946477688
XAUUSD,2026-08-11T08:00:00+00:00,2026-08-19T00:00:00+00:00,-0.22839695502136526,-0.0022839695502136527,long,0.01873016404559871
USTEC,2026-07-31T08:00:00+00:00,2026-08-21T00:00:00+00:00,0.7410361164704831,0.00741036116470483,long,0.020476686415587936
US30,2026-04-28T08:00:00+00:00,2026-08-25T00:00:00+00:00,4.453631614308149,0.04453631614308149,long,0.026383501890491847
XAGUSD,2026-08-25T08:00:00+00:00,2026-08-30T22:00:00+00:00,-0.6401280411879554,-0.006401280411879554,long,0.03849950028680848
XAUUSD,2026-08-20T08:00:00+00:00,2026-08-30T22:00:00+00:00,-0.4201206743227962,-0.0042012067432279625,long,0.028633603598084454
BTCUSD,2026-08-21T08:00:00+00:00,2026-08-31T23:45:00+00:00,0.7903197914320326,0.007903197914320325,long,0.08023993661822364
ETHUSD,2026-08-20T08:00:00+00:00,2026-08-31T23:45:00+00:00,1.906232609983602,0.01906232609983602,long,0.12346255235432156
US30,2026-08-31T08:00:00+00:00,2026-08-31T23:45:00+00:00,-0.4437335834126874,-0.004437335834126874,long,0.032621756189943396
XAUUSD,2026-08-31T08:00:00+00:00,2026-08-31T23:45:00+00:00,0.04582288807081506,0.00045822888070815065,long,0.024295902885897797
