tag,stage,config_id,window,model,delay_ms,trades,return_pct,net_pf,net_win_rate,dd_pct,commission,swap,score
wf-2023-test-c0847211b963-20230905-20240905-m4-d1,wf-2023-test,c0847211b963,"['2023.09.05', '2024.09.05']",4,1,27,-4.697,0.7675396919665836,29.62962962962963,9.42,-56.55,-77.56,-23.081767123515853
structure-473d1bc1f01e-20210905-20240905-m1-d1,structure,473d1bc1f01e,"['2021.09.05', '2024.09.05']",1,1,62,8.2147,1.199472102024661,40.32258064516129,6.25,-154.37,-303.28,-1.967197374411917
structure-f092dbe82bef-20210905-20240905-m1-d1,structure,f092dbe82bef,"['2021.09.05', '2024.09.05']",1,1,34,4.5015,1.2129506544867945,41.1764705882353,7.73,-87.43,-240.17,-7.109421285513882
structure-49e6282c78fd-20210905-20240905-m1-d1,structure,49e6282c78fd,"['2021.09.05', '2024.09.05']",1,1,39,3.9388,1.15050131442196,38.46153846153846,7.97,-168.67,0.0,-7.786399675712042
structure-629905cb2d77-20210905-20240905-m1-d1,structure,629905cb2d77,"['2021.09.05', '2024.09.05']",1,1,37,1.2634999999999998,1.0472278186242445,37.83783783783784,7.63,-92.42,-263.7,-10.45071749930132
structure-c551fa0bbd6f-20210905-20240905-m1-d1,structure,c551fa0bbd6f,"['2021.09.05', '2024.09.05']",1,1,64,-3.9724000000000004,0.9090349099485912,32.8125,9.32,-243.41,0.0,-14.04498251895436
structure-c0847211b963-20210905-20240905-m1-d1,structure,c0847211b963,"['2021.09.05', '2024.09.05']",1,1,71,-1.7089,0.9668009084144903,35.2112676056338,10.83,-169.23,-305.98,-14.0451352635931
structure-b912abeb1cc7-20210905-20240905-m1-d1,structure,b912abeb1cc7,"['2021.09.05', '2024.09.05']",1,1,63,0.9936,1.0238616141651917,36.507936507936506,13.08,-188.5,-234.29,-14.987233623301202
structure-5425943e51a6-20210905-20240905-m1-d1,structure,5425943e51a6,"['2021.09.05', '2024.09.05']",1,1,44,-0.3273,0.9896991574899053,36.36363636363637,11.9,-104.99,-286.72,-15.778132583952868
structure-ffc052bc93ca-20210905-20240905-m1-d1,structure,ffc052bc93ca,"['2021.09.05', '2024.09.05']",1,1,29,-3.2964999999999995,0.8423074347272849,31.03448275862069,9.44,-102.71,0.0,-20.213835175057426
structure-523427f0116c-20210905-20240905-m1-d1,structure,523427f0116c,"['2021.09.05', '2024.09.05']",1,1,109,-2.3389,0.9676992128159093,34.862385321100916,17.21,-289.97,-274.39,-21.753517263859536
structure-7c229a0f6c1b-20210905-20240905-m1-d1,structure,7c229a0f6c1b,"['2021.09.05', '2024.09.05']",1,1,18,-0.8604999999999999,0.9291507142563089,33.333333333333336,11.18,-60.99,0.0,-21.756368013566068
structure-2ed7e9eced96-20210905-20240905-m1-d1,structure,2ed7e9eced96,"['2021.09.05', '2024.09.05']",1,1,22,-3.8966000000000003,0.7739004293837762,31.818181818181817,11.2,-58.02,-213.42,-25.915393446869828
structure-73e9ab24e56e-20210905-20240905-m1-d1,structure,73e9ab24e56e,"['2021.09.05', '2024.09.05']",1,1,76,-9.177100000000001,0.8163485437320643,31.57894736842105,18.11,-196.41,-218.24,-27.906098957212237
structure-da8bb0725825-20210905-20240905-m1-d1,structure,da8bb0725825,"['2021.09.05', '2024.09.05']",1,1,47,-9.556000000000001,0.7118023511813207,27.659574468085108,14.88,-142.4,0.0,-28.101595069067336
structure-3379a8b14ae8-20210905-20240905-m1-d1,structure,3379a8b14ae8,"['2021.09.05', '2024.09.05']",1,1,60,-10.1988,0.770223292637043,30.0,17.33,-151.87,-254.08,-28.546726393394724
structure-7e2cd206e131-20210905-20240905-m1-d1,structure,7e2cd206e131,"['2021.09.05', '2024.09.05']",1,1,43,-8.5174,0.7214906759182659,27.906976744186046,15.73,-128.14,0.0,-29.458983601048082
structure-735a7a688bd9-20210905-20240905-m1-d1,structure,735a7a688bd9,"['2021.09.05', '2024.09.05']",1,1,56,-7.2566999999999995,0.8136364103301625,32.142857142857146,19.67,-139.19,-328.43,-29.630846078064543
structure-af96b68a8a01-20210905-20240905-m1-d1,structure,af96b68a8a01,"['2021.09.05', '2024.09.05']",1,1,82,-9.0093,0.834035498162459,31.70731707317073,21.04,-277.49,-124.63,-30.866098844631125
structure-74a60fb7bd42-20210905-20240905-m1-d1,structure,74a60fb7bd42,"['2021.09.05', '2024.09.05']",1,1,140,-12.7237,0.8535124904154567,32.142857142857146,21.57,-406.62,-211.82,-31.37072156268451
structure-06a6a9dbd8e2-20210905-20240905-m1-d1,structure,06a6a9dbd8e2,"['2021.09.05', '2024.09.05']",1,1,59,-13.2465,0.6850143742732608,27.11864406779661,18.34,-225.6,0.0,-33.05546641498883
structure-b26ffef818f6-20210905-20240905-m1-d1,structure,b26ffef818f6,"['2021.09.05', '2024.09.05']",1,1,41,-11.162700000000001,0.6457949915595212,26.829268292682926,17.29,-115.44,-187.76,-34.819353402323166
structure-746fbf940110-20210905-20240905-m1-d1,structure,746fbf940110,"['2021.09.05', '2024.09.05']",1,1,37,-8.3502,0.6808417930528375,27.027027027027028,18.61,-121.91,0.0,-35.54465688641704
structure-4f3a493609dc-20210905-20240905-m1-d1,structure,4f3a493609dc,"['2021.09.05', '2024.09.05']",1,1,37,-10.1573,0.6448099088009848,27.027027027027028,17.48,-96.46,-211.28,-35.76486901651521
structure-abbde3511ef2-20210905-20240905-m1-d1,structure,abbde3511ef2,"['2021.09.05', '2024.09.05']",1,1,74,-12.892699999999998,0.7550909146170037,29.72972972972973,23.61,-185.75,-266.38,-36.90205200678398
structure-b53014fe3361-20210905-20240905-m1-d1,structure,b53014fe3361,"['2021.09.05', '2024.09.05']",1,1,15,-6.4084,0.4725205982336139,20.0,8.97,-40.8,0.0,-37.27485647133305
structure-d75dd7d1f91a-20210905-20240905-m1-d1,structure,d75dd7d1f91a,"['2021.09.05', '2024.09.05']",1,1,98,-11.596300000000001,0.8333544101881684,31.632653061224488,26.58,-227.46,-392.09,-37.84496262219989
structure-66b2b9d5c47a-20210905-20240905-m1-d1,structure,66b2b9d5c47a,"['2021.09.05', '2024.09.05']",1,1,121,-20.7549,0.7519934422233348,28.925619834710744,25.16,-281.07,-277.61,-39.80827988795034
structure-1ed72cd3af9f-20210905-20240905-m1-d1,structure,1ed72cd3af9f,"['2021.09.05', '2024.09.05']",1,1,120,-15.706600000000002,0.8029737212158312,30.833333333333332,27.16,-294.22,-277.07,-39.96262428323727
structure-0404d3c2030a-20210905-20240905-m1-d1,structure,0404d3c2030a,"['2021.09.05', '2024.09.05']",1,1,81,-16.5501,0.7113644964779705,28.395061728395063,24.89,-206.36,-269.59,-40.36827018166181
structure-260480450edb-20210905-20240905-m1-d1,structure,260480450edb,"['2021.09.05', '2024.09.05']",1,1,66,-15.0644,0.6731780550879082,27.272727272727273,25.05,-171.62,-144.42,-41.76136337763606
structure-981cad71735e-20210905-20240905-m1-d1,structure,981cad71735e,"['2021.09.05', '2024.09.05']",1,1,30,-12.5962,0.46290816370039994,20.0,14.33,-89.11,0.0,-41.96320887772664
structure-ede46978d830-20210905-20240905-m1-d1,structure,ede46978d830,"['2021.09.05', '2024.09.05']",1,1,99,-15.134500000000001,0.7696468715230902,30.303030303030305,29.84,-253.63,-302.24,-44.16972694347448
structure-28a6a41890de-20210905-20240905-m1-d1,structure,28a6a41890de,"['2021.09.05', '2024.09.05']",1,1,43,-12.3289,0.5905883368699296,25.58139534883721,23.58,-121.74,-119.29,-44.34136944504327
structure-cc4b2a10179e-20210905-20240905-m1-d1,structure,cc4b2a10179e,"['2021.09.05', '2024.09.05']",1,1,62,-17.9614,0.5803685740185222,24.193548387096776,24.17,-179.08,0.0,-44.761665620576494
structure-1317d6dcee5a-20210905-20240905-m1-d1,structure,1317d6dcee5a,"['2021.09.05', '2024.09.05']",1,1,23,-11.2864,0.40167415033424697,17.391304347826086,13.0,-62.85,0.0,-45.1572202590378
structure-d450f3a04e36-20210905-20240905-m1-d1,structure,d450f3a04e36,"['2021.09.05', '2024.09.05']",1,1,52,-13.806199999999999,0.633963534748569,26.923076923076923,27.28,-125.95,-270.11,-45.78684005921197
structure-f3b85bb11733-20210905-20240905-m1-d1,structure,f3b85bb11733,"['2021.09.05', '2024.09.05']",1,1,50,-19.8428,0.471475982718851,20.0,20.74,-127.12,0.0,-46.06631390590047
structure-3b8b70d2069d-20210905-20240905-m1-d1,structure,3b8b70d2069d,"['2021.09.05', '2024.09.05']",1,1,31,-13.4401,0.4276010102085578,19.35483870967742,18.8,-89.62,0.0,-49.211930433142925
structure-b82cd8e5304a-20210905-20240905-m1-d1,structure,b82cd8e5304a,"['2021.09.05', '2024.09.05']",1,1,103,-23.723000000000003,0.6637710984592402,26.21359223300971,30.65,-353.86,0.0,-49.87220800438148
structure-92ee48cf3bb2-20210905-20240905-m1-d1,structure,92ee48cf3bb2,"['2021.09.05', '2024.09.05']",1,1,45,-17.1532,0.49160941547471565,22.22222222222222,25.64,-128.58,-171.7,-51.578152718965605
structure-b6e9c0752dd4-20210905-20240905-m1-d1,structure,b6e9c0752dd4,"['2021.09.05', '2024.09.05']",1,1,72,-23.035999999999998,0.5439048052745165,23.61111111111111,29.29,-188.44,-171.7,-53.13684594357454
structure-84af07ef4745-20210905-20240905-m1-d1,structure,84af07ef4745,"['2021.09.05', '2024.09.05']",1,1,70,-24.506999999999998,0.5022332173563337,21.428571428571427,27.97,-174.47,0.0,-53.72210726913939
structure-3f906ce47a0b-20210905-20240905-m1-d1,structure,3f906ce47a0b,"['2021.09.05', '2024.09.05']",1,1,89,-21.128700000000002,0.6407899367390968,26.96629213483146,34.76,-226.22,-254.62,-55.37378368915481
structure-952c56f90644-20210905-20240905-m1-d1,structure,952c56f90644,"['2021.09.05', '2024.09.05']",1,1,125,-26.277499999999996,0.676255092876072,27.2,36.84,-366.4,-127.84,-57.140922944865366
structure-3a323fb73705-20210905-20240905-m1-d1,structure,3a323fb73705,"['2021.09.05', '2024.09.05']",1,1,168,-33.340199999999996,0.6860668765818971,27.38095238095238,39.24,-362.59,-313.98,-60.508328206978966
structure-cc8371070c76-20210905-20240905-m1-d1,structure,cc8371070c76,"['2021.09.05', '2024.09.05']",1,1,143,-31.9085,0.64251103271105,26.573426573426573,38.13,-343.74,-237.48,-60.64430227063708
structure-7175c4f17bf6-20210905-20240905-m1-d1,structure,7175c4f17bf6,"['2021.09.05', '2024.09.05']",1,1,27,-16.454,0.29150268259285733,14.814814814814815,23.11,-75.24,-173.3,-65.12413176285031
structure-51661893cd3a-20210905-20240905-m1-d1,structure,51661893cd3a,"['2021.09.05', '2024.09.05']",1,1,223,-35.5471,0.7346072725779539,28.699551569506728,47.37,-581.72,-228.93,-68.82013313984773
safe-5y-91cfff84346c-20210905-20260905-m4-d1,safe-5y,91cfff84346c,"['2021.09.05', '2026.09.05']",4,1,115,10.3626,1.4120219795949203,59.130434782608695,4.54,-97.67,-74.35,4.421079630881281
safe-1y-91cfff84346c-20250905-20260905-m4-d1,safe-1y,91cfff84346c,"['2025.09.05', '2026.09.05']",4,1,30,2.1918,1.3053794602427096,53.333333333333336,4.68,-10.52,0.0,-2.6906396839900903
parity-4f3a493609dc-20260305-20260905-m4-d1,parity,4f3a493609dc,"['2026.03.05', '2026.09.05']",4,1,7,-1.2404,0.7649911900115572,28.571428571428573,5.2,-4.26,0.0,-9993
neighbour-8ca76fb869e5-20240905-20250905-m4-d1,neighbour,8ca76fb869e5,"['2024.09.05', '2025.09.05']",4,1,20,5.693,1.8073230568515395,65.0,2.53,-24.77,-27.28,6.443329410019919
neighbour-b2f44d9d033d-20240905-20250905-m4-d1,neighbour,b2f44d9d033d,"['2024.09.05', '2025.09.05']",4,1,23,5.516699999999999,1.550546884355914,56.52173913043478,3.63,-32.42,-25.68,1.8711964329623676
neighbour-f50dce8ac3eb-20240905-20250905-m4-d1,neighbour,f50dce8ac3eb,"['2024.09.05', '2025.09.05']",4,1,23,4.7804,1.5434310593745384,60.869565217391305,3.75,-31.02,-24.61,1.5238454708576352
neighbour-ac54b45743bf-20240905-20250905-m4-d1,neighbour,ac54b45743bf,"['2024.09.05', '2025.09.05']",4,1,31,5.5463,1.4223049629189701,58.064516129032256,3.51,-57.99,-47.61,1.460525223738348
neighbour-2713faecd0ba-20240905-20250905-m4-d1,neighbour,2713faecd0ba,"['2024.09.05', '2025.09.05']",4,1,24,3.5917000000000003,1.363753291472554,58.333333333333336,4.46,-31.36,-25.68,-2.364979207308954
neighbour-9fd6c7835cbb-20240905-20250905-m4-d1,neighbour,9fd6c7835cbb,"['2024.09.05', '2025.09.05']",4,1,21,2.7821,1.309903868646475,57.142857142857146,4.24,-28.45,0.0,-3.8053042048049335
neighbour-25a1cf3221a8-20240905-20250905-m4-d1,neighbour,25a1cf3221a8,"['2024.09.05', '2025.09.05']",4,1,23,2.4217,1.2442707282630623,56.52173913043478,4.6,-32.92,-26.21,-5.165656053481742
neighbour-db01ab49cd30-20240905-20250905-m4-d1,neighbour,db01ab49cd30,"['2024.09.05', '2025.09.05']",4,1,23,-0.018799999999999997,0.9980799673185926,56.52173913043478,5.33,-31.95,0.0,-11.84630295767439
management-39b5d6dae5b5-20210905-20240905-m1-d1,management,39b5d6dae5b5,"['2021.09.05', '2024.09.05']",1,1,62,15.540899999999999,1.6421090034665269,62.903225806451616,3.9,-148.71,-132.12,9.584442834961344
management-773045990506-20210905-20240905-m1-d1,management,773045990506,"['2021.09.05', '2024.09.05']",1,1,62,15.234,1.6276548845756098,64.51612903225806,4.0,-139.0,-178.66,9.206586443660822
management-bb6dafab3f4f-20210905-20240905-m1-d1,management,bb6dafab3f4f,"['2021.09.05', '2024.09.05']",1,1,62,14.354800000000001,1.6037110557835945,62.903225806451616,3.87,-139.28,-124.1,8.886584835785344
management-eeb989cc03b2-20210905-20240905-m1-d1,management,eeb989cc03b2,"['2021.09.05', '2024.09.05']",1,1,62,14.3652,1.5900338448394835,61.29032258064516,3.9,-148.71,-132.12,8.637706551704087
management-1d1d7cd1c6a2-20210905-20240905-m1-d1,management,1d1d7cd1c6a2,"['2021.09.05', '2024.09.05']",1,1,62,14.169899999999998,1.5577888260371522,61.29032258064516,3.9,-148.55,-129.97,8.102072914141068
management-27bd9501b5bd-20210905-20240905-m1-d1,management,27bd9501b5bd,"['2021.09.05', '2024.09.05']",1,1,62,14.169899999999998,1.5577888260371522,61.29032258064516,3.9,-148.55,-129.97,8.102072914141068
management-c15ec97b927d-20210905-20240905-m1-d1,management,c15ec97b927d,"['2021.09.05', '2024.09.05']",1,1,62,14.169899999999998,1.5577888260371522,61.29032258064516,3.9,-148.55,-129.97,8.102072914141068
management-ecc0d3bb3693-20210905-20240905-m1-d1,management,ecc0d3bb3693,"['2021.09.05', '2024.09.05']",1,1,62,14.169899999999998,1.5577888260371522,61.29032258064516,3.9,-148.55,-129.97,8.102072914141068
management-07fb19d4191f-20210905-20240905-m1-d1,management,07fb19d4191f,"['2021.09.05', '2024.09.05']",1,1,62,13.888,1.5455838273365468,62.903225806451616,4.0,-138.83,-177.06,7.751603018540034
management-08af9ed4a77c-20210905-20240905-m1-d1,management,08af9ed4a77c,"['2021.09.05', '2024.09.05']",1,1,62,13.888,1.5455838273365468,62.903225806451616,4.0,-138.83,-177.06,7.751603018540034
management-5049edbe3e76-20210905-20240905-m1-d1,management,5049edbe3e76,"['2021.09.05', '2024.09.05']",1,1,62,13.888,1.5455838273365468,62.903225806451616,4.0,-138.83,-177.06,7.751603018540034
management-878bd6a015b5-20210905-20240905-m1-d1,management,878bd6a015b5,"['2021.09.05', '2024.09.05']",1,1,62,13.888,1.5455838273365468,62.903225806451616,4.0,-138.83,-177.06,7.751603018540034
latency-bb6dafab3f4f-20250905-20260905-m4-d500,latency,bb6dafab3f4f,"['2025.09.05', '2026.09.05']",4,500,30,3.5812000000000004,1.2631725921897736,53.333333333333336,8.53,-19.89,0.0,-7.965593835065393
latency-bb6dafab3f4f-20250905-20260905-m4-d2000,latency,bb6dafab3f4f,"['2025.09.05', '2026.09.05']",4,2000,30,3.6378,1.2636335306949207,53.333333333333336,8.58,-19.89,0.0,-8.009680864008587
final-6m-bb6dafab3f4f-20260305-20260905-m4-d1,final-6m,bb6dafab3f4f,"['2026.03.05', '2026.09.05']",4,1,10,7.2677,5.00998675789009,80.0,2.03,-5.49,0.0,-9990
final-5y-bb6dafab3f4f-20210905-20260905-m4-d1,final-5y,bb6dafab3f4f,"['2021.09.05', '2026.09.05']",4,1,115,21.211799999999997,1.4133298778432284,59.130434782608695,8.58,-199.29,-153.52,0.8981293912630957
final-3y-bb6dafab3f4f-20230905-20260905-m4-d1,final-3y,bb6dafab3f4f,"['2023.09.05', '2026.09.05']",4,1,77,16.0127,1.4924908576999851,59.74025974025974,8.45,-105.41,-146.02,1.7926850192927972
final-1y-bb6dafab3f4f-20250905-20260905-m4-d1,final-1y,bb6dafab3f4f,"['2025.09.05', '2026.09.05']",4,1,30,3.6751,1.2704506652537384,53.333333333333336,8.51,-19.89,0.0,-7.786695698624391
filters-1820fc00f052-20210905-20240905-m1-d1,filters,1820fc00f052,"['2021.09.05', '2024.09.05']",1,1,60,18.0005,1.8209996761702338,65.0,3.9,-146.23,-132.12,12.464700572868033
filters-0f122306295f-20210905-20240905-m1-d1,filters,0f122306295f,"['2021.09.05', '2024.09.05']",1,1,38,10.8367,1.7654442199838953,65.78947368421052,2.63,-67.62,-31.56,9.954462535722557
filters-49ec2b05f168-20210905-20240905-m1-d1,filters,49ec2b05f168,"['2021.09.05', '2024.09.05']",1,1,46,10.6632,1.567155287960343,63.04347826086956,3.33,-94.59,-5.35,7.7151354338432485
filters-f518b9bb2fc3-20210905-20240905-m1-d1,filters,f518b9bb2fc3,"['2021.09.05', '2024.09.05']",1,1,73,15.684400000000002,1.5111539125872189,61.64383561643836,4.85,-172.91,-205.94,6.383966487772589
filters-46e5ea7fc6ae-20210905-20240905-m1-d1,filters,46e5ea7fc6ae,"['2021.09.05', '2024.09.05']",1,1,70,14.5287,1.4933931027456575,61.42857142857143,4.85,-168.01,-203.26,5.949713527946932
filters-bb1bd5a49fd7-20210905-20240905-m1-d1,filters,bb1bd5a49fd7,"['2021.09.05', '2024.09.05']",1,1,44,6.1745,1.3281201840810297,59.09090909090909,7.94,-104.04,-5.35,-2.892946324490625
exits-27bd9501b5bd-20210905-20240905-m1-d1,exits,27bd9501b5bd,"['2021.09.05', '2024.09.05']",1,1,62,14.169899999999998,1.5577888260371522,61.29032258064516,3.9,-148.55,-129.97,8.102072914141068
exits-878bd6a015b5-20210905-20240905-m1-d1,exits,878bd6a015b5,"['2021.09.05', '2024.09.05']",1,1,62,13.888,1.5455838273365468,62.903225806451616,4.0,-138.83,-177.06,7.751603018540034
exits-3a70cbfe8372-20210905-20240905-m1-d1,exits,3a70cbfe8372,"['2021.09.05', '2024.09.05']",1,1,62,11.719899999999999,1.44347533242014,59.67741935483871,4.51,-154.78,-130.51,5.1707287811537865
exits-4a10fab4c16a-20210905-20240905-m1-d1,exits,4a10fab4c16a,"['2021.09.05', '2024.09.05']",1,1,34,6.394900000000001,1.4686728180172521,61.76470588235294,3.34,-78.23,-104.3,3.168366702362494
exits-9e315e0b4a0f-20210905-20240905-m1-d1,exits,9e315e0b4a0f,"['2021.09.05', '2024.09.05']",1,1,62,12.697,1.3651270194569536,50.0,5.32,-149.55,-189.88,2.9208269713709
exits-e9df3f813390-20210905-20240905-m1-d1,exits,e9df3f813390,"['2021.09.05', '2024.09.05']",1,1,34,6.190900000000001,1.4523891296246227,58.8235294117647,3.38,-83.39,-108.05,2.817154902686001
exits-9772ee62d251-20210905-20240905-m1-d1,exits,9772ee62d251,"['2021.09.05', '2024.09.05']",1,1,62,12.4286,1.3576771104031589,50.0,5.37,-155.34,-197.91,2.6918128096090124
exits-4ac896be79b1-20210905-20240905-m1-d1,exits,4ac896be79b1,"['2021.09.05', '2024.09.05']",1,1,62,5.3775,1.2284807464341707,62.903225806451616,4.75,-142.56,-121.96,0.08975601095064167
exits-473d1bc1f01e-20210905-20240905-m1-d1,exits,473d1bc1f01e,"['2021.09.05', '2024.09.05']",1,1,62,8.2147,1.199472102024661,40.32258064516129,6.25,-154.37,-303.28,-1.967197374411917
exits-847d005453d9-20210905-20240905-m1-d1,exits,847d005453d9,"['2021.09.05', '2024.09.05']",1,1,62,3.5069999999999997,1.1428949780992155,61.29032258064516,4.8,-148.76,-111.26,-2.0000475521662486
exits-1d26cc96e1bd-20210905-20240905-m1-d1,exits,1d26cc96e1bd,"['2021.09.05', '2024.09.05']",1,1,34,3.9724000000000004,1.2707359295557705,55.88235294117647,4.44,-87.14,-109.66,-2.061406881686567
exits-3ba38e230cd4-20210905-20240905-m1-d1,exits,3ba38e230cd4,"['2021.09.05', '2024.09.05']",1,1,62,8.5534,1.207450201425623,40.32258064516129,6.59,-147.79,-291.52,-2.1688203840307425
exits-aca9e0e127c0-20210905-20240905-m1-d1,exits,aca9e0e127c0,"['2021.09.05', '2024.09.05']",1,1,62,3.2736,1.132208441534839,61.29032258064516,4.97,-132.99,-140.15,-2.4669155384602535
exits-aec88b5f0f06-20210905-20240905-m1-d1,exits,aec88b5f0f06,"['2021.09.05', '2024.09.05']",1,1,62,6.8938,1.1868552439705315,46.774193548387096,6.56,-138.91,-210.74,-2.7620650742815887
exits-e5d8de3bfc4f-20210905-20240905-m1-d1,exits,e5d8de3bfc4f,"['2021.09.05', '2024.09.05']",1,1,34,2.4559,1.1917248916819547,61.76470588235294,4.3,-82.24,-106.45,-3.6802483390766945
