number,ea,symbol,side,volume,open_time,close_time,open_price,close_price,gross_profit,commission,swap,total_costs,net_profit,result,source,entry_comment,exit_comment,holding_minutes,initial_stop,initial_target,planned_risk_cash,equity_at_signal,entry_spread_cost,equity_after_entry,planned_risk_pct,initial_fill_risk_usd,net_R_on_initial_fill_risk
17,XAU D14 break/retest research,XAUUSD,Long,0.33,2022-08-01T19:00:00,2022-08-01T20:49:15,1769.379,1772.485,102.5,-1.82,0.0,-1.82,100.68,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 1772.481,109.25,1766.277,1772.481,102.366,10206.3,4.13,10200.35,1.0029687545927517,102.36599999999544,0.9835296875916271
18,XAU D14 break/retest research,XAUUSD,Long,0.18,2022-10-12T13:45:00,2022-10-12T19:45:00,1672.611,1674.796,39.33,-0.99,0.0,-0.99,38.34,Win,Native MT5 deals,D14H1M5_RESEARCH,,360.0,1666.668,1678.554,106.97399999999999,10306.98,2.25,10303.74,1.037879184785456,106.9740000000038,0.3584048460373422
19,XAU D14 break/retest research,XAUUSD,Long,0.28,2022-11-16T09:00:00,2022-11-16T09:40:40,1779.279,1783.015,104.61,-1.54,0.0,-1.54,103.07,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 1783.008,40.666666666666664,1775.55,1783.008,104.412,10345.32,3.5,10340.28,1.009267958845159,104.41200000000119,0.9871470712178564
20,XAU D14 break/retest research,XAUUSD,Long,0.36,2022-11-18T07:10:00,2022-11-18T08:17:38,1765.492,1762.547,-106.02,-1.98,0.0,-1.98,-108.0,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 1762.550,67.63333333333334,1762.55,1768.434,105.91199999999999,10448.39,4.5,10441.91,1.0136681345164182,105.91200000000026,-1.0197144799456126
21,XAU D14 break/retest research,XAUUSD,Long,0.49,2022-12-09T01:00:00,2022-12-09T01:09:34,1790.488,1792.62,104.47,-2.7,0.0,-2.7,101.77,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 1792.607,9.566666666666666,1788.369,1792.607,103.831,10340.39,6.12,10331.57,1.0041304051394582,103.83100000000695,0.9801504367673737
22,XAU D14 break/retest research,XAUUSD,Long,0.4,2022-12-09T11:05:00,2022-12-09T11:29:29,1795.25,1797.933,107.32,-2.2,0.0,-2.2,105.12,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 1797.897,24.483333333333334,1792.603,1797.897,105.88,10442.16,5.0,10434.96,1.0139664590467872,105.87999999999738,0.9928220627125294
23,XAU D14 break/retest research,XAUUSD,Long,0.45,2022-12-09T19:30:00,2022-12-09T20:41:17,1798.98,1796.587,-107.68,-2.48,0.0,-2.48,-110.16,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 1796.587,71.28333333333333,1796.587,1801.373,107.685,10547.28,5.62,10539.18,1.020974127926821,107.68500000000131,-1.022983702465512
24,XAU D14 break/retest research,XAUUSD,Long,0.75,2022-12-21T19:10:00,2022-12-21T19:25:37,1817.925,1816.508,-106.28,-4.13,0.0,-4.13,-110.41,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 1816.523,15.616666666666667,1816.523,1819.327,105.14999999999999,10437.12,9.38,10423.61,1.0074618285504047,105.15000000000327,-1.050023775558693
25,XAU D14 break/retest research,XAUUSD,Long,0.64,2022-12-30T06:20:00,2022-12-30T07:00:35,1819.426,1821.07,105.22,-3.52,0.0,-3.52,101.7,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 1821.053,40.583333333333336,1817.799,1821.053,104.128,10326.71,8.0,10315.19,1.0083366338359459,104.12799999999697,0.9766825445605692
26,XAU D14 break/retest research,XAUUSD,Long,0.39,2023-01-06T08:20:00,2023-01-06T08:31:35,1840.332,1837.569,-107.76,-2.15,0.0,-2.15,-109.91,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 1837.588,11.583333333333334,1837.588,1843.076,107.01599999999999,10428.41,4.88,10421.38,1.026196706880531,107.01600000000553,-1.0270426852058974
27,XAU D14 break/retest research,XAUUSD,Long,0.5,2023-01-18T11:55:00,2023-01-18T13:02:00,1916.027,1918.144,105.85,-2.75,0.0,-2.75,103.1,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 1918.123,67.0,1913.931,1918.123,104.8,10318.5,6.25,10309.5,1.0156514997334884,104.80000000000018,0.9837786259541967
28,XAU D14 break/retest research,XAUUSD,Long,0.48,2023-01-31T19:35:00,2023-01-31T19:56:37,1930.997,1928.785,-106.18,-2.64,0.0,-2.64,-108.82,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 1928.793,21.616666666666667,1928.793,1933.201,105.792,10421.6,6.0,10412.96,1.015122438013357,105.79200000000856,-1.028622202056783
29,XAU D14 break/retest research,XAUUSD,Long,0.19,2023-03-13T12:20:00,2023-03-13T12:29:42,1892.222,1897.867,107.25,-1.05,0.0,-1.05,106.2,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 1897.850,9.7,1886.594,1897.85,106.93199999999999,10312.78,2.38,10309.35,1.0368882105504043,106.93199999999865,0.9931545281113356
30,XAU D14 break/retest research,XAUUSD,Long,0.31,2023-03-21T09:40:00,2023-03-21T10:38:26,1968.453,1965.057,-105.27,-1.71,0.0,-1.71,-106.98,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 1965.057,58.43333333333333,1965.057,1971.849,105.27600000000001,10418.98,3.87,10413.4,1.0104252047705247,105.2759999999987,-1.0161860253049253
31,XAU D14 break/retest research,XAUUSD,Long,0.24,2023-03-24T12:30:00,2023-03-24T12:32:28,1997.083,2001.463,105.12,-1.32,0.0,-1.32,103.8,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 2001.458,2.466666666666667,1992.708,2001.458,105.0,10312.0,3.0,10307.68,1.0182311869666407,105.0,0.9885714285714285
32,XAU D14 break/retest research,XAUUSD,Long,0.21,2023-03-28T15:00:00,2023-03-28T17:52:31,1969.298,1974.443,108.04,-1.16,0.0,-1.16,106.88,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 1974.424,172.51666666666668,1964.172,1974.424,107.646,10415.8,2.63,10412.01,1.0334875861671693,107.6459999999995,0.9928840830128429
33,XAU D14 break/retest research,XAUUSD,Long,0.28,2023-04-05T08:25:00,2023-04-05T08:56:33,2027.904,2024.075,-107.21,-1.54,0.0,-1.54,-108.75,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 2024.078,31.55,2024.078,2031.73,107.12800000000001,10522.68,3.5,10517.64,1.0180676405630507,107.12800000000063,-1.0151407661862386
34,XAU D14 break/retest research,XAUUSD,Long,1.71,2023-04-10T23:20:00,2023-04-10T23:28:28,1991.575,1992.193,105.67,-9.41,0.0,-9.41,96.26,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 1992.185,8.466666666666667,1990.965,1992.185,104.31,10413.93,21.38,10383.14,1.0016391506376554,104.31000000002177,0.9228261911607699
35,XAU D14 break/retest research,XAUUSD,Long,0.12,2023-04-20T14:10:00,2023-04-20T14:55:27,2011.361,2002.322,-108.47,-0.66,0.0,-0.66,-109.13,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 2002.334,45.45,2002.334,2020.388,108.324,10510.19,1.5,10508.03,1.0306569148607208,108.32400000000052,-1.0074406410398384
36,XAU D14 break/retest research,XAUUSD,Long,0.14,2023-05-03T19:50:00,2023-05-03T20:48:29,2028.512,2036.288,108.86,-0.77,0.0,-0.77,108.09,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 2036.281,58.483333333333334,2020.743,2036.281,108.766,10401.06,1.75,10398.54,1.045720340042265,108.76600000000009,0.9937848224629012
37,XAU D14 break/retest research,XAUUSD,Long,0.43,2023-05-09T05:20:00,2023-05-09T06:40:02,2027.456,2024.946,-107.93,-2.37,0.0,-2.37,-110.3,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 2024.964,80.03333333333333,2024.964,2029.948,107.15599999999999,10509.15,5.38,10501.4,1.0196447857343363,107.15599999999836,-1.0293404009108373
38,XAU D14 break/retest research,XAUUSD,Long,0.66,2023-07-11T06:05:00,2023-07-11T06:29:00,1929.765,1931.367,105.73,-3.63,0.0,-3.63,102.1,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 1931.354,24.0,1928.176,1931.354,104.87400000000001,10398.85,8.25,10386.97,1.0085153646797484,104.87400000001116,0.9735492114345703
39,XAU D14 break/retest research,XAUUSD,Long,0.74,2023-09-07T09:05:00,2023-09-07T10:05:41,1919.534,1920.962,105.67,-4.07,0.0,-4.07,101.6,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 1920.960,60.68333333333333,1918.108,1920.96,105.524,10500.95,9.25,10487.63,1.004899556706774,105.52400000001171,0.962814146544755
40,XAU D14 break/retest research,XAUUSD,Long,0.43,2023-11-01T11:45:00,2023-11-01T12:25:38,1984.698,1987.224,108.62,-2.37,0.0,-2.37,106.25,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 1987.211,40.63333333333333,1982.185,1987.211,108.059,10602.55,5.37,10594.81,1.0191793483643086,108.05900000000634,0.9832591454667706
41,XAU D14 break/retest research,XAUUSD,Long,0.5,2023-12-06T03:55:00,2023-12-06T04:40:27,2023.52,2021.324,-109.8,-2.75,0.0,-2.75,-112.55,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 2021.336,45.45,2021.336,2025.704,109.2,10708.8,6.25,10699.8,1.0197220977140296,109.19999999999845,-1.0306776556776702
42,XAU D14 break/retest research,XAUUSD,Long,0.44,2023-12-26T19:25:00,2023-12-26T20:05:26,2060.324,2062.764,107.36,-2.42,0.0,-2.42,104.94,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 2062.752,40.43333333333333,2057.896,2062.752,106.83200000000001,10596.25,7.57,10586.26,1.0082057331603163,106.83199999999488,0.9822899505766534
43,XAU D14 break/retest research,XAUUSD,Long,0.35,2024-01-02T05:15:00,2024-01-02T06:12:14,2071.77,2074.881,108.89,-1.93,0.0,-1.93,106.96,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 2074.873,57.233333333333334,2068.667,2074.873,108.605,10701.19,8.08,10691.18,1.0148871293753312,108.60500000000229,0.9848533677086482
44,XAU D14 break/retest research,XAUUSD,Long,0.49,2024-02-28T17:05:00,2024-02-28T18:44:34,2034.283,2032.052,-109.32,-2.7,0.0,-2.7,-112.02,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 2032.053,99.56666666666666,2032.053,2036.513,109.27,10808.15,6.13,10799.32,1.0109963314720836,109.26999999998975,-1.0251670174797338
45,XAU D14 break/retest research,XAUUSD,Long,1.02,2024-02-29T06:20:00,2024-02-29T07:07:38,2036.36,2037.436,109.75,-5.61,0.0,-5.61,104.14,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 2037.417,47.63333333333333,2035.303,2037.417,107.81400000000001,10696.13,12.75,10677.77,1.007972042224618,107.81399999997848,0.9659227929584357
46,XAU D14 break/retest research,XAUUSD,Long,0.23,2024-03-05T10:15:00,2024-03-05T12:28:26,2126.677,2121.885,-110.21,-1.27,0.0,-1.27,-111.48,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 2121.888,133.43333333333334,2121.888,2131.466,110.147,10800.27,2.87,10796.13,1.0198541332762978,110.14700000000494,-1.0121020091332038
47,XAU D14 break/retest research,XAUUSD,Long,0.4,2024-03-05T17:30:00,2024-03-05T18:28:13,2129.813,2132.565,110.08,-2.2,0.0,-2.2,107.88,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 2132.543,58.21666666666667,2127.083,2132.543,109.2,10688.79,5.0,10681.59,1.0216310733020295,109.20000000000073,0.9879120879120813
48,XAU D14 break/retest research,XAUUSD,Long,0.35,2024-03-15T09:55:00,2024-03-15T11:07:28,2170.404,2167.233,-110.98,-1.93,0.0,-1.93,-112.91,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 2167.234,72.46666666666667,2167.234,2173.574,110.94999999999999,10796.67,4.37,10790.37,1.0276316679124209,110.95000000000255,-1.0176656151419325
49,XAU D14 break/retest research,XAUUSD,Long,0.34,2024-04-02T09:30:00,2024-04-02T09:31:41,2263.315,2266.507,108.53,-1.87,0.0,-1.87,106.66,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 2266.483,1.6833333333333333,2260.147,2266.483,107.71200000000002,10683.76,4.25,10677.64,1.0081843845238008,107.7120000000041,0.9902332144978827
50,XAU D14 break/retest research,XAUUSD,Long,0.43,2024-04-03T02:05:00,2024-04-03T03:13:27,2282.824,2285.373,109.61,-2.37,0.0,-2.37,107.24,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 2285.349,68.45,2280.299,2285.349,108.575,10790.42,5.37,10782.68,1.0062166254881646,108.57500000000391,0.9877043518304963
51,XAU D14 break/retest research,XAUUSD,Long,0.1,2024-04-05T15:25:00,2024-04-07T22:05:00,2325.576,2327.353,17.77,-0.55,-5.35,-5.9,11.87,Win,Native MT5 deals,D14H1M5_RESEARCH,,3280.0,2313.943,2337.209,116.33,10897.66,1.25,10895.86,1.0674768711815197,116.32999999999811,0.1020373076592469
52,XAU D14 break/retest research,XAUUSD,Long,0.19,2024-04-18T12:10:00,2024-04-18T13:31:40,2386.033,2391.92,111.85,-1.05,0.0,-1.05,110.8,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 2391.906,81.66666666666667,2380.16,2391.906,111.58699999999999,10909.53,2.38,10906.1,1.0228396640368558,111.5870000000009,0.9929472071119315
53,XAU D14 break/retest research,XAUUSD,Long,0.66,2024-07-10T22:35:00,2024-07-11T01:00:30,2372.777,2374.455,110.75,-3.63,-105.91,-109.54,1.21,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 2374.447,145.5,2371.107,2374.447,110.22,11020.33,8.25,11008.45,1.000151538111835,110.2200000000048,0.01097804391217517
54,XAU D14 break/retest research,XAUUSD,Long,0.13,2024-07-11T14:50:00,2024-07-11T15:20:29,2412.155,2420.952,114.36,-0.72,0.0,-0.72,113.64,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 2420.931,30.483333333333334,2403.379,2420.931,114.08800000000001,11021.54,1.63,11019.19,1.0351366505951074,114.08800000000383,0.9960732066474667
55,XAU D14 break/retest research,XAUUSD,Long,0.29,2024-07-15T14:50:00,2024-07-15T14:53:27,2424.636,2428.542,113.28,-1.6,0.0,-1.6,111.68,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 2428.536,3.45,2420.736,2428.536,113.1,11135.18,3.24,11130.34,1.015699791112492,113.10000000000262,0.9874447391688542
56,XAU D14 break/retest research,XAUUSD,Long,0.28,2024-07-16T01:55:00,2024-07-16T03:04:36,2427.233,2431.282,113.38,-1.54,0.0,-1.54,111.84,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 2431.253,69.6,2423.213,2431.253,112.56000000000002,11246.86,3.13,11242.19,1.0008126712700256,112.5599999999995,0.9936034115138637
57,XAU D14 break/retest research,XAUUSD,Long,0.31,2024-07-23T15:45:00,2024-07-23T16:24:04,2407.101,2403.31,-117.52,-1.71,0.0,-1.71,-119.23,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 2403.331,39.06666666666667,2403.331,2410.871,116.87,11358.7,3.4699999999999998,11353.52,1.0289029554438447,116.86999999999944,-1.020193377256786
58,XAU D14 break/retest research,XAUUSD,Long,0.53,2024-08-15T03:15:00,2024-08-15T04:10:33,2453.129,2455.291,114.58,-2.92,0.0,-2.92,111.66,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 2455.288,55.55,2450.97,2455.288,114.427,11239.47,5.57,11230.98,1.0180818134662935,114.42700000000559,0.9758186442010587
59,XAU D14 break/retest research,XAUUSD,Long,0.28,2024-08-15T10:05:00,2024-08-15T11:37:04,2459.425,2463.524,114.77,-1.54,0.0,-1.54,113.23,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 2463.515,92.06666666666666,2455.335,2463.515,114.52000000000001,11351.13,2.94,11346.65,1.0088863399502959,114.52000000000409,0.9887355920362902
60,XAU D14 break/retest research,XAUUSD,Long,0.27,2024-08-16T10:15:00,2024-08-16T11:15:40,2465.218,2469.591,118.07,-1.49,0.0,-1.49,116.58,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 2469.590,60.666666666666664,2460.846,2469.59,118.04400000000001,11464.36,2.84,11460.03,1.0296606177754364,118.04399999999579,0.9875978448714391
61,XAU D14 break/retest research,XAUUSD,Long,0.2,2024-08-19T08:20:00,2024-08-19T10:00:39,2505.326,2499.321,-120.1,-1.1,0.0,-1.1,-121.2,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 2499.334,100.65,2499.334,2511.318,119.84000000000002,11580.94,2.24,11577.6,1.0348037378658383,119.84000000000378,-1.0113484646194608
62,XAU D14 break/retest research,XAUUSD,Long,0.24,2024-08-20T18:20:00,2024-08-21T00:20:00,2513.658,2513.696,0.91,-1.32,-12.84,-14.16,-13.25,Loss,Native MT5 deals,D14H1M5_RESEARCH,,360.0,2508.834,2518.482,115.776,11459.74,2.69,11455.73,1.010284701049064,115.77600000000166,-0.11444513543393976
63,XAU D14 break/retest research,XAUUSD,Long,0.81,2024-09-16T02:50:00,2024-09-16T03:05:29,2585.083,2586.504,115.1,-4.46,0.0,-4.46,110.64,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 2586.498,15.483333333333333,2583.668,2586.498,114.61500000000001,11446.49,9.07,11432.96,1.0013113190156984,114.61499999999707,0.9653186755660501
64,XAU D14 break/retest research,XAUUSD,Long,0.37,2024-09-18T03:30:00,2024-09-18T04:33:25,2575.721,2572.491,-119.51,-2.04,0.0,-2.04,-121.55,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 2572.517,63.416666666666664,2572.517,2578.925,118.54799999999999,11557.13,4.15,11550.94,1.0257563945373982,118.5480000000066,-1.0253230758848166
65,XAU D14 break/retest research,XAUUSD,Long,0.25,2024-10-24T17:45:00,2024-10-24T23:45:00,2736.998,2734.833,-54.12,-1.38,0.0,-1.38,-55.5,Loss,Native MT5 deals,D14H1M5_RESEARCH,,360.0,2732.366,2741.63,115.8,11435.58,2.8,11431.4,1.0126290052625229,115.80000000000155,-0.47927461139895733
66,XAU D14 break/retest research,XAUUSD,Long,0.55,2024-10-29T20:45:00,2024-10-30T00:06:05,2773.759,2775.893,117.37,-3.03,-29.42,-32.45,84.92,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 2775.866,201.08333333333334,2771.652,2775.866,115.885,11380.08,6.16,11370.89,1.0183144582463393,115.88499999999841,0.7327954437589089
67,XAU D14 break/retest research,XAUUSD,Long,0.26,2024-10-30T09:55:00,2024-10-30T10:57:38,2784.66,2780.18,-116.48,-1.43,0.0,-1.43,-117.91,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 2780.187,62.63333333333333,2780.187,2789.133,116.298,11465.0,2.91,11460.66,1.014374182293938,116.29799999999886,-1.013860943438418
68,XAU D14 break/retest research,XAUUSD,Long,0.22,2024-11-05T14:30:00,2024-11-05T14:47:41,2747.84,2742.623,-114.77,-1.21,0.0,-1.21,-115.98,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 2742.624,17.683333333333334,2742.624,2753.056,114.75200000000001,11347.09,2.46,11343.42,1.011290119316935,114.75200000000768,-1.0107013385386943
69,XAU D14 break/retest research,XAUUSD,Long,0.3,2025-01-09T09:45:00,2025-01-09T11:27:29,2666.016,2669.888,116.16,-1.65,0.0,-1.65,114.51,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 2669.873,102.48333333333333,2662.159,2669.873,115.71,11231.11,3.33,11226.13,1.030263259820267,115.70999999999913,0.9896292455276197
70,XAU D14 break/retest research,XAUUSD,Long,0.24,2025-01-13T04:05:00,2025-01-13T04:38:30,2690.179,2685.329,-116.4,-1.32,0.0,-1.32,-117.72,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 2685.338,33.5,2685.338,2695.02,116.184,11345.62,2.69,11341.61,1.0240427583507996,116.18399999999747,-1.0132204090064256
71,XAU D14 break/retest research,XAUUSD,Long,0.51,2025-01-15T19:50:00,2025-01-15T23:02:05,2694.865,2697.345,126.48,-2.81,0.0,-2.81,123.67,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 2697.079,192.08333333333334,2692.651,2697.079,112.914,11227.9,5.72,11219.37,1.0056555544669974,112.91399999999703,1.095258338204326
72,XAU D14 break/retest research,XAUUSD,Long,0.4,2025-01-17T07:05:00,2025-01-17T07:41:37,2713.367,2710.441,-117.04,-2.2,0.0,-2.2,-119.24,Loss,Native MT5 deals,D14H1M5_RESEARCH,sl 2710.459,36.61666666666667,2710.459,2716.275,116.32000000000001,11351.57,4.48,11344.89,1.0247040717715699,116.32000000001426,-1.0251031636862566
73,XAU D14 break/retest research,XAUUSD,Long,0.22,2025-01-28T14:05:00,2025-01-28T14:36:03,2750.881,2756.006,112.75,-1.21,0.0,-1.21,111.54,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 2756.006,31.05,2745.756,2756.006,112.75,11232.33,2.46,11228.66,1.0037988556247903,112.75,0.9892682926829269
74,XAU D14 break/retest research,XAUUSD,Long,0.22,2025-02-03T14:10:00,2025-02-03T14:36:40,2812.939,2818.273,117.35,-1.21,0.0,-1.21,116.14,Win,Native MT5 deals,D14H1M5_RESEARCH,tp 2818.262,26.666666666666668,2807.616,2818.262,117.106,11343.87,2.4699999999999998,11340.19,1.03232847343984,117.10599999999704,0.9917510631394031
