name,daily_profit_pct,daily_loss_pct,recovery_factor,maximum_multiplier,initial,final,net,return_pct,realized_dd_amount,realized_dd_pct,profit_factor,trades,wins,losses,win_rate_pct,skipped_entries,lock_days,max_loss_streak,max_multiplier_used,max_nominal_risk_pct,ruined
Daily 2.5%/2.5% + literal unlimited recovery,2.5,2.5,1.6,,10000.0,0.0,-10000.0,-100.0,20074.04,100.0,0.7562,245,100,145,40.8163,150,41,11,68.719477,68.719477,True
Daily 2.5% win / 3% loss,2.5,3.0,1.0,1.0,10000.0,40375.78,30375.78,303.7578,2239.47,22.3947,1.3069,1867,774,1093,41.4569,199,67,12,1.0,1.0,False
Daily 2.5%/3% + fixed recovery 1.6x,2.5,3.0,1.6,1.6,10000.0,48786.42,38786.42,387.8642,3035.41,30.3541,1.3054,1741,719,1022,41.2981,325,111,11,1.6,1.6,False
Daily 2.5%/3% + recovery cap 2.56x,2.5,3.0,1.6,2.56,10000.0,61653.68,51653.68,516.5368,3112.01,31.1201,1.3408,1687,690,997,40.901,379,128,11,2.56,2.56,False
Daily 2.5%/3% + literal unlimited recovery,2.5,3.0,1.6,,10000.0,96032.36,86032.36,860.3236,39323.19,78.127,1.3196,1644,674,970,40.9976,422,130,12,109.951163,109.951163,False
Daily 2.5% win / 4% loss,2.5,4.0,1.0,1.0,10000.0,39615.52,29615.52,296.1552,2615.51,26.1551,1.2971,1878,779,1099,41.4803,188,56,12,1.0,1.0,False
Daily 2.5%/4% + fixed recovery 1.6x,2.5,4.0,1.6,1.6,10000.0,51313.73,41313.73,413.1373,3680.06,36.8006,1.3157,1809,751,1058,41.5146,257,88,12,1.6,1.6,False
Daily 2.5%/4% + recovery cap 2.56x,2.5,4.0,1.6,2.56,10000.0,66836.28,56836.28,568.3628,4196.6,41.966,1.3554,1795,745,1050,41.5042,271,96,11,2.56,2.56,False
Daily 2.5%/4% + literal unlimited recovery,2.5,4.0,1.6,,10000.0,138014.72,128014.72,1280.1472,3971.45,39.7145,1.42,1809,753,1056,41.6252,257,84,12,175.92186,175.92186,False
Daily 3% win / 1% loss,3.0,1.0,1.0,1.0,10000.0,36139.33,26139.33,261.3933,1159.99,11.5999,1.334,1473,615,858,41.7515,593,162,9,1.0,1.0,False
Daily 3%/1% + fixed recovery 1.6x,3.0,1.0,1.6,1.6,10000.0,45090.24,35090.24,350.9024,1362.55,13.6255,1.3626,1369,576,793,42.0745,697,179,9,1.6,1.6,False
Daily 3%/1% + recovery cap 2.56x,3.0,1.0,1.6,2.56,10000.0,46103.46,36103.46,361.0346,1752.66,17.5266,1.3369,1289,540,749,41.8929,777,196,12,2.56,2.56,False
Daily 3%/1% + literal unlimited recovery,3.0,1.0,1.6,,10000.0,0.0,-10000.0,-100.0,22058.52,100.0,0.5174,219,98,121,44.7489,183,45,12,175.92186,175.92186,True
Daily 3% win / 1.5% loss,3.0,1.5,1.0,1.0,10000.0,37193.77,27193.77,271.9377,1412.57,14.1257,1.3049,1649,681,968,41.2978,417,134,10,1.0,1.0,False
Daily 3%/1.5% + fixed recovery 1.6x,3.0,1.5,1.6,1.6,10000.0,47607.54,37607.54,376.0754,1595.96,15.9596,1.3407,1528,637,891,41.6885,538,160,10,1.6,1.6,False
Daily 3%/1.5% + recovery cap 2.56x,3.0,1.5,1.6,2.56,10000.0,58415.58,48415.58,484.1558,2067.23,20.6723,1.3763,1496,628,868,41.9786,570,167,10,2.56,2.56,False
Daily 3%/1.5% + literal unlimited recovery,3.0,1.5,1.6,,10000.0,109391.22,99391.22,993.9122,19275.81,80.6502,1.4053,1552,634,918,40.8505,514,149,12,175.92186,175.92186,False
Daily 3% win / 2% loss,3.0,2.0,1.0,1.0,10000.0,38902.11,28902.11,289.0211,1485.6,14.856,1.3022,1773,729,1044,41.1168,293,102,12,1.0,1.0,False
Daily 3%/2% + fixed recovery 1.6x,3.0,2.0,1.6,1.6,10000.0,48129.05,38129.05,381.2905,2085.29,20.8529,1.3104,1679,692,987,41.215,387,129,12,1.6,1.6,False
Daily 3%/2% + recovery cap 2.56x,3.0,2.0,1.6,2.56,10000.0,59540.92,49540.92,495.4092,2087.38,20.8738,1.3385,1643,677,966,41.2051,423,135,12,2.56,2.56,False
Daily 3%/2% + literal unlimited recovery,3.0,2.0,1.6,,10000.0,0.0,-10000.0,-100.0,24130.46,100.0,0.7748,486,187,299,38.4774,250,76,12,175.92186,175.92186,True
Daily 3% win / 2.5% loss,3.0,2.5,1.0,1.0,10000.0,38816.39,28816.39,288.1639,2259.17,22.5917,1.2922,1841,756,1085,41.0646,225,80,12,1.0,1.0,False
Daily 3%/2.5% + fixed recovery 1.6x,3.0,2.5,1.6,1.6,10000.0,49316.44,39316.44,393.1644,2085.29,20.8529,1.3094,1741,714,1027,41.0109,325,110,12,1.6,1.6,False
Daily 3%/2.5% + recovery cap 2.56x,3.0,2.5,1.6,2.56,10000.0,61324.88,51324.88,513.2488,2089.05,20.8905,1.3365,1707,706,1001,41.3591,359,114,12,2.56,2.56,False
Daily 3%/2.5% + literal unlimited recovery,3.0,2.5,1.6,,10000.0,81854.76,71854.76,718.5476,34484.1,83.3361,1.2616,1601,659,942,41.1618,465,146,12,175.92186,175.92186,False
Daily 3% win / 3% loss,3.0,3.0,1.0,1.0,10000.0,40392.75,30392.75,303.9275,2239.47,22.3947,1.3018,1893,782,1111,41.3101,173,61,12,1.0,1.0,False
Daily 3%/3% + fixed recovery 1.6x,3.0,3.0,1.6,1.6,10000.0,49105.73,39105.73,391.0573,3035.41,30.3541,1.3006,1778,731,1047,41.1136,288,102,11,1.6,1.6,False
Daily 3%/3% + recovery cap 2.56x,3.0,3.0,1.6,2.56,10000.0,58153.07,48153.07,481.5307,3112.01,31.1201,1.3145,1694,692,1002,40.8501,372,121,11,2.56,2.56,False
Daily 3%/3% + literal unlimited recovery,3.0,3.0,1.6,,10000.0,502524.48,492524.48,4925.2448,61149.32,50.475,2.339,1832,743,1089,40.5568,234,77,14,720.57594,720.57594,False
Daily 3% win / 4% loss,3.0,4.0,1.0,1.0,10000.0,40198.52,30198.52,301.9852,2615.51,26.1551,1.2981,1909,790,1119,41.3829,157,49,12,1.0,1.0,False
Daily 3%/4% + fixed recovery 1.6x,3.0,4.0,1.6,1.6,10000.0,52911.45,42911.45,429.1145,3354.2,33.542,1.3177,1865,772,1093,41.3941,201,66,12,1.6,1.6,False
Daily 3%/4% + recovery cap 2.56x,3.0,4.0,1.6,2.56,10000.0,65200.96,55200.96,552.0096,3870.74,38.7074,1.3326,1848,761,1087,41.1797,218,83,12,2.56,2.56,False
Daily 3%/4% + literal unlimited recovery,3.0,4.0,1.6,,10000.0,189297.61,179297.61,1792.9761,3971.45,39.7145,1.5065,1861,765,1096,41.1069,205,65,12,281.474977,281.474977,False
Daily 4% win / 1% loss,4.0,1.0,1.0,1.0,10000.0,35182.78,25182.78,251.8278,1159.99,11.5999,1.3107,1512,628,884,41.5344,554,149,13,1.0,1.0,False
Daily 4%/1% + fixed recovery 1.6x,4.0,1.0,1.6,1.6,10000.0,43725.91,33725.91,337.2591,1362.55,13.6255,1.3288,1436,596,840,41.5042,630,161,9,1.6,1.6,False
Daily 4%/1% + recovery cap 2.56x,4.0,1.0,1.6,2.56,10000.0,46817.61,36817.61,368.1761,1752.66,17.5266,1.3265,1351,564,787,41.7469,715,178,11,2.56,2.56,False
Daily 4%/1% + literal unlimited recovery,4.0,1.0,1.6,,10000.0,0.0,-10000.0,-100.0,26543.63,100.0,0.6143,225,97,128,43.1111,177,43,12,175.92186,175.92186,True
Daily 4% win / 1.5% loss,4.0,1.5,1.0,1.0,10000.0,36163.54,26163.54,261.6354,1412.57,14.1257,1.28,1719,706,1013,41.0704,347,113,14,1.0,1.0,False
Daily 4%/1.5% + fixed recovery 1.6x,4.0,1.5,1.6,1.6,10000.0,47275.54,37275.54,372.7554,1580.45,15.8045,1.3114,1646,682,964,41.4338,420,129,13,1.6,1.6,False
Daily 4%/1.5% + recovery cap 2.56x,4.0,1.5,1.6,2.56,10000.0,58949.76,48949.76,489.4976,2067.23,20.6723,1.363,1551,644,907,41.5216,515,149,10,2.56,2.56,False
Daily 4%/1.5% + literal unlimited recovery,4.0,1.5,1.6,,10000.0,0.0,-10000.0,-100.0,23005.07,100.0,0.8087,441,169,272,38.322,295,82,11,109.951163,109.951163,True
Daily 4% win / 2% loss,4.0,2.0,1.0,1.0,10000.0,37442.61,27442.61,274.4261,1485.6,14.856,1.2735,1849,755,1094,40.8329,217,79,14,1.0,1.0,False
Daily 4%/2% + fixed recovery 1.6x,4.0,2.0,1.6,1.6,10000.0,48799.4,38799.4,387.994,2149.18,21.4918,1.2966,1790,736,1054,41.1173,276,97,14,1.6,1.6,False
Daily 4%/2% + recovery cap 2.56x,4.0,2.0,1.6,2.56,10000.0,57196.33,47196.33,471.9633,2087.38,20.8738,1.3121,1677,683,994,40.7275,389,123,12,2.56,2.56,False
Daily 4%/2% + literal unlimited recovery,4.0,2.0,1.6,,10000.0,67138.82,57138.82,571.3882,30319.21,79.7122,1.2646,1533,633,900,41.2916,533,153,12,109.951163,109.951163,False
Daily 4% win / 2.5% loss,4.0,2.5,1.0,1.0,10000.0,40055.53,30055.53,300.5553,2259.17,22.5917,1.2904,1937,798,1139,41.1977,129,55,12,1.0,1.0,False
Daily 4%/2.5% + fixed recovery 1.6x,4.0,2.5,1.6,1.6,10000.0,47832.97,37832.97,378.3297,2149.18,21.4918,1.2842,1813,741,1072,40.8715,253,87,14,1.6,1.6,False
Daily 4%/2.5% + recovery cap 2.56x,4.0,2.5,1.6,2.56,10000.0,65032.07,55032.07,550.3207,2089.05,20.8905,1.3445,1789,738,1051,41.2521,277,89,11,2.56,2.56,False
Daily 4%/2.5% + literal unlimited recovery,4.0,2.5,1.6,,10000.0,94262.0,84262.0,842.62,34356.43,77.7418,1.2941,1667,681,986,40.8518,399,122,12,175.92186,175.92186,False
Daily 4% win / 3% loss,4.0,3.0,1.0,1.0,10000.0,41046.64,31046.64,310.4664,2239.47,22.3947,1.2948,1981,815,1166,41.1408,85,33,12,1.0,1.0,False
Daily 4%/3% + fixed recovery 1.6x,4.0,3.0,1.6,1.6,10000.0,49375.26,39375.26,393.7526,3035.41,30.3541,1.2935,1844,757,1087,41.0521,222,81,11,1.6,1.6,False
Daily 4%/3% + recovery cap 2.56x,4.0,3.0,1.6,2.56,10000.0,68352.72,58352.72,583.5272,3112.01,31.1201,1.3536,1872,775,1097,41.3996,194,69,11,2.56,2.56,False
Daily 4%/3% + literal unlimited recovery,4.0,3.0,1.6,,10000.0,504542.47,494542.47,4945.4247,61149.32,49.648,2.3451,1861,761,1100,40.892,205,67,14,720.57594,720.57594,False
Daily 4% win / 4% loss,4.0,4.0,1.0,1.0,10000.0,40925.77,30925.77,309.2577,2615.51,26.1551,1.2913,1997,823,1174,41.2118,69,24,12,1.0,1.0,False
Daily 4%/4% + fixed recovery 1.6x,4.0,4.0,1.6,1.6,10000.0,51529.21,41529.21,415.2921,3354.2,33.542,1.2977,1925,793,1132,41.1948,141,49,12,1.6,1.6,False
Daily 4%/4% + recovery cap 2.56x,4.0,4.0,1.6,2.56,10000.0,69573.16,59573.16,595.7316,3870.74,38.7074,1.3552,1906,790,1116,41.4481,160,55,12,2.56,2.56,False
Daily 4%/4% + literal unlimited recovery,4.0,4.0,1.6,,10000.0,198312.38,188312.38,1883.1238,3971.45,39.7145,1.5475,1883,772,1111,40.9984,183,60,12,281.474977,281.474977,False
