event,type,status,side,r,best_r,entry,sl,risk_usd_0_10,pnl_usd_0_10,balance_after,trail_start_r,trail_distance_r,max_hold_minutes
Jan 30 2026 PCE / PPI,PCE,loss,sell,-1.0,0.3290268881410131,5020.434,5048.067,276.33,-276.33,716.4200000000001,2.0,0.75,120
Feb 11 2026 NFP / Jobs,NFP,trail_exit,sell,1.8203771013175605,2.57037710131754,5077.842,5099.852,220.1,400.66,1117.0800000000002,2.0,0.75,120
Feb 13 2026 CPI,CPI,breakeven,buy,0.0,1.4646718766727649,4974.521,4955.839,186.82,0.0,1117.0800000000002,2.0,0.75,120
Feb 18 2026 FOMC Minutes,FOMC,loss,buy,-1.0,0.2497191011235766,4991.05,4973.25,178.0,-178.0,939.0800000000002,2.0,0.75,120
Feb 27 2026 PPI / PCE,PCE,timeout,sell,-0.27432314410480363,0.8639737991266107,5227.356,5250.256,229.0,-62.82,876.2600000000001,2.0,0.75,120
Mar 11 2026 CPI,CPI,loss,buy,-1.0,0.0038354996803812414,5196.455,5177.683,187.72,-187.72,688.5400000000001,2.0,0.75,120
Mar 18 2026 PPI / FOMC,FOMC,loss,buy,-1.0,0.03797739568272254,4898.525,4879.856,186.69,-186.69,501.8500000000001,2.0,0.75,120
Apr 03 2026 NFP / Jobs,NFP,no_data,,,,,,,,501.8500000000001,2.0,0.75,120
Apr 10 2026 CPI,CPI,timeout,buy,1.2902002971159752,1.3146867476051955,4768.61,4749.089,195.21,251.86,753.71,2.0,0.75,120
Apr 29 2026 FOMC Statement,FOMC,breakeven,sell,0.0,1.033077709611496,4538.121,4557.681,195.6,0.0,753.71,2.0,0.75,120
May 08 2026 NFP / Jobs,NFP,loss,sell,-1.0,0.014166096160947855,4702.849,4721.838,189.89,-189.89,563.82,2.0,0.75,120
May 12 2026 CPI,CPI,no_trigger,,0.0,,,,0.0,0.0,563.82,2.0,0.75,120
May 20 2026 FOMC Minutes,FOMC,no_trigger,,0.0,,,,0.0,0.0,563.82,2.0,0.75,120
May 29 2026 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,563.82,2.0,0.75,120
Jun 05 2026 NFP / Jobs,NFP,trail_exit,sell,2.1330346106303875,2.883034610630376,4455.728,4475.144,194.16,414.15,977.97,2.0,0.75,120
Jun 10 2026 CPI,CPI,breakeven,buy,0.0,1.2992925811717966,4145.018,4122.966,220.52,0.0,977.97,2.0,0.75,120
Jun 17 2026 FOMC Statement,FOMC,breakeven,sell,0.0,1.880707482993197,4371.988,4390.363,183.75,0.0,977.97,2.0,0.75,120
Jun 25 2026 PCE,PCE,timeout,buy,1.4891759465478567,1.9274832962137822,3990.702,3968.252,224.5,334.32,1312.29,2.0,0.75,120
Jul 02 2026 NFP / Jobs,NFP,trail_exit,buy,1.8195069558101256,2.569506955810108,4072.322,4052.77,195.52,355.75,1668.04,2.0,0.75,120
Jul 08 2026 FOMC Minutes,FOMC,no_trigger,,0.0,,,,0.0,0.0,1668.04,2.0,0.75,120
Jul 14 2026 CPI,CPI,trail_exit,buy,1.9539171682137717,2.7039171682137773,4036.96,4017.354,196.06,383.09,2051.13,2.0,0.75,120
Jul 30 2025 FOMC Statement,FOMC,no_trigger,,0.0,,,,0.0,0.0,500.0,2.0,0.75,240
Jul 31 2025 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,500.0,2.0,0.75,240
Aug 01 2025 NFP / Jobs,NFP,trail_exit,buy,1.8047521227060646,2.554752122706077,3307.994,3289.739,182.55,329.46,829.46,2.0,0.75,240
Aug 12 2025 CPI,CPI,timeout,buy,0.07741901666840674,0.6165216479714715,3347.449,3328.371,190.78,14.77,844.23,2.0,0.75,240
Aug 20 2025 FOMC Minutes,FOMC,no_trigger,,0.0,,,,0.0,0.0,844.23,2.0,0.75,240
Aug 29 2025 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,844.23,2.0,0.75,240
Sep 05 2025 NFP / Jobs,NFP,timeout,buy,2.0409226958406266,2.0524305913922807,3560.304,3540.926,193.78,395.49,1239.72,2.0,0.75,240
Sep 11 2025 CPI,CPI,both_sides_same_bar_skip,,0.0,,,,0.0,0.0,1239.72,2.0,0.75,240
Sep 17 2025 FOMC Statement,FOMC,both_sides_same_bar_skip,,0.0,,,,0.0,0.0,1239.72,2.0,0.75,240
Sep 26 2025 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,1239.72,2.0,0.75,240
Oct 03 2025 NFP / Jobs,NFP,no_trigger,,0.0,,,,0.0,0.0,1239.72,2.0,0.75,240
Oct 08 2025 FOMC Minutes,FOMC,no_trigger,,0.0,,,,0.0,0.0,1239.72,2.0,0.75,240
Oct 15 2025 CPI,CPI,no_trigger,,0.0,,,,0.0,0.0,1239.72,2.0,0.75,240
Oct 29 2025 FOMC Statement,FOMC,loss,sell,-1.0,0.5054171478853906,3987.756,4005.939,181.83,-181.83,1057.89,2.0,0.75,240
Oct 31 2025 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,1057.89,2.0,0.75,240
Nov 07 2025 NFP / Jobs,NFP,no_trigger,,0.0,,,,0.0,0.0,1057.89,2.0,0.75,240
Nov 13 2025 CPI,CPI,no_trigger,,0.0,,,,0.0,0.0,1057.89,2.0,0.75,240
Nov 19 2025 FOMC Minutes,FOMC,timeout,sell,0.007903690133464527,0.7983250457995257,4080.806,4099.911,191.05,1.51,1059.4,2.0,0.75,240
Nov 26 2025 PCE,PCE,breakeven,sell,0.0,1.2300769814594283,4159.198,4177.644,184.46,0.0,1059.4,2.0,0.75,240
Dec 05 2025 NFP / Jobs,NFP,no_trigger,,0.0,,,,0.0,0.0,1059.4,2.0,0.75,240
Dec 10 2025 CPI,CPI,no_trigger,,0.0,,,,0.0,0.0,1059.4,2.0,0.75,240
Dec 10 2025 FOMC Statement,FOMC,breakeven,buy,0.0,1.0134657465073613,4201.789,4183.966,178.23,0.0,1059.4,2.0,0.75,240
Dec 23 2025 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,1059.4,2.0,0.75,240
Jan 07 2026 FOMC Minutes,FOMC,no_trigger,,0.0,,,,0.0,0.0,1059.4,2.0,0.75,240
Jan 09 2026 NFP / Jobs,NFP,loss,sell,-1.0,0.2886180867334629,4464.756,4485.025,202.69,-202.69,856.71,2.0,0.75,240
Jan 13 2026 CPI,CPI,breakeven,buy,0.0,1.323738027439852,4609.172,4589.857,193.15,0.0,856.71,2.0,0.75,240
Jan 28 2026 FOMC Statement,FOMC,trail_exit,buy,1.8811550962985042,2.631155096298526,5284.673,5264.06,206.13,387.76,1244.47,2.0,0.75,240
Jan 30 2026 PCE / PPI,PCE,loss,sell,-1.0,0.3290268881410131,5020.434,5048.067,276.33,-276.33,968.1400000000001,2.0,0.75,240
Feb 11 2026 NFP / Jobs,NFP,trail_exit,sell,1.8203771013175605,2.57037710131754,5077.842,5099.852,220.1,400.66,1368.8000000000002,2.0,0.75,240
Feb 13 2026 CPI,CPI,breakeven,buy,0.0,1.4646718766727649,4974.521,4955.839,186.82,0.0,1368.8000000000002,2.0,0.75,240
Feb 18 2026 FOMC Minutes,FOMC,loss,buy,-1.0,0.2497191011235766,4991.05,4973.25,178.0,-178.0,1190.8000000000002,2.0,0.75,240
Feb 27 2026 PPI / PCE,PCE,loss,sell,-1.0,0.8639737991266107,5227.356,5250.256,229.0,-229.0,961.8000000000002,2.0,0.75,240
Mar 11 2026 CPI,CPI,loss,buy,-1.0,0.0038354996803812414,5196.455,5177.683,187.72,-187.72,774.0800000000002,2.0,0.75,240
Mar 18 2026 PPI / FOMC,FOMC,loss,buy,-1.0,0.03797739568272254,4898.525,4879.856,186.69,-186.69,587.3900000000001,2.0,0.75,240
Apr 03 2026 NFP / Jobs,NFP,no_data,,,,,,,,587.3900000000001,2.0,0.75,240
Apr 10 2026 CPI,CPI,breakeven,buy,0.0,1.360073766712799,4768.61,4749.089,195.21,0.0,587.3900000000001,2.0,0.75,240
Apr 29 2026 FOMC Statement,FOMC,breakeven,sell,0.0,1.033077709611496,4538.121,4557.681,195.6,0.0,587.3900000000001,2.0,0.75,240
May 08 2026 NFP / Jobs,NFP,loss,sell,-1.0,0.014166096160947855,4702.849,4721.838,189.89,-189.89,397.5000000000001,2.0,0.75,240
May 12 2026 CPI,CPI,no_trigger,,0.0,,,,0.0,0.0,397.5000000000001,2.0,0.75,240
May 20 2026 FOMC Minutes,FOMC,no_trigger,,0.0,,,,0.0,0.0,397.5000000000001,2.0,0.75,240
May 29 2026 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,397.5000000000001,2.0,0.75,240
Jun 05 2026 NFP / Jobs,NFP,trail_exit,sell,2.1330346106303875,2.883034610630376,4455.728,4475.144,194.16,414.15,811.6500000000001,2.0,0.75,240
Jun 10 2026 CPI,CPI,breakeven,buy,0.0,1.2992925811717966,4145.018,4122.966,220.52,0.0,811.6500000000001,2.0,0.75,240
Jun 17 2026 FOMC Statement,FOMC,breakeven,sell,0.0,1.880707482993197,4371.988,4390.363,183.75,0.0,811.6500000000001,2.0,0.75,240
Jun 25 2026 PCE,PCE,trail_exit,buy,1.468708240534497,2.218708240534492,3990.702,3968.252,224.5,329.73,1141.38,2.0,0.75,240
Jul 02 2026 NFP / Jobs,NFP,trail_exit,buy,1.8195069558101256,2.569506955810108,4072.322,4052.77,195.52,355.75,1497.13,2.0,0.75,240
Jul 08 2026 FOMC Minutes,FOMC,no_trigger,,0.0,,,,0.0,0.0,1497.13,2.0,0.75,240
Jul 14 2026 CPI,CPI,trail_exit,buy,1.9539171682137717,2.7039171682137773,4036.96,4017.354,196.06,383.09,1880.22,2.0,0.75,240
Jul 30 2025 FOMC Statement,FOMC,no_trigger,,0.0,,,,0.0,0.0,500.0,2.0,0.75,360
Jul 31 2025 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,500.0,2.0,0.75,360
Aug 01 2025 NFP / Jobs,NFP,trail_exit,buy,1.8047521227060646,2.554752122706077,3307.994,3289.739,182.55,329.46,829.46,2.0,0.75,360
Aug 12 2025 CPI,CPI,timeout,buy,0.06625432435266408,0.6165216479714715,3347.449,3328.371,190.78,12.64,842.1,2.0,0.75,360
Aug 20 2025 FOMC Minutes,FOMC,no_trigger,,0.0,,,,0.0,0.0,842.1,2.0,0.75,360
Aug 29 2025 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,842.1,2.0,0.75,360
Sep 05 2025 NFP / Jobs,NFP,timeout,buy,1.9194447311383738,2.0524305913922807,3560.304,3540.926,193.78,371.95,1214.05,2.0,0.75,360
Sep 11 2025 CPI,CPI,both_sides_same_bar_skip,,0.0,,,,0.0,0.0,1214.05,2.0,0.75,360
Sep 17 2025 FOMC Statement,FOMC,both_sides_same_bar_skip,,0.0,,,,0.0,0.0,1214.05,2.0,0.75,360
Sep 26 2025 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,1214.05,2.0,0.75,360
Oct 03 2025 NFP / Jobs,NFP,no_trigger,,0.0,,,,0.0,0.0,1214.05,2.0,0.75,360
Oct 08 2025 FOMC Minutes,FOMC,no_trigger,,0.0,,,,0.0,0.0,1214.05,2.0,0.75,360
Oct 15 2025 CPI,CPI,no_trigger,,0.0,,,,0.0,0.0,1214.05,2.0,0.75,360
Oct 29 2025 FOMC Statement,FOMC,loss,sell,-1.0,0.5054171478853906,3987.756,4005.939,181.83,-181.83,1032.22,2.0,0.75,360
Oct 31 2025 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,1032.22,2.0,0.75,360
Nov 07 2025 NFP / Jobs,NFP,no_trigger,,0.0,,,,0.0,0.0,1032.22,2.0,0.75,360
Nov 13 2025 CPI,CPI,no_trigger,,0.0,,,,0.0,0.0,1032.22,2.0,0.75,360
Nov 19 2025 FOMC Minutes,FOMC,timeout,sell,-0.3678094739596984,0.7983250457995257,4080.806,4099.911,191.05,-70.27,961.95,2.0,0.75,360
Nov 26 2025 PCE,PCE,breakeven,sell,0.0,1.2300769814594283,4159.198,4177.644,184.46,0.0,961.95,2.0,0.75,360
Dec 05 2025 NFP / Jobs,NFP,no_trigger,,0.0,,,,0.0,0.0,961.95,2.0,0.75,360
Dec 10 2025 CPI,CPI,no_trigger,,0.0,,,,0.0,0.0,961.95,2.0,0.75,360
Dec 10 2025 FOMC Statement,FOMC,breakeven,buy,0.0,1.0134657465073613,4201.789,4183.966,178.23,0.0,961.95,2.0,0.75,360
Dec 23 2025 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,961.95,2.0,0.75,360
Jan 07 2026 FOMC Minutes,FOMC,no_trigger,,0.0,,,,0.0,0.0,961.95,2.0,0.75,360
Jan 09 2026 NFP / Jobs,NFP,loss,sell,-1.0,0.2886180867334629,4464.756,4485.025,202.69,-202.69,759.26,2.0,0.75,360
Jan 13 2026 CPI,CPI,breakeven,buy,0.0,1.323738027439852,4609.172,4589.857,193.15,0.0,759.26,2.0,0.75,360
Jan 28 2026 FOMC Statement,FOMC,trail_exit,buy,1.8811550962985042,2.631155096298526,5284.673,5264.06,206.13,387.76,1147.02,2.0,0.75,360
Jan 30 2026 PCE / PPI,PCE,loss,sell,-1.0,0.3290268881410131,5020.434,5048.067,276.33,-276.33,870.69,2.0,0.75,360
Feb 11 2026 NFP / Jobs,NFP,trail_exit,sell,1.8203771013175605,2.57037710131754,5077.842,5099.852,220.1,400.66,1271.3500000000001,2.0,0.75,360
Feb 13 2026 CPI,CPI,breakeven,buy,0.0,1.4646718766727649,4974.521,4955.839,186.82,0.0,1271.3500000000001,2.0,0.75,360
Feb 18 2026 FOMC Minutes,FOMC,loss,buy,-1.0,0.2497191011235766,4991.05,4973.25,178.0,-178.0,1093.3500000000001,2.0,0.75,360
Feb 27 2026 PPI / PCE,PCE,loss,sell,-1.0,0.8639737991266107,5227.356,5250.256,229.0,-229.0,864.3500000000001,2.0,0.75,360
Mar 11 2026 CPI,CPI,loss,buy,-1.0,0.0038354996803812414,5196.455,5177.683,187.72,-187.72,676.6300000000001,2.0,0.75,360
Mar 18 2026 PPI / FOMC,FOMC,loss,buy,-1.0,0.03797739568272254,4898.525,4879.856,186.69,-186.69,489.9400000000001,2.0,0.75,360
Apr 03 2026 NFP / Jobs,NFP,no_data,,,,,,,,489.9400000000001,2.0,0.75,360
Apr 10 2026 CPI,CPI,breakeven,buy,0.0,1.360073766712799,4768.61,4749.089,195.21,0.0,489.9400000000001,2.0,0.75,360
Apr 29 2026 FOMC Statement,FOMC,breakeven,sell,0.0,1.033077709611496,4538.121,4557.681,195.6,0.0,489.9400000000001,2.0,0.75,360
May 08 2026 NFP / Jobs,NFP,loss,sell,-1.0,0.014166096160947855,4702.849,4721.838,189.89,-189.89,300.0500000000001,2.0,0.75,360
May 12 2026 CPI,CPI,no_trigger,,0.0,,,,0.0,0.0,300.0500000000001,2.0,0.75,360
May 20 2026 FOMC Minutes,FOMC,no_trigger,,0.0,,,,0.0,0.0,300.0500000000001,2.0,0.75,360
May 29 2026 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,300.0500000000001,2.0,0.75,360
Jun 05 2026 NFP / Jobs,NFP,trail_exit,sell,2.1330346106303875,2.883034610630376,4455.728,4475.144,194.16,414.15,714.2,2.0,0.75,360
Jun 10 2026 CPI,CPI,breakeven,buy,0.0,1.2992925811717966,4145.018,4122.966,220.52,0.0,714.2,2.0,0.75,360
Jun 17 2026 FOMC Statement,FOMC,breakeven,sell,0.0,1.880707482993197,4371.988,4390.363,183.75,0.0,714.2,2.0,0.75,360
Jun 25 2026 PCE,PCE,trail_exit,buy,1.468708240534497,2.218708240534492,3990.702,3968.252,224.5,329.73,1043.93,2.0,0.75,360
Jul 02 2026 NFP / Jobs,NFP,trail_exit,buy,1.8195069558101256,2.569506955810108,4072.322,4052.77,195.52,355.75,1399.68,2.0,0.75,360
Jul 08 2026 FOMC Minutes,FOMC,no_trigger,,0.0,,,,0.0,0.0,1399.68,2.0,0.75,360
Jul 14 2026 CPI,CPI,trail_exit,buy,1.9539171682137717,2.7039171682137773,4036.96,4017.354,196.06,383.09,1782.77,2.0,0.75,360
Jul 30 2025 FOMC Statement,FOMC,no_trigger,,0.0,,,,0.0,0.0,500.0,2.0,0.75,720
Jul 31 2025 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,500.0,2.0,0.75,720
Aug 01 2025 NFP / Jobs,NFP,trail_exit,buy,1.8047521227060646,2.554752122706077,3307.994,3289.739,182.55,329.46,829.46,2.0,0.75,720
Aug 12 2025 CPI,CPI,timeout,buy,0.06625432435266408,0.6165216479714715,3347.449,3328.371,190.78,12.64,842.1,2.0,0.75,720
Aug 20 2025 FOMC Minutes,FOMC,no_trigger,,0.0,,,,0.0,0.0,842.1,2.0,0.75,720
Aug 29 2025 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,842.1,2.0,0.75,720
Sep 05 2025 NFP / Jobs,NFP,timeout,buy,1.9194447311383738,2.0524305913922807,3560.304,3540.926,193.78,371.95,1214.05,2.0,0.75,720
Sep 11 2025 CPI,CPI,both_sides_same_bar_skip,,0.0,,,,0.0,0.0,1214.05,2.0,0.75,720
Sep 17 2025 FOMC Statement,FOMC,both_sides_same_bar_skip,,0.0,,,,0.0,0.0,1214.05,2.0,0.75,720
Sep 26 2025 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,1214.05,2.0,0.75,720
Oct 03 2025 NFP / Jobs,NFP,no_trigger,,0.0,,,,0.0,0.0,1214.05,2.0,0.75,720
Oct 08 2025 FOMC Minutes,FOMC,no_trigger,,0.0,,,,0.0,0.0,1214.05,2.0,0.75,720
Oct 15 2025 CPI,CPI,no_trigger,,0.0,,,,0.0,0.0,1214.05,2.0,0.75,720
Oct 29 2025 FOMC Statement,FOMC,loss,sell,-1.0,0.5054171478853906,3987.756,4005.939,181.83,-181.83,1032.22,2.0,0.75,720
Oct 31 2025 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,1032.22,2.0,0.75,720
Nov 07 2025 NFP / Jobs,NFP,no_trigger,,0.0,,,,0.0,0.0,1032.22,2.0,0.75,720
Nov 13 2025 CPI,CPI,no_trigger,,0.0,,,,0.0,0.0,1032.22,2.0,0.75,720
Nov 19 2025 FOMC Minutes,FOMC,timeout,sell,-0.3678094739596984,0.7983250457995257,4080.806,4099.911,191.05,-70.27,961.95,2.0,0.75,720
Nov 26 2025 PCE,PCE,breakeven,sell,0.0,1.2300769814594283,4159.198,4177.644,184.46,0.0,961.95,2.0,0.75,720
Dec 05 2025 NFP / Jobs,NFP,no_trigger,,0.0,,,,0.0,0.0,961.95,2.0,0.75,720
Dec 10 2025 CPI,CPI,no_trigger,,0.0,,,,0.0,0.0,961.95,2.0,0.75,720
Dec 10 2025 FOMC Statement,FOMC,breakeven,buy,0.0,1.0134657465073613,4201.789,4183.966,178.23,0.0,961.95,2.0,0.75,720
Dec 23 2025 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,961.95,2.0,0.75,720
Jan 07 2026 FOMC Minutes,FOMC,no_trigger,,0.0,,,,0.0,0.0,961.95,2.0,0.75,720
Jan 09 2026 NFP / Jobs,NFP,loss,sell,-1.0,0.2886180867334629,4464.756,4485.025,202.69,-202.69,759.26,2.0,0.75,720
Jan 13 2026 CPI,CPI,breakeven,buy,0.0,1.323738027439852,4609.172,4589.857,193.15,0.0,759.26,2.0,0.75,720
Jan 28 2026 FOMC Statement,FOMC,trail_exit,buy,1.8811550962985042,2.631155096298526,5284.673,5264.06,206.13,387.76,1147.02,2.0,0.75,720
Jan 30 2026 PCE / PPI,PCE,loss,sell,-1.0,0.3290268881410131,5020.434,5048.067,276.33,-276.33,870.69,2.0,0.75,720
Feb 11 2026 NFP / Jobs,NFP,trail_exit,sell,1.8203771013175605,2.57037710131754,5077.842,5099.852,220.1,400.66,1271.3500000000001,2.0,0.75,720
Feb 13 2026 CPI,CPI,breakeven,buy,0.0,1.4646718766727649,4974.521,4955.839,186.82,0.0,1271.3500000000001,2.0,0.75,720
Feb 18 2026 FOMC Minutes,FOMC,loss,buy,-1.0,0.2497191011235766,4991.05,4973.25,178.0,-178.0,1093.3500000000001,2.0,0.75,720
Feb 27 2026 PPI / PCE,PCE,loss,sell,-1.0,0.8639737991266107,5227.356,5250.256,229.0,-229.0,864.3500000000001,2.0,0.75,720
Mar 11 2026 CPI,CPI,loss,buy,-1.0,0.0038354996803812414,5196.455,5177.683,187.72,-187.72,676.6300000000001,2.0,0.75,720
Mar 18 2026 PPI / FOMC,FOMC,loss,buy,-1.0,0.03797739568272254,4898.525,4879.856,186.69,-186.69,489.9400000000001,2.0,0.75,720
Apr 03 2026 NFP / Jobs,NFP,no_data,,,,,,,,489.9400000000001,2.0,0.75,720
Apr 10 2026 CPI,CPI,breakeven,buy,0.0,1.360073766712799,4768.61,4749.089,195.21,0.0,489.9400000000001,2.0,0.75,720
Apr 29 2026 FOMC Statement,FOMC,breakeven,sell,0.0,1.033077709611496,4538.121,4557.681,195.6,0.0,489.9400000000001,2.0,0.75,720
May 08 2026 NFP / Jobs,NFP,loss,sell,-1.0,0.014166096160947855,4702.849,4721.838,189.89,-189.89,300.0500000000001,2.0,0.75,720
May 12 2026 CPI,CPI,no_trigger,,0.0,,,,0.0,0.0,300.0500000000001,2.0,0.75,720
May 20 2026 FOMC Minutes,FOMC,no_trigger,,0.0,,,,0.0,0.0,300.0500000000001,2.0,0.75,720
May 29 2026 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,300.0500000000001,2.0,0.75,720
Jun 05 2026 NFP / Jobs,NFP,trail_exit,sell,2.1330346106303875,2.883034610630376,4455.728,4475.144,194.16,414.15,714.2,2.0,0.75,720
Jun 10 2026 CPI,CPI,breakeven,buy,0.0,1.2992925811717966,4145.018,4122.966,220.52,0.0,714.2,2.0,0.75,720
Jun 17 2026 FOMC Statement,FOMC,breakeven,sell,0.0,1.880707482993197,4371.988,4390.363,183.75,0.0,714.2,2.0,0.75,720
Jun 25 2026 PCE,PCE,trail_exit,buy,1.468708240534497,2.218708240534492,3990.702,3968.252,224.5,329.73,1043.93,2.0,0.75,720
Jul 02 2026 NFP / Jobs,NFP,trail_exit,buy,1.8195069558101256,2.569506955810108,4072.322,4052.77,195.52,355.75,1399.68,2.0,0.75,720
Jul 08 2026 FOMC Minutes,FOMC,no_trigger,,0.0,,,,0.0,0.0,1399.68,2.0,0.75,720
Jul 14 2026 CPI,CPI,trail_exit,buy,1.9539171682137717,2.7039171682137773,4036.96,4017.354,196.06,383.09,1782.77,2.0,0.75,720
Jul 30 2025 FOMC Statement,FOMC,no_trigger,,0.0,,,,0.0,0.0,500.0,2.0,1.0,120
Jul 31 2025 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,500.0,2.0,1.0,120
Aug 01 2025 NFP / Jobs,NFP,timeout,buy,2.004437140509432,2.581210627225396,3307.994,3289.739,182.55,365.91,865.9100000000001,2.0,1.0,120
Aug 12 2025 CPI,CPI,timeout,buy,-0.6956179893070659,0.5546703008701066,3347.449,3328.371,190.78,-132.71,733.2,2.0,1.0,120
Aug 20 2025 FOMC Minutes,FOMC,no_trigger,,0.0,,,,0.0,0.0,733.2,2.0,1.0,120
Aug 29 2025 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,733.2,2.0,1.0,120
Sep 05 2025 NFP / Jobs,NFP,timeout,buy,1.1956342243781444,1.9397770667767384,3560.304,3540.926,193.78,231.69,964.8900000000001,2.0,1.0,120
Sep 11 2025 CPI,CPI,both_sides_same_bar_skip,,0.0,,,,0.0,0.0,964.8900000000001,2.0,1.0,120
Sep 17 2025 FOMC Statement,FOMC,both_sides_same_bar_skip,,0.0,,,,0.0,0.0,964.8900000000001,2.0,1.0,120
Sep 26 2025 PCE,PCE,no_trigger,,0.0,,,,0.0,0.0,964.8900000000001,2.0,1.0,120
Oct 03 2025 NFP / Jobs,NFP,no_trigger,,0.0,,,,0.0,0.0,964.8900000000001,2.0,1.0,120
Oct 08 2025 FOMC Minutes,FOMC,no_trigger,,0.0,,,,0.0,0.0,964.8900000000001,2.0,1.0,120
Oct 15 2025 CPI,CPI,no_trigger,,0.0,,,,0.0,0.0,964.8900000000001,2.0,1.0,120
