trail_start_r,trail_distance_r,max_hold_minutes,trades,wins,losses,win_rate,total_r,total_usd_0_20_lot,avg_usd_per_trade,max_drawdown_usd
1.5,2.0,240,8,5,2,0.625,7.001865055710536,2837.42,354.6775,629.46
1.0,2.0,180,8,4,1,0.5,7.007692071015858,2808.1800000000003,351.02250000000004,379.78
1.0,2.0,240,8,4,1,0.5,7.007692071015858,2808.1800000000003,351.02250000000004,379.78
1.0,1.0,60,8,7,1,0.875,6.859915127584423,2771.1,346.3875,379.78
1.5,0.5,60,8,6,2,0.75,6.941112665704656,2761.03,345.12875,471.59999999999997
1.0,1.5,120,8,5,1,0.625,6.923961421566215,2722.75,340.34375,379.78
1.0,2.0,120,8,4,1,0.5,6.604946588907106,2667.96,333.495,379.78
1.5,1.0,60,8,6,2,0.75,6.480025040684314,2616.9,327.1125,471.59999999999997
1.5,1.0,120,8,6,2,0.75,6.453492328966091,2608.28,326.035,530.96
1.0,1.0,120,8,7,1,0.875,6.297019804644556,2518.36,314.795,379.78
1.0,1.0,180,8,7,1,0.875,6.297019804644556,2518.36,314.795,379.78
1.0,1.0,240,8,7,1,0.875,6.297019804644556,2518.36,314.795,379.78
1.5,1.0,180,8,6,2,0.75,6.201702962912951,2509.78,313.7225,629.46
1.5,1.0,240,8,6,2,0.75,6.201702962912951,2509.78,313.7225,629.46
1.0,1.5,60,8,5,1,0.625,6.056438532722005,2450.37,306.29625,379.78
1.5,1.5,60,8,6,2,0.75,6.008918736605188,2441.11,305.13875,471.59999999999997
2.0,3.0,60,8,4,2,0.5,5.9305694425132955,2357.5,294.6875,471.59999999999997
1.5,3.0,120,8,3,2,0.375,5.696929763935049,2349.6600000000003,293.70750000000004,530.96
1.5,3.0,180,8,3,2,0.375,5.7284409316866505,2338.7000000000003,292.33750000000003,629.46
1.5,3.0,240,8,3,2,0.375,5.7284409316866505,2338.7000000000003,292.33750000000003,629.46
1.0,3.0,180,8,2,1,0.25,5.734267946991972,2309.46,288.6825,379.78
1.0,3.0,240,8,2,1,0.25,5.734267946991972,2309.46,288.6825,379.78
1.0,3.0,120,8,2,1,0.25,5.3315224648832205,2169.2400000000002,271.15500000000003,379.78
1.0,2.0,60,8,4,1,0.5,4.675731049728832,1918.8799999999999,239.85999999999999,379.78
1.5,2.0,60,8,5,2,0.625,4.628211253612014,1909.62,238.7025,471.59999999999997
1.0,3.0,60,8,2,1,0.25,3.402306925704946,1420.1599999999999,177.51999999999998,379.78
1.5,3.0,60,8,3,2,0.375,3.354787129588129,1410.9,176.3625,471.59999999999997
