status,r,side,setup_range,event,event_type,usd,risk_usd,tp_r,max_hold_minutes
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,2,90
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,2,90
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,2,90
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,2,90
win,2.0,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,776.64,388.32,2,90
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,2,90
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,2,90
timeout,0.4941648106903992,buy,5.450000000000273,Jun 25 PCE,PCE,221.88,449.0,2,90
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,2,90
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,2,90
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,2,90
be,0.0,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,0.0,391.2,2,120
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,2,120
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,2,120
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,2,120
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,2,120
win,2.0,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,776.64,388.32,2,120
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,2,120
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,2,120
timeout,1.4891759465478567,buy,5.450000000000273,Jun 25 PCE,PCE,668.64,449.0,2,120
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,2,120
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,2,120
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,2,120
timeout,0.5231083844580898,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,204.64,391.2,3,15
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,3,15
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,3,15
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,3,15
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,3,15
timeout,0.4260403790688022,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,165.44,388.32,3,15
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,3,15
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,3,15
timeout,0.7467706013362881,buy,5.450000000000273,Jun 25 PCE,PCE,335.3,449.0,3,15
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,3,15
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,3,15
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,3,15
timeout,0.44560327198366956,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,174.32,391.2,3,30
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,3,30
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,3,30
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,3,30
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,3,30
timeout,2.5877111660486176,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1004.86,388.32,3,30
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,3,30
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,3,30
timeout,1.3826726057906162,buy,5.450000000000273,Jun 25 PCE,PCE,620.82,449.0,3,30
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,3,30
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,3,30
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,3,30
be,0.0,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,0.0,391.2,3,60
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,3,60
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,3,60
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,3,60
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,3,60
timeout,2.911928306551297,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1130.76,388.32,3,60
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,3,60
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,3,60
timeout,1.4903786191536492,buy,5.450000000000273,Jun 25 PCE,PCE,669.18,449.0,3,60
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,3,60
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,3,60
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,3,60
be,0.0,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,0.0,391.2,3,90
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,3,90
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,3,90
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,3,90
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,3,90
win,3.0,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1164.96,388.32,3,90
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,3,90
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,3,90
timeout,0.4941648106903992,buy,5.450000000000273,Jun 25 PCE,PCE,221.88,449.0,3,90
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,3,90
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,3,90
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,3,90
be,0.0,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,0.0,391.2,3,120
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,3,120
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,3,120
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,3,120
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,3,120
win,3.0,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1164.96,388.32,3,120
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,3,120
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,3,120
timeout,1.4891759465478567,buy,5.450000000000273,Jun 25 PCE,PCE,668.64,449.0,3,120
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,3,120
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,3,120
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,3,120
timeout,0.5231083844580898,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,204.64,391.2,4,15
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,4,15
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,4,15
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,4,15
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,4,15
timeout,0.4260403790688022,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,165.44,388.32,4,15
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,4,15
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,4,15
timeout,0.7467706013362881,buy,5.450000000000273,Jun 25 PCE,PCE,335.3,449.0,4,15
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,4,15
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,4,15
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,4,15
timeout,0.44560327198366956,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,174.32,391.2,4,30
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,4,30
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,4,30
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,4,30
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,4,30
timeout,2.5877111660486176,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1004.86,388.32,4,30
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,4,30
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,4,30
timeout,1.3826726057906162,buy,5.450000000000273,Jun 25 PCE,PCE,620.82,449.0,4,30
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,4,30
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,4,30
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,4,30
be,0.0,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,0.0,391.2,4,60
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,4,60
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,4,60
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,4,60
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,4,60
timeout,2.911928306551297,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1130.76,388.32,4,60
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,4,60
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,4,60
timeout,1.4903786191536492,buy,5.450000000000273,Jun 25 PCE,PCE,669.18,449.0,4,60
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,4,60
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,4,60
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,4,60
be,0.0,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,0.0,391.2,4,90
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,4,90
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,4,90
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,4,90
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,4,90
win,4.0,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1553.28,388.32,4,90
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,4,90
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,4,90
timeout,0.4941648106903992,buy,5.450000000000273,Jun 25 PCE,PCE,221.88,449.0,4,90
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,4,90
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,4,90
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,4,90
be,0.0,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,0.0,391.2,4,120
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,4,120
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,4,120
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,4,120
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,4,120
win,4.0,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1553.28,388.32,4,120
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,4,120
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,4,120
timeout,1.4891759465478567,buy,5.450000000000273,Jun 25 PCE,PCE,668.64,449.0,4,120
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,4,120
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,4,120
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,4,120
timeout,0.5231083844580898,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,204.64,391.2,5,15
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,5,15
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,5,15
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,5,15
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,5,15
timeout,0.4260403790688022,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,165.44,388.32,5,15
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,5,15
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,5,15
timeout,0.7467706013362881,buy,5.450000000000273,Jun 25 PCE,PCE,335.3,449.0,5,15
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,5,15
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,5,15
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,5,15
timeout,0.44560327198366956,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,174.32,391.2,5,30
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,5,30
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,5,30
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,5,30
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,5,30
timeout,2.5877111660486176,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1004.86,388.32,5,30
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,5,30
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,5,30
timeout,1.3826726057906162,buy,5.450000000000273,Jun 25 PCE,PCE,620.82,449.0,5,30
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,5,30
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,5,30
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,5,30
be,0.0,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,0.0,391.2,5,60
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,5,60
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,5,60
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,5,60
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,5,60
timeout,2.911928306551297,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1130.76,388.32,5,60
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,5,60
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,5,60
timeout,1.4903786191536492,buy,5.450000000000273,Jun 25 PCE,PCE,669.18,449.0,5,60
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,5,60
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,5,60
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,5,60
be,0.0,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,0.0,391.2,5,90
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,5,90
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,5,90
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,5,90
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,5,90
timeout,4.492634940255434,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1744.58,388.32,5,90
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,5,90
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,5,90
timeout,0.4941648106903992,buy,5.450000000000273,Jun 25 PCE,PCE,221.88,449.0,5,90
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,5,90
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,5,90
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,5,90
be,0.0,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,0.0,391.2,5,120
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,5,120
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,5,120
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,5,120
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,5,120
win,5.0,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1941.6,388.32,5,120
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,5,120
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,5,120
timeout,1.4891759465478567,buy,5.450000000000273,Jun 25 PCE,PCE,668.64,449.0,5,120
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,5,120
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,5,120
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,5,120
timeout,0.5231083844580898,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,204.64,391.2,6,15
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,6,15
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,6,15
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,6,15
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,6,15
timeout,0.4260403790688022,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,165.44,388.32,6,15
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,6,15
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,6,15
timeout,0.7467706013362881,buy,5.450000000000273,Jun 25 PCE,PCE,335.3,449.0,6,15
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,6,15
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,6,15
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,6,15
timeout,0.44560327198366956,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,174.32,391.2,6,30
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,6,30
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,6,30
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,6,30
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,6,30
timeout,2.5877111660486176,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1004.86,388.32,6,30
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,6,30
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,6,30
timeout,1.3826726057906162,buy,5.450000000000273,Jun 25 PCE,PCE,620.82,449.0,6,30
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,6,30
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,6,30
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,6,30
be,0.0,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,0.0,391.2,6,60
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,6,60
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,6,60
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,6,60
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,6,60
timeout,2.911928306551297,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1130.76,388.32,6,60
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,6,60
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,6,60
timeout,1.4903786191536492,buy,5.450000000000273,Jun 25 PCE,PCE,669.18,449.0,6,60
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,6,60
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,6,60
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,6,60
be,0.0,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,0.0,391.2,6,90
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,6,90
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,6,90
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,6,90
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,6,90
timeout,4.492634940255434,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1744.58,388.32,6,90
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,6,90
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,6,90
timeout,0.4941648106903992,buy,5.450000000000273,Jun 25 PCE,PCE,221.88,449.0,6,90
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,6,90
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,6,90
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,6,90
be,0.0,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,0.0,391.2,6,120
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,6,120
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,6,120
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,6,120
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,6,120
timeout,4.842346518335364,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1880.38,388.32,6,120
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,6,120
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,6,120
timeout,1.4891759465478567,buy,5.450000000000273,Jun 25 PCE,PCE,668.64,449.0,6,120
