trail_start_r,trail_distance_r,max_hold_minutes,trades,wins,losses,breakevens,win_rate,total_r,final_balance,net_usd,return_pct,max_drawdown_usd,min_balance,below_zero
3.0,3.0,240,26,7,8,11,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
3.0,4.0,240,26,7,8,11,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
4.0,1.5,240,26,7,8,11,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
4.0,2.0,240,26,7,8,11,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
4.0,3.0,240,26,7,8,11,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
4.0,4.0,240,26,7,8,11,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
5.0,1.5,240,26,7,8,11,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
5.0,2.0,240,26,7,8,11,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
5.0,3.0,240,26,7,8,11,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
5.0,4.0,240,26,7,8,11,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
7.0,0.75,240,26,7,8,11,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
7.0,1.0,240,26,7,8,11,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
7.0,1.5,240,26,7,8,11,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
7.0,2.0,240,26,7,8,11,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
7.0,3.0,240,26,7,8,11,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
7.0,4.0,240,26,7,8,11,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
10.0,0.75,240,26,7,8,11,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
10.0,1.0,240,26,7,8,11,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
10.0,1.5,240,26,7,8,11,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
10.0,2.0,240,26,7,8,11,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
10.0,3.0,240,26,7,8,11,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
10.0,4.0,240,26,7,8,11,0.2692307692307692,11.087310275091586,2691.6699999999996,2191.6699999999996,438.33399999999995,1247.63,500.0,False
7.0,0.75,360,26,6,9,11,0.23076923076923078,10.995487407017714,2676.1799999999994,2176.1799999999994,435.23599999999993,1247.63,500.0,False
7.0,0.75,720,26,6,9,11,0.23076923076923078,10.995487407017714,2676.1799999999994,2176.1799999999994,435.23599999999993,1247.63,500.0,False
7.0,1.0,360,26,6,9,11,0.23076923076923078,10.745487407017693,2624.6499999999996,2124.6499999999996,424.9299999999999,1247.63,500.0,False
7.0,1.0,720,26,6,9,11,0.23076923076923078,10.745487407017693,2624.6499999999996,2124.6499999999996,424.9299999999999,1247.63,500.0,False
2.0,2.0,120,26,10,9,7,0.38461538461538464,10.073378909418064,2503.88,2003.88,400.776,766.02,500.0,False
2.0,1.0,120,26,10,9,7,0.38461538461538464,9.240395047121307,2360.8900000000003,1860.8900000000003,372.17800000000005,615.23,500.0,False
2.0,1.0,240,26,10,8,8,0.38461538461538464,8.961191008204631,2297.92,1797.92,359.584,971.3000000000001,500.0,False
2.0,1.0,360,26,9,9,8,0.34615384615384615,8.193861150020291,2139.49,1639.4899999999998,327.89799999999997,971.3000000000001,500.0,False
2.0,1.0,720,26,9,9,8,0.34615384615384615,8.193861150020291,2139.49,1639.4899999999998,327.89799999999997,971.3000000000001,500.0,False
2.0,3.0,120,26,7,9,7,0.2692307692307692,8.229577684076638,2128.9800000000005,1628.9800000000005,325.79600000000005,891.56,500.0,False
2.0,4.0,120,26,7,9,7,0.2692307692307692,8.229577684076638,2128.9800000000005,1628.9800000000005,325.79600000000005,891.56,500.0,False
3.0,1.5,120,26,7,9,10,0.2692307692307692,8.229577684076638,2128.9800000000005,1628.9800000000005,325.79600000000005,891.56,500.0,False
3.0,2.0,120,26,7,9,10,0.2692307692307692,8.229577684076638,2128.9800000000005,1628.9800000000005,325.79600000000005,891.56,500.0,False
3.0,3.0,120,26,7,9,10,0.2692307692307692,8.229577684076638,2128.9800000000005,1628.9800000000005,325.79600000000005,891.56,500.0,False
3.0,4.0,120,26,7,9,10,0.2692307692307692,8.229577684076638,2128.9800000000005,1628.9800000000005,325.79600000000005,891.56,500.0,False
4.0,1.5,120,26,7,9,10,0.2692307692307692,8.229577684076638,2128.9800000000005,1628.9800000000005,325.79600000000005,891.56,500.0,False
