group;day;start_balance;end_balance;minimum_equity;daily_loss
1;2026.08.20;10565.260000000004;10565.260000000004;10565.260000000004;0.0
2;2026.08.20;10535.030000000002;10535.030000000002;10535.030000000002;0.0
0;2026.08.21;10948.070000000005;10948.070000000005;10948.070000000005;0.0
1;2026.08.21;10565.260000000004;10565.260000000004;10565.260000000004;0.0
2;2026.08.21;10535.030000000002;10535.030000000002;10535.030000000002;0.0
0;2026.08.24;10948.070000000005;10948.070000000005;10948.070000000005;0.0
1;2026.08.24;10565.260000000004;10565.260000000004;10565.260000000004;0.0
2;2026.08.24;10535.030000000002;10535.030000000002;10535.030000000002;0.0
0;2026.08.25;10948.070000000005;10930.790000000006;10908.160000000005;39.909999999999854
1;2026.08.25;10565.260000000004;10621.150000000005;10550.190000000004;15.069999999999709
2;2026.08.25;10535.030000000002;10518.300000000003;10496.410000000003;38.61999999999898
0;2026.08.26;10930.790000000006;10930.790000000006;10930.790000000006;0.0
1;2026.08.26;10621.150000000005;10621.150000000005;10621.150000000005;0.0
2;2026.08.26;10518.300000000003;10518.300000000003;10518.300000000003;0.0
0;2026.08.27;10930.790000000006;10930.200000000006;10927.490000000007;3.2999999999992724
1;2026.08.27;10621.150000000005;10675.250000000005;10618.180000000006;2.969999999999345
2;2026.08.27;10518.300000000003;10517.770000000002;10515.330000000004;2.969999999999345
0;2026.08.28;10930.200000000006;10928.950000000006;10903.200000000006;27.0
1;2026.08.28;10675.250000000005;10733.710000000006;10648.250000000005;27.0
2;2026.08.28;10517.770000000002;10597.400000000001;10493.470000000003;24.299999999999272
0;2026.08.31;10928.950000000006;10928.950000000006;10928.950000000006;0.0
1;2026.08.31;10733.710000000006;10733.710000000006;10733.710000000006;0.0
2;2026.08.31;10597.400000000001;10597.400000000001;10597.400000000001;0.0
0;2026.09.01;10928.950000000006;10818.550000000007;10818.550000000007;110.39999999999964
1;2026.09.01;10733.710000000006;10787.520000000006;10731.150000000007;2.5599999999994907
2;2026.09.01;10597.400000000001;10677.380000000001;10594.87;2.530000000000655
0;2026.09.02;10818.550000000007;10897.710000000008;10757.590000000007;60.95999999999913
1;2026.09.02;10787.520000000006;10863.630000000006;10779.130000000006;8.389999999999418
2;2026.09.02;10677.380000000001;10755.640000000001;10617.200000000003;60.17999999999847
0;2026.09.03;10897.710000000008;10896.400000000009;10888.550000000008;9.159999999999854
1;2026.09.03;10863.630000000006;10919.800000000007;10854.470000000007;9.159999999999854
2;2026.09.03;10755.640000000001;10841.560000000001;10746.480000000001;9.159999999999854
0;2026.09.04;10896.400000000009;10906.330000000009;10808.77000000001;87.6299999999992
1;2026.09.04;10919.800000000007;10930.530000000008;10853.160000000007;66.63999999999942
2;2026.09.04;10841.560000000001;10851.490000000002;10753.930000000002;87.6299999999992
0;2026.09.07;10906.330000000009;10906.330000000009;10906.330000000009;0.0
1;2026.09.07;10930.530000000008;10930.530000000008;10930.530000000008;0.0
2;2026.09.07;10851.490000000002;10851.490000000002;10851.490000000002;0.0
0;2026.09.08;10906.330000000009;10959.25000000001;10841.10000000001;65.22999999999956
1;2026.09.08;10930.530000000008;10985.980000000009;10865.300000000008;65.22999999999956
2;2026.09.08;10851.490000000002;10904.410000000002;10786.260000000002;65.22999999999956
0;2026.09.09;10959.25000000001;10959.25000000001;10959.25000000001;0.0
1;2026.09.09;10985.980000000009;10985.980000000009;10985.980000000009;0.0
2;2026.09.09;10904.410000000002;10904.410000000002;10904.410000000002;0.0
0;2026.09.10;10959.25000000001;10959.25000000001;10959.25000000001;0.0
1;2026.09.10;10985.980000000009;10985.980000000009;10985.980000000009;0.0
2;2026.09.10;10904.410000000002;10904.410000000002;10904.410000000002;0.0
0;2026.09.11;10959.25000000001;10957.330000000009;10920.87000000001;38.3799999999992
1;2026.09.11;10985.980000000009;11102.70000000001;10980.26000000001;5.719999999999345
2;2026.09.11;10904.410000000002;10902.490000000002;10866.030000000002;38.3799999999992
0;2026.09.14;10957.330000000009;10842.59000000001;10787.67000000001;169.65999999999985
1;2026.09.14;11102.70000000001;11046.850000000011;10933.04000000001;169.65999999999985
2;2026.09.14;10902.490000000002;10787.750000000002;10732.830000000002;169.65999999999985
0;2026.09.15;10842.59000000001;10927.320000000009;10821.79000000001;20.799999999999272
1;2026.09.15;11046.850000000011;11159.680000000011;11025.83000000001;21.020000000000437
2;2026.09.15;10787.750000000002;10957.36;10767.170000000002;20.579999999999927
0;2026.09.16;10927.320000000009;10806.76000000001;10806.76000000001;120.55999999999949
1;2026.09.16;11159.680000000011;11039.120000000012;11039.120000000012;120.55999999999949
2;2026.09.16;10957.36;10836.800000000001;10836.800000000001;120.55999999999949
0;2026.09.17;10806.76000000001;10611.830000000007;10486.860000000006;319.9000000000033
1;2026.09.17;11039.120000000012;10875.10000000001;10700.79000000001;338.33000000000175
2;2026.09.17;10836.800000000001;10641.869999999999;10516.899999999998;319.9000000000033
0;2026.09.18;10611.830000000007;10504.830000000007;10504.830000000007;107.0
1;2026.09.18;10875.10000000001;10765.490000000009;10765.490000000009;109.61000000000058
2;2026.09.18;10641.869999999999;10534.869999999999;10534.869999999999;107.0
