symbol,config,side,pivot_time,entry_time,exit_time,entry,initial_stop,exit,exit_reason,bars_held,result_r,risk_cash,pnl_cash,balance
ETHUSD,fixed_5R,sell,2026-05-29T16:00:00+00:00,2026-05-30T16:00:00+00:00,2026-06-02T20:00:00+00:00,2016.39,2043.35,1881.590000000001,target,19,5.0,10.428202516820472,52.141012584102356,1094.9612642661496
ETHUSD,fixed_5R,sell,2026-06-08T00:00:00+00:00,2026-06-09T00:00:00+00:00,2026-06-15T00:00:00+00:00,1692.75,1719.65,1719.65,stop,36,-1.0,10.949612642661496,-10.949612642661496,1084.011651623488
XAUUSD,trail_start_2R_distance_2R,sell,2026-05-29T16:00:00+00:00,2026-06-01T16:00:00+00:00,2026-06-15T00:00:00+00:00,4502.76,4595.55,4269.09,stop_gap,56,2.5182670546395105,10.428202516820472,26.26099883721782,1110.2726504607058
XAUUSD,trail_start_2R_distance_2R,sell,2026-06-15T16:00:00+00:00,2026-06-16T16:00:00+00:00,2026-06-17T20:00:00+00:00,4354.39,4369.73,4369.73,stop,7,-1.0,11.102726504607057,-11.102726504607057,1099.1699239560987
ETHUSD,fixed_5R,sell,2026-06-15T16:00:00+00:00,2026-06-16T16:00:00+00:00,2026-06-24T16:00:00+00:00,1812.05,1848.76,1628.4999999999998,target,48,5.0,11.102726504607057,55.513632523035284,1154.683556479134
ETHUSD,fixed_5R,sell,2026-06-24T12:00:00+00:00,2026-06-25T12:00:00+00:00,2026-07-02T16:00:00+00:00,1649.25,1690.25,1690.25,stop,43,-1.0,11.54683556479134,-11.54683556479134,1143.1367209143427
XAGUSD,trail_start_2R_distance_1R,sell,2026-05-19T00:00:00+00:00,2026-05-20T00:00:00+00:00,2026-07-02T16:00:00+00:00,73.322,78.8994,61.9959,stop,189,2.0307132355577884,9.624049439239363,19.543684575925884,1162.6804054902686
ETHUSD,fixed_5R,buy,2026-07-05T12:00:00+00:00,2026-07-06T12:00:00+00:00,2026-07-06T12:00:00+00:00,1764.95,1746.94,1746.94,stop,0,-1.0,11.626804054902687,-11.626804054902687,1151.0536014353659
ETHUSD,fixed_5R,buy,2026-07-06T16:00:00+00:00,2026-07-07T16:00:00+00:00,2026-07-08T08:00:00+00:00,1781.15,1726.75,1726.75,stop,4,-1.0,11.510536014353658,-11.510536014353658,1139.5430654210122
ETHUSD,fixed_5R,buy,2026-07-12T00:00:00+00:00,2026-07-13T00:00:00+00:00,2026-07-13T04:00:00+00:00,1822.75,1777.95,1777.95,stop,1,-1.0,11.395430654210122,-11.395430654210122,1128.1476347668022
XAGUSD,trail_start_2R_distance_1R,sell,2026-07-06T00:00:00+00:00,2026-07-07T00:00:00+00:00,2026-07-20T04:00:00+00:00,60.997,63.279199999999996,57.3719,stop,55,1.588423451056003,11.510536014353658,18.283605339424046,1146.4312401062261
XAGUSD,trail_start_2R_distance_1R,sell,2026-07-22T16:00:00+00:00,2026-07-23T16:00:00+00:00,2026-07-31T20:00:00+00:00,57.6265,60.9398,57.671299999999995,end_of_period,37,-0.013521262789362597,11.464312401062262,-0.15501198067411134,1146.276228125552
XAUUSD,trail_start_2R_distance_2R,sell,2026-06-17T20:00:00+00:00,2026-06-18T20:00:00+00:00,2026-07-31T20:00:00+00:00,4219.92,4382.41,4046.83,end_of_period,184,1.065234783678998,10.991699239560987,11.708740361718354,1157.9849684872704
ETHUSD,fixed_5R,buy,2026-07-13T20:00:00+00:00,2026-07-14T20:00:00+00:00,2026-08-01T12:00:00+00:00,1873.75,1747.25,1865.65,end_of_period,106,-0.06403162055335897,11.281476347668022,-0.7223712127755728,1157.2625972744947
