london_close,candle_lookback,min_net_body_points,stop_points,reward_risk,max_hold_minutes,management,train_trades,train_wins,train_losses,train_win_rate_pct,train_profit_factor,train_mean_r,train_net_r,train_return_pct,train_max_drawdown_pct,train_final_balance,validation_trades,validation_wins,validation_losses,validation_win_rate_pct,validation_profit_factor,validation_mean_r,validation_net_r,validation_return_pct,validation_max_drawdown_pct,validation_final_balance,score
17:00,1,25.0,50.0,1.5,90,breakeven_1R,145,71,74,48.96551724137931,1.4699029714519454,0.17113931034482835,24.81520000000011,27.192524551647157,7.0751191431484814,12719.252455164717,90,40,50,44.44444444444444,1.1351664095217215,0.0545111111111154,4.906000000000386,4.564301076951849,8.828614374965946,10456.430107695185,0.04065726005633175
17:00,1,10.0,50.0,2.5,90,breakeven_1R,330,144,186,43.63636363636363,1.1811010624462281,0.06582727272727315,21.72300000000014,22.186847890683858,11.398057400949108,12218.684789068386,171,75,96,43.859649122807014,1.1535223548513416,0.059719298245622596,10.212000000001463,9.755165947612433,11.759107067159382,10975.516594761244,0.04048568946517532
17:00,1,10.0,50.0,1.5,180,trail_after_1.5R,330,149,181,45.151515151515156,1.128348651154982,0.06299515151515253,20.788400000000333,20.595798946462484,9.165654892637866,12059.57989464625,171,80,91,46.783625730994146,1.1258004125776624,0.06169590643275153,10.550000000000512,9.951623830534185,12.891215853364676,10995.162383053419,0.039468302541706704
17:00,1,10.0,50.0,1.5,180,none,330,149,181,45.151515151515156,1.128348651154982,0.06299515151515253,20.788400000000333,20.595798946462484,9.165654892637866,12059.57989464625,171,80,91,46.783625730994146,1.1258004125776624,0.06169590643275153,10.550000000000512,9.951623830534185,12.891215853364676,10995.162383053419,0.039468302541706704
17:00,2,25.0,75.0,1.0,90,none,223,111,112,49.775784753363226,1.1733324307525685,0.05052197309417071,11.266400000000068,11.263797462332237,5.63232647030963,11126.379746233224,123,65,58,52.84552845528455,1.2042306031945553,0.05641192411924589,6.9386666666672445,6.846819912526914,7.997886245017908,10684.681991252692,0.0393216385550338
17:00,2,25.0,75.0,1.0,90,breakeven_1R,223,111,112,49.775784753363226,1.1733324307525685,0.05052197309417071,11.266400000000068,11.263797462332237,5.63232647030963,11126.379746233224,123,65,58,52.84552845528455,1.2042306031945553,0.05641192411924589,6.9386666666672445,6.846819912526914,7.997886245017908,10684.681991252692,0.0393216385550338
17:00,2,25.0,75.0,1.0,90,trail_after_1.5R,223,111,112,49.775784753363226,1.1733324307525685,0.05052197309417071,11.266400000000068,11.263797462332237,5.63232647030963,11126.379746233224,123,65,58,52.84552845528455,1.2042306031945553,0.05641192411924589,6.9386666666672445,6.846819912526914,7.997886245017908,10684.681991252692,0.0393216385550338
17:00,1,25.0,35.0,1.5,360,breakeven_1R,145,55,90,37.93103448275862,1.1556471624109497,0.07663054187192114,11.111428571428565,10.667701332978474,14.201653156472464,11066.770133297847,90,34,56,37.77777777777778,1.124621975806451,0.0627936507936506,5.6514285714285535,5.172573314801565,9.371351351856847,10517.257331480156,0.037913753211199594
17:00,1,25.0,75.0,1.5,180,breakeven_1R,145,62,83,42.758620689655174,1.1488870403304456,0.057274482758620765,8.30480000000001,7.933324371331918,11.951039781773678,10793.332437133191,90,40,50,44.44444444444444,1.1688412249796865,0.06460740740741176,5.814666666667058,5.550771224981332,5.890018258497549,10555.077122498133,0.03753621367745516
17:00,1,10.0,50.0,2.0,90,none,330,158,172,47.878787878787875,1.1471746592105416,0.05922424242424314,19.544000000000235,19.51516401451081,10.310731129440292,11951.516401451081,171,79,92,46.198830409356724,1.138677181591473,0.05820467836258201,9.953000000001524,9.442006817391535,12.30766832060963,10944.200681739154,0.037485358370392276
17:00,1,10.0,50.0,2.5,90,none,330,157,173,47.57575757575758,1.152375187380401,0.06148181818181889,20.289000000000232,20.25864099705059,9.584355930940019,12025.864099705059,171,79,92,46.198830409356724,1.1356676094801765,0.05694152046784608,9.737000000001679,9.165316068494267,11.894175991814816,10916.531606849427,0.03696978889007976
17:00,1,10.0,50.0,1.25,180,none,330,159,171,48.18181818181818,1.1237437014045548,0.05755454545454643,18.993000000000322,18.788358751387424,8.255537085942384,11878.835875138742,171,84,87,49.122807017543856,1.1208504243499287,0.05737426900584958,9.811000000000279,9.274505091338202,12.231722141578077,10927.45050913382,0.03633345586172043
17:00,1,10.0,50.0,1.25,180,trail_after_1.5R,330,159,171,48.18181818181818,1.1237437014045548,0.05755454545454643,18.993000000000322,18.788358751387424,8.255537085942384,11878.835875138742,171,84,87,49.122807017543856,1.1208504243499287,0.05737426900584958,9.811000000000279,9.274505091338202,12.231722141578077,10927.45050913382,0.03633345586172043
17:00,1,10.0,25.0,3.0,360,breakeven_1R,330,66,264,20.0,1.1519144937749595,0.07838787878787914,25.86800000000012,24.77910705694317,23.27183287384714,12477.910705694318,171,37,134,21.637426900584796,1.2528380249192421,0.12816374269005804,21.915999999999926,22.01676167319768,9.776610613812771,12201.676167319769,0.03608697310114295
17:00,1,10.0,50.0,2.0,90,trail_after_1.5R,330,166,164,50.303030303030305,1.1643384910413817,0.06357090909090954,20.97840000000015,21.376756178272082,10.239014701507719,12137.675617827208,171,80,91,46.783625730994146,1.13741629464288,0.05760233918129569,9.850000000001563,9.333290737239963,12.747089584731594,10933.329073723997,0.03597093847207744
17:00,1,10.0,50.0,3.0,90,trail_after_1.5R,330,166,164,50.303030303030305,1.1656858874328657,0.06409212121212148,21.150400000000086,21.47630489731163,11.14746469506369,12147.630489731162,171,80,91,46.783625730994146,1.1351422991071682,0.056649122807027795,9.687000000001753,9.094413612466257,12.289826329500354,10909.441361246625,0.03587221065015054
17:00,1,25.0,35.0,1.5,180,breakeven_1R,145,55,90,37.93103448275862,1.1221866879872089,0.06022660098522235,8.732857142857242,8.088932537835936,14.201653156472464,10808.893253783594,90,34,56,37.77777777777778,1.1428388501184445,0.07082539682539639,6.374285714285675,5.940493658774559,8.709623861027321,10594.049365877456,0.03528167012747323
17:00,1,10.0,50.0,3.0,180,trail_after_1.5R,330,149,181,45.151515151515156,1.1225265206380044,0.0601375757575769,19.845400000000378,18.977909968595963,12.378872694026132,11897.790996859596,171,80,91,46.783625730994146,1.1207326234453934,0.059210526315795445,10.125000000001021,9.29433842123466,13.960086865351368,10929.433842123466,0.03470983057113455
17:00,1,10.0,50.0,1.25,360,breakeven_1R,330,145,185,43.93939393939394,1.1265630236935054,0.05950303030303029,19.635999999999996,19.46133577936504,8.015421275450398,11946.133577936504,171,73,98,42.69005847953216,1.118250758341758,0.05471345029239717,9.355999999999916,8.777566408852522,11.690290892772847,10877.756640885253,0.03468583775128316
17:00,4,50.0,75.0,1.0,90,breakeven_1R,176,95,81,53.97727272727273,1.149646402552407,0.04462954545454619,7.85480000000013,7.6597550021707095,7.217869130746063,10765.975500217071,79,42,37,53.16455696202531,1.3064162402294506,0.09196624472574294,7.265333333333692,7.275084651212271,6.274129405767489,10727.508465121227,0.03437743976465377
17:00,4,50.0,75.0,1.0,90,none,176,95,81,53.97727272727273,1.149646402552407,0.04462954545454619,7.85480000000013,7.6597550021707095,7.217869130746063,10765.975500217071,79,42,37,53.16455696202531,1.3064162402294506,0.09196624472574294,7.265333333333692,7.275084651212271,6.274129405767489,10727.508465121227,0.03437743976465377
17:00,4,50.0,75.0,1.0,90,trail_after_1.5R,176,95,81,53.97727272727273,1.149646402552407,0.04462954545454619,7.85480000000013,7.6597550021707095,7.217869130746063,10765.975500217071,79,42,37,53.16455696202531,1.3064162402294506,0.09196624472574294,7.265333333333692,7.275084651212271,6.274129405767489,10727.508465121227,0.03437743976465377
17:00,1,10.0,50.0,1.5,90,breakeven_1R,330,158,172,47.878787878787875,1.2379108184986851,0.08637575757575786,28.50400000000009,31.02572302049762,8.269644660451078,13102.572302049763,171,77,94,45.02923976608187,1.1437186080784536,0.05588888888889445,9.55700000000095,9.155826124450606,13.268231244041992,10915.582612445061,0.03338097312307492
17:00,1,25.0,50.0,1.25,90,none,145,80,65,55.172413793103445,1.4699213688960373,0.1740951724137934,25.243800000000043,27.816958754176426,6.286791499305567,12781.695875417643,90,44,46,48.888888888888886,1.1083359269633881,0.04641111111111523,4.177000000000371,3.818889811960946,8.094196211833284,10381.888981196094,0.03330851045407804
17:00,1,25.0,50.0,1.25,90,trail_after_1.5R,145,80,65,55.172413793103445,1.4699213688960373,0.1740951724137934,25.243800000000043,27.816958754176426,6.286791499305567,12781.695875417643,90,44,46,48.888888888888886,1.1083359269633881,0.04641111111111523,4.177000000000371,3.818889811960946,8.094196211833284,10381.888981196094,0.03330851045407804
17:00,1,25.0,35.0,2.0,180,none,145,55,90,37.93103448275862,1.137144130237592,0.08490640394088739,12.31142857142867,11.489228415666531,17.956486176540547,11148.922841566653,90,35,55,38.88888888888889,1.111549295774655,0.06600000000000399,5.940000000000358,5.250288556698912,8.376634046097152,10525.02885566989,0.033259671770316065
17:00,1,10.0,50.0,1.0,90,breakeven_1R,330,175,155,53.03030303030303,1.1448817949909558,0.052526060606060535,17.333599999999976,17.530654512744025,6.705395447346415,11753.065451274402,171,91,80,53.216374269005854,1.1570270351728607,0.06093567251462351,10.42000000000062,10.232706312140039,11.869223711431806,11023.270631214004,0.032846655059034724
17:00,1,10.0,50.0,1.0,90,none,330,175,155,53.03030303030303,1.1448817949909558,0.052526060606060535,17.333599999999976,17.530654512744025,6.705395447346415,11753.065451274402,171,91,80,53.216374269005854,1.1570270351728607,0.06093567251462351,10.42000000000062,10.232706312140039,11.869223711431806,11023.270631214004,0.032846655059034724
17:00,1,10.0,50.0,1.0,90,trail_after_1.5R,330,175,155,53.03030303030303,1.1448817949909558,0.052526060606060535,17.333599999999976,17.530654512744025,6.705395447346415,11753.065451274402,171,91,80,53.216374269005854,1.1570270351728607,0.06093567251462351,10.42000000000062,10.232706312140039,11.869223711431806,11023.270631214004,0.032846655059034724
17:00,1,10.0,50.0,1.25,90,breakeven_1R,330,165,165,50.0,1.2162743152641229,0.07847454545454546,25.896600000000003,27.814188790335525,6.3494072235597905,12781.418879033552,171,82,89,47.953216374269005,1.1383487840115716,0.05376023391813373,9.193000000000868,8.82582906804834,12.837709759408483,10882.582906804833,0.03197217771929852
