case_id,stage,asset,symbol,period,direction,geometry,entry_offset,stop_distance,trail_distance,management,placement_lead_seconds,close_seconds,dynamic,buy,sell,risk_per_enabled_side_pct,total_planned_event_risk_pct,from,to,execution_mode,report,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,win_rate_pct,wins,losses,trades,max_drawdown_amount,max_drawdown_pct,sharpe_ratio,recovery_factor,history_quality_pct,bars,selection_score
btcusd__two-sided__e300-s300__lead30-close60-trail250,Calibration,btcusd,BTCUSD,M1,two-sided,e300-s300,300.0,300.0,750.0,lead30-close60-trail250,30,60,False,True,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\btcusd__two-sided__e300-s300__lead30-close60-trail250.htm,10000.0,9671.38,-328.62,-3.2862,237.03,-565.65,0.42,37.5,6,10,16,540.18,5.29,-5.0,-0.61,100.0,391567,-17.1582
btcusd__two-sided__e450-s300__lead30-close60-trail250,Calibration,btcusd,BTCUSD,M1,two-sided,e450-s300,450.0,300.0,750.0,lead30-close60-trail250,30,60,False,True,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\btcusd__two-sided__e450-s300__lead30-close60-trail250.htm,10000.0,9854.5,-145.5,-1.455,65.29,-210.79,0.31,37.5,3,5,8,277.02,2.73,-3.39,-0.53,100.0,391567,-16.230067811865474
ethusd__buy-only__e3-s3__lead30-close60-trail250,Calibration,ethusd,ETHUSD,M1,buy-only,e3-s3,3.0,3.0,7.5,lead30-close60-trail250,30,60,False,True,False,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\ethusd__buy-only__e3-s3__lead30-close60-trail250.htm,10000.0,15842.619999999999,5842.62,58.426199999999994,7010.31,-1167.69,6.0,57.14,12,9,21,820.06,4.92,210.49,7.12,100.0,391567,66.12584219528014
ethusd__buy-only__e4-s4__lead30-close60-trail250,Calibration,ethusd,ETHUSD,M1,buy-only,e4-s4,4.0,4.0,10.0,lead30-close60-trail250,30,60,False,True,False,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\ethusd__buy-only__e4-s4__lead30-close60-trail250.htm,10000.0,13037.76,3037.76,30.377600000000005,4081.16,-1043.4,3.91,55.0,11,9,20,729.94,5.3,160.29,4.16,100.0,391567,37.66546404500042
ethusd__buy-only__e6-s4__lead30-close60-trail250,Calibration,ethusd,ETHUSD,M1,buy-only,e6-s4,6.0,4.0,10.0,lead30-close60-trail250,30,60,False,True,False,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\ethusd__buy-only__e6-s4__lead30-close60-trail250.htm,10000.0,12800.39,2800.39,28.003899999999998,3627.74,-827.35,4.38,44.44,8,10,18,699.68,5.18,117.63,4.0,100.0,391567,35.145854792089686
ethusd__buy-only__e6-s6__lead30-close60-trail250,Calibration,ethusd,ETHUSD,M1,buy-only,e6-s6,6.0,6.0,15.0,lead30-close60-trail250,30,60,False,True,False,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\ethusd__buy-only__e6-s6__lead30-close60-trail250.htm,10000.0,11074.7,1074.7,10.747000000000002,1934.04,-859.34,2.25,38.89,7,11,18,818.87,6.88,76.79,1.31,100.0,391567,10.528954792089682
ethusd__buy-only__e8-s6__lead30-close60-trail250,Calibration,ethusd,ETHUSD,M1,buy-only,e8-s6,8.0,6.0,15.0,lead30-close60-trail250,30,60,False,True,False,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\ethusd__buy-only__e8-s6__lead30-close60-trail250.htm,10000.0,10781.44,781.44,7.814400000000001,1763.91,-982.47,1.8,27.78,5,13,18,938.22,8.01,58.52,0.83,100.0,391567,3.092354792089684
ethusd__buy-only__e9-s9__lead30-close60-trail250,Calibration,ethusd,ETHUSD,M1,buy-only,e9-s9,9.0,9.0,22.5,lead30-close60-trail250,30,60,False,True,False,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\ethusd__buy-only__e9-s9__lead30-close60-trail250.htm,10000.0,10024.3,24.3,0.243,813.02,-788.72,1.03,31.25,5,11,16,767.25,7.11,2.24,0.03,100.0,391567,-10.205
ethusd__buy-only__e12-s12__lead30-close60-trail250,Calibration,ethusd,ETHUSD,M1,buy-only,e12-s12,12.0,12.0,30.0,lead30-close60-trail250,30,60,False,True,False,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\ethusd__buy-only__e12-s12__lead30-close60-trail250.htm,10000.0,9977.91,-22.09,-0.2209,390.51,-412.6,0.95,36.36,4,7,11,484.34,4.63,-0.77,-0.05,100.0,391567,-10.355126891555273
ethusd__buy-only__e18-s12__lead30-close60-trail250,Calibration,ethusd,ETHUSD,M1,buy-only,e18-s12,18.0,12.0,30.0,lead30-close60-trail250,30,60,False,True,False,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\ethusd__buy-only__e18-s12__lead30-close60-trail250.htm,10000.0,10081.4,81.4,0.8140000000000002,237.9,-156.5,1.52,66.67,4,2,6,271.46,2.62,0.53,0.3,100.0,391567,-5.286965809277261
