timeframe_minutes,pivot_bars,minimum_leg_atr,structure_mode,value_area_pct,vah_tolerance_atr,reaction_mode,expiry_bars,stop_mode,stop_buffer_atr,reward_risk,maximum_hold_hours,management,train_trades,train_wins,train_losses,train_win_rate_pct,train_profit_factor,train_net_r,train_mean_r,train_return_pct,train_max_drawdown_pct,train_final_balance,validation_trades,validation_wins,validation_losses,validation_win_rate_pct,validation_profit_factor,validation_net_r,validation_mean_r,validation_return_pct,validation_max_drawdown_pct,validation_final_balance,robust_score
60,2,1.5,0,0.6,0.05,0,48,1,0.1,3.0,6,0,106,49,57,46.22641509433962,1.7714210816796012,37.95973509233308,0.35811070841823656,44.31139352007452,5.766242736774252,14431.139352007453,35,16,19,45.714285714285715,1.469681716223609,7.6634546540216215,0.21895584725776063,7.5671067572000705,5.524508817833919,10756.710675720007,24.847325487862438
60,2,2.5,0,0.6,0.05,0,24,1,0.0,3.0,6,0,84,37,47,44.04761904761905,1.7108512094708752,29.00146891577582,0.34525558233066456,32.235872917822974,5.301842156890237,13223.587291782298,25,11,14,44.0,1.4306179779457344,5.340264030928934,0.21361056123715738,5.1955717167955,5.7267868585800965,10519.55717167955,24.204494521894553
60,2,2.5,0,0.6,0.05,0,12,1,0.0,3.0,6,0,69,30,39,43.47826086956522,1.7865770348414038,26.130712940939137,0.37870598465129185,28.681341786977967,4.997891120925295,12868.134178697796,18,8,10,44.44444444444444,1.4097119394917346,3.767961019483381,0.2093311677490767,3.6301375721398577,5.221084184590369,10363.013757213985,23.73371950073236
60,2,2.5,0,0.6,0.15,0,48,1,0.25,3.0,6,0,96,44,52,45.833333333333336,1.5002327033176432,21.59119487070136,0.2249082799031392,23.01146083831349,9.561925787603444,12301.146083831349,34,16,18,47.05882352941177,1.452138745978056,6.274307360002366,0.18453845176477546,6.173555446916845,5.574652717990103,10617.355544691685,21.139941927326394
60,2,1.5,0,0.6,0.05,0,24,1,0.0,3.0,6,0,103,43,60,41.74757281553398,1.5460081246803579,28.721692371895873,0.27885138225141626,31.600911844190716,9.029338067683021,13160.09118441907,29,12,17,41.37931034482759,1.344242515443451,5.308938860939116,0.18306685727376262,5.100469022495524,5.49431842909814,10510.046902249553,20.7935302123684
60,2,1.5,0,0.6,0.05,0,48,1,0.0,3.0,6,0,106,45,61,42.45283018867924,1.5909388376391256,31.686891098562054,0.2989329348920948,35.48853338969429,7.897962914041537,13548.85333896943,35,15,20,42.857142857142854,1.3343194872907866,6.165710024579919,0.17616314355942628,5.939989316233318,6.440777039228834,10593.998931623331,20.16942744952732
60,2,1.5,0,0.6,0.15,0,12,1,0.25,3.0,6,0,101,50,51,49.504950495049506,1.7271147749139726,31.15189993457612,0.30843465281758536,35.19035999296531,7.440578749697828,13519.035999296531,25,11,14,44.0,1.3966460091511064,4.2013265349456095,0.1680530613978244,4.070517267208151,3.970085609457434,10407.051726720816,19.47797308690493
60,2,2.5,0,0.6,0.15,0,24,1,0.25,3.0,6,0,93,43,50,46.236559139784944,1.5209681791474576,21.87863764357178,0.23525416821044923,23.37685209498519,7.62609850097565,12337.685209498519,29,13,16,44.827586206896555,1.382977741801294,4.54674633637682,0.1567843564267869,4.412966910685512,5.574652717990089,10441.296691068552,18.326944954388956
60,2,1.5,0,0.6,0.15,0,48,1,0.25,3.0,6,0,117,56,61,47.863247863247864,1.5937495103312873,30.17433656201984,0.25790031249589607,33.74407160301425,9.01534910092169,13374.407160301425,39,17,22,43.58974358974359,1.3598900236528397,6.124645045454897,0.15704218065268966,5.951965923330982,5.040756824245173,10595.196592333097,18.251965111930737
60,2,2.5,0,0.6,0.05,0,12,0,0.0,3.0,6,0,69,35,34,50.72463768115942,1.7093795056357146,10.143861178416863,0.1470124808466212,10.42901702970176,3.3782829921820254,11042.901702970175,18,12,6,66.66666666666667,2.5104434783919536,2.8928663595669217,0.1607147977537179,2.9105530116708467,1.7544671191088772,10291.055301167084,18.211754014319272
60,2,1.5,0,0.6,0.15,0,12,1,0.25,3.0,72,0,97,30,67,30.927835051546392,1.327254794037936,22.114351610087482,0.22798300628956167,22.699339778790307,12.516999374857102,12269.93397787903,24,7,17,29.166666666666668,1.2230384796863516,3.82133318292866,0.15922221595536082,3.4862941476874187,7.666201506193292,10348.629414768742,17.939166174904177
60,2,1.5,0,0.6,0.05,0,12,0,0.0,3.0,6,0,86,45,41,52.325581395348834,1.6994858274826252,14.221217035627188,0.16536298878636266,14.867217677582145,4.749644669767086,11486.721767758214,21,13,8,61.904761904761905,1.9871519553957457,2.9587669908299703,0.14089366622999858,2.966420629582145,1.9025396425970695,10296.642062958214,17.512463843114915
60,2,2.5,0,0.6,0.05,0,12,0,0.1,3.0,6,0,69,35,34,50.72463768115942,1.6610247758002248,9.379069069803123,0.13592853724352352,9.603284466360318,3.3698917481012343,10960.328446636031,18,12,6,66.66666666666667,2.4732484380168387,2.7840787908191142,0.15467104393439524,2.7998042178791094,1.7171840678710666,10279.980421787912,17.00715366898337
60,2,1.5,0,0.6,0.15,0,48,1,0.25,3.0,72,0,113,34,79,30.088495575221238,1.2876683037293657,22.711821985230007,0.20098957509053103,23.148168509572486,13.470132464820983,12314.81685095725,37,11,26,29.72972972972973,1.210644647710405,5.511569700707372,0.1489613432623614,5.048086111680528,8.58679513504025,10504.808611168053,16.87297428974033
60,2,1.5,0,0.6,0.05,0,12,0,0.1,3.0,6,0,86,45,41,52.325581395348834,1.6598596551292655,13.318232039010718,0.15486316324431068,13.8529741443004,4.73538805511032,11385.29741443004,21,13,8,61.904761904761905,1.9491047694918406,2.8176468597832818,0.1341736599896801,2.822771068844765,1.8328289949034766,10282.277106884476,16.76206627125575
60,2,1.5,0,0.6,0.05,0,12,0,0.25,3.0,6,0,86,45,41,52.325581395348834,1.6082746643048842,12.15251870101933,0.14130835698859687,12.554923409057794,4.717039246365588,11255.49234090578,21,13,8,61.904761904761905,1.894713018986422,2.620810313898146,0.12480049113800694,2.6226501426352744,1.7373424678519778,10262.265014263527,15.722680332964359
60,2,2.5,0,0.6,0.15,0,12,1,0.25,3.0,72,0,81,24,57,29.62962962962963,1.2474413742746877,14.233077293749352,0.1757170036265352,13.756654052530859,11.552086803331411,11375.665405253087,21,6,15,28.571428571428573,1.1880622405766135,2.8434078131475706,0.13540037205464622,2.5346403277152874,7.75968741468721,10253.464032771528,15.532140723753797
60,2,2.5,0,0.6,0.15,0,48,1,0.25,3.0,72,0,95,27,68,28.42105263157895,1.1891520309899906,12.84199620016788,0.13517890737018823,11.979670682891053,12.515732679714036,11197.967068289105,32,10,22,31.25,1.2959799537633112,6.551245524555501,0.2047264226423594,6.214240946697047,9.597187236131903,10621.424094669705,15.49490159436261
