entry_time_utc,exit_time_utc,direction,poc,vah,val,entry,initial_stop,target,exit_reason,r_multiple,balance
2022-08-31 11:00:00+00:00,2022-08-31 14:33:00+00:00,long,12351.8609375,12364.384375,12278.509375,12436.025,12354.3375,12681.0875,stop,-1.005202754399379,10157.629280426096
2022-09-13 11:00:00+00:00,2022-09-13 12:30:00+00:00,long,12754.821484375,12788.33125,12741.3,12827.425,12783.061607142856,12960.51517857143,stop,-1.00957997061604,10055.079889721485
2022-10-18 12:00:00+00:00,2022-10-18 14:26:00+00:00,long,11143.12890625,11261.46875,11136.0,11298.375,11225.682142857142,11516.453571428574,stop,-1.0058465166551929,9953.941218903823
2022-10-24 10:00:00+00:00,2022-10-24 14:08:00+00:00,long,11246.2234375,11278.915625,11045.400000000001,11316.875,11222.12625,11601.121250000002,stop,-1.0044855473027272,9853.955317972925
2022-10-25 11:00:00+00:00,2022-10-25 13:50:00+00:00,long,11381.908984374999,11412.7890625,11284.51796875,11448.925,11396.74625,11605.461249999997,target,2.991854921783307,10148.771365144026
2022-11-14 03:00:00+00:00,2022-11-14 05:59:00+00:00,long,11713.27265625,11749.2140625,11615.0328125,11764.324999999999,11722.624642857143,11889.426071428567,stop,-1.0101917592346588,10046.249313149774
2022-11-16 06:00:00+00:00,2022-11-16 12:00:00+00:00,long,11770.1375,11840.0,11754.95,11885.624999999998,11798.414285714285,12147.257142857137,time,-0.42081985339282246,10003.9727015187
2022-11-23 15:00:00+00:00,2022-11-23 21:00:00+00:00,long,11699.38671875,11724.603125,11697.0078125,11805.025,11709.891071428572,12090.426785714282,time,0.42886907555140047,10046.876646762117
2022-12-20 23:00:00+00:00,2022-12-21 05:00:00+00:00,long,11023.3734375,11081.60625,10962.3,11102.775,11053.269642857143,11251.291071428568,time,0.08382931140211598,10055.298874272517
2022-12-21 13:00:00+00:00,2022-12-21 19:00:00+00:00,long,11082.219140625,11110.4515625,11057.21328125,11126.975,11076.091071428571,11279.626785714288,time,2.4624670994911226,10302.907300806979
2023-01-04 17:00:00+00:00,2023-01-04 19:25:00+00:00,long,10865.735546875,10905.471875,10819.64140625,10963.825,10843.485714285713,11324.842857142865,stop,-1.0035316812583408,10199.514361952703
2023-01-09 13:00:00+00:00,2023-01-09 14:48:00+00:00,long,11053.24765625,11070.03125,11046.6359375,11093.475,11061.273214285713,11190.080357142862,target,2.9868019741585106,10504.153658270086
2023-01-12 09:00:00+00:00,2023-01-12 13:29:00+00:00,long,11338.616406250001,11374.7875,11270.9921875,11394.175,11367.185714285713,11475.142857142857,stop,-1.015746989546089,10397.458033708914
2023-01-16 11:00:00+00:00,2023-01-16 17:00:00+00:00,long,11441.24921875,11474.4125,11322.2515625,11485.175,11437.69642857143,11627.610714285709,time,0.4128178125470728,10440.38059252417
2023-01-20 11:00:00+00:00,2023-01-20 17:00:00+00:00,long,11283.163281250001,11315.403125,11253.146875,11346.075,11294.264285714287,11501.507142857141,time,2.3103329427173622,10681.588144698326
2023-01-24 19:00:00+00:00,2023-01-24 20:42:00+00:00,long,11788.130078125001,11815.99375,11776.4453125,11862.625,11800.442857142858,12049.171428571426,stop,-1.006834759634702,10574.042202376484
2023-01-27 10:00:00+00:00,2023-01-27 14:48:00+00:00,long,11942.920703125,11980.43046875,11859.746875,11985.475,11954.92857142857,12077.11428571429,target,2.986086753186041,10889.79227585795
2023-02-02 04:00:00+00:00,2023-02-02 10:00:00+00:00,long,12362.152734375,12468.18046875,12240.4171875,12474.675,12434.094642857142,12596.41607142857,time,1.570957095709626,11060.86624032358
2023-03-06 13:00:00+00:00,2023-03-06 15:32:00+00:00,long,12270.975781250001,12289.2859375,12263.8109375,12310.875,12271.835714285713,12427.99285714286,target,2.989113530326613,11391.488089684419
2023-03-13 12:00:00+00:00,2023-03-13 13:33:00+00:00,long,11834.21328125,11892.5375,11793.1703125,11960.575,11842.767857142857,12313.996428571432,stop,-1.0036075910992481,11277.162250477179
2023-03-21 02:00:00+00:00,2023-03-21 08:00:00+00:00,long,12527.672656249999,12553.9015625,12495.921875,12573.275,12535.9,12685.4,time,0.10301003344482579,11288.77885908302
2023-03-22 11:00:00+00:00,2023-03-22 17:00:00+00:00,long,12628.9109375,12681.115625,12613.390625,12707.475,12671.641964285714,12814.974107142858,time,2.5437420576582648,11575.93627471755
2023-03-31 13:00:00+00:00,2023-03-31 16:28:00+00:00,long,12944.66171875,12971.1765625,12929.93125,12976.975,12931.921428571428,13112.135714285718,target,2.990566785572747,11922.12238006832
2023-04-27 11:00:00+00:00,2023-04-27 14:16:00+00:00,long,12871.56171875,12900.753125,12853.55,12914.975,12882.998214285713,13010.905357142861,target,2.986709108170013,12278.201495080995
2023-05-01 01:00:00+00:00,2023-05-01 07:00:00+00:00,long,13198.04375,13217.45,13155.35,13239.275,13208.972321428571,13330.183035714284,time,1.1830637319897706,12423.460443909926
2023-05-09 02:00:00+00:00,2023-05-09 06:57:00+00:00,long,13253.063281249999,13264.4078125,13213.79375,13274.775,13257.094642857144,13327.816071428566,stop,-1.0240379759619853,12296.239491035672
2023-05-16 08:00:00+00:00,2023-05-16 12:50:00+00:00,long,13380.69453125,13413.25625,13361.946875,13432.275,13377.516071428572,13596.551785714282,stop,-1.007761291374518,12172.322749150308
2023-05-29 15:00:00+00:00,2023-05-30 02:01:00+00:00,long,14283.74453125,14334.6984375,14083.848437499999,14345.774999999998,14328.191071428571,14398.526785714277,time,-0.07108764090566137,12163.669732064513
