case,period,history_quality_pct,bars,ticks,initial_stop_atr,trailing_atr,trail_start_r,close_at_session_end,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,equity_dd_amount,equity_dd_pct,balance_dd_amount,balance_dd_pct,trades,wins,losses,win_rate,long_trades,long_win_rate,short_trades,short_win_rate,largest_win,largest_loss,average_win,average_loss,expected_payoff,recovery_factor,sharpe_ratio,commission,swap,score,status,report,graph
eod-sl2-tr3,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.0,3.0,0.0,True,10000.0,14297.279999999999,4297.28,42.9728,106551.58,-102254.3,1.04,7753.08,44.63,7326.1,43.19,1405,412,993,29.32,715,29.79,690,28.84,1662.61,-167.84,258.62,-98.6,3.06,0.55,1.41,-4347.3800000000065,0.0,-46.287200000000006,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl2-tr3.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl2-tr3.png
eod-sl3-tr25,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,3.0,2.5,0.0,True,10000.0,11553.16,1553.16,15.531600000000001,56332.37,-54779.21,1.03,4202.62,30.99,4079.14,30.3,1405,448,957,31.89,715,32.87,690,30.87,774.62,-115.92,125.74,-54.49,1.11,0.37,1.14,-2631.459999999999,0.0,-46.44839999999999,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl3-tr25.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl3-tr25.png
hold-sl3-tr3,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,3.0,3.0,0.0,False,10000.0,11584.58,1584.58,15.845799999999999,64826.74,-63242.16,1.03,4093.62,31.57,3989.84,31.0,1405,441,964,31.39,715,32.45,690,30.29,968.71,-127.85,147.0,-63.01,1.13,0.39,0.78,-2498.7000000000035,0.0,-47.294200000000004,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\hold-sl3-tr3.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\hold-sl3-tr3.png
eod-sl3-tr3,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,3.0,3.0,0.0,True,10000.0,11524.83,1524.83,15.248299999999999,64578.57,-63053.74,1.02,4034.66,31.36,3931.78,30.78,1405,441,964,31.39,715,32.45,690,30.29,883.56,-126.59,146.44,-62.82,1.09,0.38,0.75,-2492.3000000000106,0.0,-47.4717,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl3-tr3.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl3-tr3.png
eod-sl3-tr25-start1,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,3.0,2.5,1.0,True,10000.0,12570.67,2570.67,25.706699999999998,93720.29,-91149.62,1.03,5794.13,37.01,5668.22,36.43,1404,617,787,43.95,714,44.96,690,42.9,887.67,-161.56,151.9,-112.27,1.83,0.44,0.93,-2789.7400000000016,-44.25,-48.3133,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl3-tr25-start1.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl3-tr25-start1.png
hold-sl25-tr25,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.5,2.5,0.0,False,10000.0,11518.380000000001,1518.38,15.1838,68149.09,-66630.71,1.02,5074.07,35.94,4923.48,35.17,1405,446,959,31.74,715,32.59,690,30.87,922.85,-134.16,152.8,-66.14,1.08,0.3,0.94,-3206.83,0.0,-56.6962,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\hold-sl25-tr25.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\hold-sl25-tr25.png
hold-sl2-tr25,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.0,2.5,0.0,False,10000.0,12109.31,2109.31,21.0931,86046.79,-83937.48,1.03,6061.47,40.26,5834.69,39.25,1405,437,968,31.1,715,31.89,690,30.29,1188.35,-147.7,196.9,-82.41,1.5,0.35,1.06,-4160.320000000001,0.0,-59.426899999999996,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\hold-sl2-tr25.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\hold-sl2-tr25.png
eod-sl25-tr25-short,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.5,2.5,0.0,True,10000.0,9563.83,-436.17,-4.3617,25525.51,-25961.68,0.98,3496.29,31.84,3338.14,30.83,690,213,477,30.87,0,0.0,690,30.87,652.22,-100.84,119.84,-51.74,-0.63,-0.12,-0.68,-1280.9199999999994,0.0,-68.0417,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl25-tr25-short.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl25-tr25-short.png
hold-sl25-tr3,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.5,3.0,0.0,False,10000.0,10580.17,580.17,5.8017,76002.64,-75422.47,1.01,5588.47,41.37,5460.22,40.77,1405,428,977,30.46,715,31.05,690,29.86,1177.03,-133.81,177.58,-74.1,0.41,0.1,0.26,-3023.650000000003,0.0,-76.9383,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\hold-sl25-tr3.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\hold-sl25-tr3.png
eod-sl25-tr3,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.5,3.0,0.0,True,10000.0,10526.82,526.82,5.2682,75691.75,-75164.93,1.01,5503.96,41.13,5376.98,40.53,1405,428,977,30.46,715,31.05,690,29.86,1073.57,-132.41,176.85,-73.85,0.37,0.1,0.24,-3015.2200000000053,0.0,-76.99180000000001,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl25-tr3.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl25-tr3.png
eod-sl2-tr25-short,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.0,2.5,0.0,True,10000.0,9453.88,-546.12,-5.4612,30375.17,-30921.29,0.98,4318.7,38.43,4120.14,37.31,690,209,481,30.29,0,0.0,690,30.29,784.32,-107.09,145.34,-61.05,-0.79,-0.13,-0.71,-1556.5100000000007,0.0,-82.3212,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl2-tr25-short.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl2-tr25-short.png
hold-sl15-tr3,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,1.5,3.0,0.0,False,10000.0,13593.59,3593.59,35.935900000000004,116091.27,-112497.68,1.03,12013.23,63.2,11407.86,61.93,1404,363,1041,25.85,714,25.91,690,25.8,2473.85,-181.72,319.81,-102.75,2.56,0.3,1.09,-5532.910000000002,0.0,-90.4641,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\hold-sl15-tr3.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\hold-sl15-tr3.png
eod-sl15-tr3,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,1.5,3.0,0.0,True,10000.0,13485.65,3485.65,34.856500000000004,115381.91,-111896.26,1.03,11797.17,62.94,11200.09,61.66,1404,363,1041,25.85,714,25.91,690,25.8,2256.39,-179.21,317.86,-102.2,2.48,0.3,1.06,-5509.570000000007,0.0,-91.02349999999998,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl15-tr3.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl15-tr3.png
eod-sl25-tr5,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.5,5.0,0.0,True,10000.0,9687.34,-312.66,-3.1266000000000003,94937.54,-95250.2,1.0,6365.68,49.03,6262.98,48.48,1405,391,1014,27.83,715,29.65,690,25.94,1021.31,-129.04,242.81,-91.08,-0.22,-0.05,-0.08,-2892.920000000003,-76.32,-101.1866,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl25-tr5.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl25-tr5.png
eod-sl15-tr5,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,1.5,5.0,0.0,True,10000.0,12513.19,2513.19,25.1319,131700.17,-129186.98,1.02,10901.29,63.65,10254.05,61.99,1404,282,1122,20.09,714,21.29,690,18.84,2166.14,-165.4,467.02,-110.29,1.79,0.23,0.49,-5443.710000000004,-142.58,-102.1681,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl15-tr5.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl15-tr5.png
eod-sl2-tr5,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.0,5.0,0.0,True,10000.0,11088.58,1088.58,10.8858,128398.09,-127309.51,1.01,10055.27,56.84,9716.2,55.82,1405,343,1062,24.41,715,25.45,690,23.33,1672.11,-174.0,374.34,-115.78,0.77,0.11,0.24,-4351.539999999995,-115.94,-102.7942,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl2-tr5.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl2-tr5.png
eod-sl25-tr4,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.5,4.0,0.0,True,10000.0,9604.14,-395.86,-3.9586,87701.72,-88097.58,1.0,6521.56,49.62,6303.63,48.62,1405,413,992,29.4,715,32.03,690,26.67,992.81,-129.38,212.35,-85.86,-0.28,-0.06,-0.12,-2926.790000000006,-14.75,-103.1986,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl25-tr4.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl25-tr4.png
eod-sl2-tr4,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.0,4.0,0.0,True,10000.0,10470.01,470.01,4.7001,108021.29,-107551.28,1.0,8403.81,55.49,8149.43,54.55,1405,373,1032,26.55,715,27.97,690,25.07,1415.59,-149.35,289.6,-100.34,0.33,0.06,0.13,-3997.7600000000016,-19.72,-106.2799,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl2-tr4.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl2-tr4.png
hold-sl25-tr4,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.5,4.0,0.0,False,10000.0,8922.08,-1077.92,-10.779200000000001,84636.34,-85714.26,0.99,6757.5,51.74,6542.67,50.78,1405,413,992,29.4,715,32.03,690,26.67,1024.1,-128.71,204.93,-83.52,-0.77,-0.16,-0.34,-2860.4400000000137,-283.55999999999995,-114.2592,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\hold-sl25-tr4.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\hold-sl25-tr4.png
hold-sl2-tr4,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.0,4.0,0.0,False,10000.0,9703.66,-296.34,-2.9633999999999996,103961.85,-104258.19,1.0,8162.16,56.03,7890.38,55.09,1405,373,1032,26.55,715,27.97,690,25.07,1444.41,-143.04,278.72,-97.25,-0.21,-0.04,-0.08,-3894.6000000000076,-387.1599999999999,-115.0234,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\hold-sl2-tr4.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\hold-sl2-tr4.png
eod-sl15-tr4,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,1.5,4.0,0.0,True,10000.0,10127.73,127.73,1.2772999999999999,105084.93,-104957.2,1.0,10166.55,67.96,9819.6,66.98,1404,313,1091,22.29,714,23.95,690,20.58,1752.86,-146.54,335.73,-91.83,0.09,0.01,0.03,-4769.129999999998,-24.53,-134.6427,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl15-tr4.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl15-tr4.png
hold-sl15-tr25,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,1.5,2.5,0.0,False,10000.0,8520.55,-1479.45,-14.7945,84231.4,-85710.85,0.98,9011.31,62.52,8780.38,61.86,1404,398,1006,28.35,714,28.15,690,28.55,1389.88,-141.86,211.64,-80.45,-1.05,-0.16,-0.78,-4781.769999999999,0.0,-139.8345,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\hold-sl15-tr25.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\hold-sl15-tr25.png
eod-sl25-tr2-start05,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,2.5,2.0,0.5,True,10000.0,6197.93,-3802.07,-38.020700000000005,43709.77,-47511.84,0.92,5845.14,53.37,5718.23,52.73,1405,592,813,42.14,715,41.4,690,42.9,611.03,-108.38,73.83,-55.67,-2.71,-0.65,-3.59,-2252.629999999997,0.0,-144.76069999999999,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl25-tr2-start05.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\eod-sl25-tr2-start05.png
hold-sl15-tr4,M5 (2019.07.16 - 2024.12.31),98.0,369312,7374930,1.5,4.0,0.0,False,10000.0,8896.82,-1103.18,-11.0318,97895.08,-98998.26,0.99,10614.96,70.87,10272.02,69.98,1404,313,1091,22.29,714,23.95,690,20.58,1717.14,-146.7,312.76,-86.57,-0.79,-0.1,-0.3,-4545.200000000007,-452.65999999999997,-152.7718,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\hold-sl15-tr4.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Nasdaq 5M Open EMA ATR Research 2026-08-20\Backtest Reports\Training Refine\hold-sl15-tr4.png
