rr,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,pnl,r_multiple,setup_score,entry_model,bot,_opened_sort,balance_before,pnl_dynamic,balance_after,range_minutes,date,range_high,range_low,range_atr,logical_symbol,broker_symbol,side,signal_time,entry_time,exit_time,sl,tp1,tp2,tp5,risk_per_lot,bull_pct,bear_pct,bias,atr,spread,entry_time_iso,exit_time_iso,lot,risk_budget,actual_risk
6.0,AUDUSD,,2026-06,2026-06-04 23:15:00,2026-06-04 23:30:00,BUY,0.71353,0.7133,0.71491,0.7133,loss,-23.0,-1.0,,,ORB,2026-06-04 23:15:00,770.55,-38.53,732.02,15.0,2026-06-04,0.71353,0.7133,1.382,,,,,,,,,,,,,,,,,,,,,
6.0,GBPJPY,M15,2026-06,2026-06-05 03:45:00,2026-06-05 08:00:00,BUY,214.76,214.70062,215.11628,215.11628,win,35628.0,6.0,96.0,Entry Model 2 - Internal Swing Confirmation,LTA,2026-06-05 03:45:00,732.02,219.61,951.63,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,AUDUSD,,2026-06,2026-06-07 23:15:00,2026-06-08 06:00:00,BUY,0.70381,0.70313,0.70789,0.70383,timeout,2.0,0.0294,,,ORB,2026-06-07 23:15:00,951.63,1.4,953.03,15.0,2026-06-07,0.70381,0.70313,1.1347,,,,,,,,,,,,,,,,,,,,,
6.0,GBPJPY,M15,2026-06,2026-06-08 23:15:00,2026-06-09 01:00:00,SELL,213.667,213.71422,213.38368,213.71422,loss,-4722.0,-1.0,92.0,Entry Model 2 - Internal Swing Confirmation,LTA,2026-06-08 23:15:00,953.03,-47.65,905.38,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,AUDUSD,,2026-06,2026-06-08 23:15:00,2026-06-08 23:45:00,SELL,0.70444,0.70451,0.70402,0.70402,win,42.0,6.0,,,ORB,2026-06-08 23:15:00,905.38,271.61,1176.99,15.0,2026-06-08,0.70451,0.70444,0.3712,,,,,,,,,,,,,,,,,,,,,
6.0,GBPJPY,M15,2026-06,2026-06-09 03:45:00,2026-06-09 11:00:00,BUY,213.924,213.81312,214.58928,214.58928,win,66528.0,6.0,100.0,Entry Model 2 - Internal Swing Confirmation,LTA,2026-06-09 03:45:00,1176.99,353.1,1530.09,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTCUSD,,,2026-06-09T16:00:00Z,,,61079.82,,,62907.27,loss,-18.27,-1.0,,,Sniper,2026-06-09 16:00:00,1530.09,-76.5,1453.58,,,,,,BTCUSD,BTCUSDm,SELL,1781020800.0,1781020800.0,1781158800.0,62907.27,59252.37,57424.92,51942.58,1827.45,14.29,85.71,STRONG BEAR,1218.3,10.0,2026-06-09T16:00:00Z,2026-06-11T06:20:00Z,0.01,18.62,18.27
6.0,AUDUSD,,2026-06,2026-06-09 23:15:00,2026-06-09 23:45:00,SELL,0.70179,0.70224,0.69909,0.70224,loss,-45.0,-1.0,,,ORB,2026-06-09 23:15:00,1453.58,-72.68,1380.9,15.0,2026-06-09,0.70224,0.70179,1.3433,,,,,,,,,,,,,,,,,,,,,
3.0,NZDUSD,,2026-06,2026-06-10 23:15:00,2026-06-11 01:00:00,BUY,0.57894,0.57857,0.58005,0.58005,win,111.0,3.0,,,ORB,2026-06-10 23:15:00,1380.9,207.14,1588.04,15.0,2026-06-10,0.57894,0.57857,0.89,,,,,,,,,,,,,,,,,,,,,
6.0,USDCAD,M30,2026-06,2026-06-11 02:00:00,2026-06-11 08:30:00,BUY,1.39366,1.39303,1.39744,1.39744,win,378.0,6.0,93.0,Entry Model 2 - Internal Swing Confirmation,LTA,2026-06-11 02:00:00,1588.04,476.41,2064.45,,,,,,,,,,,,,,,,,,,,,,,,,,
