candidate,stage,score,mode,risk_pct,grid_levels,first_offset_atr,grid_step_atr,stop_extra_atr,target_atr,be_trigger_r,be_lock_r,trail_start_r,trail_distance_atr,pending_expiry_bars,max_hold_bars,cooldown_bars,session_start_utc,session_end_utc,adx_min,adx_max,range_adx_max,rsi_long_max,rsi_short_min,max_spread_price,max_daily_loss_pct,start,end,starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,profit_factor,max_drawdown_pct,realized_drawdown_pct,max_consecutive_losses,exposure_pct_max
21,train,-10000.0,trend,0.5,2,0.35,0.6,1.3,1.25,0.0,0.0,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9837.658890850918,-162.3411091490816,-1.6234110914908118,28,16,12,57.14285714285714,0.6793832979810287,3.1737851603912093,3.149865699157263,5,0.49919631930084246
22,train,-10000.0,trend,0.5,2,0.35,0.6,1.3,1.25,1.0,0.1,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9837.658890850918,-162.3411091490816,-1.6234110914908118,28,16,12,57.14285714285714,0.6793832979810287,3.1737851603912093,3.149865699157263,5,0.49919631930084246
23,train,-10000.0,trend,0.5,2,0.35,0.6,1.3,1.75,0.0,0.0,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9828.357571911998,-171.6424280880019,-1.7164242808800245,27,13,14,48.148148148148145,0.6905223723920794,2.461232106459493,2.4093080215498546,5,0.5007949922131718
24,train,-10000.0,trend,0.5,2,0.35,0.6,1.3,1.75,1.0,0.1,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9828.357571911998,-171.6424280880019,-1.7164242808800245,27,13,14,48.148148148148145,0.6905223723920794,2.461232106459493,2.4093080215498546,5,0.5007949922131718
25,train,-10000.0,trend,0.5,2,0.35,0.9,0.9,1.25,0.0,0.0,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9720.6579889971,-279.3420110029001,-2.793420110028999,28,14,14,50.0,0.5078800221034733,3.1604915236200988,3.1153111502607254,5,0.4985760295154826
26,train,-10000.0,trend,0.5,2,0.35,0.9,0.9,1.25,1.0,0.1,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9720.6579889971,-279.3420110029001,-2.793420110028999,28,14,14,50.0,0.5078800221034733,3.1604915236200988,3.1153111502607254,5,0.4985760295154826
27,train,-10000.0,trend,0.5,2,0.35,0.9,0.9,1.75,0.0,0.0,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9767.089020520278,-232.9109794797223,-2.329109794797224,27,12,15,44.44444444444444,0.601106482122031,2.825909364029249,2.7806399752721163,5,0.4975803788237489
28,train,-10000.0,trend,0.5,2,0.35,0.9,0.9,1.75,1.0,0.1,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9767.089020520278,-232.9109794797223,-2.329109794797224,27,12,15,44.44444444444444,0.601106482122031,2.825909364029249,2.7806399752721163,5,0.4975803788237489
29,train,-10000.0,trend,0.5,2,0.35,0.9,1.3,1.25,0.0,0.0,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9828.775523537064,-171.22447646293585,-1.712244764629356,28,16,12,57.14285714285714,0.6228873969210629,2.4314067407273376,2.4152636550982263,5,0.4911606420581504
30,train,-10000.0,trend,0.5,2,0.35,0.9,1.3,1.25,1.0,0.1,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9828.775523537064,-171.22447646293585,-1.712244764629356,28,16,12,57.14285714285714,0.6228873969210629,2.4314067407273376,2.4152636550982263,5,0.4911606420581504
