params,train_trades,train_wr,train_pf,train_net_r,train_dd,valid_trades,valid_wr,valid_pf,valid_net_r,valid_dd,score
"{""breakout_fraction"": 0.0, ""distribution_rr"": 2.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 2.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.06, ""stop_buffer_fraction"": 0.07, ""sweep_max_fraction"": 0.5, ""sweep_min_fraction"": 0.0, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": false, ""volume_factor"": 0.0}",82,17.073170731707318,1.1567691242159484,4.0,8.702712767187377,24,25.0,1.9994996241195155,6.0,2.970100000000002,11.225732569965224
"{""breakout_fraction"": 0.03, ""distribution_rr"": 3.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 3.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.06, ""stop_buffer_fraction"": 0.07, ""sweep_max_fraction"": 0.5, ""sweep_min_fraction"": 0.03, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": false, ""volume_factor"": 1.0}",53,7.547169811320755,0.6552751935317198,-6.0,6.958910416481004,18,16.666666666666664,2.223803265326121,5.0,1.9899999999999956,10.985861952701105
"{""breakout_fraction"": 0.03, ""distribution_rr"": 3.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 3.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.06, ""stop_buffer_fraction"": 0.07, ""sweep_max_fraction"": 0.5, ""sweep_min_fraction"": 0.0, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": false, ""volume_factor"": 1.0}",53,7.547169811320755,0.6552751935317198,-6.0,6.958910416481004,18,16.666666666666664,2.223803265326121,5.0,1.9899999999999956,10.985861952701105
"{""breakout_fraction"": 0.03, ""distribution_rr"": 2.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 2.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.06, ""stop_buffer_fraction"": 0.07, ""sweep_max_fraction"": 0.5, ""sweep_min_fraction"": 0.0, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": false, ""volume_factor"": 0.0}",67,17.91044776119403,1.3976930410163528,7.0,3.9690247610980016,21,19.047619047619047,1.585467129672453,3.0,1.9899999999999978,9.91037905563137
"{""breakout_fraction"": 0.03, ""distribution_rr"": 2.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 2.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.06, ""stop_buffer_fraction"": 0.07, ""sweep_max_fraction"": 0.5, ""sweep_min_fraction"": 0.03, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": false, ""volume_factor"": 0.0}",67,17.91044776119403,1.3976930410163528,7.0,3.9690247610980016,21,19.047619047619047,1.585467129672453,3.0,1.9899999999999978,9.91037905563137
"{""breakout_fraction"": 0.03, ""distribution_rr"": 3.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 3.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.06, ""stop_buffer_fraction"": 0.07, ""sweep_max_fraction"": 0.5, ""sweep_min_fraction"": 0.0, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": false, ""volume_factor"": 0.0}",67,8.955223880597014,1.0384859596205063,1.0,6.958910416480971,21,14.285714285714285,1.7806386498591569,4.0,1.9899999999999993,9.840214260113719
"{""breakout_fraction"": 0.03, ""distribution_rr"": 3.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 3.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.06, ""stop_buffer_fraction"": 0.07, ""sweep_max_fraction"": 0.5, ""sweep_min_fraction"": 0.03, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": false, ""volume_factor"": 0.0}",67,8.955223880597014,1.0384859596205063,1.0,6.958910416480971,21,14.285714285714285,1.7806386498591569,4.0,1.9899999999999993,9.840214260113719
"{""breakout_fraction"": 0.0, ""distribution_rr"": 3.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 3.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.03, ""stop_buffer_fraction"": 0.07, ""sweep_max_fraction"": 0.5, ""sweep_min_fraction"": 0.03, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": false, ""volume_factor"": 0.0}",81,11.11111111111111,1.104787464339586,3.0,9.615334631106293,20,15.0,1.7850093970009546,4.0,3.940399000000002,9.785916996238788
"{""breakout_fraction"": 0.0, ""distribution_rr"": 3.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 3.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.03, ""stop_buffer_fraction"": 0.07, ""sweep_max_fraction"": 0.5, ""sweep_min_fraction"": 0.0, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": false, ""volume_factor"": 0.0}",81,11.11111111111111,1.104787464339586,3.0,9.615334631106293,20,15.0,1.7850093970009546,4.0,3.940399000000002,9.785916996238788
"{""breakout_fraction"": 0.0, ""distribution_rr"": 2.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 2.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.03, ""stop_buffer_fraction"": 0.07, ""sweep_max_fraction"": 0.5, ""sweep_min_fraction"": 0.0, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": false, ""volume_factor"": 0.0}",81,18.51851851851852,1.2381856690407196,6.0,6.84900802692315,20,20.0,1.5853978719449455,3.0,2.019206980000001,9.395813948737286
