selection_method,selected_symbols,range_minutes,atr_stop_fraction,relative_volume_min,top_n,robust_score,train_start,train_end,train_starting_balance,train_ending_balance,train_net_profit,train_return_percent,train_max_drawdown_percent,train_trades,train_wins,train_losses,train_win_rate_percent,train_profit_factor,train_total_r,train_average_r,train_sharpe,train_skipped_below_broker_minimum,validation_start,validation_end,validation_starting_balance,validation_ending_balance,validation_net_profit,validation_return_percent,validation_max_drawdown_percent,validation_trades,validation_wins,validation_losses,validation_win_rate_percent,validation_profit_factor,validation_total_r,validation_average_r,validation_sharpe,validation_skipped_below_broker_minimum,full_start,full_end,full_starting_balance,full_ending_balance,full_net_profit,full_return_percent,full_max_drawdown_percent,full_trades,full_wins,full_losses,full_win_rate_percent,full_profit_factor,full_total_r,full_average_r,full_sharpe,full_skipped_below_broker_minimum
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",5,0.2,1.25,3,-999999.3558571428,2026-05-08,2026-06-24,300.0,267.91957142857154,-32.080428571428456,-10.693476190476147,12.308809523809487,18,2,16,11.11111111111111,0.15738423380999467,-13.677194776801562,-0.7598441542667534,-11.783241485122899,15,2026-06-25,2026-07-07,300.0,301.93242857142855,1.9324285714285452,0.6441428571428487,1.7617025840374203,6,2,4,33.33333333333333,1.1865896049437217,0.6229530511842309,0.10382550853070516,0.986345911586613,1,2026-05-08,2026-07-07,300.0,263.25228571428585,-36.74771428571415,-12.249238095238047,12.36223809523807,23,3,20,13.043478260869565,0.21967304617942188,-14.405515902655207,-0.6263267783763133,-8.794922881017667,17
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",15,0.2,1.25,1,-999999.6027619047,2026-05-08,2026-06-24,300.0,287.938,-12.062000000000012,-4.020666666666672,4.020666666666671,6,1,5,16.666666666666664,0.0867655966081157,-4.977760148166364,-0.8296266913610606,-8.818423585311907,7,2026-06-25,2026-07-07,300.0,301.1917142857142,1.1917142857142267,0.39723809523808384,1.4314433182481285,3,1,2,33.33333333333333,1.172855366763361,0.4080757349261803,0.13602524497539345,0.7371459767547526,0,2026-05-08,2026-07-07,300.0,289.1297142857142,-10.870285714285785,-3.6234285714285996,4.8607619047619055,9,2,7,22.22222222222222,0.4592512578526933,-4.569684413240183,-0.5077427125822426,-2.9935204390757733,7
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",15,0.2,1.25,3,-999999.6027619047,2026-05-08,2026-06-24,300.0,281.2617142857142,-18.73828571428578,-6.246095238095261,6.24609523809526,9,1,8,11.11111111111111,0.05763345067892766,-7.990410870563047,-0.8878234300625608,-10.904216917214223,16,2026-06-25,2026-07-07,300.0,301.1917142857142,1.1917142857142267,0.39723809523808384,1.4314433182481285,3,1,2,33.33333333333333,1.172855366763361,0.4080757349261803,0.13602524497539345,0.7371459767547526,0,2026-05-08,2026-07-07,300.0,282.45342857142845,-17.546571428571553,-5.848857142857189,7.086190476190496,12,2,10,16.666666666666664,0.3447532675380077,-7.582335135636867,-0.6318612613030722,-4.465625729738322,16
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",15,0.2,1.25,5,-999999.6027619047,2026-05-08,2026-06-24,300.0,277.5155714285714,-22.484428571428623,-7.4948095238095425,7.494809523809541,11,1,10,9.090909090909092,0.04849679287601311,-10.001370455860645,-0.9092154959873313,-13.41342653897994,16,2026-06-25,2026-07-07,300.0,301.1917142857142,1.1917142857142267,0.39723809523808384,1.4314433182481285,3,1,2,33.33333333333333,1.172855366763361,0.4080757349261803,0.13602524497539345,0.7371459767547526,0,2026-05-08,2026-07-07,300.0,278.7072857142856,-21.292714285714396,-7.09757142857147,8.334904761904777,14,2,12,14.285714285714285,0.3024434533141746,-9.593294720934464,-0.6852353372096046,-5.377652931964193,16
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",15,0.2,1.25,10,-999999.6027619047,2026-05-08,2026-06-24,300.0,274.9301428571428,-25.069857142857188,-8.356619047619063,8.356619047619063,12,1,11,8.333333333333332,0.04371400079559243,-11.00408528770728,-0.91700710730894,-13.827671169047118,16,2026-06-25,2026-07-07,300.0,301.1917142857142,1.1917142857142267,0.39723809523808384,1.4314433182481285,3,1,2,33.33333333333333,1.172855366763361,0.4080757349261803,0.13602524497539345,0.7371459767547526,0,2026-05-08,2026-07-07,300.0,276.12185714285704,-23.87814285714296,-7.9593809523809895,9.196714285714298,15,2,13,13.333333333333334,0.2788269455626445,-10.5960095527811,-0.7064006368520733,-5.831522025737802,16
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",15,0.2,1.25,20,-999999.6027619047,2026-05-08,2026-06-24,300.0,274.9301428571428,-25.069857142857188,-8.356619047619063,8.356619047619063,12,1,11,8.333333333333332,0.04371400079559243,-11.00408528770728,-0.91700710730894,-13.827671169047118,16,2026-06-25,2026-07-07,300.0,301.1917142857142,1.1917142857142267,0.39723809523808384,1.4314433182481285,3,1,2,33.33333333333333,1.172855366763361,0.4080757349261803,0.13602524497539345,0.7371459767547526,0,2026-05-08,2026-07-07,300.0,276.12185714285704,-23.87814285714296,-7.9593809523809895,9.196714285714298,15,2,13,13.333333333333334,0.2788269455626445,-10.5960095527811,-0.7064006368520733,-5.831522025737802,16
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",5,0.15,1.25,1,-999999.7224285714,2026-05-08,2026-06-24,300.0,275.73796428571427,-24.26203571428573,-8.087345238095246,8.087345238095244,10,0,10,0.0,0.0,-10.21838513902001,-1.021838513902001,-19.372157133544437,4,2026-06-25,2026-07-07,300.0,300.83271428571425,0.8327142857142462,0.2775714285714104,1.9881250426881454,6,2,4,33.33333333333333,1.0726862358779932,2.1687745621576346,0.36146242702627246,0.4879916446817447,0,2026-05-08,2026-07-07,300.0,279.5273928571428,-20.472607142857214,-6.824202380952404,9.580630952380963,16,2,14,12.5,0.37510369825307144,-8.049610576862374,-0.5031006610538984,-4.994558599246602,4
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",15,0.2,0.75,1,-1000000.2231904762,2026-05-08,2026-06-24,300.0,287.938,-12.062000000000012,-4.020666666666672,4.020666666666671,6,1,5,16.666666666666664,0.0867655966081157,-4.977760148166364,-0.8296266913610606,-8.818423585311907,7,2026-06-25,2026-07-07,300.0,299.3304285714284,-0.6695714285716008,-0.2231904761905379,2.286709060283144,7,3,4,42.857142857142854,0.9520521319256819,-0.24120774816485768,-0.03445824973783681,-0.20458552973683455,1,2026-05-08,2026-07-07,300.0,287.2684285714284,-12.731571428571613,-4.243857142857199,5.70619047619048,13,4,9,30.76923076923077,0.5314550386944773,-5.218967896331221,-0.40145906894855543,-3.040214946431255,8
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",5,0.15,1.25,3,-1000000.3217738095,2026-05-08,2026-06-24,300.0,256.5339285714283,-43.466071428571695,-14.48869047619057,14.488690476190566,22,1,21,4.545454545454546,0.03804353840000856,-21.29951724712701,-0.9681598748694096,-21.14125195087164,11,2026-06-25,2026-07-07,300.0,299.03467857142857,-0.9653214285714284,-0.3217738095238065,2.7429047619047537,7,2,5,28.57142857142857,0.9271693059675947,1.161223321596693,0.1658890459423847,-0.31593878354571525,0,2026-05-08,2026-07-07,300.0,261.04149999999976,-38.95850000000024,-12.986166666666744,15.742595238095314,28,3,25,10.714285714285714,0.2644690511927335,-19.135579845548037,-0.6834135659124299,-7.643932756936803,12
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",5,0.15,1.25,5,-1000000.3217738095,2026-05-08,2026-06-24,300.0,255.53157142857117,-44.46842857142883,-14.82280952380961,14.82280952380961,23,1,22,4.3478260869565215,0.03721791953283489,-22.3065498987237,-0.9698499955966825,-20.52857369873738,15,2026-06-25,2026-07-07,300.0,299.03467857142857,-0.9653214285714284,-0.3217738095238065,2.7429047619047537,7,2,5,28.57142857142857,0.9271693059675947,1.161223321596693,0.1658890459423847,-0.31593878354571525,0,2026-05-08,2026-07-07,300.0,260.0391428571426,-39.96085714285738,-13.320285714285795,16.07671428571436,29,3,26,10.344827586206897,0.25955709906771485,-20.142612497144725,-0.6945728447291285,-7.69348086217285,16
