window,policy,total_cap_pct,symbol_cap_pct,family_cap_pct,from,to,initial_balance,final_balance,net_profit,return_pct,cagr_pct,profit_factor,win_rate_pct,max_drawdown_pct,max_drawdown_cash,recovery_factor,daily_sharpe,fixed_final_balance,fixed_net_profit,fixed_return_pct,fixed_profit_factor,fixed_max_drawdown_pct,fixed_max_drawdown_cash,fixed_recovery_factor,fixed_daily_sharpe,available_trades,accepted_trades,skipped_trades,acceptance_pct,max_concurrent_trades,max_reserved_risk_pct,max_symbol_risk_pct,unclosed_count,extra_cost_pct_per_trade,selection_score
locked_year,3% total,3.0,,,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,46935.5578,36935.5578,369.3556,367.8708,1.3557,42.8795,15.2945,8410.08,4.3918,3.7107,27039.9779,17039.9779,170.3998,1.5274,8.718,1555.896,10.9519,3.7748,1331,639,692,48.009,3,3.0,"{'BTCUSD': 1.0, 'XAUUSD': 3.0, 'USTEC': 3.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
locked_year,2% total,2.0,,,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,26173.1362,16173.1362,161.7314,161.2158,1.589,44.5578,12.1141,3580.1464,4.5175,3.4307,20331.0348,10331.0348,103.3103,1.7428,5.9297,1276.7388,8.0917,3.4815,1331,294,1037,22.0887,2,2.0,"{'BTCUSD': 1.0, 'XAUUSD': 2.0, 'USTEC': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
locked_year,6% total / 3% symbol,6.0,3.0,,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,137116.4909,127116.4909,1271.1649,1263.8281,1.4409,45.8159,12.1657,18219.3025,6.977,5.2566,38263.1403,28263.1403,282.6314,1.6192,5.8403,1282.8651,22.0313,5.2963,1331,956,375,71.8257,6,6.0,"{'BTCUSD': 2.0, 'XAUUSD': 3.0, 'USTEC': 3.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
locked_year,5% total / 3% symbol,5.0,3.0,,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,123471.0331,113471.0331,1134.7103,1128.3675,1.4144,45.6177,14.9135,17474.0219,6.4937,5.1128,37221.0022,27221.0022,272.21,1.599,5.8403,1590.8187,17.1113,5.1582,1331,947,384,71.1495,5,5.0,"{'BTCUSD': 1.0, 'XAUUSD': 3.0, 'USTEC': 3.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
locked_year,4% total / 3% symbol,4.0,3.0,,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,105716.7829,95716.7829,957.1678,952.0716,1.4203,45.2787,12.8181,15406.1331,6.2129,5.0194,35466.2892,25466.2892,254.6629,1.5986,6.1148,1356.2686,18.7767,5.0545,1331,879,452,66.0406,4,4.0,"{'BTCUSD': 1.0, 'XAUUSD': 3.0, 'USTEC': 3.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
locked_year,4% total / 2% symbol,4.0,2.0,,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,59762.4509,49762.4509,497.6245,495.4391,1.3833,45.3956,15.6582,7468.0654,6.6634,4.2008,29267.1775,19267.1775,192.6718,1.5164,6.632,1691.0135,11.3939,4.2347,1331,771,560,57.9264,4,4.0,"{'BTCUSD': 1.0, 'XAUUSD': 2.0, 'USTEC': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
locked_year,3% total / 2% symbol,3.0,2.0,,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,47572.0664,37572.0664,375.7207,374.2027,1.3799,44.7563,13.991,6552.5396,5.734,3.9,26761.1652,16761.1652,167.6117,1.508,6.3037,1490.8468,11.2427,3.9251,1331,677,654,50.864,3,3.0,"{'BTCUSD': 1.0, 'XAUUSD': 2.0, 'USTEC': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
locked_year,6% total / 3% symbol / 2-family,6.0,3.0,2.0,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,139380.4671,129380.4671,1293.8047,1286.3002,1.4473,45.9686,12.1657,18520.1279,6.9859,5.2886,38425.083,28425.083,284.2508,1.6239,5.8403,1282.8651,22.1575,5.3281,1331,955,376,71.7506,6,6.0,"{'BTCUSD': 2.0, 'XAUUSD': 3.0, 'USTEC': 3.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
locked_year,5% total / 3% symbol / 2-family,5.0,3.0,2.0,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,125509.9268,115509.9268,1155.0993,1148.6097,1.4206,45.7717,14.9135,17762.5731,6.503,5.1451,37382.9449,27382.9449,273.8294,1.6038,5.8403,1590.8187,17.2131,5.1902,1331,946,385,71.0744,5,5.0,"{'BTCUSD': 1.0, 'XAUUSD': 3.0, 'USTEC': 3.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
locked_year,4% total / 3% symbol / 2-family,4.0,3.0,2.0,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,106286.5496,96286.5496,962.8655,957.7302,1.4208,45.3303,12.8181,15489.1652,6.2164,5.025,35520.1443,25520.1443,255.2014,1.5998,6.1148,1356.2686,18.8164,5.06,1331,878,453,65.9654,4,4.0,"{'BTCUSD': 1.0, 'XAUUSD': 3.0, 'USTEC': 3.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
full_3y,Uncapped,,,,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,82147409.1366,82137409.1366,821374.0914,1910.8412,1.3741,45.3633,32.3247,14216823.5639,5.7775,4.8074,113410.6134,103410.6134,1034.1061,1.5827,11.0472,3769.1582,27.436,4.9608,3688,3688,0,100.0,12,12.0,"{'XAUUSD': 11.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
full_3y,8% total,8.0,,,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,67298169.8328,67288169.8328,672881.6983,1781.6859,1.3827,45.2131,32.3245,11647077.5616,5.7773,4.767,111056.0054,101056.0054,1010.5601,1.5792,11.0472,3769.1582,26.8113,4.9182,3688,3614,74,97.9935,8,8.0,"{'XAUUSD': 8.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
full_3y,6% total,6.0,,,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,21519151.7464,21509151.7464,215091.5175,1187.2884,1.4056,44.5599,32.1893,3247925.9626,6.6224,4.5105,97381.4686,87381.4686,873.8147,1.5449,11.0472,3723.7083,23.4662,4.6552,3688,3272,416,88.7202,6,6.0,"{'XAUUSD': 6.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
full_3y,5% total,5.0,,,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,10071070.8241,10061070.8241,100610.7082,899.7343,1.3642,44.4867,23.0934,1571996.6632,6.4002,4.3733,88339.4744,78339.4744,783.3947,1.5508,10.9474,2599.928,30.1314,4.5038,3688,2893,795,78.4436,5,5.0,"{'XAUUSD': 5.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
