window,policy,total_cap_pct,symbol_cap_pct,family_cap_pct,from,to,initial_balance,final_balance,net_profit,return_pct,cagr_pct,profit_factor,win_rate_pct,max_drawdown_pct,max_drawdown_cash,recovery_factor,daily_sharpe,fixed_final_balance,fixed_net_profit,fixed_return_pct,fixed_profit_factor,fixed_max_drawdown_pct,fixed_max_drawdown_cash,fixed_recovery_factor,fixed_daily_sharpe,available_trades,accepted_trades,skipped_trades,acceptance_pct,max_concurrent_trades,max_reserved_risk_pct,max_symbol_risk_pct,unclosed_count,extra_cost_pct_per_trade
development,4% total / 2% symbol,4.0,2.0,,2023-09-07T00:00:00,2025-09-06T23:59:59,10000.0,172040.5567,162040.5567,1620.4056,314.3743,1.4208,42.8251,19.6394,25996.5564,6.2332,3.4443,41392.3979,31392.3979,313.924,1.4558,13.7076,2094.7567,14.9862,3.5139,2356,1338,1018,56.7912,4,4.0,"{'XAUUSD': 2.0, 'USTEC': 2.0, 'BTCUSD': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
development,3% total / 2% symbol,3.0,2.0,,2023-09-07T00:00:00,2025-09-06T23:59:59,10000.0,97930.6544,87930.6544,879.3065,212.6946,1.351,42.0068,22.6655,21899.461,4.0152,2.9989,35199.1349,25199.1349,251.9913,1.4077,13.9245,2380.6963,10.5848,3.0522,2356,1176,1180,49.9151,3,3.0,"{'XAUUSD': 2.0, 'USTEC': 2.0, 'XAGUSD': 1.0, 'BTCUSD': 1.0, 'ETHUSD': 1.0}",0,0.0
development,6% total / 3% symbol / 2-family,6.0,3.0,2.0,2023-09-07T00:00:00,2025-09-06T23:59:59,10000.0,434132.5118,424132.5118,4241.3251,558.0382,1.4199,44.2515,19.179,61516.1488,6.8947,3.9991,51941.5562,41941.5562,419.4156,1.5061,12.9282,2105.6653,19.9184,4.0976,2356,1670,686,70.8829,6,6.0,"{'XAUUSD': 3.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
development,5% total / 3% symbol / 2-family,5.0,3.0,2.0,2023-09-07T00:00:00,2025-09-06T23:59:59,10000.0,424729.8429,414729.8429,4147.2984,550.878,1.4299,44.3563,19.1907,56579.3401,7.3301,3.9946,51720.6783,41720.6783,417.2068,1.5114,11.6311,2105.6653,19.8135,4.0947,2356,1639,717,69.5671,5,5.0,"{'XAUUSD': 3.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
development,4% total / 3% symbol / 2-family,4.0,3.0,2.0,2023-09-07T00:00:00,2025-09-06T23:59:59,10000.0,293913.6602,283913.6602,2839.1366,441.5116,1.4115,43.6508,20.5515,37651.8386,7.5405,3.7679,47658.8549,37658.8549,376.5885,1.493,9.2937,2279.8648,16.518,3.8554,2356,1512,844,64.1766,4,4.0,"{'XAUUSD': 3.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
locked_year,Uncapped,,,,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,2632816.9456,2622816.9456,26228.1695,25929.2025,1.6638,47.2574,15.3738,455758.1585,5.7548,6.6306,72056.8702,62056.8702,620.5687,1.9778,4.7327,1643.6798,37.7548,6.7822,1422,1422,0,100.0,12,12.0,"{'BTCUSD': 2.0, 'XAUUSD': 10.0, 'USTEC': 3.0, 'EURUSD': 1.5, 'XAGUSD': 1.5, 'ETHUSD': 1.0}",0,0.0
locked_year,8% total,8.0,,,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,1823028.3226,1813028.3226,18130.2832,17936.8508,1.6241,47.3532,15.3735,315570.5275,5.7452,6.7304,67588.1817,57588.1817,575.8818,1.9273,4.7327,1643.6798,35.0361,6.8385,1422,1379,43,96.9761,8,8.0,"{'BTCUSD': 2.0, 'XAUUSD': 8.0, 'USTEC': 3.0, 'EURUSD': 1.5, 'XAGUSD': 1.5, 'ETHUSD': 1.0}",0,0.0
locked_year,6% total,6.0,,,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,763029.5756,753029.5756,7530.2958,7462.82,1.6056,46.6721,13.6737,115165.755,6.5387,6.5106,57472.8487,47472.8487,474.7285,1.8416,5.0043,1456.0496,32.6039,6.5939,1422,1232,190,86.6385,6,6.0,"{'BTCUSD': 2.0, 'XAUUSD': 6.0, 'USTEC': 3.0, 'EURUSD': 1.5, 'XAGUSD': 1.5, 'ETHUSD': 1.0}",0,0.0
locked_year,5% total,5.0,,,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,251357.6574,241357.6574,2413.5766,2397.024,1.4396,45.3039,15.4672,36908.6111,6.5393,5.7632,45484.4352,35484.4352,354.8444,1.6879,5.8542,1667.8918,21.275,5.8435,1422,1086,336,76.3713,5,5.0,"{'BTCUSD': 1.0, 'XAUUSD': 5.0, 'USTEC': 3.0, 'EURUSD': 1.5, 'XAGUSD': 1.5, 'ETHUSD': 1.0}",0,0.0
locked_year,4% total,4.0,,,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,91115.3094,81115.3094,811.1531,807.037,1.363,44.4311,14.7964,15683.4833,5.172,4.5855,34489.6429,24489.6429,244.8964,1.6012,8.0746,1568.1164,15.6172,4.6731,1422,835,587,58.7201,4,4.0,"{'BTCUSD': 1.0, 'XAUUSD': 4.0, 'USTEC': 3.0, 'EURUSD': 1.5, 'XAGUSD': 1.5, 'ETHUSD': 1.0}",0,0.0
locked_year,3% total,3.0,,,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,47475.1592,37475.1592,374.7516,373.2387,1.3568,42.9688,15.2945,8506.7677,4.4053,3.7359,27160.4793,17160.4793,171.6048,1.5311,8.6492,1555.896,11.0293,3.8003,1422,640,782,45.007,3,3.0,"{'BTCUSD': 1.0, 'XAUUSD': 3.0, 'USTEC': 3.0, 'EURUSD': 1.5, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0
locked_year,2% total,2.0,,,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,26173.1362,16173.1362,161.7314,161.2158,1.589,44.5578,12.1141,3580.1464,4.5175,3.4307,20331.0348,10331.0348,103.3103,1.7428,5.9297,1276.7388,8.0917,3.4815,1422,294,1128,20.6751,2,2.0,"{'BTCUSD': 1.0, 'XAUUSD': 2.0, 'USTEC': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0
locked_year,6% total / 3% symbol,6.0,3.0,,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,592654.9749,582654.9749,5826.5497,5777.1828,1.75,47.332,12.1657,78748.8981,7.3989,6.1068,53957.8575,43957.8575,439.5786,1.9453,4.8996,1282.8651,34.2654,6.1617,1422,1012,410,71.1674,6,6.0,"{'BTCUSD': 2.0, 'XAUUSD': 3.0, 'USTEC': 3.0, 'EURUSD': 1.5, 'XAGUSD': 1.5, 'ETHUSD': 1.0}",0,0.0
locked_year,5% total / 3% symbol,5.0,3.0,,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,299372.6477,289372.6477,2893.7265,2872.9468,1.6121,46.7213,12.7112,42368.2262,6.8299,5.9777,46497.3841,36497.3841,364.9738,1.798,4.8774,1336.8882,27.3003,6.015,1422,976,446,68.6357,5,5.0,"{'BTCUSD': 1.0, 'XAUUSD': 3.0, 'USTEC': 3.0, 'EURUSD': 1.5, 'XAGUSD': 1.5, 'ETHUSD': 1.0}",0,0.0
locked_year,4% total / 3% symbol,4.0,3.0,,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,115876.5474,105876.5474,1058.7655,1052.9627,1.4437,45.5568,12.8181,16886.7207,6.2698,5.116,36408.5876,26408.5876,264.0859,1.6179,5.9723,1356.2686,19.4715,5.1491,1422,889,533,62.5176,4,4.0,"{'BTCUSD': 1.0, 'XAUUSD': 3.0, 'USTEC': 3.0, 'EURUSD': 1.5, 'XAGUSD': 1.5, 'ETHUSD': 1.0}",0,0.0
locked_year,4% total / 2% symbol,4.0,2.0,,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,144911.707,134911.707,1349.1171,1341.1998,1.6154,46.8005,15.6582,18108.5294,7.4502,5.2151,38537.6207,28537.6207,285.3762,1.7608,6.0014,1691.0135,16.876,5.2398,1422,797,625,56.0478,4,4.0,"{'BTCUSD': 1.0, 'XAUUSD': 2.0, 'USTEC': 2.0, 'EURUSD': 1.5, 'XAGUSD': 1.5, 'ETHUSD': 1.0}",0,0.0
locked_year,3% total / 2% symbol,3.0,2.0,,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,51359.249,41359.249,413.5925,411.8733,1.4072,44.919,13.991,7074.1832,5.8465,3.9754,27549.7443,17549.7443,175.4974,1.5319,6.2718,1490.8468,11.7717,3.9994,1422,679,743,47.7496,3,3.0,"{'BTCUSD': 1.0, 'XAUUSD': 2.0, 'USTEC': 2.0, 'EURUSD': 1.5, 'XAGUSD': 1.5, 'ETHUSD': 1.0}",0,0.0
locked_year,6% total / 3% symbol / 2-family,6.0,3.0,2.0,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,396190.5876,386190.5876,3861.9059,3832.1476,1.6914,47.0172,12.1657,52643.7273,7.3359,6.2058,49404.9699,39404.9699,394.0497,1.8563,4.9074,1282.8651,30.7164,6.2452,1422,989,433,69.5499,6,6.0,"{'BTCUSD': 2.0, 'XAUUSD': 3.0, 'USTEC': 3.0, 'EURUSD': 1.5, 'XAGUSD': 1.5, 'ETHUSD': 1.0}",0,0.0
locked_year,5% total / 3% symbol / 2-family,5.0,3.0,2.0,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,297007.2565,287007.2565,2870.0726,2849.505,1.6115,46.8589,12.7112,42033.4668,6.8281,6.0083,46392.3648,36392.3648,363.9236,1.7989,4.9074,1336.8882,27.2217,6.0437,1422,971,451,68.2841,5,5.0,"{'BTCUSD': 1.0, 'XAUUSD': 3.0, 'USTEC': 3.0, 'EURUSD': 1.5, 'XAGUSD': 1.5, 'ETHUSD': 1.0}",0,0.0
locked_year,4% total / 3% symbol / 2-family,4.0,3.0,2.0,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,115630.6487,105630.6487,1056.3065,1050.521,1.444,45.5468,12.8181,16850.8857,6.2686,5.0996,36382.6901,26382.6901,263.8269,1.6172,6.0021,1356.2686,19.4524,5.1338,1422,887,535,62.3769,4,4.0,"{'BTCUSD': 1.0, 'XAUUSD': 3.0, 'USTEC': 3.0, 'EURUSD': 1.5, 'XAGUSD': 1.5, 'ETHUSD': 1.0}",0,0.0
full_3y,Uncapped,,,,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,604033848.9048,604023848.9048,6040238.489,3807.2495,1.663,46.0238,32.3247,104562284.5462,5.7767,5.1448,135296.6687,125296.6687,1252.9667,1.7008,11.0472,3769.1582,33.2426,5.3051,3785,3785,0,100.0,12,12.0,"{'XAUUSD': 11.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.5, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
full_3y,8% total,8.0,,,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,332380072.775,332370072.775,3323700.7277,3102.5377,1.6229,45.8299,32.3245,57535782.5154,5.7768,5.1932,128241.0583,118241.0583,1182.4106,1.6751,11.0472,3769.1582,31.3707,5.3402,3785,3681,104,97.2523,8,8.0,"{'XAUUSD': 8.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.5, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
full_3y,6% total,6.0,,,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,62919608.3508,62909608.3508,629096.0835,1740.0056,1.598,45.0121,32.1893,9496596.7597,6.6244,4.8677,108724.0125,98724.0125,987.2401,1.6148,11.0472,3723.7083,26.5123,5.0031,3785,3308,477,87.3976,6,6.0,"{'XAUUSD': 6.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.5, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
full_3y,5% total,5.0,,,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,17557645.0641,17547645.0641,175476.4506,1102.9746,1.4496,44.6275,23.0934,2578112.8362,6.8064,4.6209,94152.7505,84152.7505,841.5275,1.5901,10.9474,2599.928,32.3673,4.7443,3785,2913,872,76.9617,5,5.0,"{'XAUUSD': 5.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.5, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
full_3y,4% total,4.0,,,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,2926410.6056,2916410.6056,29164.1061,562.4834,1.3644,43.7906,19.7841,503723.7438,5.7897,4.061,73880.1122,63880.1122,638.8011,1.5525,10.2341,2060.9776,30.9951,4.1693,3785,2311,1474,61.0568,4,4.0,"{'XAUUSD': 4.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.5, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
full_3y,3% total,3.0,,,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,806353.6384,796353.6384,7963.5364,331.3049,1.3851,43.4733,18.9918,133536.3071,5.9636,3.689,58719.3059,48719.3059,487.1931,1.5476,11.9972,2032.8376,23.9662,3.7713,3785,1762,2023,46.5522,3,3.0,"{'XAUUSD': 3.0, 'USTEC': 3.0, 'XAGUSD': 1.0, 'BTCUSD': 1.0, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
full_3y,2% total,2.0,,,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,129548.3613,119548.3613,1195.4836,134.6325,1.3884,42.8959,20.1628,21469.8506,5.5682,2.724,38169.3148,28169.3148,281.6931,1.5004,13.3102,2192.746,12.8466,2.7738,3785,1105,2680,29.1942,2,2.0,"{'XAUUSD': 2.0, 'USTEC': 2.0, 'XAGUSD': 1.0, 'BTCUSD': 1.0, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
full_3y,6% total / 3% symbol,6.0,3.0,,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,29749601.4485,29739601.4485,297396.0145,1333.8633,1.7523,45.4579,19.179,4167285.6959,7.1364,4.8528,97568.1096,87568.1096,875.6811,1.6772,12.9282,2105.6653,41.5869,4.9387,3785,2686,1099,70.9643,6,6.0,"{'XAUUSD': 3.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.5, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
full_3y,5% total / 3% symbol,5.0,3.0,,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,14529517.9997,14519517.9997,145195.18,1029.4907,1.6161,45.3191,19.1907,2112969.5346,6.8716,4.7716,89754.4853,79754.4853,797.5449,1.6267,11.6311,2105.6653,37.8761,4.8527,3785,2617,1168,69.1413,5,5.0,"{'XAUUSD': 3.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.5, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
full_3y,4% total / 3% symbol,4.0,3.0,,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,3558904.057,3548904.057,35489.0406,607.0819,1.4446,44.218,20.5515,511711.1846,6.9354,4.2844,74636.0064,64636.0064,646.3601,1.5415,9.2937,2279.8648,28.3508,4.3589,3785,2404,1381,63.5139,4,4.0,"{'XAUUSD': 3.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.5, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
full_3y,4% total / 2% symbol,4.0,2.0,,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,2546462.1502,2536462.1502,25364.6215,532.5069,1.6116,44.1577,19.6394,336433.3766,7.5393,4.109,70194.7014,60194.7014,601.947,1.5658,13.7076,2094.7567,28.7359,4.1616,3785,2131,1654,56.3012,4,4.0,"{'XAUUSD': 2.0, 'USTEC': 2.0, 'BTCUSD': 2.0, 'XAGUSD': 1.5, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
full_3y,3% total / 2% symbol,3.0,2.0,,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,501016.6911,491016.6911,4910.1669,268.105,1.3969,42.9498,22.6655,69009.6509,7.1152,3.3409,52737.3583,42737.3583,427.3736,1.4505,13.9245,2380.6963,17.9516,3.3856,3785,1851,1934,48.9036,3,3.0,"{'XAUUSD': 2.0, 'USTEC': 2.0, 'XAGUSD': 1.5, 'BTCUSD': 1.0, 'ETHUSD': 1.0}",0,0.0
full_3y,6% total / 3% symbol / 2-family,6.0,3.0,2.0,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,19134406.6678,19124406.6678,191244.0667,1137.9179,1.6823,45.2667,19.179,2542479.5747,7.522,4.8621,92591.3832,82591.3832,825.9138,1.6411,12.9282,2105.6653,39.2234,4.9417,3785,2662,1123,70.3303,6,6.0,"{'XAUUSD': 3.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.5, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
full_3y,5% total / 3% symbol / 2-family,5.0,3.0,2.0,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,14414991.2426,14404991.2426,144049.9124,1026.5185,1.6109,45.3466,19.1907,2040058.0625,7.0611,4.8037,89650.2329,79650.2329,796.5023,1.6271,11.6311,2105.6653,37.8266,4.8851,3785,2611,1174,68.9828,5,5.0,"{'XAUUSD': 3.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.5, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
full_3y,4% total / 3% symbol / 2-family,4.0,3.0,2.0,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,3556741.5149,3546741.5149,35467.4151,606.9388,1.4477,44.2548,20.5515,518324.9061,6.8427,4.2907,74612.3245,64612.3245,646.1232,1.5422,9.2937,2279.8648,28.3404,4.3653,3785,2402,1383,63.461,4,4.0,"{'XAUUSD': 3.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.5, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
