trade_id,slug,label,symbol,side,open_time,close_time,r_multiple,trade_risk_pct,reserved_risk_pct,risk_family,equity_at_entry,fixed_equity_at_entry,active_risk_before_pct,symbol_risk_before_pct,family_risk_before_pct,risk_cash,fixed_risk_cash,extra_cost_cash,fixed_extra_cost_cash,simulated_pnl,fixed_risk_pnl,active_risk_after_pct,simulated_close_equity,fixed_close_equity,drawdown_pct_after_close,fixed_drawdown_pct_after_close
816,engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,Long,2026-01-08T13:00:00,2026-01-08T20:31:42,2.1462,1.0,1.0,engineered-liquidity-xau,860677.4306,59324.1564,2.0,2.0,0.0,8606.7743,100.0,0.0,0.0,18471.7109,214.6183,3.0,879149.1415,59538.7747,0.0,0.0
2831,nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,Short,2026-01-08T14:35:00,2026-01-08T20:55:00,0.1242,1.0,1.0,nasdaq-5m-candle-momentum,860677.4306,59324.1564,3.0,0.0,0.0,8606.7743,100.0,0.0,0.0,1068.7941,12.4181,4.0,880217.9356,59551.1928,0.0,0.0
2024,xau-weakness,XAU Weakness,XAUUSD,Long,2026-01-09T09:20:15,2026-01-12T00:17:28,3.9055,1.0,1.0,xau-weakness,880217.9356,59551.1928,2.0,2.0,0.0,8802.1794,100.0,0.0,0.0,34377.1127,390.5523,3.0,905755.2395,59841.3175,0.0,0.0
1598,us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,Short,2026-01-09T14:30:00,2026-01-09T15:22:41,-1.0043,1.0,1.0,US100_ORB,880217.9356,59551.1928,3.0,0.0,0.0,8802.1794,100.0,0.0,0.0,-8839.8089,-100.4275,4.0,871378.1267,59450.7653,1.0043,0.1686
1857,ema3,EMA3,XAUUSD,Long,2026-01-12T04:00:00,2026-01-20T17:57:26,1.5126,1.0,1.0,ema3,937420.3154,60324.4189,1.0,1.0,0.0,9374.2032,100.0,0.0,0.0,14179.0599,151.2562,2.0,955079.5415,60589.0324,0.0,0.0
3627,xau-regime-switch,XAU Regime Switch,XAUUSD,Long,2026-01-12T04:00:00,2026-01-21T04:23:27,4.5282,1.0,1.0,xau-regime-switch,937420.3154,60324.4189,2.0,2.0,0.0,9374.2032,100.0,0.0,0.0,42448.1424,452.8187,3.0,988150.3799,60942.188,0.0,0.0
2833,nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,Long,2026-01-12T14:35:00,2026-01-12T23:00:00,1.1182,1.0,1.0,nasdaq-5m-candle-momentum,937420.3154,60324.4189,3.0,0.0,0.0,9374.2032,100.0,0.0,0.0,10482.6547,111.8245,4.0,947902.97,60436.2434,0.0,0.0
2834,nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,Long,2026-01-13T14:35:00,2026-01-13T15:21:41,-1.003,1.0,1.0,nasdaq-5m-candle-momentum,947902.97,60436.2434,3.0,0.0,0.0,9479.0297,100.0,0.0,0.0,-9507.2576,-100.2978,4.0,938395.7124,60335.9456,1.003,0.166
1456,us100-orb-new-york-m30,US100 ORB New York M30,USTEC,Long,2026-01-13T17:00:00,2026-01-13T17:31:40,-1.0068,1.0,1.0,US100_ORB,938395.7124,60335.9456,3.0,0.0,0.0,9383.9571,100.0,0.0,0.0,-9447.5312,-100.6775,4.0,928948.1813,60235.2681,1.9997,0.3325
2835,nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,Long,2026-01-14T14:35:00,2026-01-14T14:41:40,-1.0032,1.0,1.0,nasdaq-5m-candle-momentum,928948.1813,60235.2681,3.0,0.0,0.0,9289.4818,100.0,0.0,0.0,-9318.9231,-100.3169,4.0,919629.2581,60134.9512,2.9828,0.4985
2836,nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,Short,2026-01-15T14:35:00,2026-01-15T20:55:00,1.8946,1.0,1.0,nasdaq-5m-candle-momentum,919629.2581,60134.9512,3.0,0.0,0.0,9196.2926,100.0,0.0,0.0,17423.0048,189.4568,4.0,937052.2629,60324.408,1.1447,0.185
1600,us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,Long,2026-01-16T14:30:00,2026-01-16T14:53:38,-1.0093,1.0,1.0,US100_ORB,937052.2629,60324.408,3.0,0.0,0.0,9370.5226,100.0,0.0,0.0,-9457.6619,-100.9299,4.0,927594.6011,60223.4781,2.1425,0.352
576,btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,Short,2026-01-18T14:45:00,2026-01-18T18:28:25,-1.0295,1.0,1.0,btc-poc-fibonacci,927594.6011,60223.4781,3.0,0.0,0.0,9275.946,100.0,0.0,0.0,-9549.2614,-102.9465,4.0,918045.3397,60120.5316,3.1499,0.5224
2838,nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,Short,2026-01-19T14:35:00,2026-01-19T15:06:11,-1.0068,1.0,1.0,nasdaq-5m-candle-momentum,918045.3397,60120.5316,3.0,0.0,0.0,9180.4534,100.0,0.0,0.0,-9242.6804,-100.6778,4.0,908802.6593,60019.8538,4.1249,0.689
3508,xau-slow-trend,XAU Slow Trend,XAUUSD,Long,2026-01-20T08:57:15,2026-01-25T23:01:00,5.3702,1.0,1.0,xau-slow-trend,940900.4816,60437.7763,2.0,2.0,0.0,9409.0048,100.0,0.0,0.0,50528.5925,537.0238,3.0,1102646.9746,62114.3409,0.0,0.0
2839,nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,Long,2026-01-20T14:35:00,2026-01-20T18:50:16,-0.9966,1.0,1.0,nasdaq-5m-candle-momentum,940900.4816,60437.7763,3.0,0.0,0.0,9409.0048,100.0,0.0,0.0,-9377.304,-99.6631,4.0,945702.2375,60489.3693,0.9818,0.1645
1858,ema3,EMA3,XAUUSD,Long,2026-01-20T20:00:00,2026-01-21T19:35:31,0.2691,1.0,1.0,ema3,945702.2375,60489.3693,2.0,2.0,0.0,9457.0224,100.0,0.0,0.0,2544.9819,26.911,3.0,980986.595,60870.8471,0.725,0.1171
2028,xau-weakness,XAU Weakness,XAUUSD,Long,2026-01-21T07:00:04,2026-01-21T15:24:05,-0.9825,1.0,1.0,xau-weakness,988150.3799,60942.188,2.0,2.0,0.0,9881.5038,100.0,0.0,0.0,-9708.7668,-98.2519,3.0,978441.6131,60843.9361,0.9825,0.1612
1603,us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,Long,2026-01-21T14:15:00,2026-01-21T20:00:00,2.7014,1.0,1.0,US100_ORB,988150.3799,60942.188,3.0,0.0,0.0,9881.5038,100.0,0.0,0.0,26694.3585,270.1447,4.0,1007680.9535,61140.9918,0.0,0.0
303,lta-volume-profile,LTA Volume Profile,XAUUSD,Long,2026-01-21T20:00:00,2026-01-22T15:35:15,2.8377,1.0,1.0,lta-volume-profile,1007680.9535,61140.9918,1.0,1.0,0.0,10076.8095,100.0,0.0,0.0,28595.0269,283.7706,2.0,1026514.5268,61327.892,0.0,0.0
577,btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,Long,2026-01-21T20:45:00,2026-01-22T14:49:38,-0.9687,1.0,1.0,btc-poc-fibonacci,1007680.9535,61140.9918,2.0,0.0,0.0,10076.8095,100.0,0.0,0.0,-9761.4537,-96.8705,3.0,997919.4999,61044.1213,0.9687,0.1584
3629,xau-regime-switch,XAU Regime Switch,XAUUSD,Long,2026-01-22T08:00:00,2026-01-28T05:41:39,4.4783,1.0,1.0,xau-regime-switch,1007680.9535,61140.9918,3.0,2.0,0.0,10076.8095,100.0,0.0,0.0,45126.5365,447.8256,4.0,1159006.9138,62672.069,0.0,0.0
1859,ema3,EMA3,XAUUSD,Long,2026-01-22T16:00:00,2026-01-26T01:24:27,1.5383,1.0,1.0,ema3,1026514.5268,61327.892,2.0,2.0,0.0,10265.1453,100.0,0.0,0.0,15790.9893,153.8311,3.0,1118437.9639,62268.1721,0.0,0.0
2842,nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,Long,2026-01-23T14:35:00,2026-01-23T16:00:42,2.4943,1.0,1.0,nasdaq-5m-candle-momentum,1026514.5268,61327.892,3.0,0.0,0.0,10265.1453,100.0,0.0,0.0,25603.8553,249.4252,4.0,1052118.3821,61577.3171,0.0,0.0
3509,xau-slow-trend,XAU Slow Trend,XAUUSD,Long,2026-01-25T23:01:00,2026-01-28T23:01:00,5.7338,1.0,1.0,xau-slow-trend,1102646.9746,62114.3409,2.0,2.0,0.0,11026.4697,100.0,0.0,0.0,63223.5451,573.3798,3.0,1226760.3629,63284.5331,0.0,0.0
2031,xau-weakness,XAU Weakness,XAUUSD,Long,2026-01-26T06:42:30,2026-01-26T23:01:00,-1.6013,1.0,1.0,xau-weakness,1118437.9639,62268.1721,2.0,2.0,0.0,11184.3796,100.0,0.0,0.0,-17909.9087,-160.1332,3.0,1115215.6951,62239.3616,1.5806,0.2566
1605,us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,Long,2026-01-26T14:30:00,2026-01-26T20:00:00,1.3132,1.0,1.0,US100_ORB,1118437.9639,62268.1721,3.0,0.0,0.0,11184.3796,100.0,0.0,0.0,14687.64,131.3228,4.0,1133125.6039,62399.4948,0.0,0.0
305,lta-volume-profile,LTA Volume Profile,XAUUSD,Long,2026-01-27T01:15:00,2026-01-28T05:10:21,2.9259,1.0,1.0,lta-volume-profile,1115215.6951,62239.3616,2.0,2.0,0.0,11152.157,100.0,0.0,0.0,32629.6566,292.5861,3.0,1113880.3773,62224.2433,1.6984,0.2809
578,btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,Short,2026-01-27T13:30:00,2026-01-27T13:37:04,-1.0541,1.0,1.0,btc-poc-fibonacci,1115215.6951,62239.3616,3.0,0.0,0.0,11152.157,100.0,0.0,0.0,-11754.9531,-105.4052,4.0,1103460.7421,62133.9564,2.618,0.4255
2844,nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,Short,2026-01-27T14:35:00,2026-01-27T14:53:31,-1.0088,1.0,1.0,nasdaq-5m-candle-momentum,1103460.7421,62133.9564,3.0,0.0,0.0,11034.6074,100.0,0.0,0.0,-11132.2537,-100.8849,4.0,1092328.4883,62033.0715,3.6004,0.5872
579,btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,Short,2026-01-27T15:30:00,2026-01-27T15:57:35,-1.0141,1.0,1.0,btc-poc-fibonacci,1092328.4883,62033.0715,3.0,0.0,0.0,10923.2849,100.0,0.0,0.0,-11077.7676,-101.4143,4.0,1081250.7208,61931.6573,4.578,0.7497
3630,xau-regime-switch,XAU Regime Switch,XAUUSD,Long,2026-01-28T08:00:00,2026-01-29T15:27:28,-0.8689,1.0,1.0,xau-regime-switch,1159006.9138,62672.069,1.0,1.0,0.0,11590.0691,100.0,0.0,0.0,-10071.1133,-86.8943,2.0,1320648.087,64050.4064,2.0362,0.3521
2033,xau-weakness,XAU Weakness,XAUUSD,Long,2026-01-28T13:03:39,2026-01-28T15:08:21,-0.9136,1.0,1.0,xau-weakness,1159006.9138,62672.069,2.0,2.0,0.0,11590.0691,100.0,0.0,0.0,-10588.3756,-91.3573,3.0,1148418.5383,62580.7116,0.9136,0.1458
1606,us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,Short,2026-01-28T14:15:00,2026-01-28T20:00:00,1.3044,1.0,1.0,US100_ORB,1159006.9138,62672.069,3.0,0.0,0.0,11590.0691,100.0,0.0,0.0,15118.2795,130.4417,4.0,1163536.8178,62711.1533,0.0,0.0
2034,xau-weakness,XAU Weakness,XAUUSD,Long,2026-01-28T19:15:41,2026-01-29T06:01:40,3.9459,1.0,1.0,xau-weakness,1148418.5383,62580.7116,3.0,2.0,0.0,11484.1854,100.0,0.0,0.0,45315.6279,394.5916,4.0,1272075.9907,63679.1246,0.0,0.0
3510,xau-slow-trend,XAU Slow Trend,XAUUSD,Long,2026-01-28T23:01:00,2026-01-29T15:15:41,-0.7938,1.0,1.0,xau-slow-trend,1226760.3629,63284.5331,2.0,2.0,0.0,12267.6036,100.0,0.0,0.0,-9738.3672,-79.3828,3.0,1330719.2002,64137.3007,1.2892,0.217
2035,xau-weakness,XAU Weakness,XAUUSD,Long,2026-01-29T07:02:37,2026-01-29T15:04:04,-0.6007,1.0,1.0,xau-weakness,1272075.9907,63679.1246,2.0,2.0,0.0,12720.7599,100.0,0.0,0.0,-7641.0193,-60.0673,3.0,1340457.5675,64216.6835,0.5668,0.0935
1607,us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,Short,2026-01-29T14:15:00,2026-01-29T15:01:40,5.9763,1.0,1.0,US100_ORB,1272075.9907,63679.1246,3.0,0.0,0.0,12720.7599,100.0,0.0,0.0,76022.5961,597.6262,4.0,1348098.5868,64276.7509,0.0,0.0
3631,xau-regime-switch,XAU Regime Switch,XAUUSD,Long,2026-01-29T16:00:00,2026-01-30T09:14:02,-0.8151,1.0,1.0,xau-regime-switch,1320648.087,64050.4064,0.0,0.0,0.0,13206.4809,100.0,0.0,0.0,-10764.9632,-81.5127,1.0,1278928.3487,63733.1611,5.1309,0.8457
306,lta-volume-profile,LTA Volume Profile,XAUUSD,Long,2026-01-29T16:30:00,2026-01-30T02:19:10,-0.6603,1.0,1.0,lta-volume-profile,1320648.087,64050.4064,1.0,1.0,0.0,13206.4809,100.0,0.0,0.0,-8720.8727,-66.0348,2.0,1302203.3964,63910.7425,3.4044,0.5694
3511,xau-slow-trend,XAU Slow Trend,XAUUSD,Long,2026-01-29T23:01:00,2026-01-30T02:13:21,-0.7363,1.0,1.0,xau-slow-trend,1320648.087,64050.4064,2.0,2.0,0.0,13206.4809,100.0,0.0,0.0,-9723.8179,-73.6291,3.0,1310924.2691,63976.7773,2.7575,0.4667
307,lta-volume-profile,LTA Volume Profile,XAUUSD,Long,2026-01-30T03:00:00,2026-01-30T07:00:39,-0.9607,1.0,1.0,lta-volume-profile,1302203.3964,63910.7425,1.0,1.0,0.0,13022.034,100.0,0.0,0.0,-12510.0845,-96.0686,2.0,1289693.3119,63814.6739,4.3324,0.7189
