timeframe_minutes,pivot_bars,minimum_impulse_atr,minimum_gap_atr,rejection_mode,expiry_bars,stop_mode,stop_buffer_atr,reward_risk,maximum_hold_hours,management,train_trades,train_wins,train_losses,train_win_rate_pct,train_profit_factor,train_net_r,train_mean_r,train_return_pct,train_max_drawdown_pct,train_final_balance,validation_trades,validation_wins,validation_losses,validation_win_rate_pct,validation_profit_factor,validation_net_r,validation_mean_r,validation_return_pct,validation_max_drawdown_pct,validation_final_balance,robust_score
5,5,4.0,0.05,0,24,1,0.0,3.0,72,0,25,7,18,28.0,1.0613513864403155,1.1892219579014085,0.04756887831605634,0.7905887010351886,11.209294515146208,10079.05887010352,11,3,8,27.272727272727273,1.0367827489634,0.3156159743819116,0.02869236130744651,0.13997355626653718,9.187976386193336,10013.997355626654,4.518734622741479
5,5,4.0,0.05,0,24,1,0.0,3.0,24,0,25,7,18,28.0,1.0613513864403155,1.1892219579014085,0.04756887831605634,0.7905887010351886,11.209294515146208,10079.05887010352,11,3,8,27.272727272727273,1.0367827489634,0.3156159743819116,0.02869236130744651,0.13997355626653718,9.187976386193336,10013.997355626654,4.518734622741479
5,5,4.0,0.1,0,24,1,0.25,3.0,6,1,33,8,25,24.242424242424242,1.0565641602650273,1.1856528402262347,0.03592887394624954,0.7688565015519622,9.52118079442945,10076.885650155196,13,2,11,15.384615384615385,1.0446026937993178,0.25163811966365546,0.019356778435665804,0.13814121151647374,4.2747730510675925,10013.814121151647,3.7175181164609747
5,5,4.0,0.05,0,24,1,0.25,3.0,6,1,33,8,25,24.242424242424242,1.0565641602650273,1.1856528402262347,0.03592887394624954,0.7688565015519622,9.52118079442945,10076.885650155196,13,2,11,15.384615384615385,1.0446026937993178,0.25163811966365546,0.019356778435665804,0.13814121151647374,4.2747730510675925,10013.814121151647,3.7175181164609747
5,5,4.0,0.05,0,24,1,0.25,3.0,24,1,33,8,25,24.242424242424242,1.1216590683565073,2.550120416537937,0.07727637625872537,2.122147747997283,9.521180794429458,10212.214774799728,13,2,11,15.384615384615385,1.0446026937993178,0.25163811966365546,0.019356778435665804,0.13814121151647374,4.2747730510675925,10013.814121151647,3.7175181164609743
5,5,4.0,0.05,0,24,1,0.25,3.0,72,1,33,8,25,24.242424242424242,1.1216590683565073,2.550120416537937,0.07727637625872537,2.122147747997283,9.521180794429458,10212.214774799728,13,2,11,15.384615384615385,1.0446026937993178,0.25163811966365546,0.019356778435665804,0.13814121151647374,4.2747730510675925,10013.814121151647,3.7175181164609743
5,5,4.0,0.1,0,24,1,0.25,3.0,24,1,33,8,25,24.242424242424242,1.1216590683565073,2.550120416537937,0.07727637625872537,2.122147747997283,9.521180794429458,10212.214774799728,13,2,11,15.384615384615385,1.0446026937993178,0.25163811966365546,0.019356778435665804,0.13814121151647374,4.2747730510675925,10013.814121151647,3.7175181164609743
5,5,4.0,0.1,0,24,1,0.25,3.0,72,1,33,8,25,24.242424242424242,1.1216590683565073,2.550120416537937,0.07727637625872537,2.122147747997283,9.521180794429458,10212.214774799728,13,2,11,15.384615384615385,1.0446026937993178,0.25163811966365546,0.019356778435665804,0.13814121151647374,4.2747730510675925,10013.814121151647,3.7175181164609743
5,5,4.0,0.1,0,48,1,0.1,3.0,72,0,33,9,24,27.272727272727273,1.0268504810779486,0.6917523232349323,0.020962191613179765,0.1711334179871793,12.720309854221723,10017.113341798718,16,5,11,31.25,1.257413869329159,3.0112902015714003,0.18820563759821252,2.774153923277689,9.083969302162961,10277.41539232777,3.670022866626192
5,5,4.0,0.1,0,48,1,0.1,3.0,24,0,33,9,24,27.272727272727273,1.0268504810779486,0.6917523232349323,0.020962191613179765,0.1711334179871793,12.720309854221723,10017.113341798718,16,5,11,31.25,1.257413869329159,3.0112902015714003,0.18820563759821252,2.774153923277689,9.083969302162961,10277.41539232777,3.670022866626192
5,5,4.0,0.05,0,48,1,0.1,3.0,24,0,33,9,24,27.272727272727273,1.0268504810779486,0.6917523232349323,0.020962191613179765,0.1711334179871793,12.720309854221723,10017.113341798718,16,5,11,31.25,1.257413869329159,3.0112902015714003,0.18820563759821252,2.774153923277689,9.083969302162961,10277.41539232777,3.670022866626192
5,5,4.0,0.05,0,48,1,0.1,3.0,72,0,33,9,24,27.272727272727273,1.0268504810779486,0.6917523232349323,0.020962191613179765,0.1711334179871793,12.720309854221723,10017.113341798718,16,5,11,31.25,1.257413869329159,3.0112902015714003,0.18820563759821252,2.774153923277689,9.083969302162961,10277.41539232777,3.670022866626192
