symbol,entry_time,side,entry,stop_loss,tp1,tp2,tp3,tp1_r,tp2_r,tp3_r,score,tqi,er,vol_z,hit_tp1,hit_tp2,hit_tp3,entry_index,exit_time,exit_price,exit_reason,r_multiple,raw_r_multiple,spread_r_cost,balance_before,risk_cash,pnl,balance_after
US30,2026-06-09 15:30:00,SELL,33.01,33.664504859163856,32.35549514083614,31.700990281672283,31.046485422508425,1.0,2.0,3.0,44.85314685314682,0.5213957302074156,0.33936651583710287,4.188611104047971,False,False,False,1000,2026-06-09 18:30:00,32.99,flip_exit,-0.10695107762749126,0.030557450750703978,0.13750852837819524,391.278606350723,19.56393031753615,-2.0923834300896385,389.1862229206334
US30,2026-06-09 18:30:00,BUY,32.99,32.43167661624348,33.548323383756525,34.10664676751305,34.66497015126957,1.0,2.0,3.0,40.793294972008695,0.5150338638961383,0.25356125356125336,2.274967330112426,True,True,True,1012,2026-06-11 15:30:00,34.66497015126957,tp3,1.838803097598277,2.0,0.161196902401723,389.1862229206334,19.45931114603167,35.781841612451714,424.9680645330851
BTCUSD,2026-06-11 19:00:00,BUY,63630.14,62077.779694465404,65691.44676350323,67752.75352700647,69814.06029050972,1.3278533058041402,2.6557066116082804,3.9835599174124203,43.79443928301905,0.719505585473787,0.558664579512512,1.616997995919072,True,False,False,1531,2026-06-15 23:00:00,66355.2,timeout,1.5955116298305445,1.61290449919453,0.017392869363985604,424.9680645330851,21.248403226654258,33.90207446345573,458.87013899654085
XAUUSD,2026-06-17 20:00:00,SELL,4284.39,4324.434719662227,4219.441486289867,4154.492972579734,4089.5444588696,1.6218995727269032,3.2437991454538064,4.86569871818071,49.530653791369,0.5798884141410034,0.23991314447305426,3.357836912155955,False,False,False,4572,2026-06-17 20:30:00,4324.434719662227,stop_loss,-1.0069921827986754,-1.0,0.0069921827986754725,458.87013899654085,22.943506949827043,-23.103932144462913,435.7662068520779
US30,2026-06-11 21:30:00,SELL,33.51,34.27738962982088,32.742610370179115,31.975220740358232,31.20783111053735,1.0,2.0,3.0,44.27738525144424,0.7384311740890696,0.4898785425101234,2.1941664827913185,True,False,False,1076,2026-06-17 20:30:00,33.3,timeout,0.39848928287577257,0.5157699920521618,0.11728070917638925,435.7662068520779,21.788310342603896,8.682408163499005,444.44861501557693
XAUUSD,2026-06-17 20:45:00,SELL,4286.26,4340.38382280137,4201.878541842034,4117.497083684068,4033.1156255261017,1.5590446829234412,3.1180893658468825,4.6771340487703235,41.13042622852509,0.5100496476927123,0.2041259087275897,1.712810004740774,False,False,False,4575,2026-06-18 14:00:00,4256.35,flip_exit,0.5474483964065063,0.5526217190860143,0.005173322679508017,444.44861501557693,22.222430750778848,12.165634078768514,456.61424909434544
XAUUSD,2026-06-18 14:00:00,BUY,4256.35,4245.098103636799,4269.61993886075,4282.8898777215,4296.159816582249,1.179351322871099,2.358702645742198,3.538053968613297,59.09276589764244,0.6067822707969996,0.5453863465866434,1.4531616247281047,False,False,False,4640,2026-06-18 14:30:00,4245.098103636799,stop_loss,-1.0275509114191494,-1.0,0.027550911419149365,456.61424909434544,22.830712454717272,-23.45971939119326,433.1545297031522
BTCUSD,2026-06-22 02:00:00,BUY,63860.42,63573.393487305715,64155.71883072748,64451.01766145496,64746.316492182435,1.028820745357442,2.057641490714884,3.086462236072326,48.09368431394641,0.3977019220133414,0.14653767324748215,2.895964515943817,True,True,True,1778,2026-06-22 03:00:00,64746.316492182435,tp3,2.0538090921337413,2.057641490714884,0.003832398581143021,433.1545297031522,21.65772648515761,44.480835570162434,477.6353652733146
XAUUSD,2026-06-19 07:45:00,BUY,4139.69,4111.457045516982,4172.124306286537,4204.558612573074,4236.9929188596125,1.1488102070949566,2.2976204141899133,3.44643062128487,44.07311896347863,0.5147908382092075,0.5471331389698925,0.4463439602539954,True,True,False,4707,2026-06-22 14:30:00,4203.64,timeout,1.8928579715364324,1.9038380480348547,0.010980076498422154,477.6353652733146,23.881768263665734,45.20479543226547,522.84016070558
BTCUSD,2026-06-24 22:00:00,BUY,60925.83,59306.25078900453,63107.954726908516,65290.07945381702,67472.20418072553,1.3473405388843394,2.6946810777686787,4.0420216166530185,42.479867571178296,0.39174400554723443,0.2959098539593802,1.1543594088514082,False,False,False,1846,2026-06-25 15:00:00,59306.25078900453,stop_loss,-1.0006791887624464,-1.0,0.0006791887624464427,522.84016070558,26.142008035279005,-26.15976339336435,496.6803973122157
