symbol,timeframe,min_score,min_tqi,tp_mode,selection_score,start,end,starting_balance,ending_balance,net_profit,return_percent,max_drawdown_percent,trades,wins,losses,win_rate_percent,profit_factor,total_r,average_r
US30,M30,60.0,0.7,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
US30,M30,60.0,0.7,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
US30,M30,80.0,0.35,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
US30,M30,80.0,0.35,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
US30,M30,80.0,0.5,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
US30,M30,80.0,0.5,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
US30,M30,80.0,0.7,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
US30,M30,80.0,0.7,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
US30,H1,40.0,0.7,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
US30,H1,40.0,0.7,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
US30,H1,60.0,0.7,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
US30,H1,60.0,0.7,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
US30,H1,80.0,0.35,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
US30,H1,80.0,0.35,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
US30,H1,80.0,0.5,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
US30,H1,80.0,0.5,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
US30,H1,80.0,0.7,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
US30,H1,80.0,0.7,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
BTCUSD,M30,60.0,0.35,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,297.50260445233766,-2.497395547662336,-0.8324651825541096,0.8324651825541121,1,0,1,0.0,0.0,-0.16649303651082106,-0.16649303651082106
BTCUSD,M15,40.0,0.7,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,296.88379679404346,-3.1162032059565377,-1.0387344019855083,5.008627626422485,2,1,1,50.0,0.8009305154094926,-0.16588262182072522,-0.08294131091036261
XAUUSD,H1,40.0,0.7,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,294.9722077408279,-5.027792259172088,-1.6759307530573642,1.6759307530573628,1,0,1,0.0,0.0,-0.33518615061147283,-0.33518615061147283
US30,H1,40.0,0.5,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,294.6916601472823,-5.308339852717722,-1.7694466175725787,1.7694466175725743,1,0,1,0.0,0.0,-0.3538893235145142,-0.3538893235145142
US30,H1,60.0,0.35,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,294.6916601472823,-5.308339852717722,-1.7694466175725787,1.7694466175725743,1,0,1,0.0,0.0,-0.3538893235145142,-0.3538893235145142
