policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,opened_dt,closed_dt,day,q_score,q_rr,q_tf,q_range
fixed_current,LTA,USDCAD,M15,2026-05,2026-05-25 04:30:00,2026-05-25 05:30:00,SELL,1.38072,1.38103,6.0,1.38072,trail_stop,0.5,91,0.000269,0.0208,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-05-25 04:30:00,2026-05-25 05:30:00,2026-05-25,91.0,6.0,20,0.0
fixed_current,ORB,AUDUSD,M15,2026-05,2026-05-25 23:15:00,2026-05-26 00:15:00,SELL,0.71732,0.71754,6.0,0.71688,trail_stop,1.5,100,0.00022,0.1979,1.0883,structure,static,ORB 15m breakout,2026-05-25 23:15:00,2026-05-26 00:15:00,2026-05-25,100.0,6.0,20,96.468
fixed_current,ORB,GBPUSD,M15,2026-05,2026-05-25 23:15:00,2026-05-25 23:45:00,SELL,1.35024,1.35046,3.0,1.35002,trail_stop,1.0,100,0.000334,0.1979,0.6595,structure,static,ORB 15m breakout,2026-05-25 23:15:00,2026-05-25 23:45:00,2026-05-25,100.0,3.0,20,86.38
fixed_current,ORB,NZDUSD,M15,2026-05,2026-05-25 23:15:00,2026-05-25 23:30:00,SELL,0.58698,0.58709,3.0,0.58665,win,2.0,100,0.000206,0.2083,0.5347,structure,static,ORB 15m breakout,2026-05-25 23:15:00,2026-05-25 23:30:00,2026-05-25,100.0,3.0,20,81.388
fixed_current,LTA,USDCAD,M30,2026-05,2026-05-26 06:00:00,2026-05-26 09:00:00,SELL,1.38096,1.3815,6.0,1.38042,trail_stop,1.0,96,0.000335,0.1667,,structure,static,Entry Model 3 - Confirmation of Internal Structure,2026-05-26 06:00:00,2026-05-26 09:00:00,2026-05-26,96.0,6.0,30,0.0
fixed_current,Sniper,BTCUSD,H4,2026-05,2026-05-26 20:00:00,2026-06-01 11:55:00,SELL,75921.84,77162.16,3.0,72200.87,win,2.0,100,826.88,0.5,,sniper ATR,TP3,Sniper,2026-05-26 20:00:00,2026-06-01 11:55:00,2026-05-26,100.0,3.0,50,0.0
fixed_current,ORB,USDCAD,M15,2026-05,2026-05-26 23:15:00,2026-05-26 23:45:00,SELL,1.38084,1.38106,6.0,1.38062,trail_stop,1.0,100,0.000259,0.2188,0.8508,structure,static,ORB 15m breakout,2026-05-26 23:15:00,2026-05-26 23:45:00,2026-05-26,100.0,6.0,20,94.032
fixed_current,ORB,AUDUSD,M15,2026-05,2026-05-26 23:15:00,2026-05-26 23:45:00,BUY,0.71683,0.71671,6.0,0.71707,trail_stop,1.5,100,0.000147,0.0104,0.8155,structure,static,ORB 15m breakout,2026-05-26 23:15:00,2026-05-26 23:45:00,2026-05-26,100.0,6.0,20,92.62
fixed_current,ORB,USDCHF,M15,2026-05,2026-05-26 23:15:00,2026-05-26 23:45:00,SELL,0.78531,0.78543,3.0,0.78495,win,2.0,100,0.000146,0.0208,0.8195,structure,static,ORB 15m breakout,2026-05-26 23:15:00,2026-05-26 23:45:00,2026-05-26,100.0,3.0,20,92.78
fixed_current,LTA,AUDUSD,M30,2026-05,2026-05-27 01:30:00,2026-05-28 12:30:00,SELL,0.71558,0.71798,6.0,0.71318,trail_stop,1.0,91,0.000458,0.3542,,structure,static,Entry Model 3 - Confirmation of Internal Structure,2026-05-27 01:30:00,2026-05-28 12:30:00,2026-05-27,91.0,6.0,30,0.0
fixed_current,LTA,GBPJPY,M15,2026-05,2026-05-27 03:00:00,2026-05-27 06:00:00,BUY,214.205,214.14754,6.0,214.26246,trail_stop,1.0,96,0.063071,0.3021,,structure,static,Entry Model 2 - Internal Swing Confirmation,2026-05-27 03:00:00,2026-05-27 06:00:00,2026-05-27,96.0,6.0,20,0.0
fixed_current,LTA,USDCAD,M15,2026-05,2026-05-27 04:30:00,2026-05-27 05:45:00,SELL,1.38094,1.38122,6.0,1.38122,loss,-1.0,98,0.000219,0.0833,,structure,static,Entry Model 2 - Internal Swing Confirmation,2026-05-27 04:30:00,2026-05-27 05:45:00,2026-05-27,98.0,6.0,20,0.0
fixed_current,LTA,GBPJPY,M15,2026-05,2026-05-28 04:30:00,2026-05-28 07:15:00,BUY,213.45,213.30888,6.0,213.73224,trail_stop,1.5,94,0.0875,0.6667,,structure,static,Entry Model 3 - Confirmation of Internal Structure,2026-05-28 04:30:00,2026-05-28 07:15:00,2026-05-28,94.0,6.0,20,0.0
fixed_current,ORB,AUDUSD,M15,2026-05,2026-05-28 23:15:00,2026-05-29 00:00:00,SELL,0.71623,0.71646,6.0,0.71646,loss,-1.0,100,0.00023,0.5,1.1882,structure,static,ORB 15m breakout,2026-05-28 23:15:00,2026-05-29 00:00:00,2026-05-28,100.0,6.0,20,92.47200000000001
fixed_current,ORB,USDCAD,M15,2026-05,2026-05-28 23:45:00,2026-05-29 00:00:00,BUY,1.37834,1.37812,6.0,1.37812,loss,-1.0,100,0.000251,0.5,0.8775,structure,static,ORB 15m breakout,2026-05-28 23:45:00,2026-05-29 00:00:00,2026-05-28,100.0,6.0,20,95.1
fixed_current,ORB,GBPUSD,M15,2026-05,2026-05-28 23:45:00,2026-05-29 00:30:00,BUY,1.34451,1.3441,3.0,1.3441,loss,-1.0,100,0.00041,0.5,1.3732,structure,static,ORB 15m breakout,2026-05-28 23:45:00,2026-05-29 00:30:00,2026-05-28,100.0,3.0,20,85.072
fixed_current,ORB,USDCHF,M15,2026-05,2026-05-29 00:00:00,2026-05-29 00:45:00,SELL,0.78368,0.7839,3.0,0.7839,loss,-1.0,100,0.00022,0.0312,1.3276,structure,static,ORB 15m breakout,2026-05-29 00:00:00,2026-05-29 00:45:00,2026-05-29,100.0,3.0,20,86.896
fixed_current,LTA,USDCAD,M15,2026-05,2026-05-29 00:00:00,2026-05-29 00:45:00,SELL,1.37806,1.37838,6.0,1.37838,loss,-1.0,92,0.000154,0.5,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-05-29 00:00:00,2026-05-29 00:45:00,2026-05-29,92.0,6.0,20,0.0
fixed_current,ORB,NZDUSD,M15,2026-05,2026-05-29 00:15:00,2026-05-29 13:15:00,BUY,0.59458,0.59331,3.0,0.59839,win,2.0,95,0.00127,0.4271,4.6789,structure,static,ORB 15m breakout,2026-05-29 00:15:00,2026-05-29 13:15:00,2026-05-29,95.0,3.0,20,0.0
fixed_current,LTA,USDCAD,M15,2026-05,2026-05-29 00:45:00,2026-05-29 01:15:00,BUY,1.37837,1.3779,6.0,1.3779,loss,-1.0,92,0.000191,0.0625,,structure,static,Entry Model 3 - Confirmation of Internal Structure,2026-05-29 00:45:00,2026-05-29 01:15:00,2026-05-29,92.0,6.0,20,0.0
fixed_current,LTA,AUDUSD,M30,2026-05,2026-05-29 06:00:00,2026-05-29 08:00:00,SELL,0.71604,0.71677,6.0,0.71604,trail_stop,0.5,96,0.000534,0.2917,,structure,static,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure,2026-05-29 06:00:00,2026-05-29 08:00:00,2026-05-29,96.0,6.0,30,0.0
fixed_current,ORB,AUDUSD,M15,2026-05,2026-05-31 23:15:00,2026-06-01 00:00:00,BUY,0.71822,0.71778,6.0,0.71778,loss,-1.0,100,0.00044,0.4375,1.1536,structure,static,ORB 15m breakout,2026-05-31 23:15:00,2026-06-01 00:00:00,2026-05-31,100.0,6.0,20,93.856
fixed_current,ORB,GBPUSD,M15,2026-05,2026-05-31 23:15:00,2026-05-31 23:45:00,BUY,1.34504,1.3447,3.0,1.34504,trail_stop,0.5,100,0.000593,0.4375,0.5735,structure,static,ORB 15m breakout,2026-05-31 23:15:00,2026-05-31 23:45:00,2026-05-31,100.0,3.0,20,82.94
fixed_current,ORB,NZDUSD,M15,2026-05,2026-05-31 23:15:00,2026-06-01 00:00:00,BUY,0.59793,0.59766,3.0,0.59793,trail_stop,0.5,100,0.000506,0.8542,0.5339,structure,static,ORB 15m breakout,2026-05-31 23:15:00,2026-06-01 00:00:00,2026-05-31,100.0,3.0,20,81.356
fixed_current,LTA,USDCAD,M15,2026-06,2026-06-01 03:00:00,2026-06-01 04:15:00,BUY,1.38086,1.38051,6.0,1.38086,trail_stop,0.5,100,0.000345,0.2292,,structure,static,Entry Model 2 - Internal Swing Confirmation,2026-06-01 03:00:00,2026-06-01 04:15:00,2026-06-01,100.0,6.0,20,0.0
fixed_current,LTA,AUDUSD,M15,2026-06,2026-06-01 03:00:00,2026-06-01 05:00:00,SELL,0.71812,0.71875,6.0,0.71875,loss,-1.0,97,0.000359,0.2292,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-06-01 03:00:00,2026-06-01 05:00:00,2026-06-01,97.0,6.0,20,0.0
fixed_current,LTA,USDCAD,M30,2026-06,2026-06-01 04:30:00,2026-06-01 06:30:00,SELL,1.38078,1.38137,6.0,1.38078,trail_stop,0.5,90,0.000479,0.1875,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-06-01 04:30:00,2026-06-01 06:30:00,2026-06-01,90.0,6.0,30,0.0
fixed_current,ORB,USDCHF,M15,2026-06,2026-06-01 23:15:00,2026-06-02 00:00:00,SELL,0.78642,0.78663,3.0,0.78642,trail_stop,0.5,100,0.00021,0.5,1.0849,structure,static,ORB 15m breakout,2026-06-01 23:15:00,2026-06-02 00:00:00,2026-06-01,100.0,3.0,20,96.604
fixed_current,ORB,USDCAD,M15,2026-06,2026-06-01 23:30:00,2026-06-02 02:00:00,BUY,1.3841,1.38388,6.0,1.38454,trail_stop,1.5,100,0.000275,0.5,0.8,structure,static,ORB 15m breakout,2026-06-01 23:30:00,2026-06-02 02:00:00,2026-06-01,100.0,6.0,20,92.0
fixed_current,ORB,NZDUSD,M15,2026-06,2026-06-01 23:30:00,2026-06-02 00:00:00,BUY,0.59345,0.59328,3.0,0.59328,loss,-1.0,100,0.000278,0.0312,0.6118,structure,static,ORB 15m breakout,2026-06-01 23:30:00,2026-06-02 00:00:00,2026-06-01,100.0,3.0,20,84.47200000000001
fixed_current,LTA,GBPJPY,M15,2026-06,2026-06-02 00:00:00,2026-06-02 00:45:00,BUY,214.905,214.79129,6.0,214.79129,loss,-1.0,90,0.071429,0.3229,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-06-02 00:00:00,2026-06-02 00:45:00,2026-06-02,90.0,6.0,20,0.0
fixed_current,LTA,GBPJPY,M15,2026-06,2026-06-02 00:45:00,2026-06-02 04:15:00,SELL,214.801,214.95636,6.0,214.95636,loss,-1.0,91,0.069071,0.3021,,structure,static,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure,2026-06-02 00:45:00,2026-06-02 04:15:00,2026-06-02,91.0,6.0,20,0.0
fixed_current,ORB,AUDUSD,M15,2026-06,2026-06-02 23:15:00,2026-06-03 00:00:00,SELL,0.71756,0.7178,6.0,0.71756,trail_stop,0.5,100,0.00024,0.0729,1.3228,structure,static,ORB 15m breakout,2026-06-02 23:15:00,2026-06-03 00:00:00,2026-06-02,100.0,6.0,20,87.088
fixed_current,ORB,GBPUSD,M15,2026-06,2026-06-02 23:15:00,2026-06-02 23:30:00,SELL,1.34593,1.34621,3.0,1.34509,win,2.0,100,0.000306,0.1458,0.9159,structure,static,ORB 15m breakout,2026-06-02 23:15:00,2026-06-02 23:30:00,2026-06-02,100.0,3.0,20,96.636
fixed_current,ORB,USDCHF,M15,2026-06,2026-06-02 23:15:00,2026-06-03 00:30:00,BUY,0.7877,0.78732,3.0,0.7877,trail_stop,0.5,100,0.00038,0.1875,1.6835,structure,static,ORB 15m breakout,2026-06-02 23:15:00,2026-06-03 00:30:00,2026-06-02,100.0,3.0,20,72.66
fixed_current,LTA,AUDUSD,M15,2026-06,2026-06-03 06:00:00,2026-06-03 10:00:00,SELL,0.71601,0.71735,6.0,0.71735,loss,-1.0,90,0.000386,0.6354,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-06-03 06:00:00,2026-06-03 10:00:00,2026-06-03,90.0,6.0,20,0.0
fixed_current,ORB,AUDUSD,M15,2026-06,2026-06-03 23:15:00,2026-06-04 06:30:00,SELL,0.71287,0.71368,6.0,0.71368,loss,-1.0,95,0.00081,0.2083,3.4892,structure,static,ORB 15m breakout,2026-06-03 23:15:00,2026-06-04 06:30:00,2026-06-03,95.0,6.0,20,0.43200000000000216
fixed_current,ORB,USDCAD,M15,2026-06,2026-06-03 23:30:00,2026-06-04 00:15:00,BUY,1.3895,1.38897,6.0,1.38897,loss,-1.0,100,0.00053,0.4688,1.5458,structure,static,ORB 15m breakout,2026-06-03 23:30:00,2026-06-04 00:15:00,2026-06-03,100.0,6.0,20,78.168
fixed_current,ORB,USDCHF,M15,2026-06,2026-06-03 23:30:00,2026-06-04 00:45:00,SELL,0.79121,0.79159,3.0,0.79121,trail_stop,0.5,100,0.00038,0.25,1.3927,structure,static,ORB 15m breakout,2026-06-03 23:30:00,2026-06-04 00:45:00,2026-06-03,100.0,3.0,20,84.292
fixed_current,ORB,NZDUSD,M15,2026-06,2026-06-04 00:15:00,2026-06-04 03:15:00,BUY,0.58725,0.5865,3.0,0.5865,loss,-1.0,95,0.00075,0.5104,2.2727,structure,static,ORB 15m breakout,2026-06-04 00:15:00,2026-06-04 03:15:00,2026-06-04,95.0,3.0,20,49.092
fixed_current,LTA,GBPJPY,M30,2026-06,2026-06-04 06:00:00,2026-06-04 21:00:00,BUY,214.695,214.32876,6.0,214.695,trail_stop,0.5,94,0.108286,0.4896,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-06-04 06:00:00,2026-06-04 21:00:00,2026-06-04,94.0,6.0,30,0.0
fixed_current,ORB,AUDUSD,M15,2026-06,2026-06-04 23:15:00,2026-06-04 23:30:00,BUY,0.71353,0.7133,6.0,0.7133,loss,-1.0,100,0.00023,0.0208,1.382,structure,static,ORB 15m breakout,2026-06-04 23:15:00,2026-06-04 23:30:00,2026-06-04,100.0,6.0,20,84.72
fixed_current,ORB,USDCHF,M15,2026-06,2026-06-04 23:15:00,2026-06-05 00:00:00,SELL,0.78928,0.78941,3.0,0.78928,trail_stop,0.5,100,0.000194,0.5,0.6716,structure,static,ORB 15m breakout,2026-06-04 23:15:00,2026-06-05 00:00:00,2026-06-04,100.0,3.0,20,86.864
fixed_current,LTA,USDCAD,M15,2026-06,2026-06-05 01:30:00,2026-06-05 06:00:00,SELL,1.39061,1.39119,6.0,1.39061,trail_stop,0.5,91,0.000231,0.0312,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-06-05 01:30:00,2026-06-05 06:00:00,2026-06-05,91.0,6.0,20,0.0
fixed_current,LTA,GBPJPY,M15,2026-06,2026-06-05 03:45:00,2026-06-05 05:15:00,BUY,214.76,214.70062,6.0,214.76,trail_stop,0.5,96,0.055857,0.1562,,structure,static,Entry Model 2 - Internal Swing Confirmation,2026-06-05 03:45:00,2026-06-05 05:15:00,2026-06-05,96.0,6.0,20,0.0
fixed_current,LTA,AUDUSD,M15,2026-06,2026-06-05 05:15:00,2026-06-05 06:30:00,SELL,0.71242,0.71305,6.0,0.71242,trail_stop,0.5,95,0.000399,0.4167,,structure,static,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure,2026-06-05 05:15:00,2026-06-05 06:30:00,2026-06-05,95.0,6.0,20,0.0
fixed_current,ORB,USDCAD,M15,2026-06,2026-06-07 23:15:00,2026-06-08 01:15:00,SELL,1.3946,1.39514,6.0,1.3946,trail_stop,0.5,100,0.00054,0.6771,1.008,structure,static,ORB 15m breakout,2026-06-07 23:15:00,2026-06-08 01:15:00,2026-06-07,100.0,6.0,20,99.68
fixed_current,ORB,AUDUSD,M15,2026-06,2026-06-07 23:15:00,2026-06-08 01:15:00,BUY,0.70381,0.70313,6.0,0.70517,trail_stop,1.5,100,0.00068,0.7396,1.1347,structure,static,ORB 15m breakout,2026-06-07 23:15:00,2026-06-08 01:15:00,2026-06-07,100.0,6.0,20,94.612
fixed_current,ORB,NZDUSD,M15,2026-06,2026-06-07 23:15:00,2026-06-08 01:15:00,BUY,0.57914,0.57855,3.0,0.57973,trail_stop,1.0,100,0.00059,0.7188,1.2727,structure,static,ORB 15m breakout,2026-06-07 23:15:00,2026-06-08 01:15:00,2026-06-07,100.0,3.0,20,89.092
fixed_current,ORB,NZDUSD,M15,2026-06,2026-06-08 23:15:00,2026-06-08 23:45:00,SELL,0.58073,0.58088,3.0,0.58028,win,2.0,100,0.000208,0.0208,0.7216,structure,static,ORB 15m breakout,2026-06-08 23:15:00,2026-06-08 23:45:00,2026-06-08,100.0,3.0,20,88.864
fixed_current,ORB,AUDUSD,M15,2026-06,2026-06-08 23:15:00,2026-06-08 23:30:00,SELL,0.70444,0.70451,6.0,0.70437,trail_stop,1.0,95,0.000189,0.5,0.3712,structure,static,ORB 15m breakout,2026-06-08 23:15:00,2026-06-08 23:30:00,2026-06-08,95.0,6.0,20,74.848
fixed_current,ORB,USDCAD,M15,2026-06,2026-06-08 23:15:00,2026-06-08 23:30:00,BUY,1.39521,1.39514,6.0,1.39563,win,3.5,95,0.000355,0.0208,0.1972,structure,static,ORB 15m breakout,2026-06-08 23:15:00,2026-06-08 23:30:00,2026-06-08,95.0,6.0,20,67.888
fixed_current,LTA,GBPJPY,M15,2026-06,2026-06-08 23:15:00,2026-06-09 00:30:00,SELL,213.667,213.71422,6.0,213.57256,trail_stop,1.5,92,0.074786,0.1146,,structure,static,Entry Model 2 - Internal Swing Confirmation,2026-06-08 23:15:00,2026-06-09 00:30:00,2026-06-08,92.0,6.0,20,0.0
fixed_current,LTA,AUDUSD,M15,2026-06,2026-06-09 00:45:00,2026-06-09 03:15:00,BUY,0.70428,0.70335,6.0,0.70428,trail_stop,0.5,91,0.000293,0.1354,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-06-09 00:45:00,2026-06-09 03:15:00,2026-06-09,91.0,6.0,20,0.0
fixed_current,LTA,GBPJPY,M15,2026-06,2026-06-09 03:45:00,2026-06-09 05:30:00,BUY,213.924,213.81312,6.0,213.924,trail_stop,0.5,100,0.065857,0.0938,,structure,static,Entry Model 2 - Internal Swing Confirmation,2026-06-09 03:45:00,2026-06-09 05:30:00,2026-06-09,100.0,6.0,20,0.0
fixed_current,ORB,USDCAD,M15,2026-06,2026-06-09 23:15:00,2026-06-10 00:00:00,BUY,1.39537,1.39508,6.0,1.39508,loss,-1.0,100,0.00029,0.0104,1.0331,structure,static,ORB 15m breakout,2026-06-09 23:15:00,2026-06-10 00:00:00,2026-06-09,100.0,6.0,20,98.676
fixed_current,ORB,AUDUSD,M15,2026-06,2026-06-09 23:15:00,2026-06-09 23:45:00,SELL,0.70179,0.70224,6.0,0.70224,loss,-1.0,100,0.00045,0.0833,1.3433,structure,static,ORB 15m breakout,2026-06-09 23:15:00,2026-06-09 23:45:00,2026-06-09,100.0,6.0,20,86.268
fixed_current,ORB,USDCHF,M15,2026-06,2026-06-09 23:15:00,2026-06-10 00:00:00,BUY,0.79897,0.79874,3.0,0.79897,trail_stop,0.5,100,0.00023,0.1042,1.0158,structure,static,ORB 15m breakout,2026-06-09 23:15:00,2026-06-10 00:00:00,2026-06-09,100.0,3.0,20,99.368
fixed_current,LTA,USDCAD,M30,2026-06,2026-06-10 04:30:00,2026-06-10 05:30:00,BUY,1.39473,1.39438,6.0,1.39438,loss,-1.0,98,0.000504,0.3229,,structure,static,Entry Model 2 - Internal Swing Confirmation,2026-06-10 04:30:00,2026-06-10 05:30:00,2026-06-10,98.0,6.0,30,0.0
