symbol,variant,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,selection_score,history_quality,commission,swap,path
xagusd,atr150,2.7375,1.3,52.94,4.24,17,3.24,0.64,-3.1141288263901057,98%,-128.76,-5.74,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\xagusd--atr150--stop.htm
xagusd,swing8,1.4286,1.14,50.0,4.43,18,1.31,0.3,-7.377060851123151,98%,-197.17,-6.97,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\xagusd--swing8--stop.htm
xagusd,swing5,1.0090999999999999,1.1,50.0,4.45,18,1.02,0.21,-8.491177842348101,98%,-203.82,-6.97,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\xagusd--swing5--stop.htm
xagusd,swing3,0.6148,1.05,50.0,4.42,20,0.94,0.13,-8.806218029966814,98%,-264.15,-6.97,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\xagusd--swing3--stop.htm
xagusd,atr200,0.5806,1.08,50.0,3.91,14,0.39,0.15,-10.574367506366459,98%,-64.64,-10.25,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\xagusd--atr200--stop.htm
xagusd,signal,-0.099,0.99,50.0,4.69,20,-0.17,-0.02,-11.340604030242018,98%,-325.43,-6.97,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\xagusd--signal--stop.htm
xauusd,signal,13.2003,1.11,44.6,16.12,213,2.66,0.79,3.0221201838909146,98%,-436.92,-308.42,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\xauusd--signal--stop.htm
xauusd,swing3,-12.2071,0.88,40.53,17.24,190,-2.33,-0.69,-30.384100458118617,98%,-272.34,-394.98,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\xauusd--swing3--stop.htm
xauusd,swing8,-14.8029,0.85,39.44,19.03,180,-2.69,-0.77,-35.215627153973294,98%,-198.44,-384.73,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\xauusd--swing8--stop.htm
xauusd,swing5,-15.425999999999998,0.85,39.46,20.94,185,-2.94,-0.72,-37.6322271539733,98%,-235.53,-390.88,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\xauusd--swing5--stop.htm
xauusd,atr200,-15.723199999999999,0.83,38.69,21.5,168,-3.05,-0.7,-38.76665493829792,98%,-140.98,-265.88,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\xauusd--atr200--stop.htm
xauusd,atr100,-18.6249,0.84,37.86,25.5,206,-5.0,-0.72,-46.39414064573734,98%,-355.23,-238.73,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\xauusd--atr100--stop.htm
xauusd,atr150,-31.190800000000003,0.68,34.05,34.22,185,-5.0,-0.9,-68.97074976974382,98%,-183.63,-271.53,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\xauusd--atr150--stop.htm
