time,closed_bar,c1,c2,e20_1,e20_2,e50,e200,adx,plus,minus,e9_1,e9_2,e21_1,e21_2,rsi,prior20_high,prior20_low,tr,atr1,atr2,momentum,change,breakout,momentum_atr,change_atr,breakout_atr,breakout_atr_prev
2022.07.26 03:00:00,2022.07.26 02:00:00,1725.437,1727.05,1722.2298956034888,1721.892305667014,1722.0828517138107,1721.0493804233333,20.71275654598253,22.71872881606905,13.817765515622785,1722.1785155955802,1721.3638944944753,1720.1321094989632,1719.935632072999,55.31129417489876,1739.266,1710.432,2.561999999999898,3.576928571428509,3.811714285714226,0,0,0,4.079900000000003,3.576928571428509,4.079900000000003,4.107700000000005
2022.07.26 04:00:00,2022.07.26 03:00:00,1724.086,1725.437,1722.4066674507756,1722.2298956034888,1722.2120870871133,1721.0795955434992,19.457324686953207,20.555040357395807,17.67596929283679,1722.5600124764642,1722.1785155955802,1720.2733198740002,1720.1321094989632,52.96550840993551,1739.266,1710.933,2.1829999999999927,3.5004285714285155,3.576928571428509,0,0,0,4.025900000000006,3.5004285714285155,4.025900000000006,4.079900000000003
2022.07.26 05:00:00,2022.07.26 04:00:00,1721.593,1724.086,1722.3291753126064,1722.4066674507756,1722.172145984719,1721.084704045554,18.949772688457543,18.597417466215255,24.71687283192898,1722.3666099811715,1722.5600124764642,1720.3204513070716,1720.2733198740002,48.84853831739482,1739.266,1712.846,2.8589999999999236,3.261642857142796,3.5004285714285155,0,0,0,3.966200000000008,3.261642857142796,3.966200000000008,4.025900000000006
2022.07.26 06:00:00,2022.07.26 05:00:00,1721.427,1721.593,1722.2432538542628,1722.3291753126064,1722.1240720502212,1721.088109975449,18.762677267666966,16.82623485038523,23.71171547840115,1722.1786879849371,1722.3666099811715,1720.3599709032476,1720.3204513070716,48.5777732316325,1739.266,1712.846,2.3229999999998654,3.0302857142856507,3.261642857142796,0,0,0,3.8355500000000053,3.0302857142856507,3.8355500000000053,3.966200000000008
2022.07.26 07:00:00,2022.07.26 06:00:00,1725.074,1721.427,1722.5128487252853,1722.2432538542628,1722.3143899824652,1721.1277705727082,17.069708785475132,21.034311540155286,21.453456861410565,1722.7577503879497,1722.1786879849371,1720.5283290852744,1720.3599709032476,54.5396891828555,1739.266,1712.846,5.163000000000011,3.149499999999927,3.0302857142856507,0,0,0,3.7015000000000033,3.149499999999927,3.7015000000000033,3.8355500000000053
2022.07.26 08:00:00,2022.07.26 07:00:00,1724.828,1725.074,1722.7333393228773,1722.5128487252853,1722.4765583706933,1721.164588775965,16.199696095588305,22.75598379313239,19.41027049365718,1723.17180031036,1722.7577503879497,1720.6818887608003,1720.5283290852744,54.08418820613136,1739.266,1712.846,3.51299999999992,3.1374999999999185,3.149499999999927,0,0,0,3.598349999999998,3.1374999999999185,3.598349999999998,3.7015000000000033
2022.07.26 09:00:00,2022.07.26 08:00:00,1722.72,1724.828,1722.7320689111748,1722.7333393228773,1722.4922642822617,1721.1800655045627,15.39346048508404,20.588747241405496,24.040470067644936,1723.0814402482881,1723.17180031036,1720.7546784479146,1720.6818887608003,50.21408629545924,1739.266,1712.846,4.384999999999991,3.182571428571337,3.1374999999999185,0,0,0,3.525150000000001,3.182571428571337,3.525150000000001,3.598349999999998
2022.07.26 10:00:00,2022.07.26 09:00:00,1720.128,1722.72,1722.4840623482057,1722.7320689111748,1722.3397311027609,1721.1695971910844,15.504646693421138,18.62791417079545,26.022418034932308,1722.4907521986306,1723.0814402482881,1720.7322970747748,1720.7546784479146,45.86788465223216,1739.266,1712.846,5.467000000000098,3.330142857142768,3.182571428571337,0,0,0,3.6358000000000104,3.330142857142768,3.6358000000000104,3.525150000000001
2022.07.26 11:00:00,2022.07.26 10:00:00,1718.494,1720.128,1722.1040564102814,1722.4840623482057,1722.0916194187118,1721.1429743334618,16.56740445066216,16.85382710691017,29.10923579105964,1721.6914017589045,1722.4907521986306,1720.652357893533,1720.7322970747748,43.32224459935486,1739.266,1712.846,4.470000000000027,3.4268571428570564,3.330142857142768,0,0,0,3.549200000000012,3.4268571428570564,3.549200000000012,3.6358000000000104
2022.07.26 12:00:00,2022.07.26 11:00:00,1717.797,1718.494,1721.693860561683,1722.1040564102814,1721.81454719815,1721.109681056512,17.624518960124703,15.248700715775868,26.91386196125486,1720.9125214071237,1721.6914017589045,1720.5503808259068,1720.652357893533,42.2452063451007,1739.266,1712.846,3.2519999999999527,3.539857142857048,3.4268571428570564,0,0,0,3.4337000000000146,3.539857142857048,3.4337000000000146,3.549200000000012
2022.07.26 13:00:00,2022.07.26 12:00:00,1719.245,1717.797,1721.4606357462847,1721.693860561683,1721.6487699595598,1721.091127016149,19.12505250045789,13.796443504749595,27.62195514596511,1720.579017125699,1720.9125214071237,1720.5037600821245,1720.5503808259068,45.28833675212696,1739.266,1712.846,7.287000000000035,3.936642857142767,3.539857142857048,0,0,0,3.623350000000009,3.936642857142767,3.623350000000009,3.4337000000000146
2022.07.26 14:00:00,2022.07.26 13:00:00,1720.176,1719.245,1721.3382894847337,1721.4606357462847,1721.553752542814,1721.0820212746949,19.947419890430975,14.130983920019615,24.991292751111292,1720.4984137005592,1720.579017125699,1720.4920543649057,1720.5037600821245,47.21415718256321,1739.266,1713.11,5.395999999999958,4.249499999999902,3.936642857142767,0,0,0,3.709100000000005,4.249499999999902,3.709100000000005,3.623350000000009
2022.07.26 15:00:00,2022.07.26 14:00:00,1719.099,1720.176,1721.125023819521,1721.3382894847337,1721.3953814110196,1721.0622897197227,21.177265031549737,12.785175927636795,25.300397807911754,1720.2185309604474,1720.4984137005592,1720.442302423302,1720.4920543649057,45.23071287579319,1739.266,1713.227,7.345000000000027,4.535499999999895,4.249499999999902,0,0,0,3.8886499999999997,4.535499999999895,3.8886499999999997,3.709100000000005
2022.07.26 16:00:00,2022.07.26 15:00:00,1716.972,1719.099,1720.7294977414713,1721.125023819521,1721.1100019651474,1721.0215903195267,22.28998206399052,11.567540125004719,22.89083611192016,1719.569224768358,1720.2185309604474,1720.3183630510412,1720.442302423302,41.520907894173455,1739.266,1713.643,4.750999999999976,4.3539999999999,4.535499999999895,0,0,0,3.956149999999995,4.3539999999999,3.956149999999995,3.8886499999999997
2022.07.26 17:00:00,2022.07.26 16:00:00,1719.16,1716.972,1720.580021766093,1720.7294977414713,1720.984195386751,1721.0030670327653,23.29672604572266,10.465869636909032,20.710756482213476,1719.4873798146866,1719.569224768358,1720.2769929420754,1720.3183630510412,46.391850112175916,1739.266,1713.643,2.8229999999998654,4.372642857142755,4.3539999999999,0,0,0,3.9414999999999893,4.372642857142755,3.9414999999999893,3.956149999999995
2022.07.26 18:00:00,2022.07.26 17:00:00,1717.362,1719.16,1720.2735435026555,1720.580021766093,1720.7505053617995,1720.9668375100514,23.279016980493637,11.703065424461196,18.73830348390743,1719.0623038517494,1719.4873798146866,1720.1728860512872,1720.2769929420754,43.206969100064065,1739.266,1713.643,3.384999999999991,4.458499999999898,4.372642857142755,0,0,0,4.027249999999985,4.458499999999898,4.027249999999985,3.9414999999999893
2022.07.26 19:00:00,2022.07.26 18:00:00,1717.09,1717.362,1719.970348883355,1720.2735435026555,1720.5143437255545,1720.928262012439,23.73747203991616,10.5884877649887,18.861934568534778,1718.6678430813995,1719.0623038517494,1720.062782978027,1720.1728860512872,42.72906711960517,1739.266,1713.643,2.744999999999891,4.4503571428570385,4.458499999999898,0,0,0,4.077899999999981,4.4503571428570385,4.077899999999981,4.027249999999985
2022.07.26 20:00:00,2022.07.26 19:00:00,1717.625,1717.09,1719.7469823230354,1719.970348883355,1720.327934452938,1720.8953937337085,24.152264712727014,9.580060358799301,17.065559847721943,1718.4592744651197,1718.6678430813995,1719.9757193002404,1720.062782978027,44.04015290385227,1739.266,1713.643,1.2770000000000437,4.375642857142766,4.4503571428570385,0,0,0,4.090949999999979,4.375642857142766,4.090949999999979,4.077899999999981
