time,z,beta,mean,sd,atr,low,high,signal_spread,mean_log_b
1758786300,1.5650577416924794,1.0,3.312078830444001,0.00900609495943235,0.001713840395257904,3.323109127359608,3.3287022661120194,3.3261738890826784,8.323270992743351
1758787200,1.686000865321555,1.0,3.312477994701073,0.009055696929008658,0.001721720282159746,3.3235724787745085,3.3287022661120194,3.3277459075594713,8.322604926320638
1758788100,1.22925007640825,1.0,3.3128554666300207,0.009179898430324228,0.0018165268072849777,3.3261738890826784,3.3287022661120194,3.3241398574769168,8.3220012619288
1758789000,1.203389244538283,1.0,3.3131657774167724,0.009220349267254622,0.001965174949068655,3.3241398574769168,3.3287022661120194,3.324261446555873,8.321508307769312
1758789900,1.4558406982888044,1.0,3.313476584563194,0.00925380985261401,0.0014124970153248334,3.3241398574769168,3.3287022661120194,3.3269486575608553,8.320981347592442
1758790800,1.2967659644714122,1.0,3.3138313794966923,0.009327940788862657,0.0014644218837251341,3.3241398574769168,3.3287022661120194,3.325927535630294,8.320361472209102
1758791700,0.9322407448983883,1.0,3.3141594946782096,0.00937819130158484,0.0012826999464782116,3.3241398574769168,3.3287022661120194,3.3229022267229986,8.319755557903763
1758792600,0.9380515313490944,1.0,3.3144482052137167,0.009358456845266743,0.0014540505898758787,3.3229022267229986,3.3277459075594713,3.3232269199884836,8.31919085768715
1758793500,0.7042126916546051,1.0,3.3147495111536287,0.009325761621704244,0.0014441464363461926,3.3229022267229986,3.3277459075594713,3.3213168308469783,8.318652081329729
1758794400,0.7578851168934663,1.0,3.3150419911966047,0.009233149641761898,0.0013248548853977177,3.3213168308469783,3.3277459075594713,3.3220396578921463,8.31807803764419
1758795300,0.6810554814181263,1.0,3.315342900827101,0.009142037712366713,0.0013001161830307037,3.3213168308469783,3.3269486575608553,3.3215691357224397,8.317471755867635
1758796200,0.7417052477724938,1.0,3.315610919281321,0.009068910754420583,0.001311972750989884,3.3213168308469783,3.3269486575608553,3.322337377979455,8.31693179418946
1758797100,0.8477157529318227,1.0,3.3159089482225887,0.00897112700618333,0.0013596367337992885,3.3213168308469783,3.3269486575608553,3.3235139139072825,8.316365120718892
1758798000,1.0508872137745273,1.0,3.3162160290607616,0.008889453670409005,0.0014238990226565257,3.3213168308469783,3.325927535630294,3.3255578422604355,8.315774281458962
1758798900,1.1771711513486312,1.0,3.3165428302437228,0.00884230071364998,0.0014890103261465829,3.3213168308469783,3.3255578422604355,3.326951731555381,8.315168017607663
1758799800,1.0729269760376963,1.0,3.3168747215186407,0.00882811762327286,0.001488859066853492,3.3213168308469783,3.326951731555381,3.326346647064284,8.314549049473147
1758800700,1.1222735112685525,1.0,3.3171981255969936,0.00878998387995034,0.001419792353589498,3.3213168308469783,3.326951731555381,3.3270628916699394,8.313951917574228
1758801600,0.9402618039683995,1.0,3.3175413884203593,0.008739412035949839,0.001213377676668134,3.3215691357224397,3.3270628916699394,3.3257587237469046,8.313341606882236
1758802500,0.881425598694899,1.0,3.317861417776257,0.008659080698101711,0.0012978475941023099,3.3215691357224397,3.3270628916699394,3.3254937531647286,8.31273055449355
1758803400,2.3805195922375932,1.0,3.318155116153532,0.008593955415300326,0.0011248304210447202,3.322337377979455,3.3270628916699394,3.338613195394471,8.312162254425274
1758804300,1.0166356188682273,1.0,3.318652862597977,0.008838444042513802,0.0019889961567004988,3.3235139139072825,3.338613195394471,3.3276383396269704,8.311329244981358
1758805200,1.21773985827375,1.0,3.318995420395485,0.008754810313918001,0.0025568209324294345,3.3254937531647286,3.338613195394471,3.329656501866369,8.310686000369337
1758806100,1.3978237847405623,1.0,3.31937936520554,0.008674753732374522,0.002677783001994679,3.3254937531647286,3.338613195394471,3.33150514229942,8.309968389004812
1758807000,0.9574273880150382,1.0,3.319804190925092,0.008592033420323353,0.0026733938085336767,3.3254937531647286,3.338613195394471,3.3280304390404503,8.30921738870654
