risk_pct,strategy_mode,note_point_to_price,target_rr,effective_target_rr,max_target_rr,trailing_enabled,risk_progression_enabled,risk_progression_multiplier,risk_progression_max_pct,pending_mode,s2a_entry_model,s2b_entry_model,runner_trail_bars,runner_buffer_points,slippage_price,max_spread_price,trades,wins,losses,breakeven,win_rate,profit_factor,expectancy_r,net_r,net_profit,ending_balance,max_drawdown_pct,max_consecutive_losses,score
1.0,ALL,1.0,3.0,1.7,1.7,True,False,1.6,5.0,OCO,DIRECT,CLOSE_PLUS_50,2,5.0,0.15,1.5,72,17,55,0,23.61111111111111,0.7055090077226277,-0.08497641527425907,-6.118301899746653,-609.4382023968974,9390.561797603103,9.625994395822927,9,-0.49683950584475106
1.0,ALL,1.0,3.0,1.7,1.7,True,False,1.6,5.0,BOTH,DIRECT,CLOSE_PLUS_50,2,5.0,0.15,1.5,72,17,55,0,23.61111111111111,0.7055090077226277,-0.08497641527425907,-6.118301899746653,-609.4382023968974,9390.561797603103,9.625994395822927,9,-0.49683950584475106
1.0,S2A,1.0,2.0,1.7,1.7,True,False,1.6,5.0,OCO,DIRECT,CLOSE_PLUS_50,1,5.0,0.15,1.5,45,14,31,0,31.11111111111111,0.7248293965535115,-0.11475870005159629,-5.164141502321834,-519.8855998704821,9480.114400129518,9.155187395363498,5,-0.5027547361892971
1.0,S2A,1.0,2.0,1.7,1.7,True,False,1.6,5.0,BOTH,DIRECT,CLOSE_PLUS_50,1,5.0,0.15,1.5,45,14,31,0,31.11111111111111,0.7248293965535115,-0.11475870005159629,-5.164141502321834,-519.8855998704821,9480.114400129518,9.155187395363498,5,-0.5027547361892971
1.0,S2A,1.0,3.0,1.7,1.7,True,False,1.6,5.0,OCO,DIRECT,CLOSE_PLUS_50,1,5.0,0.15,1.5,45,14,31,0,31.11111111111111,0.7248293965535115,-0.11475870005159629,-5.164141502321834,-519.8855998704821,9480.114400129518,9.155187395363498,5,-0.5027547361892971
1.0,S2A,1.0,3.0,1.7,1.7,True,False,1.6,5.0,BOTH,DIRECT,CLOSE_PLUS_50,1,5.0,0.15,1.5,45,14,31,0,31.11111111111111,0.7248293965535115,-0.11475870005159629,-5.164141502321834,-519.8855998704821,9480.114400129518,9.155187395363498,5,-0.5027547361892971
1.0,ALL,1.0,2.0,1.7,1.7,True,False,1.6,5.0,BOTH,REFERENCE_PAIR,CLOSE_PLUS_50,1,5.0,0.15,1.5,72,14,58,0,19.444444444444446,0.6491818725666096,-0.08931658633742995,-6.430794216294955,-634.6677286708509,9365.332271329149,8.800098155927971,12,-0.5486994016893544
1.0,ALL,1.0,3.0,1.7,1.7,True,False,1.6,5.0,BOTH,REFERENCE_PAIR,CLOSE_PLUS_50,1,5.0,0.15,1.5,72,14,58,0,19.444444444444446,0.6491818725666096,-0.08931658633742995,-6.430794216294955,-634.6677286708509,9365.332271329149,8.800098155927971,12,-0.5486994016893544
1.0,ALL,1.0,2.0,1.7,1.7,True,False,1.6,5.0,BOTH,REFERENCE_PAIR,CLOSE_PLUS_50,2,5.0,0.15,1.5,72,14,58,0,19.444444444444446,0.6459915896894518,-0.09057392543125944,-6.521322631050679,-643.1781617026481,9356.821838297352,8.882973021940616,12,-0.5667023038611179
1.0,ALL,1.0,3.0,1.7,1.7,True,False,1.6,5.0,BOTH,REFERENCE_PAIR,CLOSE_PLUS_50,2,5.0,0.15,1.5,72,14,58,0,19.444444444444446,0.6459915896894518,-0.09057392543125944,-6.521322631050679,-643.1781617026481,9356.821838297352,8.882973021940616,12,-0.5667023038611179
1.0,ALL,1.0,2.0,1.7,1.7,True,False,1.6,5.0,OCO,REFERENCE_PAIR,CLOSE_PLUS_50,1,5.0,0.15,1.5,72,15,57,0,20.833333333333336,0.553931070904703,-0.08685546181230276,-6.253593250485799,-611.0626711913465,9388.937328808654,7.803696188057311,12,-0.5732467708649847
1.0,ALL,1.0,3.0,1.7,1.7,True,False,1.6,5.0,OCO,REFERENCE_PAIR,CLOSE_PLUS_50,1,5.0,0.15,1.5,72,15,57,0,20.833333333333336,0.553931070904703,-0.08685546181230276,-6.253593250485799,-611.0626711913465,9388.937328808654,7.803696188057311,12,-0.5732467708649847
