policy,bot,symbol,month,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_score,ORB,XAUUSD,2026-05,3,0,2,1,0,0.0,-2.0,-0.667,0.0,6.0
dynamic_score,ORB,XAUUSD,2026-06,19,0,8,11,0,0.0,-0.01,-0.0,1.0,5.21
fixed_current,LTA,BTCUSD,2026-05,4,0,0,4,0,0.0,5.0,1.25,5.0,6.0
fixed_current,LTA,BTCUSD,2026-06,16,0,11,5,0,0.0,-10.0,-0.625,0.09,6.0
fixed_current,LTA,EURUSD,2026-05,1,0,0,1,0,0.0,-0.06,-0.065,0.0,6.0
fixed_current,LTA,EURUSD,2026-06,4,0,1,3,0,0.0,2.72,0.679,3.37,6.0
fixed_current,LTA,US30,2026-06,7,0,4,3,0,0.0,0.75,0.108,1.18,6.0
fixed_current,LTA,XAGUSD,2026-05,1,0,1,0,0,0.0,-1.0,-1.001,0.0,6.0
fixed_current,LTA,XAGUSD,2026-06,10,0,5,5,0,0.0,-2.01,-0.201,0.6,6.0
fixed_current,LTA,XAUUSD,2026-06,10,0,7,3,0,0.0,-4.0,-0.4,0.43,6.0
fixed_current,ORB,BTCUSD,2026-05,4,0,2,2,0,0.0,-2.0,-0.5,0.0,6.0
fixed_current,ORB,BTCUSD,2026-06,20,0,8,12,0,0.0,5.0,0.25,1.62,6.0
fixed_current,ORB,US30,2026-05,1,0,0,1,0,0.0,0.91,0.913,0.91,6.0
fixed_current,ORB,US30,2026-06,12,0,6,6,0,0.0,-2.67,-0.222,0.59,6.0
fixed_current,ORB,XAGUSD,2026-05,3,0,1,2,0,0.0,-1.01,-0.335,0.0,6.0
fixed_current,ORB,XAGUSD,2026-06,19,0,4,15,0,0.0,9.97,0.525,3.48,6.0
fixed_current,ORB,XAUUSD,2026-05,3,0,2,1,0,0.0,-2.0,-0.667,0.0,6.0
fixed_current,ORB,XAUUSD,2026-06,19,0,7,12,0,0.0,5.99,0.315,1.86,6.0
production_current,LTA,BTCUSD,2026-05,4,0,0,2,0,0.0,4.64,1.16,94.7,6.0
production_current,LTA,BTCUSD,2026-06,16,0,4,2,0,0.0,-7.39,-0.462,0.09,6.0
production_current,LTA,EURUSD,2026-05,1,0,0,0,0,0.0,-0.77,-0.766,0.0,6.0
production_current,LTA,EURUSD,2026-06,4,0,0,2,0,0.0,3.65,0.913,4.93,6.0
production_current,LTA,US30,2026-06,7,0,1,3,0,0.0,2.38,0.34,1.94,6.0
production_current,LTA,XAGUSD,2026-05,1,0,1,0,0,0.0,-1.0,-1.001,0.0,6.0
production_current,LTA,XAGUSD,2026-06,10,0,1,3,0,0.0,-0.26,-0.026,0.92,6.0
production_current,LTA,XAUUSD,2026-06,10,0,3,0,0,0.0,-5.24,-0.524,0.04,6.0
production_current,ORB,BTCUSD,2026-05,4,0,2,1,0,0.0,-1.66,-0.416,0.17,6.0
production_current,ORB,BTCUSD,2026-06,20,0,3,8,0,0.0,1.53,0.076,1.28,6.0
production_current,ORB,EURUSD,2026-06,3,0,0,1,0,0.0,0.36,0.119,1.62,6.0
production_current,ORB,US30,2026-05,2,0,0,0,0,0.0,-0.45,-0.226,0.1,6.0
production_current,ORB,US30,2026-06,15,0,4,1,0,0.0,-4.91,-0.328,0.19,6.0
production_current,ORB,XAGUSD,2026-05,3,0,0,3,0,0.0,1.0,0.332,434.09,6.0
production_current,ORB,XAGUSD,2026-06,19,0,5,10,0,0.0,4.7,0.247,1.79,6.0
production_current,ORB,XAUUSD,2026-05,3,0,0,2,0,0.0,1.78,0.592,8.95,6.0
production_current,ORB,XAUUSD,2026-06,19,0,6,8,0,0.0,0.8,0.042,1.12,6.0
