time,open,high,low,close,tick_volume,spread,real_volume
2025-08-14 10:15:00+00:00,3362.59,3365.04,3361.39,3362.55,1393,25,0
2025-08-14 10:30:00+00:00,3362.55,3362.61,3352.23,3352.33,1974,25,0
2025-08-14 10:45:00+00:00,3352.33,3352.53,3343.57,3345.98,2581,25,0
2025-08-14 11:00:00+00:00,3345.98,3347.54,3341.43,3344.57,2927,25,0
2025-08-14 11:15:00+00:00,3344.57,3349.79,3341.74,3349.69,1859,25,0
2025-08-14 11:30:00+00:00,3349.66,3350.34,3344.35,3346.28,1541,25,0
2025-08-14 11:45:00+00:00,3346.33,3348.27,3345.84,3346.13,1418,25,0
2025-08-14 12:00:00+00:00,3346.13,3355.27,3345.02,3354.85,2217,25,0
2025-08-14 12:15:00+00:00,3354.85,3359.07,3354.6,3356.17,2021,25,0
2025-08-14 12:30:00+00:00,3356.23,3358.05,3354.52,3354.93,1427,25,0
2025-08-14 12:45:00+00:00,3354.91,3358.19,3353.85,3356.49,1311,25,0
2025-08-14 13:00:00+00:00,3356.51,3358.71,3355.31,3358.2,882,25,0
2025-08-14 13:15:00+00:00,3358.2,3358.72,3356.25,3357.49,1025,25,0
2025-08-14 13:30:00+00:00,3357.45,3359.0,3353.4,3354.08,1042,25,0
2025-08-14 13:45:00+00:00,3354.08,3355.15,3352.05,3354.9,969,25,0
2025-08-14 14:00:00+00:00,3354.9,3357.07,3353.22,3354.33,1088,25,0
2025-08-14 14:15:00+00:00,3354.33,3355.51,3352.49,3355.21,1269,25,0
2025-08-14 14:30:00+00:00,3355.21,3356.84,3353.15,3354.03,807,25,0
2025-08-14 14:45:00+00:00,3354.03,3355.72,3353.77,3355.36,917,25,0
2025-08-14 15:00:00+00:00,3355.39,3358.34,3354.78,3355.35,1453,25,0
2025-08-14 15:15:00+00:00,3355.31,3356.04,3352.68,3352.92,1694,25,0
2025-08-14 15:30:00+00:00,3352.92,3353.54,3342.01,3352.89,5598,25,0
2025-08-14 15:45:00+00:00,3352.89,3356.38,3349.08,3350.51,4145,25,0
2025-08-14 16:00:00+00:00,3350.5,3355.88,3348.93,3352.94,3767,25,0
2025-08-14 16:15:00+00:00,3352.88,3356.03,3344.85,3345.32,3681,25,0
2025-08-14 16:30:00+00:00,3344.52,3349.23,3344.48,3348.19,4224,25,0
2025-08-14 16:45:00+00:00,3348.19,3348.8,3343.68,3344.08,3620,25,0
2025-08-14 17:00:00+00:00,3344.08,3345.99,3334.23,3338.3,4703,25,0
2025-08-14 17:15:00+00:00,3338.3,3345.94,3337.19,3344.84,3749,25,0
2025-08-14 17:30:00+00:00,3344.8,3346.57,3340.51,3340.68,3134,25,0
2025-08-14 17:45:00+00:00,3340.72,3342.34,3339.15,3340.51,2721,25,0
2025-08-14 18:00:00+00:00,3340.58,3341.77,3335.28,3336.93,2855,25,0
2025-08-14 18:15:00+00:00,3336.93,3340.6,3336.0,3339.38,2082,25,0
2025-08-14 18:30:00+00:00,3339.41,3342.55,3337.9,3340.51,1946,25,0
2025-08-14 18:45:00+00:00,3340.51,3342.79,3339.68,3341.66,1455,25,0
2025-08-14 19:00:00+00:00,3341.72,3341.98,3333.23,3334.21,2204,25,0
