number,ea,symbol,side,volume,open_time,close_time,open_price,close_price,net_profit,result,source,entry_comment,exit_comment,cache_slug,cache_mode,cache_period,price_move,price_move_unit,pip_size,estimated_r,estimated_risk_cash,configured_risk_pct,r_is_estimate,open_dt,close_dt,clock10,clock20,clock40,rolling20,family,strategy
97,US100 H1 ORB 13UTC — Standard,USTEC,Long,0.98,2025-05-27T14:15:00,2025-05-27T20:00:00,21312.98,21426.26,110.4,Win,Precomputed native MT5 deals,ORB RV 0.75 BV 3.72,,us100-h1-orb-13utc,standard,3y,113.28,points,1.0,0.69,159.93,1.0,True,2025-05-27 14:15:00+00:00,2025-05-27 20:00:00+00:00,0.5698466780238501,0.43675534519340625,0.2877109988173315,1.8191706322229775,ORB,us100-h1-orb-13utc
98,US100 H1 ORB 13UTC — Standard,USTEC,Long,1.57,2025-06-12T14:15:00,2025-06-12T20:00:00,21911.88,21931.94,30.51,Win,Precomputed native MT5 deals,ORB RV 0.79 BV 3.12,,us100-h1-orb-13utc,standard,3y,20.06,points,1.0,0.19,161.03,1.0,True,2025-06-12 14:15:00+00:00,2025-06-12 20:00:00+00:00,0.5421041354188987,0.5545813239807103,0.41632384400197464,1.2198649951783993,ORB,us100-h1-orb-13utc
99,US100 H1 ORB 13UTC — Standard,USTEC,Long,1.29,2025-06-18T14:15:00,2025-06-18T18:58:38,21814.6,21690.09,-161.43,Loss,Precomputed native MT5 deals,ORB RV 0.88 BV 2.68,sl 21690.16,us100-h1-orb-13utc,standard,3y,-124.51,points,1.0,-1.0,161.34,1.0,True,2025-06-18 14:15:00+00:00,2025-06-18 18:58:38+00:00,1.03257558003281,0.9762907157101706,0.7947330447330447,2.221886031265759,ORB,us100-h1-orb-13utc
100,US100 H1 ORB 13UTC — Standard,USTEC,Long,1.9,2025-06-24T14:45:00,2025-06-24T20:00:00,22134.35,22201.92,127.19,Win,Precomputed native MT5 deals,ORB RV 0.82 BV 1.79,,us100-h1-orb-13utc,standard,3y,67.57,points,1.0,0.8,159.72,1.0,True,2025-06-24 14:45:00+00:00,2025-06-24 20:00:00+00:00,0.5884368308351178,0.517709118311982,0.348996697993396,0.6337638376383764,ORB,us100-h1-orb-13utc
101,US100 H1 ORB 13UTC — Standard,USTEC,Short,2.11,2025-06-25T14:15:00,2025-06-25T20:00:00,22272.19,22262.0,20.18,Win,Precomputed native MT5 deals,ORB RV 0.61 BV 5.76,,us100-h1-orb-13utc,standard,3y,10.19,points,1.0,0.13,160.99,1.0,True,2025-06-25 14:15:00+00:00,2025-06-25 20:00:00+00:00,0.9763779527559056,0.6974455120693696,0.6198708602374505,4.968280467445743,ORB,us100-h1-orb-13utc
102,US100 H1 ORB 13UTC — Standard,USTEC,Long,1.64,2025-06-26T14:30:00,2025-06-26T20:00:00,22369.96,22473.35,168.53,Win,Precomputed native MT5 deals,ORB RV 0.76 BV 3.84,,us100-h1-orb-13utc,standard,3y,103.39,points,1.0,1.05,161.19,1.0,True,2025-06-26 14:30:00+00:00,2025-06-26 20:00:00+00:00,0.73557278208441,0.5805574439157036,0.4078319006685769,0.867445403758253,ORB,us100-h1-orb-13utc
103,US100 H1 ORB 13UTC — Standard,USTEC,Short,2.33,2025-07-01T14:30:00,2025-07-01T20:00:00,22574.63,22499.9,172.66,Win,Precomputed native MT5 deals,ORB RV 0.64 BV 4.72,,us100-h1-orb-13utc,standard,3y,74.73,points,1.0,1.06,162.88,1.0,True,2025-07-01 14:30:00+00:00,2025-07-01 20:00:00+00:00,1.4724857685009487,1.2312574375247918,0.8115032679738562,1.5967078189300412,ORB,us100-h1-orb-13utc
104,US100 H1 ORB 13UTC — Standard,USTEC,Long,1.48,2025-07-17T14:45:00,2025-07-17T20:00:00,23018.73,23101.84,122.07,Win,Precomputed native MT5 deals,ORB RV 0.84 BV 2.48,,us100-h1-orb-13utc,standard,3y,83.11,points,1.0,0.74,164.61,1.0,True,2025-07-17 14:45:00+00:00,2025-07-17 20:00:00+00:00,0.7514037774374681,0.745694022289767,0.629059829059829,0.7926763597199784,ORB,us100-h1-orb-13utc
105,US100 H1 ORB 13UTC — Standard,USTEC,Short,1.84,2025-07-24T14:15:00,2025-07-24T17:12:40,23182.58,23272.59,-166.77,Loss,Precomputed native MT5 deals,ORB RV 1.08 BV 6.57,sl 23272.59,us100-h1-orb-13utc,standard,3y,-90.01,points,1.0,-1.01,165.83,1.0,True,2025-07-24 14:15:00+00:00,2025-07-24 17:12:40+00:00,1.3118870145154962,1.5488652153774896,1.2371439141694414,3.1164958061509784,ORB,us100-h1-orb-13utc
106,US100 H1 ORB 13UTC — Standard,USTEC,Long,1.48,2025-08-06T14:45:00,2025-08-06T20:00:00,23157.95,23327.17,249.52,Win,Precomputed native MT5 deals,ORB RV 1.55 BV 4.48,,us100-h1-orb-13utc,standard,3y,169.22,points,1.0,1.52,164.16,1.0,True,2025-08-06 14:45:00+00:00,2025-08-06 20:00:00+00:00,2.27981345769487,1.9170868347338936,1.8260405549626468,0.7861245118309212,ORB,us100-h1-orb-13utc
107,US100 H1 ORB 13UTC — Standard,USTEC,Short,2.22,2025-08-13T14:15:00,2025-08-13T20:00:00,23915.07,23861.45,117.65,Win,Precomputed native MT5 deals,ORB RV 0.78 BV 8.73,,us100-h1-orb-13utc,standard,3y,53.62,points,1.0,0.71,166.66,1.0,True,2025-08-13 14:15:00+00:00,2025-08-13 20:00:00+00:00,0.8199722607489598,1.0907749077490776,1.275787656452309,5.3843351548269585,ORB,us100-h1-orb-13utc
108,US100 H1 ORB 13UTC — Standard,USTEC,Long,1.38,2025-08-26T14:30:00,2025-08-26T20:00:00,23495.56,23539.53,59.82,Win,Precomputed native MT5 deals,ORB RV 2.53 BV 5.27,,us100-h1-orb-13utc,standard,3y,43.97,points,1.0,0.36,167.83,1.0,True,2025-08-26 14:30:00+00:00,2025-08-26 20:00:00+00:00,1.5157693532972285,1.5157693532972285,1.8761829652996846,0.7788508757570797,ORB,us100-h1-orb-13utc
109,US100 H1 ORB 13UTC — Standard,USTEC,Short,1.46,2025-09-04T14:15:00,2025-09-04T15:27:37,23411.3,23526.09,-168.5,Loss,Precomputed native MT5 deals,ORB RV 2.34 BV 14.41,sl 23526.08,us100-h1-orb-13utc,standard,3y,-114.79,points,1.0,-1.0,168.43,1.0,True,2025-09-04 14:15:00+00:00,2025-09-04 15:27:37+00:00,1.3320192728865528,2.377174125464139,4.030483764082174,4.649847094801223,ORB,us100-h1-orb-13utc
110,US100 H1 ORB 13UTC — Standard,USTEC,Long,1.53,2025-09-11T14:45:00,2025-09-11T20:00:00,24011.47,24008.94,-4.83,Loss,Precomputed native MT5 deals,ORB RV 1.38 BV 8.45,,us100-h1-orb-13utc,standard,3y,-2.53,points,1.0,-0.03,166.74,1.0,True,2025-09-11 14:45:00+00:00,2025-09-11 20:00:00+00:00,0.8561921296296297,1.0846774193548387,2.0108732585796805,0.6066010660106601,ORB,us100-h1-orb-13utc
111,US100 H1 ORB 13UTC — Standard,USTEC,Long,2.27,2025-09-12T14:30:00,2025-09-12T20:00:00,24073.34,24114.19,91.31,Win,Precomputed native MT5 deals,ORB RV 0.90 BV 8.26,,us100-h1-orb-13utc,standard,3y,40.85,points,1.0,0.55,166.7,1.0,True,2025-09-12 14:30:00+00:00,2025-09-12 20:00:00+00:00,0.6222990492653414,0.7757575757575758,1.7955112219451372,0.8409986859395532,ORB,us100-h1-orb-13utc
